"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"27","20","      Equipment and software","B880RA3",9.426,8.322,8.137,8.481,8.106,9.146,9.492,10.284,11.121,13.676,14.343,16.972,17.178,18.804,24.844,27.628,30.525,30.268,33.086,36.694,41.258,44.429,47.162,51.8,51.966,45.071,49.027,55.403,59.185,66.949,77.421,76.709,77.165,81.131,82.127,87.935,100,108.101,106.103,117.753,120.311,129.54
"28","21","State and local","B829RA3",42.557,43.738,45.077,46.068,47.381,49.164,50.97,51.346,51.532,53.216,53.998,53.958,52.873,52.898,53.514,55.444,58.879,62.669,63.575,65.933,68.34,71.112,72.585,74.156,75.244,77.197,79.247,81.09,83.98,87.291,91.179,93.744,97.236,100.473,100.408,100.234,100,100.91,102.311,102.31,101.378,99.557
"29","22","  Consumption expenditures","B991RA3",40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.293,102.067,101.394,100.08
"30","23","  Gross investment","B799RA3",48.766,45.697,44.399,42.95,43.2,43.579,43.18,42.421,39.855,43.451,45.602,45.833,41.935,39.354,39.871,44.753,49.603,52.994,54.371,57.191,60.295,65.051,66.561,67.473,66.779,68.707,71.712,74.989,80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,102.403,103.342,101.341,97.424
"31","24","    Structures","B842RA3",66.653,61.727,59.692,56.742,56.26,56.138,55.69,54.702,51.067,55.932,58.315,58.047,52.385,48.067,47.529,52.79,57.885,61.47,62.796,65.582,66.958,71.988,74.376,74.684,72.964,73.537,76.026,79.879,85.256,85.147,91.38,96.289,101.736,105.835,106.404,104.577,100,100.294,98.632,98.757,96.28,91.269
"32","25","    Equipment and software","B881RA3",10.294,10.729,10.859,12.115,13.549,14.773,14.516,14.275,13.979,14.798,16.198,17.287,17.173,18.219,20.725,24.343,28.196,30.86,32.214,34.86,41.341,45.137,44.644,46.788,48.393,53.251,57.279,58.957,65.175,74.293,82.379,87.257,89.212,90.252,92.836,95.718,100,108.59,121.354,126.818,127.625,130.229
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
