"","Table 6#2B# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"21","14","      Durable goods","J4014C0",27593,25510,30068,37666,41549,47181,43575,48711,53056,55560,51710,58200,60452,59759,65753,68949,73933,80765,91676,95733,104781,114045
"22","15","        Lumber and wood products","J4015C0",2024,1806,2150,2466,2474,2481,2360,2643,2747,2527,2513,2863,2807,2687,2868,3049,3354,3537,3752,3869,4371,4823
"23","16","        Furniture and fixtures","J4016C0",963,917,1130,1195,1275,1355,1287,1458,1548,1591,1540,1728,1755,1716,1876,1962,2140,2333,2619,2650,2940,3184
"24","17","        Stone, clay, and glass products","J4017C0",1707,1636,1888,2246,2235,2452,2432,2739,2966,3044,3009,3410,3523,3475,3696,3898,4191,4410,4757,4824,5228,5791
"25","18","        Primary metal industries","J4018C0",4372,3889,4796,5863,5865,6671,5929,7206,7876,8281,7201,8029,8438,8084,8663,8964,9925,10737,11657,11551,12525,13735
"26","19","        Fabricated metal products","J4019C0",3699,3466,4138,5055,5489,6284,5825,6445,6957,7377,6796,7527,7815,7718,8443,8830,9565,10433,11824,12614,13900,15218
"27","20","        Machinery, except electrical","J4020C0",4978,4349,4852,6663,7436,7949,7259,7777,9016,9335,8266,9465,9866,9794,10918,11458,12674,14127,16429,17315,18434,20526
"28","21","        Electric and electronic equipment","J4021C0",3279,2939,3509,4401,5064,5883,5415,5924,6657,7099,6997,8436,9120,9459,10465,10533,10845,11879,13866,14951,16139,17702
"29","22","        Motor vehicles and equipment","J4022C0",2662,2766,3510,3935,4029,5011,4410,5542,5188,5276,4521,5103,5506,4959,5877,6534,7052,8233,8824,8450,10295,10880
"30","23","        Other transportation equipment","J4023C0",1788,1737,1795,3123,4685,5690,5339,5444,6207,6928,6814,7204,7006,7201,7979,8574,8791,9227,11345,12447,13313,13861
"31","24","        Instruments and related products","J4024C0",906,872,1032,1349,1584,1816,1778,1904,2152,2345,2337,2577,2696,2740,2915,3036,3142,3428,3986,4335,4687,5150
"32","25","        Miscellaneous manufacturing industries","J4025C0",1215,1134,1269,1368,1412,1589,1541,1628,1741,1755,1716,1856,1920,1927,2053,2112,2254,2419,2619,2725,2949,3176
"33","26","      Nondurable goods","J4026C0",21842,21528,23538,25993,27291,29210,29307,31297,33401,34675,34754,37580,38969,39867,42128,43506,45980,48690,52856,55724,60743,65661
"34","27","        Food and kindred products","J4027C0",5354,5455,5790,6397,6742,7160,7414,7764,8266,8542,8760,9264,9708,9935,10281,10517,11031,11418,12103,12718,13513,14405
"35","28","        Tobacco manufactures","B4028C0",215,229,241,278,295,314,326,339,362,374,387,406,437,435,458,473,500,507,522,549,587,609
"36","29","        Textile mill products","J4029C0",3562,3177,3635,3777,3660,3697,3327,3533,3601,3493,3323,3729,3717,3672,3918,3968,4238,4643,5102,5243,5864,6245
"37","30","        Apparel and other textile products","J4030C0",3053,2947,3179,3319,3461,3675,3540,3750,3982,4040,3937,4320,4434,4470,4893,5064,5376,5768,6234,6570,7251,7666
"38","31","        Paper and allied products","J4031C0",1575,1546,1786,2056,2142,2373,2455,2681,2916,3034,3117,3433,3594,3789,4040,4221,4445,4694,5132,5416,5884,6491
"39","32","        Printing and publishing","J4032C0",2608,2752,2931,3171,3394,3689,3876,4142,4462,4717,4837,5166,5515,5708,5959,6195,6602,6971,7593,8109,8722,9549
"40","33","        Chemicals and allied products","J4033C0",2291,2296,2541,3104,3377,3779,3908,4180,4647,5030,5090,5487,5782,5989,6324,6636,7038,7473,8339,8940,9792,10793
"41","34","        Petroleum and coal products","J4034C0",1082,1121,1149,1379,1514,1611,1681,1735,1827,1949,1923,1960,1929,1952,1925,1954,1936,1985,2046,2128,2311,2511
"42","35","        Rubber and miscellaneous plastics products","J4035C0",1085,1026,1229,1439,1546,1709,1616,1912,2022,2158,2075,2379,2443,2487,2834,2968,3221,3570,4006,4233,4829,5399
"43","36","        Leather and leather products","J4036C0",1018,979,1057,1074,1160,1200,1164,1261,1315,1339,1306,1436,1412,1431,1496,1511,1593,1660,1778,1818,1991,1994
"44","37","    Transportation and public utilities","A4037C0",14492,14327,15135,17177,18252,19355,19075,20276,21984,23138,22714,24172,25137,25365,26467,27427,29212,31116,33706,35894,39053,42734
"45","38","      Transportation","J4038C0",10372,9942,10510,12053,12619,13199,12588,13394,14499,15181,14488,15520,16028,15884,16567,17064,18008,19095,20682,21948,23937,25844
"46","39","        Railroad transportation","B4039C0",5815,5380,5585,6408,6449,6455,5905,6089,6564,6625,6093,6194,6115,5792,5860,5844,5967,6153,6280,6359,6570,6834
"47","40","        Local and interurban passenger transit","J4040C0",1255,1237,1224,1288,1326,1349,1303,1298,1319,1370,1323,1361,1406,1427,1439,1455,1498,1560,1649,1748,1870,1939
"48","41","        Trucking and warehousing \1\","B4041C0",1676,1756,2084,2395,2668,3031,3084,3506,3848,4085,4154,4778,5014,5108,5514,5832,6289,6848,7535,7899,8803,9658
"49","42","        Water transportation","J4042C0",919,834,870,1077,1150,1257,1153,1263,1349,1509,1307,1389,1507,1482,1555,1606,1705,1738,1982,2067,2230,2249
"50","43","        Transportation by air \1\","J4043C0",342,358,384,460,556,619,655,737,874,1022,1052,1204,1358,1429,1539,1644,1830,2038,2385,2930,3467,4058
"51","44","        Pipelines, except natural gas","B4044C0",132,130,126,143,156,159,158,158,167,174,172,176,172,173,169,168,167,165,171,175,181,192
"52","45","        Transportation services","J4045C0",233,247,237,284,314,329,331,345,377,397,388,419,456,473,491,515,552,593,679,770,817,914
"53","46","      Communication","J4046C0",2305,2424,2510,2784,3089,3403,3580,3832,4195,4466,4464,4696,4959,5137,5400,5661,6222,6804,7478,8034,8699,9910
"54","47","        Telephone and telegraph","J4047C0",2097,2195,2250,2482,2751,3021,3145,3361,3676,3913,3875,4075,4294,4440,4686,4894,5398,5915,6491,6972,7528,8639
"55","48","        Radio and television","J4048C0",208,229,260,302,338,382,435,471,520,553,589,621,665,697,714,767,824,889,986,1062,1171,1271
"56","49","      Electric, gas, and sanitary services","J4049C0",1815,1961,2115,2340,2544,2753,2908,3051,3290,3491,3762,3956,4151,4344,4500,4703,4982,5218,5546,5913,6417,6980
"57","50","    Wholesale trade","J4050C0",9563,9426,10081,11348,11929,12657,13021,13910,15438,16318,16781,18061,19160,19770,20863,21977,23483,25252,27831,29841,32461,35858
"58","51","    Retail trade","J4051C0",15163,15588,16743,18165,19165,20421,20916,22379,23893,25118,25551,27610,29537,30088,32159,34164,36685,39487,42875,45958,50742,55879
"59","52","    Finance, insurance, and real estate","J4052C0",5156,5415,5995,6600,7160,7815,8508,9241,10102,10815,11573,12588,13400,14362,15183,16186,17399,18659,20290,22302,25245,27880
"60","53","      Banking","J4053C0",1331,1415,1531,1711,1890,2078,2229,2395,2628,2853,3074,3259,3549,3767,4025,4276,4586,4881,5230,5847,6585,7472
"61","54","      Credit agencies other than banks","J4054C0",335,374,418,482,556,625,701,801,916,1002,1070,1179,1318,1437,1553,1725,1849,1982,2125,2249,2392,2606
"62","55","      Security and commodity brokers","J4055C0",253,249,322,351,351,361,460,561,577,587,684,868,886,1145,1076,1044,1149,1299,1588,2013,2773,2996
"63","56","      Insurance carriers","B4056C0",1668,1805,1985,2179,2397,2659,2855,3008,3273,3596,3898,4194,4441,4646,4937,5302,5713,6090,6527,7117,7737,8288
"64","57","      Insurance agents, brokers, and service","J4057C0",354,386,430,486,529,585,639,682,759,823,889,954,1033,1111,1192,1275,1372,1470,1621,1726,1897,2084
"65","58","      Real estate","J4058C0",1147,1117,1244,1319,1350,1418,1528,1688,1831,1824,1809,1968,2004,2067,2197,2355,2500,2681,2908,3028,3460,3942
"66","59","      Holding and other investment offices","B4059C0",69,70,66,72,87,89,97,106,119,130,150,167,170,189,203,209,230,255,289,322,402,492
"67","60","    Services","J4060C0",13148,13567,14453,15793,16897,18151,18889,20760,22833,24642,26106,28446,31004,32969,35679,38219,41443,45081,50209,55548,61790,70322
"68","61","      Hotels and other lodging places","B4061C0",948,952,968,1036,1111,1173,1199,1254,1323,1426,1439,1542,1648,1681,1789,1923,2097,2290,2542,2802,3091,3475
"69","62","      Personal services","J4062C0",1821,1835,1895,2024,2124,2231,2296,2397,2559,2681,2721,2876,3017,3123,3281,3435,3675,3931,4279,4560,4826,5081
"70","63","      Business services","J4063C0",1097,1139,1267,1459,1642,1846,1982,2225,2614,2929,3169,3621,4097,4520,5082,5516,6213,6984,8035,8990,10018,11624
"71","64","      Auto repair, services, and parking","B4064C0",573,543,537,566,601,633,637,681,755,829,878,989,1090,1143,1234,1342,1461,1575,1707,1860,2061,2333
"72","65","      Miscellaneous repair services","B4065C0",369,332,317,396,437,440,406,441,507,554,523,595,655,682,717,755,821,899,1024,1117,1212,1351
"73","66","      Motion pictures","J4066C0",683,688,688,712,723,713,752,806,819,815,774,807,810,859,841,858,918,1028,1128,1183,1270,1391
"74","67","      Amusement and recreation services","J4067C0",611,618,627,652,685,739,783,844,901,967,1076,1176,1294,1382,1485,1580,1689,1771,1915,2077,2262,2448
"75","68","      Health services","J4068C0",1519,1652,1868,2118,2356,2621,2871,3155,3399,3778,4219,4664,5137,5560,6082,6757,7462,8196,9257,10804,12739,15220
"76","69","      Legal services","J4069C0",228,244,276,307,342,382,412,450,495,532,575,632,695,743,810,877,962,1042,1151,1260,1444,1666
"77","70","      Educational services","J4070C0",826,877,922,964,996,1057,1133,1226,1356,1510,1649,1832,2022,2276,2581,2853,3150,3556,4032,4442,5062,5953
"78","71","      Social services and membership organizations","J4071C0",1514,1724,1863,2055,2199,2434,2630,2840,3063,3330,3622,4072,4525,4915,5362,5652,5970,6397,7088,7771,8381,9506
"79","72","        Social services","B4072C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","        Membership organizations","B4073C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","74","      Miscellaneous professional services","J4074C0",598,608,653,844,1069,1195,1220,1391,1776,1969,1961,2089,2220,2351,2608,2841,3109,3443,4028,4498,5049,5836
"82","75","      Private households","W151RC0",2363,2356,2572,2661,2614,2690,2570,3052,3267,3322,3503,3552,3797,3734,3807,3831,3916,3968,4023,4182,4377,4439
"83","76","  Government","A4076C0",20344,22633,23880,30686,34959,35860,36542,38548,41158,43953,47532,49869,53533,57304,61564,65920,71505,76903,86694,96238,107749,118437
"84","77","    Federal","B4077C0",11232,12536,13030,18722,21708,21441,20713,21493,22293,23086,24512,24990,26142,27428,29157,30770,33094,34870,39623,43528,48186,51739
"85","78","      General government","B568RC0",9556,10679,11095,16582,19275,19075,18346,18958,19604,20227,21325,21728,22604,23657,25211,26483,28535,29986,34304,37875,41903,44862
"86","79","        Civilian","B4079C0",4681,5078,5401,7161,8036,7952,7495,8133,8821,9261,10113,10357,11106,11858,12642,13467,14373,15138,16678,18127,20050,21323
"87","80","        Military \2\","W4080C0",4875,5601,5694,9421,11239,11123,10851,10825,10783,10966,11212,11371,11498,11799,12569,13016,14162,14848,17626,19748,21853,23539
"88","81","      Government enterprises","A4081C0",1676,1857,1935,2140,2433,2366,2367,2535,2689,2859,3187,3262,3538,3771,3946,4287,4559,4884,5319,5653,6283,6877
"89","82","    State and local","B4082C0",9112,10097,10850,11964,13251,14419,15829,17055,18865,20867,23020,24879,27391,29876,32407,35150,38411,42033,47071,52710,59563,66698
"90","83","      General government","B251RC0",8521,9442,10145,11159,12252,13334,14698,15838,17620,19556,21578,23133,25470,27934,30243,32857,35873,39294,44115,49530,55898,62599
"91","84","        Education","B4084C0",NA,NA,NA,NA,5574,6096,6797,7402,8320,9373,10470,11514,12979,14321,15784,17463,19345,21285,24255,27377,31126,34635
"92","85","        Other","B4085C0",NA,NA,NA,NA,6678,7238,7901,8436,9300,10183,11108,11619,12491,13613,14459,15394,16528,18009,19860,22153,24772,27964
"93","86","      Government enterprises","B4086C0",591,655,705,805,999,1085,1131,1217,1245,1311,1442,1746,1921,1942,2164,2293,2538,2739,2956,3180,3665,4099
"94","87","Rest of the world","A4187C0",86,58,78,14,2,-7,-57,-70,-82,-78,-72,-81,-155,-144,-95,-63,-54,5,24,30,12,22
"95","88","  Receipts from the rest of the world","B4188C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,159,167,173,178,187,196,205,213,223,237
"96","89","  Less:  Payments to the rest of the world","B4189C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,314,311,268,241,241,191,181,183,211,215
"97",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","90"," Households and institutions","W506RC0",5602,5932,6454,6923,7245,7802,8116,9116,9862,10578,11535,12404,13895,14463,15625,16657,17868,19315,21259,23383,26086,29477
"99","91"," Nonfarm business","A4091C0",115194,112932,124683,143816,154520,167268,165447,179255,194876,204541,202312,220853,231502,236168,252841,265870,284991,307347,339330,360696,396645,436628
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","1. Beginning with 1987, reflects the reclassification of air couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
