"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"11","3","  Durable goods manufacturing industries","KP30D0",170856,177147,179583,179209,178007,183771,187414,184483,187322,185265,189576,189847,184592,193927,192497,191253,190728,187249,184371,191378,194625,197333,198897,199136,199060,201973,199584,199701,203778,201310,202151,206209,203154,204805,204558,205119,212050,200747,204451,211123,207540,209253,205771,203790,209437,204310,201071,203827,196915,200424,196757,189606,195868,192082,187835,188238,181872,183082,182942,185081,184588,184655,185869,187321,189699,187612,188404,189637,187691,188323,187675,181181,185653,187199,187040,185485,185903,187716,190042,185288,192875,192676,192581,191494,188350,189929,197308,192856,190033,191894,190297,192923,193755,192941,194579,197537,198600,197160,198015,198589,198917,200311,197643,201841,205233,207128,207952,213650,208819,211400,210512,206309,209733,209345,203727,207466,203831,203607,203327,207034,201363,205069,208489,209507,212153,210298,210658,212571,208945,207885,208312,208218,209660,206931,203608,203631,201696,200718,200434,192350,192448,184236,177538,176499,165594,166736,164311,164214,160807,161003,167770,165926,169005,168345,169398,173482,172654,169718,173046,175177,173740,174775,179228,176358
"12","4","    Wood product manufacturing","KP3210",8204,8027,8103,8150,8063,8262,8553,8320,8475,8241,8403,8341,8551,8628,8463,8428,8317,8542,8473,8339,8224,8505,8686,8821,8659,9090,8840,9039,9088,8818,9029,8807,8727,8870,8939,9067,9405,9131,9467,8971,8928,8655,8411,8507,8572,8458,8177,8288,8043,8164,7888,8276,8336,8370,8435,8287,8242,8202,8141,8200,8372,8499,8415,8385,8505,8546,8684,8477,8244,8420,8633,8458,8486,8110,8262,8330,8168,8448,8475,8640,8643,8825,8897,8440,8486,8162,8616,8981,8954,8652,8822,9252,8794,8581,8799,9162,8938,8994,9077,9111,9138,9039,9229,9328,9430,9803,10047,10075,10237,10268,9951,9427,9352,9485,9055,9198,9008,8778,8811,9686,8634,8425,8615,8607,8807,8708,8537,8585,8437,8277,8164,8226,8018,7733,7580,7501,7219,7425,7305,7135,6985,7201,6855,6547,6273,6579,6561,6839,6862,6771,6832,6838,6864,6958,6901,6787,6961,6915,7079,7256,7029,6723,6662,6473
"13","5","    Nonmetallic mineral product manufacturing","KP3270",8132,8358,8523,8533,8504,8581,8631,8614,8681,8546,8669,8636,8752,8867,8903,8983,9171,9084,9034,8971,8966,8973,9147,9262,9082,9163,9166,8940,9020,9074,9022,9186,9194,9245,9390,9253,9383,8912,9240,9399,9095,9065,9279,9087,9262,9128,8882,8771,8816,8919,8697,8759,9023,8962,8912,8983,8646,8829,8630,8581,8679,8695,8730,8933,8941,8909,8832,8902,8838,8690,8591,8552,8723,8627,8652,8755,8791,8878,9064,9032,9327,9421,8560,8752,8638,8555,9285,9226,8939,9075,9253,9239,9127,9068,9370,9543,9327,9302,9428,9476,9411,9497,9417,9609,9684,9755,9978,10145,10266,10312,10071,9767,9878,9878,9680,9602,9562,9528,9357,9571,9500,9592,9727,9691,9732,9452,9365,9340,9139,9214,9061,8756,8754,8662,8612,8698,8606,8598,8501,8228,8207,8088,7301,7088,6875,6886,6581,6560,6591,6683,6878,6836,6824,6675,6651,6692,6721,6660,6993,7106,7143,7117,7055,7000
"14","6","    Primary metal manufacturing","KP3310",17019,17480,17275,17206,17126,17596,17475,17397,17604,17454,17955,17876,18061,18643,18131,18225,17883,17613,17516,17946,17633,17562,17328,17250,17370,17676,17317,17125,17601,17438,17580,17760,17866,17581,17751,18076,18101,17299,17213,17452,16669,17146,17105,16540,16795,16413,16286,16104,15790,16028,15612,15262,15721,15613,15676,15697,15278,15329,15253,15009,15193,15248,15519,15773,15952,15817,15771,16005,15701,15872,15520,15163,15473,15096,15068,14933,14967,14625,15162,14764,15047,15412,15478,15748,15762,15805,16599,16072,15733,16450,17018,16822,16834,16459,16789,16968,16843,16730,16846,16564,16303,16626,16550,17265,17641,17721,17432,17315,17336,17140,17153,16800,16899,17037,17102,17121,16459,15961,16079,16313,16574,16512,16603,16432,16485,16122,16135,16135,16651,17205,17443,17817,18027,17960,17325,17237,16676,16560,16563,16050,15704,15225,14800,14379,13382,13580,12869,12616,12346,12313,13531,13180,13074,13607,14104,15046,14680,14907,15579,15122,14924,14986,15167,15434
"15","7","    Fabricated metal product manufacturing","KP3320",22546,23143,23500,23606,23288,24002,23766,23918,24206,24116,24262,24121,23924,24789,24506,24369,24601,24564,24618,24539,24554,24423,24633,24783,24633,24783,24254,24529,24750,24584,24615,24658,24614,24843,25223,25246,25864,24832,25722,26147,25522,25843,25630,25301,25428,24983,24937,25221,24656,24640,24220,23840,26415,23456,23479,23932,22925,23126,22750,22658,22765,22826,22916,23133,23298,23314,23238,23469,23340,23504,23108,22766,22411,23465,23103,22886,22823,22626,23338,22391,22765,23116,22828,23038,22319,22008,23568,22859,22651,22494,22999,22729,22969,22712,23381,23381,23498,23469,23714,23656,23875,23987,23661,24075,24592,24829,25039,25429,25644,25915,25777,25495,25588,25697,25116,25268,25119,24876,24831,25239,25434,25370,25432,26108,26069,25972,25995,26167,25432,25693,25689,25417,26033,25584,25344,25693,25417,25323,25207,24488,24213,23835,23390,22464,21823,21607,21461,21181,20808,20971,21434,21451,21631,21806,21844,21869,21767,22083,22385,22708,22701,22484,22184,22259
"16","8","    Machinery manufacturing","KP3330",23330,24458,25156,24612,24326,25721,25340,25178,26336,25679,26165,27176,25814,26327,26675,25782,26078,26945,25741,25037,25788,25291,25134,25723,24476,24725,24721,24182,24973,25717,24781,25210,26080,25760,25672,26876,26599,24953,26383,27036,26180,26564,26591,26484,26966,26136,25915,26557,26025,25740,25138,24057,24514,23980,23365,24026,22678,23029,22072,22195,21483,22300,22486,21888,23176,23221,22496,23073,23553,22863,23230,23042,22048,22350,23146,22550,23218,23360,22528,22470,23147,22299,22650,23201,21901,21574,23740,23255,22529,23800,23642,23279,24345,24184,23705,25233,24808,24756,24623,24516,24872,24931,24822,25194,25658,25690,26327,26887,26105,25843,26357,26370,26527,26755,26183,26741,26394,26442,26197,26640,24355,25549,26594,27495,27475,27290,27508,27571,27507,26746,26903,27557,26595,27380,27594,26806,26519,26798,26124,25819,26465,24725,24348,24236,21095,20983,20156,19300,19503,19749,19033,18931,19225,18753,19455,20291,19150,20083,20890,20563,21236,21538,20802,21538
"17","9","    Computer and electronic product manufacturing","KP3340",23121,24256,24900,24880,25138,26299,26124,27004,27061,26696,26322,27102,25785,27562,27545,27094,26990,27979,27331,27671,28566,28642,29244,29465,29170,29858,29580,30400,31041,31223,32482,31882,31856,32165,31965,31499,32921,32615,33720,34590,35349,35263,35549,35748,36885,36360,35768,37175,35535,35120,34166,31183,30192,30961,29449,28527,28620,28035,27932,28723,27642,27819,27477,27204,27211,26843,26274,26528,26189,25298,25757,24887,26079,26327,26500,26419,26522,27586,27051,27896,28518,29379,28935,29073,29063,28996,29049,29432,29555,29211,29797,30082,29480,30411,30296,30061,30878,30432,30649,30543,30838,30929,30371,31199,31452,31218,31393,32692,32123,34600,33545,32374,33328,33454,33108,33579,32793,32832,33255,31561,31097,33356,32890,32962,33890,33693,31823,34036,34430,32928,34493,35413,34982,33749,33789,34417,34624,32834,33799,32899,32701,31921,30826,32428,29420,29728,29215,30245,30073,29108,32334,31958,30893,32248,32693,32195,34084,33100,32525,35298,34389,33525,36153,35491
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9546,9660,9698,9832,9768,9859,9856,9830,10189,10417,10366,9988,10235,10517,10285,10221,10188,10111,10284,10242,10362,10245,10318,10547,10289,10475,10444,10489,10590,10342,10622,10905,10456,10569,10649,10584,11373,10806,11075,11180,11012,11248,11054,10945,10967,10916,11236,11143,10991,11207,10885,10646,10677,10441,9742,9903,9194,9302,8967,9313,8975,9096,9357,9288,9495,9207,9060,8997,9000,9080,9243,9020,9107,8837,8892,8837,8802,8824,8984,8574,8982,9045,9219,9162,9005,8893,9050,9145,9044,8958,9272,9156,9217,9054,9321,9241,9376,9346,9090,9086,9175,9259,9288,9405,9541,9614,9605,9375,9562,9418,9387,9389,9611,9379,9325,9355,9135,9171,9136,9335,9365,9491,9727,9848,9554,9472,9410,9631,9560,9579,9552,9552,9629,9456,9415,9391,9588,9495,9640,9370,9306,9111,8402,8369,7828,7885,7542,7701,7438,7472,7559,7348,7318,7479,7605,7567,7462,7562,7760,7833,7767,7829,7915,7959
"19","11","    Transportation equipment manufacturing","KP3360",46348,48492,48984,49145,48273,49419,53970,50231,50563,49906,53437,52336,49365,53990,53031,53714,53320,46996,46385,53554,55131,58415,58669,57345,59304,59920,59017,58627,60138,57639,57283,61162,57680,59023,58337,57920,61594,55586,54423,58191,56422,57171,53555,52527,55588,52897,51215,51493,48503,51913,51947,50023,53957,53284,51834,52004,49726,50683,52787,53782,54351,52978,53838,55249,55470,54515,56458,56569,55442,57085,55944,51709,55839,56816,55740,55414,55102,55925,57619,53538,58421,56971,57673,56105,55313,58252,59558,56176,54974,55297,51946,54698,55241,54475,54497,55048,56000,55360,55665,56704,56376,57037,55566,57072,58363,59720,58961,62355,58152,58669,59001,57336,59066,58113,54648,57310,55920,56966,56773,59750,57613,58315,60254,59872,61943,61365,63503,62524,59363,59214,58299,56854,58970,57842,55402,55215,54258,55171,55097,50292,51051,46773,44361,44906,42960,43573,44288,44418,41893,42413,44567,44174,47991,45732,45148,47662,46707,42777,43991,43946,43023,44953,48002,44802
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",33359,34312,34536,33499,33193,33927,37464,35359,35296,35572,37247,36486,33803,37406,36701,37049,37333,31240,30699,36729,37969,39569,40030,40094,40869,42101,41972,40311,42001,41645,40315,42109,41838,41823,41548,41319,43795,40509,40054,41564,39218,40300,38592,36184,39410,37822,35520,35768,33236,35725,36434,35251,37713,36148,35647,35543,33138,35225,36501,36764,37981,36978,37686,39732,40652,39343,41138,41933,39987,42171,40613,36842,41892,41363,40636,41130,40726,40807,42509,39426,43268,42564,42135,41765,41215,42284,44520,42185,39939,40624,37709,40041,40842,39773,40804,41494,41420,41268,40780,40499,40923,41777,40166,41760,43903,43671,42077,43135,42837,42299,43131,42089,43421,42667,39373,41461,39492,40819,40507,43283,39666,41213,42886,42058,43512,43186,44450,42628,40703,39593,39236,38554,38953,39066,36994,35581,35225,36063,35279,31781,32745,29673,29293,27618,25304,25839,25675,26362,24216,24298,26915,27084,28175,27906,28240,29344,29617,26422,27658,28146,28649,30200,31645,29638
"21","13","      Other transportation equipment manufacturing","KP3OT0",12935,14249,14545,15984,15355,15786,16745,14998,15453,14376,16397,16051,15867,16836,16585,16947,16167,16210,16163,17140,17457,19277,19020,17451,18747,17990,17125,18641,18355,15954,17120,19380,15782,17311,16863,16665,17892,15005,14240,16686,17429,17014,14972,16597,16285,15135,15903,15925,15512,16428,15667,14901,16421,17444,16428,16728,16946,15656,16509,17288,16556,16185,16328,15589,14813,15228,15339,14594,15508,14886,15364,14953,13879,15481,15129,14256,14362,15137,15100,14108,15133,14366,15553,14309,14064,15986,14993,13942,15051,14667,14250,14658,14386,14708,13667,13522,14576,14083,14887,16215,15458,15266,15404,15317,14466,16062,16881,19184,15344,16366,15881,15265,15666,15465,15260,15841,16377,16124,16233,16461,17845,17049,17330,17749,18364,18120,18976,19738,18530,19423,18884,18146,19790,18613,18221,19348,18772,18866,19509,18187,18027,16816,14877,16946,17246,17331,18156,17643,17237,17653,17269,16743,19336,17453,16597,17946,16812,16028,16048,15569,14274,14681,16203,15034
"22","14","    Furniture and related product manufacturing","KP3370",5920,6192,6137,6000,5934,5988,6013,5972,6110,6148,6227,6265,6450,6457,6511,6426,6246,6449,6678,6514,6557,6464,6605,6660,6718,6805,6768,6564,6779,6803,6639,6713,6718,6564,6589,6743,6495,6548,6791,6974,6925,6842,6888,6929,6829,6893,6754,6698,6721,6725,6578,6572,6476,6261,6435,6577,6253,6439,6294,6383,6505,6586,6622,6745,6715,6772,6686,6732,6856,6879,6756,6982,6763,6729,6597,6355,6545,6555,6660,6712,6722,6678,6719,6494,6776,6563,6570,6710,6775,6764,6829,6845,6749,6733,6792,6882,6914,6972,7012,7064,7035,7006,6957,6901,7001,6943,7224,7256,7308,7255,7173,7255,7173,7090,6880,6944,6935,6777,6715,6830,6721,6673,6877,6745,6769,6786,6836,6824,6788,6856,6776,6626,6562,6359,6382,6393,6446,6352,6228,6082,6056,5680,5541,5282,4915,4933,4858,4807,4820,4815,4899,4821,4731,4701,4712,4775,4712,4835,4918,4847,4948,4984,4907,4892
"23","15","    Miscellaneous durable goods manufacturing","KP3390",8942,9171,9206,9090,9196,9522,9263,9077,9384,9374,9507,9420,9514,9659,9853,9514,9449,10086,9555,9780,9732,9642,9762,9894,9996,10029,9959,9950,9926,9699,9727,9820,9917,9996,9990,10057,10161,9618,9867,10509,10306,10457,10652,10473,10674,10661,10528,10668,10435,10699,10400,10389,10450,10214,10333,10377,10177,10116,10030,9911,10572,10587,10611,10922,11205,10795,11278,11260,10893,11163,11277,11090,10971,10974,11195,11106,11045,10747,11191,11175,11093,11365,11452,11414,11023,10980,11305,10985,10820,11214,10795,10825,11048,11273,11658,12071,12028,11810,11909,11871,11892,11996,11779,11798,11875,11822,11916,12147,12052,12042,12138,12107,12367,12493,12540,12366,12560,12439,12341,12244,12025,11883,11843,11805,11646,11699,11674,12044,11805,12073,11942,12033,12023,11960,11979,12170,12375,12031,11993,11856,11759,11623,11611,11101,11176,11241,11088,11113,11038,11075,11547,11213,11150,11263,11157,11292,11511,11608,11486,11586,11483,11367,11633,11523
"24","16","  Nondurable goods manufacturing industries","KP30N0",179343,182418,181155,182144,183430,183701,184776,184895,185322,185591,187849,185370,187134,188052,186606,185890,185078,185248,183777,185328,185385,183721,183502,184688,183583,187868,185078,183629,184110,186436,184858,185640,186345,187000,188849,186539,187799,184473,186752,189229,187379,188329,187141,186872,186507,185348,185279,185502,185278,185522,182617,179650,181934,176115,180755,183633,177569,181559,181472,183945,184197,182341,182954,181489,184798,184591,180514,183207,183833,183032,182324,184269,181962,178953,181200,179091,181498,182016,185494,182680,183672,184020,180883,182025,181374,177748,185269,184412,183871,186175,187317,188501,186522,188622,189120,189582,191809,189827,193730,193267,195484,195619,195748,196596,192168,186911,193859,192911,196229,191718,195838,194634,197196,194502,197496,194187,188410,188082,187455,189095,192030,193316,192321,190200,189703,188416,187655,189253,190858,195420,195743,197128,196785,191628,188779,192181,187107,185906,181736,179687,170956,175959,171057,171798,172314,175443,173504,170759,168714,169346,169466,168269,171860,175390,175733,177927,176126,178506,180502,177256,171073,170944,170914,170689
"25","17","    Food manufacturing","KP3110",39212,39288,38959,39472,39741,39618,40105,39764,39514,39541,40354,40532,42020,41490,41740,41370,40751,40833,40607,41190,40978,41179,41087,40885,40973,41714,41408,40900,41641,41635,41293,41121,41754,41445,41723,41391,41429,40608,41574,42068,41360,41884,41937,41918,42189,41756,41758,41759,43615,42168,42216,41504,41531,41437,41328,41706,41264,41407,42391,42543,42757,42918,42634,42643,42522,41737,41728,43871,42226,43636,43600,43769,43079,43040,43485,43620,43507,43753,44506,44307,44302,43156,42343,42819,42720,41314,41608,42576,41564,41955,43235,44230,43997,44676,44863,43436,44464,44561,43500,44081,44629,44776,44524,44326,44804,43850,44741,44539,44512,44975,44941,45166,45054,44579,44523,44600,44203,44673,44431,44251,44029,44085,43873,43796,44597,44303,44461,45147,44974,45170,45105,45182,44727,43703,44436,45349,44999,44470,44433,43678,44301,44364,44306,44632,44906,45112,45938,45398,44583,44548,45000,44695,45126,45589,45501,45112,45650,46004,46312,45779,45517,45531,45505,45226
