"","Table 7#2#5U# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"11","3","A716RC B         Truck output","A716RC0",7460,7007,6613,6952,7838,8837,8533,9223,9458,9241,10294,10180,8940,8819,8966,7086,9901,10373,10930,11363,13236,14191,12705,15284,16969,17018,17659,17766,18587,17957,19273,20281,15817,15845,17328,18035,20496,23166,25484,24407,29063,29424,32705,33546,31654,35911,37805,41959,44175,39084,35662,32585,28657,23784,25004,28778,28287,31003,29371,30524,31893,33381,30124,28024,31534,37162,42387,50842,53987,55598,56755,61803,60718,66374,70674,70854,63536,68130,67420,65651,65891,69597,71739,72307,71414,71346,73786,81511,88405,82991,86496,82056,76030,78709,75967,67230,58559,67197,72333,71772,76063,80377,83835,95359,97371,99821,103008,115301,123182,120464,128344,131181,133670,135894,140371,147188,142291,149457,153069,156836,164237,164535,179348,192328,186052,189238,178064,213671,216589,215430,228098,226032,226937,221145,206858,200577,188430,205473,203494,215196,217556,230370,244581,242252,237622,245558,252632,258282,262838,251024,277247,266396,261582,269317,288778,246943,259878,251874,268178,238712,250044,254021,260788,231034
"12","4","AB60RC B Final sales of domestic product","AB60RC0",33837,36675,36429,35348,40503,40877,43293,43563,45247,43902,44323,43577,39590,40839,40660,31691,45342,47189,48340,51112,52218,54365,55363,59216,65462,63795,62257,57763,54424,55611,60326,52915,53444,54591,62766,66215,72711,74667,78952,81611,92412,92712,91976,95129,93420,108466,106238,109519,111247,102089,108182,101740,99701,77357,87978,91456,103477,96044,106636,88397,98244,95926,96209,107439,104817,121553,133111,145086,150185,156358,153952,159988,172420,174051,194162,168767,170419,179986,204653,185366,160888,179227,199374,179862,201167,198559,194925,202208,203200,206758,220019,195519,214652,197116,197014,183734,179750,178970,187497,182682,192780,202054,206636,218465,208259,232402,231216,250494,269269,259451,266556,274551,264594,262613,277718,287621,287950,288547,294230,305104,311005,298642,319726,330515,311029,335354,336029,372296,343597,366608,371925,359106,382243,349628,345389,340456,349526,343929,339877,399276,361908,362197,385866,364455,357766,364674,386858,368612,372898,375074,396015,414813,414551,430295,444799,386285,411970,407469,426701,411015,414933,413419,402474,408306
"13","5","AB61RC B   Personal consumption expenditures","AB61RC0",23925,26554,26190,25732,29413,29936,32094,31761,32443,31742,32236,31760,29151,30192,30259,24202,34211,35470,36427,38280,39046,40571,41479,44346,48424,47042,45077,41297,37879,38594,42348,35815,37866,38343,44981,48235,54738,55811,57270,59401,65610,65970,67065,69030,67079,78158,76495,77292,77053,70725,75204,72379,74171,57152,66173,68520,77252,70729,78600,67188,77506,76579,78151,86100,84738,99707,104790,114075,120218,124273,123690,129411,139942,142129,161694,142563,146184,156808,184187,168719,146569,162768,179798,167828,179106,175703,170740,178059,179188,181345,189564,173124,189086,178121,174727,165527,153869,153296,163604,161012,170200,173937,177741,182407,181281,193141,194526,206725,213980,212336,213764,224345,215789,216541,221848,227195,231994,235888,236129,239342,252246,240888,257322,265342,255331,275815,282791,313293,295323,319068,323187,311124,339962,316382,321726,323909,336140,330226,333716,389988,361383,360148,382867,362245,355337,369017,376564,363846,364668,364150,367261,375072,370505,385905,388446,341378,357145,357330,363012,358662,366972,364216,358753,362786
"14","6","AB67RC B     New motor vehicles","AB67RC0",19799,22216,21472,20837,24972,25297,26848,26843,27134,26628,27061,26545,24328,24955,25158,19311,29200,29800,30645,32495,33155,34571,35155,37801,41544,40179,38209,34908,31530,31890,35069,28275,30966,30771,36832,39704,45386,45615,46651,48904,54272,55526,55842,57791,56159,66451,63861,64465,64445,58435,62321,60424,61325,46093,54349,55558,63679,56260,63724,52903,62522,62041,62223,70326,68920,82920,85878,93749,98252,99929,96346,104137,111958,113681,132114,113567,117560,128379,153239,137009,117598,129643,141272,126646,140512,137940,134178,140251,139502,139150,149389,129176,146015,136235,132512,123894,109190,110914,116045,115465,123171,124476,127714,131400,128004,138215,138967,150398,150130,150538,148918,155216,143900,146172,145871,153861,153542,152666,150044,155631,157327,151762,166539,173207,166369,186076,175447,193253,192382,202518,205649,208379,221593,213476,216507,205406,221054,220549,216856,280622,252461,237393,259138,249656,244006,261687,267581,258652,263128,256960,257043,260262,251903,271776,274593,228855,240133,240082,243879,240515,251170,246092,234959,242394
"15","7","A136RC B       Autos","A136RC0",18776,21166,20370,19772,23647,23892,25354,25151,25383,24912,25341,24784,22797,23465,23570,17948,27437,27660,28135,29552,29887,31008,31743,33829,36696,35617,33480,29931,27137,27173,29878,23832,26900,26116,31139,33170,37735,37446,37539,39948,43438,44630,44756,44803,43410,51437,49228,50009,51016,47042,50289,48714,52329,38646,46428,48178,56001,47762,54352,44623,51313,51492,51697,58842,56549,66772,67486,73308,76901,77632,74177,79866,82497,84144,97683,80696,87616,94235,112487,101541,84544,90795,101891,87913,100443,96902,92567,96789,94534,93636,100517,82862,97024,90436,88986,82254,71197,71532,73241,73155,78682,76586,77165,79632,76100,81624,82146,88230,86462,86130,85566,87526,79674,81560,81504,85778,83293,82243,79672,81849,82691,76575,84109,85929,83382,90100,85325,92101,91102,97564,99287,101950,107748,105680,103237,97663,101541,98885,94567,117963,102726,99887,105522,98679,99180,96911,98084,94524,98612,96946,94211,100840,99346,106337,107737,102607,105059,109779,107665,105737,105003,106431,96618,105773
"16","8","GAP50  D         Domestic","GAP500",17325,19528,18637,17926,21497,21729,22946,22716,23086,22284,22687,21867,19959,20358,20476,14203,23535,23445,23770,25742,25736,26750,27132,28590,31194,30009,28400,24030,21520,22477,24159,18496,20419,19734,24217,26874,31534,31139,30302,31860,34853,34097,34651,34718,33335,40587,38013,38289,37738,32088,36229,33910,34830,24649,30191,31015,37167,29494,36317,26094,32337,33912,32228,35687,34575,43395,43217,44909,49609,49140,47289,49305,52502,51561,63279,44586,54838,59080,73282,60128,49752,53248,60400,49348,61604,57721,54010,58226,59797,57511,64885,50179,61952,56497,56874,50713,45460,44235,45510,46947,49866,47474,49919,51010,49867,53036,54256,60349,59031,58096,56677,60512,53493,54859,56549,60787,59782,58280,53864,55550,54366,50262,55058,54902,53345,58826,54806,59767,59088,61870,62970,61332,68889,66759,64430,58282,64653,59795,56832,76256,63064,61411,65798,59728,59003,59882,59976,57607,58847,55882,55311,57641,58227,62957,62893,58603,62843,62914,60871,57333,57718,58727,50990,58863
"17","9","GAP53  D         Foreign","GAP530",1451,1638,1733,1846,2150,2163,2408,2435,2297,2628,2654,2917,2838,3107,3094,3745,3902,4215,4365,3810,4151,4258,4611,5240,5502,5608,5080,5902,5617,4696,5719,5336,6481,6381,6922,6295,6201,6306,7237,8087,8585,10533,10105,10085,10075,10850,11215,11720,13278,14954,14060,14804,17499,13997,16237,17163,18834,18268,18035,18529,18976,17581,19469,23155,21974,23378,24270,28399,27291,28492,26887,30561,29995,32583,34405,36110,32778,35155,39205,41413,34792,37548,41491,38565,38839,39181,38557,38563,34738,36124,35631,32683,35072,33939,32112,31541,25738,27297,27730,26208,28816,29112,27246,28622,26233,28587,27890,27881,27431,28034,28890,27014,26181,26701,24955,24991,23511,23962,25808,26299,28325,26313,29051,31027,30037,31274,30520,32333,32015,35693,36317,40619,38859,38921,38807,39380,36888,39090,37735,41707,39662,38475,39724,38951,40178,37029,38108,36918,39765,41065,38900,43199,41119,43380,44844,44004,42216,46865,46795,48404,47284,47704,45628,46910
"18","10","B704RC B       Light trucks (including utility vehicles)","B704RC0",1023,1050,1102,1065,1325,1405,1494,1692,1751,1716,1720,1761,1531,1490,1588,1363,1763,2140,2510,2943,3268,3563,3412,3972,4848,4562,4729,4977,4393,4717,5191,4443,4066,4655,5693,6534,7651,8169,9112,8956,10834,10896,11086,12988,12749,15014,14633,14456,13429,11393,12032,11710,8996,7447,7921,7380,7678,8498,9372,8280,11209,10549,10526,11484,12371,16148,18392,20441,21351,22297,22169,24271,29461,29537,34431,32871,29944,34144,40752,35468,33054,38848,39381,38733,40069,41038,41611,43462,44968,45514,48872,46314,48991,45799,43526,41640,37993,39382,42804,42310,44489,47890,50549,51768,51904,56591,56821,62168,63668,64408,63352,67690,64226,64612,64367,68083,70249,70423,70372,73782,74636,75187,82430,87278,82987,95976,90122,101152,101280,104954,106362,106429,113845,107796,113270,107743,119513,121664,122289,162659,149735,137506,153616,150977,144826,164776,169497,164128,164516,160014,162832,159422,152557,165439,166856,126248,135074,130303,136214,134778,146167,139661,138341,136621
"19","11","W240RC B     Net purchases of used autos and used light trucks","W240RC0",4126,4338,4718,4895,4441,4639,5246,4918,5309,5114,5175,5215,4823,5237,5101,4891,5011,5670,5782,5785,5891,6000,6324,6545,6880,6863,6868,6389,6349,6704,7279,7540,6900,7572,8149,8531,9352,10196,10619,10497,11338,10444,11223,11239,10920,11707,12634,12827,12608,12290,12883,11955,12846,11059,11824,12962,13573,14469,14876,14285,14984,14538,15928,15774,15818,16787,18912,20326,21966,24344,27344,25274,27984,28448,29580,28996,28624,28429,30948,31710,28971,33125,38526,41182,38594,37763,36562,37808,39686,42195,40175,43948,43071,41886,42215,41633,44679,42382,47559,45547,47029,49461,50027,51007,53277,54926,55559,56327,63850,61798,64846,69129,71889,70369,75977,73334,78452,83222,86085,83711,94919,89126,90783,92135,88962,89739,107344,120040,102941,116550,117538,102745,118369,102906,105219,118503,115086,109677,116860,109366,108922,122755,123729,112589,111331,107330,108983,105194,101540,107190,110218,114810,118602,114129,113853,112523,117012,117248,119133,118147,115802,118124,123794,120392
"20","12","A137RC B       Used autos","A137RC0",3957,4149,4518,4716,4246,4463,5084,4747,5134,4937,4986,5007,4626,5028,4875,4707,4792,5428,5528,5516,5608,5741,6065,6253,6535,6518,6523,6044,6000,6355,6930,7191,6556,7228,7805,8187,8946,9726,10085,9899,10707,9781,10528,10512,10171,10827,11709,11805,11615,11376,11726,10583,11587,9848,10394,11562,12126,12889,13184,12844,13066,12782,14270,14086,14298,14628,16286,17292,18746,20998,24090,21822,23931,24473,24924,24368,23836,22614,23602,25075,22915,25909,31077,33683,30319,29160,27749,28531,29901,32213,29013,32861,30064,29135,29309,28744,31946,29142,33021,31400,32784,34551,34680,35561,37654,38256,39056,38498,46364,44171,47261,49590,51307,48912,53296,48505,51039,55232,57165,53229,62395,55161,54330,56345,53693,52573,63716,68563,57696,64873,65547,55585,65709,54984,55393,66515,61421,59822,61732,55633,57148,63603,63272,57397,58195,54324,54439,52435,50029,54250,55449,57468,58795,57398,57172,56847,57906,57887,58890,57495,56161,56420,58268,55897
"21","13","GAP56  D         Margin","GAP560",2308,2415,2536,2617,2602,2644,2735,2891,2942,2802,2804,2880,2648,2758,2823,2659,3061,3394,3400,3509,3582,3885,3801,3949,4098,3921,3820,3754,3290,3649,4095,3777,3872,3992,4277,4811,5301,5420,5676,5983,6020,5783,5791,5826,5613,6425,6546,6324,6170,5778,5453,4963,4988,4461,4816,5434,6053,6260,6607,6465,6793,6318,6734,7231,7650,8542,8980,9081,8716,9161,9219,8817,8753,9359,9724,9440,9474,9878,11411,11337,11193,13358,14824,14273,13075,12507,12927,13215,14787,14423,14154,15176,13947,12730,12909,12355,13558,12774,13138,13254,13205,13674,14150,14789,14853,15816,16815,16969,18221,18610,19565,22261,21685,22019,21501,20596,22538,23294,23676,23457,24784,23542,24890,24991,22849,22840,23753,24966,23251,25242,25627,23649,26103,23838,24088,25514,25934,27402,26484,26011,27251,26639,24739,24883,24957,22900,24488,24716,22906,27095,27595,27400,28776,28116,26883,27593,28531,27787,28953,27921,25901,27039,29080,26669
"22","14","GAP59  D         Net transactions","GAP590",1932,2032,2272,2392,1940,2129,2651,2160,2499,2457,2494,2442,2294,2600,2370,2369,2051,2370,2452,2334,2353,2193,2589,2630,2758,2934,3029,2623,3055,3079,3210,3801,3076,3638,3914,3760,4036,4722,4825,4345,5125,4458,5184,5133,5053,4929,5717,6065,6044,6217,6912,6287,7283,6095,6310,6888,6850,7429,7400,7230,7149,7366,8433,7776,7548,7000,8196,9103,10917,12750,15769,13904,16074,16028,16093,15820,15253,13647,13085,14639,12620,13453,17152,20307,18310,17720,15888,16382,16347,19024,16093,18918,17518,17806,17801,17790,19956,17936,21450,19714,21314,22613,22265,22508,24535,24176,23977,23264,29878,27296,29431,29065,31357,28628,33529,29643,30236,33672,35224,31507,39346,33354,31175,33089,32580,31468,41699,45332,36180,41366,41655,33671,41341,32882,33040,42736,37222,34155,36983,31356,31632,38699,40268,34249,34973,33159,31687,29454,28858,28890,29589,31804,31754,31017,32025,30989,31110,31835,31672,31309,31995,31117,30923,30963
"23","15","GAP62  D         Employee reimbursement","GAP620",-283,-298,-290,-293,-296,-310,-302,-304,-307,-322,-312,-315,-316,-330,-318,-320,-321,-336,-324,-327,-326,-336,-325,-325,-321,-336,-326,-333,-345,-373,-375,-387,-392,-402,-386,-384,-391,-416,-416,-429,-438,-460,-447,-447,-495,-527,-554,-584,-599,-619,-639,-667,-684,-708,-732,-760,-777,-799,-822,-850,-876,-903,-896,-921,-900,-914,-891,-891,-886,-913,-897,-899,-896,-914,-893,-893,-891,-911,-894,-900,-898,-902,-899,-898,-1066,-1066,-1066,-1066,-1233,-1233,-1233,-1233,-1401,-1401,-1401,-1401,-1568,-1568,-1568,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"24","16","W241RC B       Used light trucks (including utility vehicles)","W241RC0",169,189,200,179,195,176,162,171,175,177,189,208,197,209,226,184,219,242,254,269,283,259,259,292,345,345,345,345,349,349,349,349,344,344,344,344,406,470,534,598,631,663,695,727,749,880,925,1022,993,914,1157,1372,1259,1211,1430,1400,1447,1580,1692,1441,1918,1756,1658,1688,1520,2159,2626,3034,3220,3346,3254,3452,4053,3975,4656,4628,4788,5815,7346,6635,6056,7216,7449,7499,8275,8603,8813,9277,9785,9982,11162,11087,13007,12751,12906,12889,12733,13240,14538,14147,14245,14910,15347,15446,15623,16670,16503,17829,17486,17627,17585,19539,20582,21457,22681,24829,27413,27990,28920,30482,32524,33965,36453,35790,35269,37166,43628,51477,45245,51677,51991,47160,52660,47922,49826,51988,53665,49855,55128,53733,51774,59152,60457,55192,53136,53006,54544,52759,51511,52940,54769,57342,59807,56731,56681,55676,59106,59361,60243,60652,59641,61704,65526,64495
"25","17","W491RC D         Margin","W491RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,1374,1605,1805,1883,1941,1881,1991,2326,2251,2567,2449,2341,2742,3378,3027,2870,3439,3544,3531,3702,3805,3898,4152,4659,4794,5295,5088,5500,5168,5061,4922,4913,4917,5098,4577,3804,3498,3255,3171,3779,4374,4722,5546,5827,6231,6456,7291,7497,7734,8067,8706,9452,9554,9812,10314,10526,11298,12483,12461,11370,11834,12436,13943,13023,14458,14542,13568,14933,13714,14301,14424,14738,15493,15112,15572,16817,16817,15826,16288,16332,15414,17229,17689,16545,18761,19442,19299,20791,19496,18224,18321,19615,19161,20209,20374,19072,19795,21979,20238
