"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","    Motor vehicles and parts","A165RC1",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.3,2.8,3.5,0.7,0.8,0.8,1,4.1,6.6,8,10.6,13.7,12.2,11.4,13.9,12.8,17.7,15.8,17.6,15.1,18.9,19.7,17.8,21.5,24.4,26,29.9,30.3,30,36.1,38.4,35.5,44.5,51.1,56.1,49.5,54.8,71.3,83.5,93.1,93.5,87,95.8,102.9,126.5,152.1,175.9,194.1,195,209.4,215.3,212.8,193.5,213,234,260.5,266.7,284.9,305.1,336.1,370.8,386.5,407.9,429.3,439.1,441.8
"12","5","    Furniture and household equipment","A166RC1",4.7,3.8,3,2.1,1.9,2.2,2.5,3.1,3.5,3.1,3.4,3.8,4.8,4.6,3.9,3.8,4.5,8.4,10.6,11.5,11.3,13.7,14.1,14,14.7,14.8,16.4,17.3,17.2,16.9,18.1,18,18.3,19.3,20.7,23.2,25.1,28.2,30,32.9,34.7,35.7,37.8,42.4,47.9,51.5,54.5,60.2,67.2,74.3,82.7,86.7,92.1,93.4,106.6,119,128.5,143,153.4,163.7,171.6,171.6,171.7,178.7,193.4,213.4,228.6,242.9,256.2,273.1,293.9,312.9,312.1,323.1,330.3,354.1
"13","6","    Other","A167RC1",1.2,1.1,0.9,0.6,0.5,0.6,0.7,0.8,1,0.9,1,1.1,1.3,1.6,1.9,2.1,2.5,3.2,3.3,3.4,3.2,3.3,3.6,3.9,4.1,4.3,4.6,5,5.2,5.4,5.7,5.7,5.7,6.1,6.6,7.5,8.2,9.8,10.4,11.8,12.9,13.7,14.6,16.9,19.5,21.3,24.2,27.4,30.5,34.3,38.2,40.5,43.4,43.9,47.7,55.4,59,66,73.2,80.5,84.9,89.8,88.7,91.9,99.3,108.3,116.3,124.8,131.4,141,153,163.9,163.7,171.6,180.7,191.9
"14","7","  Nondurable goods","B004RC1",37.7,34,29,22.7,22.3,26.7,29.3,32.9,35.2,34,35.1,37,42.9,50.8,58.6,64.3,71.9,82.7,90.9,96.6,94.9,98.2,109.2,114.7,117.8,119.7,124.7,130.8,137.1,141.7,148.5,152.8,156.6,162.8,168.2,178.6,191.5,208.7,217.1,235.7,253.1,272,285.5,308,343.1,384.5,420.7,458.3,497.1,550.2,624.5,696.1,758.9,787.6,831.2,884.6,928.7,958.4,1015.3,1083.5,1166.7,1249.9,1284.8,1330.5,1379.4,1437.2,1485.1,1555.5,1619,1683.6,1804.8,1947.2,2017.1,2079.6,2189,2368.3
"15","8","    Food","A168RC1",19.5,18,14.7,11.4,11.5,14.2,16.2,18.4,19.9,18.9,19.1,20.2,23.4,28.4,33.2,36.7,40.6,47.4,52.3,54.2,52.5,53.9,60.7,64.1,65.4,66.8,68.6,71.4,75.1,77.9,80.6,82.3,84,86.1,88.2,93.5,100.7,109.3,112.4,122.2,131.5,143.8,149.7,161.4,179.6,201.8,223.2,242.5,262.6,289.6,324.7,356,383.5,403.4,423.8,447.4,467.6,492,515.2,553.5,591.6,636.8,657.5,669.3,691.9,720.6,740.9,768.7,796.2,829.8,873.1,925.2,967.9,1001.9,1048.5,1134.7
"16","9","    Clothing and shoes","A169RC1",9.4,8,6.9,5.1,4.6,5.7,6,6.6,6.8,6.8,7.1,7.5,8.8,11,13.4,14.6,16.5,18.2,18.8,20.1,19.3,19.6,21.3,22,22.2,22.3,23.3,24.4,24.5,24.9,26.4,27,27.6,29,29.8,32.4,34.1,37.4,39.2,43.2,46.5,47.8,51.7,56.4,62.5,66,70.8,76.6,84.1,94.3,101.2,107.3,117.2,120.5,130.9,142.5,152.1,163.1,174.4,185.5,198.9,204.1,208.7,221.9,229.9,238.1,241.7,250.2,258.1,270.9,286.3,297.7,297.7,303.5,310.8,329
"17","10","    Gasoline, fuel oil, and other energy goods","A173RC1",3.4,3.3,2.9,2.6,2.6,2.9,3,3.4,3.6,3.5,3.6,3.8,4.3,3.9,3.3,3.4,4,5.9,7,8.2,8.4,8.9,9.6,10.2,10.9,11.4,12.4,13.3,14.3,14.8,15.3,15.8,15.8,16.4,17,17.7,19.2,20.7,21.9,23.3,25,26.3,27.7,29.5,34.4,44,48.1,53.2,58,61.6,80.6,102.1,113.7,108.6,106.7,108.4,110.8,91.4,96.6,100,110.4,124.1,120.8,124.6,126.6,129,133.3,144.8,147.7,133.9,149.8,191.5,187.1,178.8,209.7,249.9
"18","11","    Other","A172RC1",5.4,4.7,4.4,3.7,3.5,3.9,4.1,4.5,4.9,4.9,5.3,5.6,6.4,7.5,8.7,9.6,10.8,11.3,12.8,14.1,14.7,15.8,17.6,18.4,19.4,19.3,20.4,21.7,23.2,24.2,26.1,27.7,29.2,31.4,33.1,35,37.6,41.4,43.5,47,50.2,54.1,56.4,60.8,66.6,72.7,78.5,86,92.4,104.7,118,130.6,144.5,155.2,169.8,186.3,198.2,211.9,229.1,244.5,265.7,285,297.8,314.7,331.1,349.5,369.2,391.9,416.9,449,495.6,532.9,564.4,595.5,620,654.8
"19","12","  Services","B005RC1",30.5,29,26.2,22.3,20.2,20.5,21.5,23,24.7,24.6,25.4,26.5,28.5,31.4,34.8,37.6,40.1,45.8,50.7,55.6,58.6,63.3,69.5,75.4,82.5,88.4,95.2,102.8,109.8,117,126.5,135.6,143.8,153.6,162.9,176.1,189,203.8,220.3,241.6,266.1,291.5,319.5,352.2,385.8,426.6,480.2,534.7,600.2,676.6,753.3,846.9,950.8,1049.4,1178.6,1292.2,1428.1,1538.3,1663.3,1816.5,1960,2115.9,2247.4,2421.2,2571.8,2723.9,2879.1,3048.7,3235.8,3445.7,3660,3928.8,4154.3,4347.2,4570.8,4858.2
"20","13","    Housing","A174RC1",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.8,86.9,94.1,102.8,112.6,123.3,134.8,147.7,162.2,180.2,202.4,227.3,256.2,289.7,315.2,341,374.5,412.7,448.4,483.7,521.5,557.4,597.9,631.1,658.5,683.9,726.1,764.4,800.1,842.6,894.6,948.4,1006.5,1073.7,1123.1,1158,1221.1
"21","14","    Household operation","A186RC1",4,3.9,3.5,3.1,2.8,3,3.2,3.4,3.7,3.6,3.8,4,4.3,4.8,5.2,5.9,6.4,6.8,7.5,8.1,8.6,9.5,10.4,11.2,12.1,12.7,14.2,15.4,16.4,17.5,18.7,20.3,21.2,22.4,23.6,25,26.5,28.1,30,32.3,35,37.8,41.1,45.4,49.9,55.8,64,72.5,81.8,91.2,100.3,113.7,126.8,142.5,157,169.4,181.8,187.7,195.4,207.3,221.1,227.3,238.6,250.7,269.9,286.2,298.7,318.5,337,350.5,364.8,390.1,409,407.7,428.8,446.2
"22","15","      Electricity and gas","A175RC1",1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.9,3.3,3.7,4.1,4.5,5,5.5,6.1,6.5,7.1,7.6,8.3,8.8,9.4,9.9,10.4,10.9,11.5,12.2,13,14.1,15.3,16.9,18.8,20.4,24,29.2,33.2,38.5,43,47.8,57.5,64.8,74.2,82.4,86.5,90.8,89.2,90.9,96.3,101,101,107.4,108.9,118.2,120.7,122.2,129.4,131.3,129.8,130.6,143.3,156.7,152.5,166.6,175.9
"23","16","      Other household operation","A176RC1",2.9,2.7,2.3,1.9,1.7,1.9,2,2.2,2.4,2.2,2.4,2.6,2.7,3.2,3.5,4.1,4.5,4.7,5.1,5.5,5.6,6.2,6.7,7.1,7.6,7.7,8.7,9.3,9.9,10.4,11.1,12,12.4,13,13.8,14.6,15.6,16.6,17.8,19.2,21,22.4,24.2,26.7,29.5,31.8,34.8,39.3,43.3,48.2,52.5,56.2,62,68.3,74.6,82.9,91.1,98.5,104.5,111,120,126.2,131.2,141.9,151.7,165.5,176.5,189.1,205.6,220.7,234.1,246.8,252.3,255.2,262.2,270.2
"24","17","    Transportation","A177RC1",2.6,2.2,1.9,1.6,1.5,1.6,1.7,1.9,2,1.9,2,2.1,2.4,2.8,3.4,3.7,4.1,4.9,5.2,5.7,5.8,6,7,7.4,8,8.2,8.6,9.2,9.7,9.9,10.6,11.2,11.6,12.3,12.9,13.8,14.7,15.9,17.4,19.3,21.6,24,26.8,29.6,31.6,34.1,37.9,42.5,48.7,53.4,59.9,65.2,70.3,72.9,81.1,93.2,104.5,111.1,120.9,133.4,142,147.7,145.3,157.7,172.7,190.6,207.7,226.5,245.7,259.5,276.4,291.3,292.8,288.4,296.8,306.9
"25","18","    Medical care","A494RC1",2.4,2.4,2.2,1.8,1.6,1.8,1.9,2.1,2.2,2.2,2.3,2.4,2.6,3,3.2,3.7,3.9,4.9,5.7,6.5,6.7,7.2,7.7,8.5,9.5,10.5,11.2,12.1,13.4,14.8,16.4,17.7,19,21.2,23,26.4,28.6,31.5,34.7,40.1,45.8,51.7,58.4,65.6,73.3,82.3,95.6,109.1,125.3,143.1,161,184.4,216.7,243.3,274.3,303.2,331.5,357.5,392.2,442.8,492.5,556,608.9,672.2,715.1,752.9,797.9,833.5,873,921.4,961.1,1026.8,1113.8,1206.2,1299.4,1401.1
"26","19","    Recreation","A490RC1",1.7,1.7,1.6,1.2,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.7,1.9,2.1,2.4,2.7,3,3.7,3.8,3.8,3.8,3.9,4,4.3,4.5,4.8,5.2,5.6,5.6,5.8,6.4,6.9,7.4,8,8.5,9.1,9.6,10.4,11.1,12.5,13.8,15.1,16.3,17.6,19.7,22.5,25.4,28.4,31.4,34.7,38.8,43.6,50.6,56.8,63.6,69.7,77.7,83.7,90,102.1,114.3,125.9,132.9,146.6,160.4,171.4,187.9,202.5,215.1,229.3,248.6,268.3,284.1,299.1,318,338.8
"27","20","    Other","A178RC1",8,7.6,6.7,5.6,5.1,5.2,5.6,6,6.5,6.3,6.3,6.5,7,7.5,8.7,9.4,9.9,11.3,12.5,13.6,14,15,16,17.1,18.5,20,21.7,23.8,25.4,27,29.4,31.3,33.3,35,36.9,40.4,44.2,48.4,53,57.7,62.9,68.8,74,81.4,88,97.1,109.7,120.1,132.8,151.8,166.2,183.8,196.7,218.8,261.6,282.1,319.8,349.9,381.2,409.4,432.8,461,490.6,535.5,569.8,596.7,622.5,667.6,722.4,790.5,860.7,945.9,980.7,1022.7,1069.8,1144.1
"28","21","Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.4,1097.1,1144,1240.3,1389.8,1509.1,1625.7,1735.5,1614.3,1582.1,1670.4,1928.1
"29","22","  Fixed investment","A007RC1",14.9,11,7,3.6,3.1,4.3,5.6,7.5,9.5,7.7,9.1,11.2,13.8,8.5,6.9,8.7,12.3,25.1,35.5,42.4,39.6,48.3,50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.3,1112.9,1209.5,1317.8,1438.4,1558.8,1679,1646.1,1570.2,1654.9,1872.6
"30","23","    Nonresidential","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.7,1052.6,1133.9,1232.1,1176.8,1066.3,1082.4,1198.8
"31","24","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.2,282.2,313.2,322.6,279.2,276.9,298.4
"32","25","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,777.3,851.7,918.9,854.2,787.1,805.6,900.4
"33","26","        Information processing equipment and software","A679RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.9,5.3,5.7,6.5,7.4,8.5,10.7,11.3,11.9,14.6,16.6,17.3,19.5,23.1,27,28.5,32.7,39.2,48.7,58.5,68.8,81.5,88.3,100.1,121.5,130.3,136.8,141.2,154.9,172.6,177.2,182.9,199.9,217.6,235.2,263,290.1,330.3,363.4,411,467.6,437,399.4,405.7,447
"34","27","          Computers and peripheral equipment","B935RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,44,47.9,52.4,66.1,72.8,81.4,87.2,96,101.4,85.4,77.2,77.6,91.6
"35","28","          Software \1\","B985RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,124,152.6,176.2,174.7,167.6,170,178.5
"36","29","          Other","A937RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.6,4.8,5.1,5.4,5.9,6.7,8,8.2,8.7,10.4,11.6,12.2,13.2,16.3,19.2,20.2,23.1,28,34.8,40.2,46.4,52.5,55.3,59.8,69.6,72.9,77.7,76.4,82.8,87.6,90.9,91.5,98.1,105.4,114.6,122.3,131.9,141.4,152.2,162.4,190,177,154.5,158.2,176.9
"37","30","        Industrial equipment","A680RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,93,102.2,113.6,129,136.5,140.4,146.4,147,159.2,146.7,135.7,137.1,145.3
"38","31","        Transportation equipment","A681RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30,39.3,47.3,53.6,48.4,50.6,46.8,53.5,64.4,69,70.5,68.1,72.9,67.9,70,71.5,74.7,89.4,107.7,116.1,123.2,135.5,144,167.6,160.8,141.7,126.3,127.9,151.9
"39","32","        Other equipment","A862RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.1,5.4,4.7,5.1,5.5,5.6,5.6,5.3,6.3,6.7,6.7,6.9,7.6,7.1,7,7.5,8.8,9.9,11,12.7,12.4,13,14.4,15.6,16.3,19,22.6,24.3,27.4,29.6,36.3,43.2,47.9,48.3,55.2,51.2,50.4,58.1,59.9,60.7,63.9,69,80.2,80.2,70.8,72,80.2,88.1,94.7,101,112.1,123.5,126,131.2,128.8,125.7,134.8,156.2
"40","33","    Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,301.9,302.8,334.1,349.1,385.8,424.9,446.9,469.3,503.9,572.5,673.8
"41","34","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.1,30.8,72,70.8,66.9,56.5,-31.7,11.9,15.4,55.4
"42","35","    Farm","B018RC1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1,1.4,0.7,0.2,-0.6,-1,0.1,2,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0,2.4,-1.3,6.2,-6.2,12.1,-11.1,8.6,3.2,1.4,-2.7,-1.3,0,-2.5,0.2,3.2
"43","36","    Nonfarm","A015RC1",1.7,0,-1.6,-2.5,-1.3,0.2,0.4,2,1.7,-1,0.3,1.9,3.9,0.6,-0.5,-0.6,-0.6,6.2,1.2,3,-2.1,5.9,8.9,2.1,1.2,-2.1,5.6,4.9,0.7,-2.3,5.5,2.7,2.1,5.5,5.1,6,8.4,14.1,9,7.7,9.2,2.8,6.6,8.8,14.4,16.8,-9.6,18,17.8,24.4,14.4,-0.2,21,-20.7,9.6,59.7,16.1,8,33.6,30.4,27.7,12.2,0.9,10.1,27,51.8,42.2,22.1,68.8,69.4,69.6,57.8,-31.7,14.4,15.2,52.2
"44","37","Net exports of goods and services","A019RC1",0.4,0.3,0,0,0.1,0.3,-0.2,-0.1,0.1,1,0.8,1.5,1,-0.3,-2.2,-2,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.7,-145.2,-110.4,-88.2,-78,-27.5,-33.2,-65,-93.6,-91.4,-96.2,-101.6,-159.9,-260.5,-379.5,-367,-424.4,-500.9,-624
