"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","    Manufacturing","A400RC1",37.3,27.5,35.1,42.2,47.2,41.4,55.2,71.4,79.4,90.5,89.8,78.3,91.1,67.1,76.2,91.8,84.3,57.9,87.5
"22","15","      Durable goods","A406RC1",19.2,10.5,16.6,22.9,25.2,15.3,20.6,31.4,38,45.4,37.2,18.9,19.5,5,19.5,39.3,29.7,26.3,41.3
"23","16","        Primary metal industries","A407RC1",1.4,0.8,0.8,1.7,2.3,5,2.8,2.1,1.1,3.6,3.6,2.7,3.1,-4.7,-4.9,-0.4,-0.9,0.9,2.6
"24","17","        Fabricated metal products","A408RC1",2,1.1,1.5,2.2,2.7,1.8,3.3,3.9,4.5,5,5.3,4.4,4.5,2.7,3.1,4.7,4.9,5.2,5.5
"25","18","        Machinery,except electrical","A409RC1",3.8,3.1,3.1,4.6,4.9,3.3,5.1,6.9,8.6,10.7,9.5,8,9,3.1,4,6,5.7,0.8,5.6
"26","19","        Electric and electronic equipment","A410RC1",2.3,1.3,2,2.9,3.2,0.6,2.6,3.8,5.9,6.7,5.6,5.2,5.2,1.7,3.5,5.1,2.6,2.7,6.1
"27","20","        Motor vehicles and equipment","A411RC1",4.8,1.3,5.2,6,5.9,0.7,2.3,7.4,9.4,9,4.7,-4.3,0.3,0,5.3,9.2,7.4,4.6,3.8
"28","21","        Other","A412RC1",4.9,2.9,4.1,5.6,6.2,4,4.7,7.3,8.5,10.5,8.5,2.7,-2.6,2.1,8.4,14.6,10.1,12.1,17.7
"29","22","      Nondurable goods","A401RC1",18.1,17,18.5,19.3,22.1,26.1,34.5,39.9,41.4,45.1,52.6,59.5,71.6,62.1,56.7,52.6,54.6,31.7,46.2
"30","23","        Food and kindred products","A402RC1",3.1,3.2,3.6,3,2.5,2.6,8.6,7.1,6.9,6.2,5.8,6.1,9.2,7.3,6.3,6.8,8.8,7.5,11.2
"31","24","        Chemicals and allied products","A403RC1",4.6,3.9,4.5,5.3,6.2,5.3,6.4,8.2,7.8,8.3,7.2,5.7,8,5.1,7.4,8.2,6.6,7.5,14.6
"32","25","        Petroleum and coal products","A404RC1",3.4,3.7,3.8,3.4,5.4,10.9,10.1,13.5,13.1,15.8,24.8,34.7,40,34.7,23.9,17.6,18.7,-4.7,-1.4
"33","26","        Other","A405RC1",7,6.1,6.6,7.7,7.9,7.3,9.5,11.1,13.6,14.8,14.7,13.1,14.5,15,19.1,20.1,20.5,21.3,21.9
"34","27","    Transportation and public utilities","A416RC1",10.7,8.3,8.9,9.5,9.1,7.6,11,15.3,18.6,21.8,17,18.4,20.3,23.1,29.5,40.1,33.8,35.8,42.4
"35","28","      Transportation","A417RC1",0.7,-0.1,0.7,1.5,1.3,2,1,3,3.7,4.1,3.5,2.7,1.7,-0.1,3.2,6.1,1.8,3.4,3.7
"36","29","      Communication","A418RC1",5.4,4.8,4.1,3.9,4.3,4.1,4.3,5.7,6.6,8.6,7.5,7.7,8.6,8.6,9.9,12.8,14.2,17.6,19.6
"37","30","      Electric, gas, and sanitary services","A419RC1",4.6,3.6,4.1,4,3.4,1.5,5.7,6.5,8.3,9.1,6,8,10,14.6,16.4,21.3,17.8,14.7,19.2
"38","31","    Wholesale trade","A414RC1",4.9,4.4,5.2,6.9,8.2,11.5,13.8,12.9,15.6,15.6,18.8,17.2,22.4,19.6,21,29.5,23.9,24.1,19
"39","32","    Retail trade","A415RC1",6.4,6,7.2,7.4,6.7,2.3,8.2,10.5,12.4,12.3,9.9,6.2,9.9,13.5,18.8,21.1,22.2,23.5,24
"40","33","    Other","A420RC1",6.1,5.8,6.4,7,8.8,9.1,12,14,17.8,19.8,21.6,21.8,16.7,9.3,10.4,11.1,9.2,15.5,24.4
"41","34","Rest of the world","B394RC1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
