"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"11","3","Mining, utilities, and construction","N238RD3",NA,NA,NA,65.381,66.91,63.855,64.21,65.906,62.629,63.027,62.114,61.974,61.546,63.834,66.353,67.394,67.31,69.978,73.047,77.87,82.414,76.052,71.004,69.676,70.285,73.163,73.205,76.256,82.168,81.325,80.399,80.297,83.958,86.947,88.43,92.112,92.757,94.725,100.425,111.316,104.512,100.633,100.556,100.48,102.291,104.886,102.766,105.908,114.222,127.396,128.221,113.753,107.479,103.841,104.852,110.114,115.324,113.092,113.972
"12","4","Manufacturing","N376RD3",NA,NA,NA,90.413,89.589,88.979,88.442,88.156,86.997,86.548,85.941,85.152,84.887,85.238,86.264,87.357,88.814,88.947,89.579,89.583,90.111,89.443,88.36,87.183,87.391,87.602,88.147,88.661,89.674,89.366,89.351,90.963,92.66,94.668,97.126,97.838,99.147,98.9,101.222,102.399,103.767,106.049,106.945,107.399,108.42,109.465,110.5,115.279,120.105,126.092,124.682,112.725,110.309,110.52,112.151,115.838,115.392,113.819,115.274
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,97.011,96.424,95.461,94.665,94.197,92.942,92.384,91.62,90.672,90.552,90.789,91.469,92.31,93.54,93.126,93.692,92.949,93.399,92.647,92.211,91.788,91.798,91.859,91.511,91.754,91.743,91.759,91.473,92.274,94.309,96.216,98.599,99.122,99.896,99.116,100.422,101.252,103.394,105.919,106.933,107.235,107.928,109.099,108.201,108.846,113.035,118.336,118.422,110.583,108.68,108.457,109.695,110.578,112.134,112.626,112.387
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,81.225,80.079,79.952,79.77,79.736,78.708,78.413,78.03,77.467,76.99,77.511,79.041,80.503,82.294,83.218,83.95,85.045,85.685,85.136,83.112,80.862,81.35,81.773,83.548,84.435,86.852,86.106,86.459,89.171,90.408,92.551,95.113,96.081,98.127,98.615,102.361,104.029,104.299,106.233,106.959,107.625,109.126,109.999,113.819,124.59,130.302,137.244,133.702,115.732,112.606,113.476,115.691,123.179,120.103,115.761,119.552
"15","7","Wholesale trade","N379RD3",NA,NA,NA,95.673,95.212,94.184,93.738,93.104,91.982,90.971,89.684,89.483,89.089,89.29,89.902,90.55,91.432,91.44,91.322,91.624,91.043,90.708,90.228,89.131,89.362,89.778,91.176,91.111,92.116,91.45,92.126,93.682,95.279,96.152,97.046,98.005,99.262,99.145,101.035,101.896,102.589,104.644,104.96,106.549,108.312,108.944,110.272,114.883,118.989,122.369,121.526,112.514,111.15,112.054,113.419,116.497,117.682,116.168,119.382
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,104.721,104.01,103.128,102.354,101.504,100.274,99.128,97.923,97.181,96.619,96.36,96.33,96.631,96.606,96.441,96.096,95.619,94.802,94.611,94.183,93.608,93.527,93.687,93.783,93.713,93.826,93.782,94.071,94.844,96.361,97.324,98.608,99.511,100.038,99.534,99.981,100.911,101.968,103.585,104.14,104.684,105.649,106.171,106.253,107.18,109.446,112.396,112.477,108.685,107.648,107.627,108.86,110.08,111.27,111.513,111.675
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,82.99,82.865,81.647,81.646,81.305,80.333,79.508,78.104,78.664,78.501,79.36,80.898,82.045,84.251,84.511,84.729,86.19,85.945,85.392,84.831,83.023,83.665,84.417,87.55,87.493,89.7,88.187,89.386,91.994,93.702,94.451,94.791,95.836,98.148,98.594,102.601,103.361,103.515,106.215,106.172,109.326,112.316,113.129,116.315,126.341,133.254,137.344,135.155,118.106,116.293,118.55,120.134,125.704,126.893,123.121,130.228
"18","10","Retail trade","N382RD3",NA,NA,NA,98.045,97.744,96.98,96.537,96.098,95.935,95.917,95.676,95.748,95.437,95.811,96.46,96.735,97.027,97.223,97.174,97.494,97.497,97.283,97.007,96.388,96.206,96.021,96.157,96.175,96.666,96.275,96.199,96.373,96.915,97.515,98.226,99.068,99.649,99.662,100.471,100.819,101.107,101.726,101.985,102.299,103.109,103.451,104.109,105.574,106.866,108.015,108.643,106.679,106.095,106.507,107.194,108.803,109.61,109.453,110.197
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,103.11,102.7,101.711,100.964,100.318,100.376,100.561,100.808,101.039,100.247,100.758,101.556,101.662,101.494,101.956,101.944,102.745,102.765,102.179,101.949,101.53,100.889,100.514,100.363,99.767,100.279,99.49,98.097,97.078,97.366,97.604,98.626,99.618,99.751,99.988,100.354,99.96,100.276,100.393,100.185,100.088,99.667,100.079,100.603,101.129,101.643,101.75,101.968,100.793,99.757,100.358,101.404,102.745,103.5,104.513,105.179
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,85.292,85.523,85.027,85.331,85.186,85.321,85.427,85.861,86.537,86.319,86.648,87.35,87.022,87.332,87.949,88.015,88.827,90.269,90.393,90.936,90.812,91.552,89.648,89.895,90.37,91.432,92.217,94.387,96.385,96.564,97.837,98.345,99.206,99.986,99.508,99.843,101.89,100.006,100.422,103.07,103.932,107.644,106.657,108.252,112.04,114.395,116.353,117.575,115.688,114.088,113.814,113.723,117.529,119.917,117.334,118.396
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,94.137,94.121,94.149,94.218,94.347,94.867,95.189,95.424,95.623,95.538,95.669,96.011,96.147,96.348,96.42,96.428,96.542,97.044,97.194,97.22,96.964,96.564,96.396,96.473,96.817,96.958,97.181,97.61,98.064,98.444,99.031,98.878,99.337,99.831,99.89,100.161,100.484,100.69,101.001,101.498,102.21,103.291,103.751,104.515,105.441,106.925,108.188,109.415,109.153,108.995,109.128,109.095,109.789,110.22,110.532,111.21
"22","14","  Other retail stores","N865RD3",NA,NA,NA,98.249,97.787,96.788,96.182,95.591,94.943,94.628,93.745,93.54,93.444,93.824,94.474,95.04,95.678,95.654,95.538,95.494,95.026,94.868,94.289,93.303,93.335,93.618,93.959,94.218,94.702,94.162,94.51,95.188,96.061,96.839,97.65,98.507,99.445,99.354,100.783,101.42,102.085,103.227,103.344,103.728,104.852,105.325,105.888,107.851,109.464,111.193,111.794,108.625,108.388,108.9,109.757,111.482,112.169,111.435,112.205
"23","15","Other industries","N385RD3",NA,NA,NA,93.78,93.378,93.047,93.197,93.389,92.896,92.516,92.464,92.008,91.596,92.059,92.827,93.646,94.68,95.04,95.452,96.045,96.368,96.478,95.742,94.909,94.245,94.169,94.156,94.736,95.882,95.41,95.514,95.54,95.66,96.256,96.861,97.84,98.8,99.35,100.592,101.219,101.414,102.406,103.247,103.595,104.759,105.553,105.903,108.513,110.962,112.832,114.635,111.058,108.475,108.03,108.529,110.017,111.353,111.156,111.124
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,92.864,92.712,91.825,91.339,90.866,89.764,89.001,87.969,87.55,87.444,87.763,88.608,89.491,90.687,90.736,90.863,91.742,92.125,91.52,90.473,89.373,89.535,89.746,90.485,91.238,92.194,91.846,92.744,93.708,95.153,96.49,97.182,98.002,99.146,98.956,100.819,102.199,102.13,103.41,104.383,105.036,106.724,107.394,108.576,112.121,116.042,120.466,119.759,111.423,109.454,109.342,110.247,112.964,114.098,112.843,116.108
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,101.652,101.057,100.074,99.225,98.552,97.503,96.852,96.038,95.34,94.944,95.054,95.467,95.935,96.444,96.261,96.326,95.961,95.812,95.321,94.904,94.45,94.304,94.336,94.204,94.152,94.246,94.107,93.848,94.261,95.68,96.961,98.587,99.364,99.948,99.462,100.13,100.913,102.262,103.777,104.387,104.671,105.229,105.955,105.712,106.436,109.027,112.371,112.716,108.131,106.702,106.59,107.663,108.717,109.939,110.436,110.432
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,85.849,86.029,85.219,85.012,84.692,83.552,82.705,81.504,81.304,81.427,81.912,83.098,84.312,86.062,86.299,86.475,88.38,89.195,88.493,86.939,85.33,85.729,86.078,87.498,88.886,90.53,90.014,91.839,93.248,94.713,96.097,96.023,96.88,98.489,98.545,101.406,103.29,102.022,103.104,104.384,105.349,107.996,108.624,111.003,116.915,121.945,127.264,125.682,114.218,111.826,111.731,112.525,116.494,117.566,115.017,120.728
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,93.276,92.8,91.97,91.563,91.26,90.337,89.899,89.241,88.877,88.549,88.959,89.824,90.563,91.468,91.702,92.031,92.423,92.656,92.037,91.196,90.214,90.268,90.516,91.098,91.435,92.515,92.06,92.174,93.149,94.443,95.675,97.023,97.992,99.011,99.037,100.869,102.12,102.516,103.846,104.343,105.002,106.206,107.008,107.781,111.305,114.93,118.916,118.599,110.787,108.948,109.137,110.306,113.147,113.894,112.821,114.368
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,95.673,95.212,94.184,93.738,93.104,91.982,90.971,89.684,89.483,89.089,89.29,89.902,90.55,91.432,91.44,91.322,91.624,91.043,90.708,90.228,89.131,89.362,89.778,91.176,91.111,92.116,91.45,92.126,93.682,95.279,96.152,97.046,98.005,99.262,99.145,101.035,101.896,102.589,104.644,104.96,106.549,108.312,108.944,110.272,114.883,118.989,122.369,121.526,112.514,111.15,112.054,113.419,116.497,117.682,116.168,119.382
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,96.145,95.882,95.001,94.534,93.961,93.042,92.064,90.767,90.626,90.2,90.244,90.716,91.205,91.976,91.945,91.759,92.085,91.652,91.349,91.032,90.21,90.311,90.695,92.142,91.929,92.677,92.302,92.958,94.467,96.053,96.817,97.462,98.303,99.441,99.312,100.721,101.663,102.361,104.279,104.87,106.674,108.328,108.941,110.295,114.522,118.543,121.767,120.999,112.903,111.619,112.487,113.593,116.25,117.178,116.198,119.403
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,103.634,102.994,102.188,101.484,100.699,99.545,98.451,97.301,96.596,96.067,95.838,95.849,96.182,96.179,96.037,95.71,95.264,94.52,94.34,93.952,93.402,93.333,93.511,93.627,93.572,93.704,93.665,93.961,94.752,96.29,97.26,98.571,99.491,100.03,99.528,99.993,100.951,102.031,103.694,104.268,104.825,105.822,106.36,106.451,107.402,109.713,112.679,112.734,108.869,107.823,107.819,109.108,110.346,111.536,111.771,111.942
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,85.168,85.438,84.451,84.326,84.059,83.477,82.668,81.153,81.849,81.573,82.029,83.204,83.931,85.896,86.035,86.067,87.604,87.646,87.149,86.926,85.713,86.046,86.713,90.005,89.572,91.177,90.324,91.484,93.99,95.65,96.122,95.786,96.516,98.56,98.998,101.854,102.771,102.873,105.183,105.796,109.557,112.268,113.017,116.339,125.582,132.312,135.992,133.964,119.127,117.498,119.682,120.546,125.205,125.786,123.15,130.46
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,92.447,90.901,89.063,88.738,87.76,85.505,84.315,83.078,82.532,82.326,83.434,84.853,86.409,87.928,88.151,88.418,88.587,87.184,86.675,85.258,82.538,83.549,84.154,85.251,86.076,88.641,86.206,87.003,88.847,90.513,92.058,94.469,96.16,98.136,98.092,102.93,103.299,103.968,106.883,105.484,105.715,108.184,108.932,110.087,117.238,121.882,126.242,124.908,109.821,107.887,109.015,112.218,118.292,121.292,116.146,119.428
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
