"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:54:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      National income","A032RC1",242.6,237.5,263.9,303.8,321.3,338.6,338.7,372,394.9,413.3,415.6,453.5,473.9,490.7,528.9,559.7,601.4,652.2,710.1,750.4,821.2,888.5
"9","2","Domestic business","A368RC1",211.4,203.3,226.9,258.2,269.9,284.3,281.7,310.6,328.6,341.9,338.8,371.9,385.1,395.4,425.8,449.5,482.7,524.7,569.6,596.2,651.1,702.1
"10","3","  Corporate business","A441RC1",134.1,130.3,148.4,170.3,178.1,190.8,187.5,212.4,226.4,235.7,229.1,258.2,269.9,277.5,303.5,322.9,349.5,384,420.7,442.5,488.5,531.5
"11","4","    Compensation of employees","A442RC1",91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,341.3,378.6
"12","5","      Wage and salary accruals","A443RC1",86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338
"13","6","      Supplements to wages and salaries","A444RC1",4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,35.9,40.6
"14","7","    Corporate profits with IVA and CCAdj","A445RC1",29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9
"15","8","    Net interest and miscellaneous payments","A453RC1",0,0,-0.1,-0.2,-0.2,0,0.2,0.2,0,0.2,0.6,-0.2,-0.2,0.4,0.7,0.4,0.8,1.2,2.3,4,3.9,7.8
"16","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1",13.3,14,15.5,16.9,18.4,19.5,18.7,21,23,24.5,24.6,27,29.4,30.7,33.2,35.6,38.4,41.1,41.9,44.6,51.7,57.3
"17","10","  Noncorporate business","W461RC1",77.3,73,78.4,87.9,91.8,93.5,94.2,98.2,102.2,106.3,109.7,113.7,115.3,117.9,122.3,126.6,133.2,140.7,148.9,153.7,162.6,170.6
"18","11","    Compensation of employees","W462RC1",27.1,27,28.9,32.2,34.4,36,35.8,37.2,39.3,40.8,41.2,43.5,43.9,43.8,45.2,46.6,49.3,51,54.4,55.9,59.1,62.1
"19","12","      Wage and salary accruals","W463RC1",26.3,26.1,27.8,30.9,33.1,34.6,34.4,35.6,37.5,38.7,39.1,40.9,41.1,40.9,42,43.2,45.7,47.4,50.3,51.7,54.5,57.1
"20","13","      Supplements to wages and salaries","W464RC1",0.8,0.9,1.1,1.3,1.3,1.4,1.5,1.6,1.8,2.1,2.1,2.6,2.8,2.9,3.1,3.4,3.5,3.6,4.1,4.2,4.6,4.9
"21","14","    Proprietors' income with IVA and CCAdj","A041RC1",39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5
"22","15","    Rental income of persons with CCAdj","W155RC1",4.6,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.6,5.6,5.8,5.8,6,6.1,6,6.1,6
"23","16","    Net interest","W468RC1",1.1,1.3,1.5,1.8,1.9,2.1,2.3,2.5,2.8,3.2,3.5,3.7,4,4.3,4.8,5.4,6.2,6.9,7.8,8.4,9.1,10.4
"24","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1",5.3,5.7,5.8,6.2,7.2,8.1,8.4,8.8,8.8,9.1,9.2,9.6,10.3,10.1,10.5,10.9,11.2,11.5,11.4,12.7,12.9,13.6
"25","18","    Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1
"26","19","    Sole proprietorships and partnerships","A1641C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,97.3,99.1,102.4,105,110.5,116.7,123.9,127.5,134.2,140.5
"27","20","      Compensation of employees","A1642C1",24,23.6,25.3,28.2,29.9,31.4,31.2,32.2,34.1,35.2,35.2,37.1,37,36.5,37.2,38.1,40.1,41.3,43.9,44.5,46.4,48.1
"28","21","        Wage and salary accruals","B1643C1",23.3,22.8,24.3,27,28.6,30.1,29.8,30.7,32.4,33.4,33.4,34.9,34.6,34.1,34.7,35.3,37.3,38.4,40.5,41.1,42.7,44.2
"29","22","        Supplements to wages and salaries","B1644C1",0.8,0.8,1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,1.8,2.1,2.3,2.4,2.6,2.8,2.8,2.9,3.4,3.4,3.7,3.9
"30","23","      Proprietors' income with IVA and CCAdj","A1645C1",39.3,34.7,37.5,42.7,43.1,42.1,42.3,44.3,45.9,47.9,50.2,50,50.4,52.8,54.9,56.1,58.9,63.4,67.8,69.4,73.7,77.1
"31","24","        Farm","B042RC1",16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"32","25","        Nonfarm","A1646C1",22.5,22.7,24.6,27.4,28.8,29.9,30.6,33.6,35.3,37.3,37.8,40,39.7,41.6,43.7,45.1,49.1,51.4,54.8,57.7,62.1,64.2
"33","26","      Net interest","B1649C1",0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,2,2.5,2.9,3.5,3.8,4.2,5.1
"34","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.6,8.4,8.6,8.8,9,9.1,8.8,9.9,9.8,10.3
"35","28","    Other private business","A1650C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,11.6,12.2,12.8,13.7,14.3,15,15.7,16.5,17.3,18.1
"36","29","      Compensation of employees","A1651C1",0.8,0.8,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.7,1.8,1.9,2,2.1,2.3,2.6,2.8,3
"37","30","        Wage and salary accruals","B1652C1",0.8,0.8,0.9,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.9,2,2.1,2.4,2.5,2.8
"38","31","        Supplements to wages and salaries","B1653C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"39","32","      Proprietors' income with IVA and CCAdj","A1654C1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4
"40","33","      Rental income of persons with CCAdj","W155RC1",4.6,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.6,5.6,5.8,5.8,6,6.1,6,6.1,6
