"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","  Exports","A020RD3",32.772,34.028,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.281,84.609,83.343,85.451,89.876,91.373,91.993,93.213,92.833,92.808,93.843,95.997,94.727,93.103,90.973,90.408,92,91.627,91.253,93.217,96.517,100,103.447,106.903,111.875,105.877
"23","16","    Goods","A253RD3",37.454,39.143,40.188,41.256,47.884,60.598,67.352,69.075,71.59,75.718,85.713,93.956,100.586,99.436,98.71,99.569,94.587,91.488,93.853,99.897,101.198,100.238,100.133,98.527,97.97,99.016,101.367,98.749,96.022,92.993,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,106.796,111.97,104.403
"24","17","    Services","A646RD3",23.708,24.165,25.751,28.36,29.68,33.11,35.334,37.468,39.579,42.446,45.749,51.38,55.845,59.232,61.553,62.232,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.139,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.719,107.146,111.643,109.171
"25","18","  Imports","A021RD3",22.254,23.57,25.018,26.77,31.423,44.957,48.699,50.165,54.586,58.441,68.434,85.241,89.823,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.564,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.145,100,104.144,107.531,118.685,105.987
"26","19","    Goods","A255RD3",22.665,24.205,25.445,27.395,32.29,48.319,52.367,53.766,58.693,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.217,96.685,95.605,96.301,98.868,96.362,92.382,86.801,86.875,91.128,88.482,86.93,89.476,93.872,100,104.207,107.489,119.603,104.908
"27","20","    Services","A656RD3",19.804,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.093,42.646,48.16,55.892,58.319,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.071,71.019,73.612,75.673,76.313,77.806,80.235,82.235,82.233,80.628,83.185,84.209,84.219,86.089,91.469,95.573,100,103.806,107.75,113.921,110.711
"28","21","Government consumption expenditures and gross investment","A822RD3",17.515,18.942,20.417,21.986,23.591,25.974,28.581,30.464,32.578,34.664,37.569,41.663,45.761,48.768,50.709,53.31,54.966,55.969,57.532,59.065,60.915,63.395,65.596,67.266,68.938,70.808,72.742,74.477,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.53,100,104.842,109.863,115.008,114.644
"29","22","  Federal","A823RD3",18.215,19.688,21.371,23.457,25.066,27.299,30.14,32.283,34.722,36.866,39.704,43.875,48.137,51.405,53.187,56.325,57.602,57.904,58.608,59.849,61.469,63.512,66.032,68.062,69.79,71.683,73.674,75.719,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.119,110.895
"30","23","    National defense","A824RD3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.058,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.109,111.342
"31","24","    Nondefense","A825RD3",19.251,21.107,22.707,23.851,25.188,27.199,30.453,32.494,34.933,36.452,39.033,42.833,46.837,49.741,51.413,52.69,54.481,55.82,56.856,58.579,60.394,62.462,65.561,66.92,69.883,72.144,74.703,76.276,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.077,109.984
"32","25","  State and local","A829RD3",17.015,18.413,19.722,20.898,22.497,24.973,27.412,29.117,31.008,33.045,35.979,40.005,43.979,46.791,48.861,51.038,53.006,54.582,56.854,58.626,60.659,63.479,65.448,66.862,68.499,70.357,72.258,73.812,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.348,116.892
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Gross national product","A001RD3",23.081,24.299,25.515,26.617,28.097,30.643,33.541,35.472,37.735,40.385,43.745,47.728,52.206,55.391,57.586,59.749,61.562,62.92,64.749,66.974,69.511,72.199,74.755,76.521,78.224,79.874,81.542,83.096,84.558,85.509,86.766,88.645,90.648,92.113,94.096,96.767,100,103.26,106.3,108.626,109.609
