"","Table 5#8#3A# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"35","28","    New","B843RA3",17.605,21.354,21.542,17.308,10.932,12.962,12.099,21.304,17.92,21.014,24.312,19.604,14.432,8.358,4.217,3.372,3.955,7.432,11.555,14.672,20.266,23.137,23.993,24.514,26.596,32.022,34.664,35.177,37.305,41.345,42.183,42.468,45.908,47.3,51.242,54.384,57.951,61.758,65.887,69.149,65.635
"36","29","      Buildings","B844RA3",12.664,13.331,13.634,8.46,4.158,7.936,7.261,16.063,10.384,12.738,20.853,12.26,9.803,6.715,2.485,1.596,1.978,4.339,6.375,10.665,18.926,22.031,25.577,25.189,25.352,28.892,31.468,29.965,32.617,35.691,32.376,33.389,36.58,36.822,38.961,42.077,45.567,52.382,60.034,60.81,60.04
"37","30","        Residential","B845RA3",0,0,0,0,0,0,0,0,0,0.7,15.226,48.431,48.776,38.164,8.842,1.425,0,19.287,26.304,15.103,39.749,39.58,65.066,69.842,58.164,35.943,27.701,27.9,35.692,49.697,47.641,43.103,55.551,73.596,39.385,46.045,44.823,54.508,63.01,61.162,73.728
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RA3",16.269,16.439,14.781,7.919,3.139,8.121,8.542,19.592,11.667,13.973,21.362,6.79,6.303,4.862,2.203,1.296,1.781,2.695,4.875,11.776,18.378,22.45,26.357,27.233,28.861,36.908,41.629,40.113,42.619,44.612,39.044,40.965,44.277,42.779,49.732,53.578,59.31,71.523,78.095,75.913,67.484
"40","33","        Hospital","B848RA3",43.002,53.834,56.783,49.023,28.912,27.382,20.295,38.677,32.89,43.16,58.316,22.607,15.739,12.262,14.821,19.036,25.382,21.611,10.257,22.602,58.357,71.806,70.783,66.77,52.71,53.155,48.792,42.535,48.042,56.827,56.118,51.9,47.24,50.873,49.907,53.628,57.407,52.662,72.585,81.124,83.746
"41","34","        Other \5\","B849RA3",8.532,8.771,11.585,7.061,3.868,8.2,6.592,14.459,9.67,11.759,19.331,11.03,5.394,1.518,0,0,0,1.064,3.704,6.663,10.022,11.177,9.985,7.183,9.83,13.273,16.294,15.054,16.482,18.038,17.199,18.803,21.062,19.669,22.832,24.181,25.468,25.818,33.25,37.639,44.489
"42","35","      Highways and streets \9\","B851RA3",24.758,31.834,31.819,29.353,20.135,20.303,17.489,26.684,26.049,31.554,31.562,30.701,21.931,11.611,6.298,5.571,6.353,11.384,17.564,19.481,24.38,28.784,26.039,28.732,33.635,43.871,46.882,47.521,50.751,58.393,61.244,59.613,63.999,67.249,72.816,72.637,74.524,78.072,77.12,79.712,74.898
"43","36","      Conservation and development","B857RA3",14.268,13.178,11.569,7.149,11.439,34.896,30.116,41.369,41.142,29.016,32.48,14.42,5.156,2.908,0,0,0,6.622,8.723,10.619,14.827,16.261,14.566,10.864,14.022,15.867,23.787,32.919,31.467,27.64,31.346,35.985,38.459,46.643,72.495,72.137,100.296,100.21,114.413,106.653,98.146
"44","37","      Sewer systems","B858RA3",17.498,19.816,17.263,12.362,7.805,14.63,14.88,30.16,25.814,27.764,29.677,22.222,13.501,8.429,4.146,2.474,3.616,8.986,15.007,21.235,24.301,25.029,26.066,25.748,29.367,31.417,32.84,34.885,36.551,38.029,48.427,47.086,48.305,55.051,47.645,65.502,58.281,61.331,48.378,68.006,55.202
"45","38","      Water systems","B859RA3",20.989,33.933,28.571,18.861,10.494,12.317,13.186,17.757,15.244,17.155,18.925,22.504,18.542,12.469,9.486,6.104,7.1,10.882,16.02,20.158,22.098,21.847,25.98,25.599,24.792,27.691,30.344,34.546,31.86,30.306,31.5,33.659,36.909,37.979,49.26,53.927,69.422,57.034,66.898,76.515,64.898
"46","39","      Other \7\","B860RA3",15.224,16.284,22.435,16.496,7.956,7.107,11.204,27.599,18.851,22.065,22.74,17.049,13.612,6.927,3.732,3.596,4.044,5.536,11.105,11.247,11.538,11.595,10.923,9.344,10.921,13.463,15.316,20.761,20.603,24.321,31.066,33.561,36.942,32.31,39.716,43.7,49.741,51.173,64.07,68.677,68.735
"47","40","    Net purchases of used structures","B870RA3",34.992,29.342,29.674,30.6,27.364,21.484,22.021,22.056,21.478,23.506,37.699,49.022,30.055,13.159,9.794,8.248,12.461,10.093,10.554,12.545,21.481,28.685,26.48,23.821,30.823,34.471,56.885,59.735,60.644,67.556,80.647,75.312,84.983,92.904,98.97,118.624,139.833,141.183,141.305,134.042,118.967
"48","41","Equipment and software \2\","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985
"49","42","  Federal","B872RA3",0.104,0.168,0.229,0.164,0.335,1.097,1.321,1.135,1.124,1.464,1.544,1.864,16.131,68.048,136.613,152.931,107.681,7.413,5.288,7.693,11.136,8.555,26.169,36.378,41.304,33.534,27.462,26.55,24.636,25.782,32.08,29.413,33.447,36.443,32.941,31.752,29.414,33.907,37.64,32.536,28.612
"50","43","    National defense","B873RA3",0.085,0.176,0.281,0.201,0.384,0.34,0.328,0.645,0.655,0.805,1.06,1.449,22.926,116.547,238.049,268.396,186.329,9.707,5.516,10.402,16.343,11.727,40.918,57.644,66.563,53.679,43.995,42.394,39.376,41.425,52.159,47.216,52.83,56.907,49.53,46.006,40.1,46.876,54.095,46.899,40.506
"51","44","      Aircraft","B874RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","      Missiles","B875RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      Ships","B876RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","      Vehicles","B877RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","      Electronics and software","B878RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","      Other equipment","B879RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Nondefense","B880RA3",0.164,0.211,0.23,0.165,0.37,2.43,3.038,2.128,2.084,2.796,2.563,2.807,7.583,4.93,4.659,2.859,5.032,4.24,4.999,3.673,3.328,3.834,3.786,4.067,2.908,2.943,2.35,2.524,2.267,1.964,1.399,2.183,3.72,4.996,7.172,9.185,11.817,12.727,11.344,9.622,9.426
"58","51","  State and local","B881RA3",2.004,1.721,1.93,1.806,1.485,1.411,1.405,1.364,1.753,1.909,2.175,1.788,1.347,1.032,0.766,0.757,0.745,1.2,1.799,2.265,2.385,2.426,2.523,2.723,2.889,3.209,3.118,3.505,4.3,4.302,4.602,5.177,5.345,5.716,6.55,7.419,7.95,8.773,9.133,9.539,10.294
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Government enterprise gross fixed investment","A882RA3",14.567,17.81,18.841,15.03,9.107,10.192,11.739,22.168,17.696,19.856,23.062,22.694,18.776,37.767,50.008,37.022,4.589,10.678,16.732,18.682,24.956,26.78,30.457,31.589,30.602,29.826,30.258,33.797,36.025,40.184,44.73,46.278,52.11,34.963,35.473,40.967,57.496,45.691,49.39,59.889,57.284
"61","53","    Federal","A883RA3",0.649,1.262,2.426,5.167,4.228,2.564,3.504,4.237,3.987,3.411,3.772,3.76,6.012,95.538,168.848,127.322,2.475,3.37,4.018,5.68,9.851,14.3,13.514,18.25,12.838,9.49,7.315,9.248,12.397,15.33,16.942,21.839,24.601,23.915,25.425,29.845,30.655,33.002,32.84,32.236,32.993
"62","54","      Structures","B884RA3",5.675,11.032,18.091,44.168,35.797,22.908,31.309,37.863,35.63,30.483,33.706,32.133,31.747,29.062,22.421,15.145,13.393,18.181,18.161,27.517,48.54,56.026,41.48,34.363,36.668,34.874,26.308,34.582,45.654,56.671,66.855,79.332,89.652,111.391,126.394,156.501,160.581,158.689,143.297,128.66,123.848
"63","55","      Equipment and software","B885RA3",0,0,0.228,0.114,0.113,0,0,0,0,0,0,0.112,1.517,59.418,107.684,81.373,0.445,0.611,1.063,1.3,2.161,4.694,5.687,10.194,5.649,3.179,2.528,3.012,4.136,5.083,5.053,7.359,8.255,4.99,4.332,4.206,4.339,6.383,8.142,9.472,10.665
"64","56","    State and local","A886RA3",20.178,24.432,25.326,18.697,10.846,12.999,14.754,28.824,22.766,25.977,30.248,29.747,23.419,14.927,6.868,4.41,4.939,12.331,19.809,21.676,28.141,28.875,33.787,33.619,34.168,34.261,35.457,39.288,41.125,45.432,50.609,50.992,57.416,37.404,37.719,43.462,63.03,48.337,52.871,65.752,62.376
"65","57","      Structures","B887RA3",18.626,22.965,23.71,17.246,9.695,11.868,13.562,27.213,21.156,24.177,28.174,27.9,21.996,13.922,6.261,3.898,4.406,11.326,18.272,19.827,26.035,26.726,31.437,31.167,31.612,31.537,32.75,36.265,37.624,41.791,46.444,46.267,52.412,55.045,54.502,64.251,66.945,64.958,71.392,81.457,76.629
"66","58","      Equipment and software","A888RA3",4.707,4.082,4.598,4.331,3.621,3.307,3.338,3.242,4.158,4.569,5.218,4.239,3.198,2.489,1.825,1.768,1.777,2.832,4.207,5.339,5.61,5.705,5.948,6.423,6.814,7.566,7.346,8.237,10.136,10.124,11.821,14.664,14.834,2.556,3.525,2.688,13.67,3.934,3.908,10.234,11.42
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
