"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","  Goods","DGDSRA3",29.215,29.236,29.288,29.393,29.441,29.524,29.706,29.385,30.328,30.578,30.775,31.316,31.608,32.444,33.009,33.977,34.788,34.453,34.464,34.122,33.565,33.46,33.568,32.205,32.439,33.132,33.95,34.181,35.182,35.606,35.919,36.355,36.75,37.02,37.318,38.114,37.9,38.988,39.02,39.461,39.43,39.098,39.747,39.579,39.379,37.757,38.144,38.578,39.133,38.82,39.212,38.511,38.897,38.887,39.095,39.883,40.092,41.274,42.189,43.183,43.767,44.743,44.771,45.471,46.172,46.594,47.837,47.551,48.273,49.131,50.653,50.622,49.586,50.536,51.296,50.838,52.037,52.308,52.297,53.127,53.2,53.5,54.271,54.091,54.816,54.229,54.102,53.248,52.792,53.087,53.407,52.815,54.011,54.287,54.88,55.607,55.822,56.717,57.303,58.032,59.016,59.541,60.093,61.243,60.938,61.349,62.092,62.679,63.181,64.413,64.871,65.657,66.543,66.492,68.231,69.163,69.701,71.533,72.624,74.842,75.77,77.563,78.497,79.863,81.082,81.526,82.397,83.132,83.349,83.589,84.218,87.287,87.114,87.529,88.654,88.903,89.54,91.09,93.575,94.035,94.975,95.375,96.502,97.711,98.657,100.038,100.797,100.508,102.335,102.501,103.334,104.835,105.437,105.808,106.44,106.737,105.163,105.245,103.171,100.271,100.709,100.328,102.092,102.533,103.952,104.837,105.565
"12","4","    Durable goods","DDURRA3",15.023,14.983,14.94,14.882,14.654,14.823,14.878,13.889,15.379,15.729,16.148,16.838,17.223,17.656,18.11,19.069,20.283,20.044,19.866,19.402,18.947,19.049,19.159,17.336,17.706,18.05,19.177,19.735,20.722,20.816,21.052,21.384,22.168,22.691,23.025,23.508,22.885,24.591,24.26,24.452,24.163,23.616,24.274,23.649,23.277,20.767,21.688,22.349,22.983,22.089,22.761,21.126,21.803,21.883,22.059,23.066,23.3,24.998,25.959,27.239,28.267,28.923,28.932,29.871,30.909,31.276,33.279,32.133,32.789,33.947,36.843,36.259,34.108,35.507,36.974,35.975,37.678,37.691,37.2,38.163,37.994,38.501,39.371,38.175,39.787,38.472,38.082,37.033,36.013,36.194,36.75,36.151,37.57,37.831,38.638,39.406,39.788,41.08,41.538,42.537,43.55,44.019,44.482,46.046,45.091,45.55,46.836,47.649,48.167,49.699,50.051,51.028,52.411,52.242,54.571,55.964,56.433,59.31,61.022,64.644,64.804,67.921,69.575,70.44,74.402,73.063,74.327,74.873,76.143,76.105,77.026,83.497,82.541,83.409,85.851,84.719,84.8,88.116,91.652,92.244,93.265,93.919,95.768,97.34,97.992,100.733,101.917,99.359,103.327,103.064,104.216,105.647,106.844,108.049,109.061,109.717,106.617,105.835,102.503,96.239,97.385,96.629,101.159,100.87,103.025,104.735,106.304
"13","5","      Motor vehicles and parts","DMOTRA3",27.029,26.509,26.818,26.352,24.6,25.365,25.115,20.452,26.81,27.681,28.875,30.701,30.901,31.765,32.348,34.907,37.654,36.518,35.259,32.98,30.653,30.477,31.367,26.373,27.472,27.512,31.009,32.241,35.344,35.386,35.614,35.893,39.094,39.17,39.36,39.674,38.062,43.146,41.669,41.511,40.726,37.285,39.056,37.514,37.544,30.091,33.329,33.782,37.091,33.484,36.036,31.179,34.727,34.298,34.703,37.723,36.817,41.983,43.486,46.353,48.403,49.175,48.422,50.288,53.364,54.088,60.331,53.875,54.682,57.631,65.572,59.961,52.552,56.769,61.372,57.551,62.17,60.823,58.423,60.054,60.009,60.173,62.912,57.892,62.987,59.791,58.827,55.54,51.531,51.204,53.68,52.458,55.356,56.001,56.773,57.902,57.153,59.804,59.599,62.059,63.945,62.87,62.445,64.268,61.408,61.359,62.878,63.948,64.608,65.615,65.463,66.01,68.959,66.607,70.966,72.864,70.749,76.205,77.244,84.412,80.466,86.197,86.455,83.899,91.028,84.49,85.988,86.236,88.641,87.147,88.188,101.537,94.304,94.828,100.796,94.829,94.911,98.951,101.913,99.963,99.896,99.472,100.649,101.616,99.801,103.425,104.373,92.401,95.998,95.997,97.729,97.569,98.038,99.457,98.728,98.131,93.501,88.395,82.945,75.158,77.398,76.537,83.655,78.782,78.271,79.584,79.875
"14","6","      Furnishings and durable household equipment","DFDHRA3",20.595,20.805,20.413,20.372,20.358,20.437,20.479,20.802,20.908,21.151,21.527,22.163,22.936,23.244,23.947,24.526,25.854,26.113,26.229,26.519,26.86,26.804,26.183,24.452,24.188,24.436,24.906,25.33,25.774,25.89,26.284,26.978,27.799,28.37,28.768,29.521,29.008,30.375,30.349,30.749,30.631,31.117,32.018,31.653,30.91,29.548,29.59,30.551,30.317,29.923,29.5,28.547,27.946,28.035,28.236,28.822,29.482,30.009,31.161,32.058,32.779,33.737,33.972,34.526,34.681,35.005,35.914,36.651,37.5,38.001,39.038,39.371,39.661,39.897,40.388,40.476,40.892,41.35,41.521,42.518,43.266,43.916,43.727,43.852,44.443,43.214,42.607,42.107,42.113,42.532,41.953,41.742,42.761,43.019,43.855,44.442,45.063,45.606,46.149,46.203,46.584,47.669,48.608,49.923,49.566,50.007,50.74,51.336,50.921,52.752,52.78,53.933,54.114,54.324,55.534,56.27,57.757,58.664,60.018,61.965,63.77,65.28,67.436,69.558,71.306,72.678,73.642,74.075,75.182,75.857,76.587,78.906,81.403,82.101,81.982,83.388,83,86.044,89.513,91.021,92.23,93.488,95.607,96.57,97.389,98.905,100.563,103.144,105.833,104.655,105.178,105.64,107.002,106.113,106.609,106.912,104.478,105.774,102.859,98.197,96.094,94.466,96.075,98.254,101.506,103.725,105.172
"15","7","      Recreational goods and vehicles","DREQRA3",3.24,3.282,3.27,3.331,3.497,3.467,3.523,3.553,3.521,3.601,3.633,3.765,3.966,4.114,4.277,4.487,4.711,4.617,4.679,4.606,4.599,4.731,4.805,4.559,4.687,4.98,5.105,5.252,5.363,5.378,5.454,5.592,5.576,5.772,5.886,6.015,6.048,6.187,6.182,6.388,6.449,6.618,6.576,6.458,6.275,6.063,6.234,6.51,6.349,6.421,6.591,6.394,6.315,6.439,6.496,6.634,6.953,7.29,7.652,8.066,8.48,8.67,8.829,9.173,9.494,9.631,9.762,10.18,10.47,10.814,11.611,12.322,12.247,12.613,12.93,12.853,13.35,13.766,13.95,14.388,13.951,14.435,14.707,14.752,14.898,14.815,14.783,14.749,14.939,15.262,15.624,15.407,15.842,15.845,16.429,16.981,17.821,18.546,19.046,19.697,20.34,21.404,22.053,23.39,23.489,24.206,25.663,26.332,26.987,28.479,29.305,30.347,31.309,32.617,33.966,35.131,36.857,38.684,41.177,43.079,45.055,47.247,49.621,51.967,55.275,56.069,57.52,58.802,59.786,61.476,62.906,66.117,68.516,69.613,70.549,72.014,72.878,76.031,80.594,82.953,85.268,87.12,90.126,92.759,96.119,98.82,100.655,104.406,110.281,110.961,113.057,118.28,120.843,123.422,127.638,130.777,128.981,132.832,131.511,125.76,128.376,127.655,132.793,137.749,141.981,145.157,149.433
"16","8","      Other durable goods","DODGRA3",19.24,19.215,18.97,19.057,19.588,19.581,20.362,20.664,20.437,20.822,21.223,21.383,21.369,21.867,22.227,22.976,24.206,24.822,25.318,26.11,26.255,26.825,26.608,25.723,26.621,27.181,28.512,29.211,30.05,30.61,31.047,31.097,29.055,31.995,33.452,35.294,33.449,34.207,34.713,34.531,33.022,33.912,34.587,33.598,32.591,29.799,29.8,31.397,31.312,31.574,31.757,30.791,30.643,31.613,31.522,31.878,32.979,33.696,34.658,35.611,36.465,37.881,38.406,39.764,39.877,40.141,41.424,42.5,43.373,44.143,45.324,49.817,47.321,47.507,46.934,47.463,48.475,48.782,48.828,49.491,48.736,49.269,49.513,50.543,50.916,49.42,49.583,49.165,48.701,48.758,47.002,45.968,47.716,47.977,49.065,49.531,49.849,50.541,51.988,51.701,52.454,52.767,53.494,54.716,53.957,54.471,54.676,55.311,56.402,58.191,58.581,59.753,60.018,60.007,61.468,63.093,64.463,66.701,67.993,69.456,72.366,73.339,75.541,79.422,79.827,82.38,82.85,82.326,81.205,79.255,78.718,81.172,83.404,84.995,85.605,87.528,86.455,88.399,91.166,93.28,94.032,93.816,94.325,96.379,97.892,100.38,99.774,101.954,105.385,104.059,102.602,102.801,103.065,104.867,105.726,105.938,103.692,103.071,101.501,95.902,97.301,98.404,99.59,99.38,103.753,103.183,104.246
"17","9","    Nondurable goods","DNDGRA3",41.252,41.342,41.497,41.775,42.133,42.107,42.409,42.905,43.08,43.178,43.09,43.383,43.526,44.703,45.319,46.175,46.453,46.061,46.276,46.094,45.476,45.174,45.271,44.463,44.548,45.535,45.981,45.869,46.799,47.517,47.881,48.385,48.353,48.35,48.59,49.633,49.845,50.229,50.619,51.271,51.498,51.399,52,52.275,52.249,51.542,51.415,51.617,52.073,52.304,52.42,52.621,52.718,52.627,52.851,53.394,53.567,54.198,55.022,55.692,55.834,57.054,57.098,57.537,57.889,58.34,58.82,59.344,60.097,60.632,60.758,61.252,61.332,61.8,61.851,61.926,62.594,63.092,63.527,64.189,64.48,64.577,65.225,65.964,65.879,65.951,66.058,65.395,65.426,65.81,65.921,65.355,66.327,66.607,67.003,67.675,67.743,68.281,68.957,69.437,70.366,70.923,71.534,72.293,72.553,72.909,73.168,73.546,74.022,74.973,75.506,76.118,76.581,76.623,77.856,78.404,78.983,79.959,80.548,81.65,83.158,83.939,84.338,86.066,85.323,87.027,87.619,88.475,87.959,88.379,88.807,89.576,89.94,90.055,90.311,91.455,92.435,92.864,94.686,95.066,95.962,96.217,96.921,97.925,99.045,99.65,100.174,101.132,101.793,102.191,102.851,104.383,104.663,104.601,105.046,105.178,104.372,104.887,103.414,102.118,102.215,102.025,102.46,103.247,104.321,104.823,105.16
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",59.977,59.721,59.67,60.332,61.139,61.203,61.676,62.383,62.686,62.482,61.911,62.254,61.679,63.791,64.105,64.732,63.703,62.335,62.357,61.483,61.205,60.687,62.037,60.909,60.987,62.704,63.168,62.396,63.996,65.439,65.755,66.287,66.461,66.041,65.893,66.948,66.584,65.499,65.709,66.394,66.308,66.433,67.155,67.966,68.682,68.184,67.221,66.534,66.752,67.496,67.337,68.118,68,68.311,68.732,69.893,69.638,70.08,70.972,71.193,70.717,72.015,72.284,72.537,72.812,73.602,74.408,75.217,75.931,75.614,74.985,75.554,75.105,75.001,75.024,75.024,76.16,77.104,77.248,77.57,77.884,77.414,77.96,78.668,78.769,79.994,80.044,79.58,79.395,79.737,79.906,78.951,79.231,78.979,78.997,79.543,79.453,79.532,79.974,80.379,81.126,82.066,82.2,82.845,82.69,82.286,82.296,82.654,83.029,83.42,83.263,83.528,84.117,83.677,84.174,84.175,84.097,84.778,85.352,85.945,86.957,87.824,88.58,89.945,89.047,90.364,90.482,91.365,91.038,91.639,91.319,91.475,91.095,91.243,91.601,92.384,93.626,92.806,94.207,93.733,95.414,95.585,96.106,97.385,98.738,99.04,100.74,101.482,101.752,102.879,103.247,104.892,104.851,104.278,104.716,105.673,105.3,105.224,103.942,101.523,101.529,102.428,103.426,104.71,105.672,104.895,105.856
"19","11","      Clothing and footwear","DCLORA3",21.183,21.263,21.381,21.271,21.021,20.956,20.898,21.242,21.384,21.91,22.03,22.332,22.516,23.087,23.808,24.484,25.158,25.077,25.122,25.293,25.383,25.078,24.652,23.616,24.424,25.256,25.684,25.855,26.175,26.232,26.591,26.883,26.93,27.453,27.892,29.279,29.587,30.688,31.152,31.882,31.879,32.079,33.173,33.362,33.159,33,33.851,34.528,35.447,35.626,36.059,35.971,36.351,35.728,36.37,37.034,37.329,38.567,39.041,40.506,41.141,42.547,41.917,42.706,43.067,43.674,44.251,44.824,45.983,47.495,47.734,47.781,48.569,48.775,49.522,49.136,49.811,49.517,50.645,51.794,51.958,52.645,53.818,54.029,53.58,52.761,52.643,51.997,52.565,53.327,53.17,52.066,54.202,55.068,56.187,56.885,56.68,57.752,58.337,59.042,60.429,60.307,61.216,62.846,62.633,63.296,64.432,64.494,64.936,66.539,67.657,68.084,68.114,67.506,69.75,70.633,72.142,73.354,72.821,74.512,77.205,77.871,78.389,78.591,79.872,81.602,82.493,83.191,81.856,82.39,82.293,83.712,84.66,84.699,84.184,86.818,86.904,89.305,91.529,91.544,93.935,92.814,94.079,96.013,97.429,99.719,99.845,103.007,104.42,103.683,105.126,106.971,108.274,108.66,109.565,109.337,108.732,111.435,108.21,104.84,104.013,102.855,102.98,104.432,107.436,109.113,108.788
"20","12","      Gasoline and other energy goods","DGOERA3",61.935,62.729,62.939,64.276,65.327,64.72,65.715,65.738,66.996,68.057,67.76,67.815,69.281,69.862,71.147,74.058,75.697,75.168,75.496,74.329,66.181,68.381,69.736,71.916,70.552,71.197,70.624,70.261,72.413,73.79,74.798,76.769,75.331,75.231,76.093,76.457,77.101,77.704,76.807,76.387,78.423,74.747,73.611,72.328,70.45,68.117,67.056,67.04,67.492,67.304,67.194,67.139,67.904,68.04,66.911,66.712,68.205,67.92,69.346,70.03,69.53,70.627,71.102,71.688,71.748,72.105,72.345,72.226,73.726,75.373,76.515,77.479,76.353,78.414,76.503,77.615,78.368,79.489,79.452,80.367,80.494,80.053,79.901,82.308,79.885,79.493,80.207,77.379,77.28,78.642,79.588,78.882,80.156,81.959,82.18,82.654,82.477,83.373,84.832,84.463,85.559,85.052,85.348,84.547,86.63,87.331,86.355,86.542,87.713,88.275,88.302,88.054,88.633,89.867,90.263,90.691,91.462,92.923,93.8,94.185,94.819,96.936,95.767,96.249,92.8,94.578,94.985,94.412,94.827,93.625,95.375,95.667,95.333,96.466,97.014,96.962,97.139,98.211,100.04,101.107,100.667,100.891,100.253,100.425,101.649,100.519,99.302,98.53,97.245,97.509,98.414,98.373,97.882,97.227,97.146,96.047,94.211,93.171,90.13,92.58,94.138,93.98,93.527,92.996,93.155,93.854,92.174
