"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","3","  Information processing equipment and software","B679RG3",253.301,254.344,256.091,257.104,254.203,255.347,253.568,252.242,251.221,252.476,248.745,249.161,247.021,246.582,243.727,240.783,237.897,236.766,235.123,233.64,233.797,233.346,231.08,230.898,229.675,225.966,227.294,221.875,218.686,216.214,213.153,211.63,211.892,211.702,212.327,211.833,210.373,210.131,209.944,211.24,211.811,211.736,212.226,212.917,214.733,215.02,213.828,213.17,211.729,210.08,208.304,206.867,205.886,204.614,203.972,204.076,206.239,207.459,206.412,204.53,204.107,207.991,211.904,216.108,220.988,223.307,223.334,224.027,224.752,225.235,225.275,224.137,224.86,223.951,221.464,217.852,215.812,214.376,212.975,211.754,212.646,213.102,211.971,211.041,212.118,213.09,214.144,215.311,217.692,219.167,219.223,218.844,219.102,220.799,221.34,222.144,219.131,216.082,213.456,211.523,208.845,206.81,204.692,203.231,201.498,199.279,197.284,195.422,192.455,191.583,193.068,192.561,189.897,187.214,184.949,186.125,186.548,184.625,183.414,183.52,182.917,181.075,179.789,178.134,176.619,175.678,175.719,175.577,175.934,174.252,171.648,169.425,167.187,164.377,162.553,160.533,159.99,158.239,156.573,154.801,153.485,152.175,150.422,148.238,146.9,145.547,143.126,140.253,137.071,133.391,131.025,128.738,126.157,123.804,121.149,118.439,114.566,111.591,109.066,106.752,105.272,103.674,102.326,101.306,100.74,100.14,99.956,99.164,96.977,96.016,94.398,93.427,92.652,91.578,90.881,90.14,89.179,88.743,88.019,87.088,86.447,85.86,85.388,84.54,83.958,83.222,82.382
"12","4","    Computers, software, and communication","W175RG3",535.687,536.471,538.237,538.567,530.05,533.477,524.898,519.777,514.31,519.261,505.851,505.794,499.917,498.968,488.324,475.955,467.679,464.401,460.109,456.696,457.285,456.557,447.844,443.252,441.97,429.6,433.297,416.821,407.161,398.243,388.304,382.448,380.448,379.097,380.371,378.374,375.614,374.191,373.792,377.03,378.119,378.025,377.946,378.371,381.765,381.407,377.893,375.703,371.127,365.971,360.75,356.651,353.745,352.205,350.337,350.062,355.237,357.045,352.617,346.166,343.973,351.07,357.622,363.609,369.867,371.784,370.198,368.01,369.116,368.912,365.556,360.941,359.16,355.204,347.881,338.752,330.388,325.061,320.285,315.725,316.803,316.393,311.393,306.587,305.11,304.523,303.692,304.352,307.387,307.986,307.396,305.485,306.541,306.599,305.834,306.619,299.719,293.538,288.506,284.193,278.38,274.41,270.413,267.334,263.735,259.591,256.112,251.677,244.53,241.537,243.078,241.796,235.908,229.944,226.452,227.3,227.402,223.792,221.887,221.132,219.444,216.124,214.043,210.975,207.843,206.166,205.763,204.672,204.631,202.377,198.041,194.036,189.645,185.253,181.822,178.949,178.1,175.316,172.917,170.308,168.151,166.208,163.624,160.45,158.232,156.012,152.537,148.77,144.636,140.025,137.09,134.2,130.978,128.113,124.912,121.688,117.114,113.554,110.527,107.763,105.99,104.185,102.68,101.446,100.843,100.18,99.952,99.025,96.487,95.341,93.45,92.317,91.403,90.104,89.249,88.361,87.087,86.506,85.605,84.47,83.695,83.028,82.442,81.417,80.653,79.821,78.819
"13","5","      Computers and peripheral equipment","B935RG3",326905.215,273949.806,232875.588,215827.824,175515.752,237007.819,217338.49,194205.977,164577.239,179548.264,130333.318,134334.278,119750.469,122901.853,102921.661,86273.236,75759.603,72541.675,69089.563,66243.879,64686.535,62673.087,56503.791,53401.194,54200.714,48096.85,50726.85,43028.77,39389.138,35752.682,32144.317,30133.257,28882.077,28050.661,27919.353,26801.025,25334.945,24230.197,23023.793,22690.073,22312.353,21841.317,21245.017,20869.289,20851.161,20220.781,18817.473,17600.049,16523.143,15194.912,14064.648,13218.159,12466.343,12042.448,11623.292,11457.678,11834.536,11775.899,11131.686,10377.785,9761.106,9301.296,8983.966,8792.395,8824.588,8754.732,8445.477,8052.828,7623.568,7234.254,6911.43,6692.076,6757.885,6539.227,6049.39,5421.39,4787.749,4308.719,3954.156,3702.641,3713.259,3606.677,3399.162,3162.725,2997.602,2784.222,2591.332,2461.253,2464.414,2438.08,2367.208,2251.924,2177.559,2143.146,2105.68,2094.137,1935.573,1816.817,1708.994,1642.31,1536.773,1458.01,1396.246,1356.046,1295.587,1242.901,1199.806,1147.461,1069.818,1040.648,1052.816,1045.468,958.693,900.653,861.319,864.241,856.27,834.105,822.679,816.848,809.028,781.043,771.355,748.015,716.137,706.624,704.895,693.631,674.873,653.435,614.826,591.387,578.624,551.75,525.035,507.588,491.244,467.529,448.608,430.641,421.65,413.441,399.976,381.361,363.883,349.431,329.68,309.774,286.862,262.976,248.093,233.664,218.075,205.03,191.863,180.285,165,152.699,141.469,131.332,123.436,116.548,111.258,107.595,104.461,101.104,98.583,95.852,87.804,84.397,80.297,76.27,73.861,72.302,69.901,67.736,65.269,63.787,62.583,61.454,60.546,59.495,57.991,56.274,53.972,51.837,49.866
"14","6","      Software \1\","B985RG3",148.219,147.815,147.351,146.385,143.131,140.531,138.498,136.969,137.159,137.242,137.371,137.442,134.359,133.012,131.281,129.464,128.408,127.072,126.442,126.177,127.492,127.991,128.488,128.285,126.31,125.483,124.257,123.169,121.807,121.182,120.429,119.88,119.753,119.451,119.042,118.945,119.155,119.195,119.538,119.955,120.12,120.002,120.694,121.337,122.612,122.616,122.623,122.301,120.826,119.88,119.304,118.47,117.72,117.424,117.391,117.45,118.728,119.639,120.15,120.54,121.139,123.215,125.644,127.737,129.484,129.468,129.597,130.099,129.764,129.65,129.997,130.399,131.456,131.604,131.286,130.519,128.655,128.196,128.007,128.4,130.493,131.476,132.637,133.809,134.186,135.261,135.754,136.267,138.34,139.533,140.928,142.162,143.332,143.825,144.302,144.417,143.692,142.973,142.111,141.331,140.737,140.728,139.838,139.116,139.109,138.061,137.347,136.073,134.076,132.783,131.972,131.705,131.946,131.776,131.71,131.397,131.43,131.02,129.948,128.552,126.304,124.67,122.984,121.27,120.24,119.476,119.106,119.194,120.863,120.016,118.632,116.487,111.843,109.416,107.974,107.104,108.618,108.696,108.432,107.786,106.087,105.055,104.293,103.797,104.275,104.5,104.243,103.695,102.984,102.107,101.229,100.437,99.714,99.396,98.419,97.491,96.206,95.843,95.755,95.474,96.296,96.861,97.367,97.665,98.428,99.498,100.952,101.122,100.784,101.197,99.916,100.088,99.712,98.485,98.603,98.368,97.507,97.487,96.682,95.262,94.916,94.65,94.704,93.892,94.243,94.354,94.203
"15","7","      Communication equipment","B275RG3",53.808,53.942,54.238,54.469,54.386,53.847,53.352,53.352,53.372,53.455,53.495,53.303,53.207,53.04,52.844,52.689,53.076,53.293,53.387,53.479,53.712,54.073,54.212,54.309,54.016,53.846,53.721,53.776,53.848,54.223,54.607,54.947,55.487,55.915,56.411,56.929,57.578,58.275,59.399,60.602,61.334,61.898,62.514,62.993,63.725,64.552,65.445,66.542,67.144,67.983,68.732,69.473,70.583,71.365,71.945,72.313,72.864,73.513,73.558,73.226,74.252,77.922,81.267,84.257,86.209,87.316,87.704,88.107,90.749,92.749,92.818,91.686,90.076,89.393,89.025,89.163,90.74,92.786,94.354,94.912,94.653,95.404,94.895,95.113,96.679,99.682,103.025,106.532,108.2,108.924,109.951,111.626,114.459,115.562,116.169,117.297,117.942,118.341,119.953,119.985,121.191,122.622,123.532,123.812,124.831,125.148,125.227,125.35,125.247,125.172,126.402,125.643,127.065,125.917,126.027,127.15,128.302,126.109,125.529,126.219,126.516,126.783,126.435,126.684,127.298,126.522,126.391,125.998,126.964,127.278,127.234,126.459,126.3,125.957,126.459,125.313,125.113,124.657,124.526,124.3,124.184,123.383,122.172,120.79,120.32,119.489,118.393,117.38,117.137,116.498,116.554,116.68,116.813,116.164,115.841,114.501,111.906,109.637,108.083,107.053,106.131,104.907,103.499,101.885,101.311,100.348,99.657,98.683,97.633,96.178,95.314,94.858,94.721,93.672,92.9,92.424,91.949,91.499,90.872,90.347,88.985,88.193,87.866,87.684,87.621,87.532,86.92
"16","8","    Medical equipment and instruments","W176RG3",28.827,29.055,29.308,29.498,29.363,29.469,29.632,29.622,29.663,29.558,29.544,29.64,29.653,29.633,29.672,29.812,29.762,29.687,29.561,29.503,29.472,29.423,29.393,29.562,29.562,29.558,29.587,29.69,29.874,30.378,30.703,30.783,31.002,31.102,31.11,31.232,31.453,31.772,32.097,32.333,32.482,32.634,32.921,33.384,33.908,34.29,34.54,34.802,34.966,35.337,35.614,35.647,35.652,35.605,35.714,35.797,35.952,36.312,36.84,37.349,37.666,38.407,39.802,41.904,44.115,45.294,46.045,46.873,47.585,48.21,48.854,49.435,49.826,50.79,51.801,52.666,53.85,54.869,55.818,56.771,58.035,59.496,60.882,62.158,63.644,65.335,67.191,68.897,70.24,71.566,73.216,74.896,75.315,76.267,77.233,77.341,78.213,78.764,79.112,79.73,80.718,80.654,80.795,81.508,81.375,81.555,80.795,81.52,83.338,84.617,85.364,85.788,87.345,88.861,88.134,89.383,90.055,90.309,89.703,90.941,91.827,92.015,92.136,92.771,93.836,94.213,94.782,96.151,97.161,96.23,96.543,97.436,98.3,98.614,100.207,100.174,100.617,101.378,101.081,101.244,101.528,101.777,102.124,102.197,102.415,102.95,103.603,103.604,103.973,103.622,103.404,103.272,102.584,102.201,102.206,101.793,101.502,101.209,101.215,101.3,101.232,100.716,100.048,100.535,100.108,99.837,99.983,100.071,100.09,100.423,100.553,100.678,100.704,101.009,101.206,101.24,101.996,102.33,102.577,102.61,102.541,102.272,102.308,102.216,102.49,102.369,102.497
"17","9","    Nonmedical instruments","W177RG3",23.563,23.796,24.075,24.325,24.357,24.566,24.814,24.901,24.988,24.968,25.021,25.166,25.23,25.283,25.392,25.594,25.67,25.673,25.607,25.57,25.499,25.432,25.377,25.493,25.447,25.437,25.484,25.628,25.905,26.465,26.907,27.171,27.649,27.936,28.076,28.27,28.472,28.802,29.131,29.378,29.597,29.735,29.959,30.307,30.569,30.852,31.077,31.383,31.81,32.299,32.698,32.856,32.953,33.015,33.181,33.263,33.233,33.437,33.789,34.134,34.368,34.931,36.077,37.857,39.672,40.631,41.24,41.981,42.746,43.419,44.132,44.805,45.424,46.418,47.372,48.053,48.642,49.217,49.705,50.188,51.009,51.959,52.805,53.545,54.385,55.563,57.031,58.507,59.931,60.889,61.803,62.497,62.18,64.644,66.775,67.527,68.401,68.838,68.952,69.012,69.359,68.88,69.023,70.06,71.149,71.67,70.944,71.631,72.999,73.817,74.265,74.785,75.458,76.487,76.308,77.172,78.261,78.849,79.233,80.193,80.984,81.544,81.81,82.459,83.794,84.48,85.058,86.104,87.001,86.865,87.283,87.97,88.808,89.194,90.342,90.552,91.022,91.728,91.64,91.949,92.513,92.923,93.376,93.584,93.897,94.452,95.16,95.382,95.873,95.97,96.299,96.846,97.563,97.762,98.077,98.15,98.325,98.439,98.773,98.852,98.879,98.819,98.813,99.303,99.669,99.876,100.108,100.347,100.562,100.758,100.946,101.187,101.601,101.877,102.269,102.481,102.866,103.197,103.512,103.79,104.006,104.191,104.482,104.868,105.398,106.079,106.32
"18","10","    Photocopy and related equipment","B285RG3",74.78,75.397,75.564,76.127,75.556,75.755,76.197,76.556,77.286,77.25,77.192,79.114,79.091,78.869,79.153,79.879,79.44,79.729,79.28,77.507,78.333,78.417,78.668,79.378,79.21,79.884,79.972,79.719,79.35,79.443,79.411,79.986,81.566,81.33,81.474,81.69,79.617,79.639,78.355,77.927,77.515,76.96,77.521,77.556,77.926,77.975,77.612,77.314,77.413,77.854,77.808,77.749,77.847,76.554,76.333,76.27,76.517,76.968,77.334,77.515,77.718,79.035,79.265,79.372,80.783,81.975,81.659,83.699,83.806,84.416,86.508,86.469,87.82,86.044,85.666,86.03,87.173,88.803,90.435,92.427,91.934,91.906,93.865,97.015,102.211,104.633,107.91,107.909,109.486,111.824,109.365,108.77,108.154,111.383,111.218,112.326,114.05,112.882,111.937,112.872,113.06,114.465,115.037,114.891,116.19,115.565,117.061,118.754,120.882,122.303,124.511,124.788,126.881,128.763,127.533,129.26,131.371,132.472,132.574,134.064,135.888,137.242,137.239,137.645,138.983,138.857,140.217,141.686,142.554,142.082,142.636,143.536,148.058,147.421,148.059,146.401,144.376,142.672,142.096,140.731,141.179,140.31,139.469,139.577,142.196,143.703,143.161,141.025,137.512,133.584,130.34,127.911,126.351,124.052,120.603,117.061,111.459,109.441,107.112,105.466,105.627,104.228,103.297,102.276,100.855,100.157,99.764,99.224,98.881,98.245,96.894,95.071,93.472,91.747,90.868,90.506,91.16,91.056,90.902,90.843,90.577,89.992,89.816,89.711,89.751,89.454,89.166
"19","11","    Office and accounting equipment","B936RG3",66.994,67.253,67.991,68.391,67.672,67.702,67.685,67.586,67.939,67.811,67.89,67.684,67.07,66.834,67.425,68.381,68.05,67.851,67.789,68.21,67.656,67.283,68.18,70.145,68.468,68.513,68.641,68.716,68.655,68.807,68.979,69.526,69.946,70.51,70.736,70.822,70.553,70.487,70.644,70.625,71.037,70.967,71.442,72.067,72.311,72.823,73.229,73.494,73.832,73.423,73.728,74.566,74.784,73.268,73.309,74.032,74.642,75.171,75.576,76.134,76.448,77.308,78.508,79.773,81.293,82.507,83.242,83.417,82.083,81.355,81.567,82.424,84.889,86.996,86.258,83.349,85.838,84.538,82.962,81.775,81.247,80.909,81.148,81.628,82.061,82.093,82.134,82.318,81.958,83.172,84.372,85.15,83.806,85.264,86.4,86.714,85.996,86.393,86.305,86.44,87.035,86.929,86.257,85.573,84.785,84.954,85.363,86.68,88.482,90.371,91.373,91.467,92.318,94.44,95.842,97.592,95.876,96.89,97.244,98.602,98.798,98.558,97.667,97.938,97.628,97.044,97.111,97.892,97.941,97.3,97.377,97.898,98.294,98.713,99.008,99,99.52,100.094,100.814,101.131,101.8,102.051,102.142,102.242,102.368,103.585,103.481,103.041,102.256,101.871,101.679,101.398,101.042,101.198,100.474,101.378,101.53,100.847,100.633,100.197,100.307,100.56,100.908,100.432,100.356,99.93,100.019,99.694,98.63,98.335,98.253,98.205,98.068,98.209,97.988,97.725,97.907,98.273,97.86,98.181,98.649,98.29,98.859,99.367,100.726,97.385,97.631
"20","12","  Industrial equipment","B680RG3",19.248,19.433,19.633,19.772,19.891,19.925,19.943,19.89,19.846,19.747,19.707,19.688,19.651,19.715,19.792,19.825,19.821,19.791,19.791,19.832,19.881,19.94,20.018,20.101,20.173,20.243,20.319,20.398,20.51,20.671,20.911,21.191,21.436,21.634,21.82,22.015,22.199,22.503,22.783,23.069,23.178,23.27,23.445,23.722,24.062,24.417,24.744,25.044,25.269,25.558,25.823,26.005,26.05,26.146,26.213,26.341,26.502,26.743,27.057,27.393,27.842,28.564,29.834,31.587,33.557,35.172,36.27,37.002,37.51,38.083,38.763,39.541,40.582,41.567,42.451,43.259,44.289,45.144,46.068,47.065,48.234,49.462,50.812,51.982,54.021,55.831,57.555,59.173,60.506,61.652,62.628,63.431,63.699,64.996,65.515,65.828,66.103,66.424,66.403,66.447,66.714,67.132,67.191,67.305,67.352,67.783,68.434,69.227,70.289,71.08,71.796,72.054,73.449,74.171,74.314,75.591,76.534,77.601,77.692,79.07,79.671,79.977,80.816,81.732,82.985,83.752,84.804,86.094,87.242,87.015,87.305,88.108,88.675,89.038,90.002,89.708,89.944,90.408,90.751,91.207,91.484,92.065,92.704,93.44,94.063,95.451,96.148,96.648,97.168,97.357,97.699,98.019,98.143,98.128,98.242,98.391,98.533,98.704,98.945,99.111,99.361,99.255,99.401,99.683,99.801,99.922,100.109,100.168,100.519,100.716,100.659,100.813,100.642,100.639,101.006,101.12,101.357,101.527,101.762,102.002,103.023,103.793,104.589,105.639,106.962,108.209,108.453
"21","13","    Fabricated metal products","B263RG3",22.773,23.061,23.321,23.595,23.816,23.96,23.981,23.752,23.493,23.304,23.259,23.222,23.234,23.26,23.36,23.378,23.476,23.493,23.455,23.342,23.359,23.324,23.328,23.422,23.414,23.398,23.377,23.339,23.379,23.54,23.689,23.95,23.956,24.012,24.308,24.659,24.077,24.735,24.969,25.612,25.533,25.413,25.457,25.815,26.074,26.488,26.972,27.433,27.524,27.899,28.456,28.864,29.004,29.246,29.192,29.359,29.574,29.914,30.296,30.78,31.444,32.289,34.018,36.309,38.799,40.8,41.826,42.295,42.464,42.861,43.373,44.055,45.016,46.399,47.905,49.622,50.78,51.941,53.268,54.703,56.225,58.166,60.368,60.296,64.296,65.858,67.409,69.195,70.691,71.997,72.663,73.758,75.185,77.125,78.653,79.521,79.454,79.598,79.142,78.784,78.974,78.976,79.058,78.918,79.418,79.799,79.741,79.847,79.688,79.262,78.624,78.342,78.311,78.302,78.494,79.217,81.064,83.751,84.789,85.878,87.3,87.934,88.386,88.855,89.718,90.498,90.618,91.065,91.524,92.081,92.493,92.675,93.459,93.632,93.417,93.213,92.811,92.757,92.756,92.419,92.022,92.487,92.921,94.192,95.226,96.612,97.771,98.81,100.018,100.295,100.729,100.745,100.997,100.759,100.611,100.543,100.587,100.682,100.778,100.731,100.542,100.441,100.068,99.906,99.543,99.704,100.038,100.715,100.666,101.889,101.732,102.11,102.512,102.857,103.654,104.001,104.602,104.848,105.131,105.546,107.756,111.19,114.188,116.432,118.913,120.195,121.401
"22","14","    Engines and turbines","B668RG3",18.389,18.497,18.561,18.656,18.677,18.632,18.544,18.414,18.342,18.197,18.001,17.766,17.294,17.086,17.079,17.044,17.063,17.04,17.01,17.032,17.05,17.106,17.214,17.496,17.356,17.373,17.396,17.401,17.454,17.498,17.544,17.608,17.766,18.05,18.413,18.794,18.99,19.188,19.355,19.552,19.777,19.972,20.343,20.748,21.118,21.669,22.176,22.696,23.232,23.638,23.85,24.042,24.173,24.341,24.577,24.843,25.064,25.211,25.357,25.552,25.779,26.171,26.811,27.738,29.043,30.622,32.605,34.376,35.564,36.313,37.27,38.398,39.669,40.706,41.202,41.092,44.364,45.046,45.318,45.623,46.03,46.345,47.392,49.778,53.328,56.709,60.193,61.373,61.287,62.366,63.549,65.411,62.155,63.249,64.115,64.732,64.885,65.05,65.042,65.265,65.245,65.244,65.287,65.38,65.321,65.389,65.465,65.689,65.901,66.391,66.928,67.225,68.198,68.266,68.261,68.238,68.852,69.376,70.756,71.706,71.696,73.067,77.638,81.59,83.334,83.505,83.649,85.508,86.782,86.893,87.937,88.289,88.85,89.304,88.914,88.763,88.812,89.132,89.226,88.946,90.516,91.335,91.979,93.247,93.471,94.644,94.881,94.89,95.274,95.737,96.697,96.914,97.155,97.327,97.883,97.972,97.927,97.833,98.127,98.187,99.293,99.423,99.503,99.714,99.854,99.964,100.085,100.098,100.201,100.166,100.178,100.445,100.407,100.986,101.365,101.686,101.86,102.061,101.804,101.903,102.33,102.299,102.693,103.065,103.875,104.339,102.925
"23","15","      Steam engines","BA13RG3",18.06,18.172,18.183,18.213,18.248,18.176,18.056,17.879,17.829,17.679,17.419,17.047,16.546,16.177,16.142,15.96,16.133,16.097,16.069,16.077,16.135,16.143,16.208,16.542,16.354,16.329,16.302,16.338,16.302,16.345,16.397,16.534,16.734,17.106,17.543,17.988,18.132,18.288,18.435,18.656,18.915,19.128,19.479,19.923,20.274,20.838,21.356,21.892,22.456,22.862,23.102,23.268,23.388,23.553,23.793,24.07,24.345,24.457,24.569,24.774,24.992,25.288,25.778,26.497,27.74,29.345,31.448,33.404,34.602,35.239,36.126,37.327,38.455,39.422,40.314,40.7,44.049,44.617,44.273,44.079,44.197,44.313,45.194,48.166,52.567,56.555,61.056,61.822,60.58,61.068,61.868,64.254,59.213,60.147,60.636,60.758,60.908,61.034,61.19,61.205,61.146,61.138,61.095,61.088,61.034,61.147,61.17,61.043,61.367,61.869,62.686,62.294,64.197,63.479,62.976,62.362,63.764,63.945,65.771,66.033,66.345,68.685,74.211,79.127,81.95,81.439,82.019,84.699,84.944,85.277,86.299,86.998,87.566,87.469,86.264,86.386,86.932,87.167,86.936,86.506,87.801,89.96,90.324,90.783,94.121,92.291,93.226,93.979,92.538,92.547,95.608,96.173,95.549,99.325,97.022,99.527,97.403,97.355,98.514,98.997,99.722,99.597,99.5,99.795,99.884,100.078,100.139,99.959,100.03,99.952,99.943,100.013,99.79,100.468,100.919,101.218,101.353,101.566,101.092,101.122,101.375,101.154,101.606,102.013,102.769,103.343,100.671
"24","16","      Internal combustion engines","BA14RG3",19.279,19.263,19.383,19.562,19.341,19.33,19.385,19.497,19.565,19.493,19.522,19.847,19.345,19.691,19.723,20.136,19.682,19.679,19.637,19.691,19.596,19.798,20.031,20.236,20.202,20.301,20.429,20.331,20.512,20.542,20.573,20.489,20.637,20.582,20.633,20.731,20.842,21.075,21.251,21.33,21.603,21.769,22.226,22.454,22.731,23.12,23.455,23.784,24.165,24.544,24.596,24.919,25.074,25.217,25.38,25.546,25.512,25.798,26.122,26.268,26.54,27.428,28.845,30.879,32.763,34.26,35.612,36.566,37.398,38.42,39.451,40.164,41.79,42.937,42.429,40.993,44.131,45.043,46.377,47.567,48.415,49.136,50.547,51.848,53.987,56.491,58.627,60.55,62.873,64.988,66.382,66.506,65.107,65.375,65.948,66.869,66.624,66.703,66.335,67.048,67.521,67.626,67.768,68.006,67.657,67.512,67.379,67.834,67.984,68.298,69.184,69.761,70.414,71.659,72.38,74.885,73.232,74.415,75.188,76.268,76.483,77.485,78.635,79.325,79.725,79.988,80.345,81.146,82.448,82.742,83.838,84.4,84.887,85.033,86.335,85.945,86.216,87.103,87.923,88.433,89.127,89.552,90.291,91.437,92.053,93.356,93.845,93.722,94.603,95.471,96.016,96.591,97.275,97.254,97.282,97.467,97.316,96.995,97.539,97.664,98.678,99.008,99.205,99.582,99.711,99.858,100.132,100.309,100.658,100.815,100.925,101.904,102.624,102.799,102.935,103.376,103.748,103.896,104.436,104.724,105.514,105.817,106.111,106.43,107.32,107.577,107.919
"25","17","    Metalworking machinery","B271RG3",16.291,16.499,16.748,16.957,17.175,17.283,17.436,17.556,17.538,17.488,17.447,17.428,17.578,17.83,17.981,18.022,17.948,17.866,17.871,17.918,17.944,18.082,18.209,18.369,18.519,18.588,18.626,18.712,18.883,19.13,19.33,19.549,19.731,19.853,19.977,20.166,20.38,20.685,21.017,21.303,21.396,21.415,21.543,21.813,22.262,22.639,22.874,22.947,22.895,23.091,23.305,23.47,23.543,23.658,23.759,23.852,24.043,24.344,24.652,24.853,25.261,26.057,27.459,29.389,31.198,32.23,32.83,33.349,33.819,34.415,35.028,35.737,36.816,37.889,38.871,39.855,40.656,41.76,42.775,43.817,45.436,46.792,48.134,49.618,51.843,53.595,55.107,56.97,57.741,58.952,60.223,60.841,61.175,63.152,63.74,63.527,63.737,63.662,63.644,63.663,63.977,64.797,64.769,64.743,64.644,65.35,66.401,67.463,68.817,69.71,70.551,71.21,72.392,73.051,73.564,74.705,75.432,76.31,76.572,77.8,78.128,78.024,78.952,79.574,80.698,81.265,82.298,83.841,85.263,85.062,85.464,86.348,87.022,87.483,88.092,87.923,88.378,89.143,89.803,90.349,90.74,91.725,92.21,92.733,93.296,95.119,96.052,96.192,96.838,97.114,97.45,97.877,97.889,97.768,98.011,98.303,98.605,98.65,98.804,99.102,99.266,99.099,99.214,99.66,99.816,99.812,100.087,100.285,100.631,100.176,99.997,100.248,99.777,99.66,100.384,100.187,100.118,100.065,100.11,100.313,101.344,101.399,101.881,102.826,104.163,106.067,106.263
"26","18","    Special industry machinery, n.e.c.","B272RG3",14.525,14.684,14.851,14.915,14.988,15.108,15.204,15.2,15.248,15.128,15.131,15.191,15.216,15.287,15.321,15.43,15.529,15.611,15.71,15.844,15.93,16.011,16.07,16.118,16.199,16.292,16.367,16.413,16.502,16.635,16.885,17.188,17.476,17.679,17.786,17.879,18.129,18.385,18.629,18.861,19.002,19.201,19.455,19.717,19.988,20.199,20.384,20.598,20.89,21.182,21.399,21.592,21.701,21.795,21.897,21.955,22.093,22.357,22.842,23.345,23.872,24.907,26.373,28.026,29.689,30.797,31.551,32.095,32.586,33.311,34.129,34.94,36.499,37.096,37.433,37.859,39.332,40.232,41.295,42.295,43.389,44.499,45.629,46.893,48.056,49.941,51.616,52.789,54.713,55.487,56.586,57.566,57.688,58.487,59.028,59.534,59.693,60.481,60.879,61.188,61.619,62.196,62.192,62.271,62.092,63.067,63.497,64.692,66.118,67.155,68.441,68.915,70.916,71.395,71.391,73.227,74.379,75.44,75.297,76.738,77.125,77.297,77.921,78.759,80.067,80.815,82.258,84.014,85.432,84.982,85.145,86.216,87.12,87.47,89.177,88.602,88.825,89.501,89.791,90.309,90.485,91.045,92.04,92.89,93.503,95.092,95.715,95.899,96.872,97.027,97.53,97.954,98.253,97.997,98.117,98.298,98.357,98.641,99.015,99.49,99.955,99.827,99.811,100.019,100.195,100.008,100.016,99.781,100.308,100.604,100.407,99.979,99.927,99.869,99.897,100.186,100.305,100.458,101.133,101.439,102.719,103.639,103.98,104.851,105.825,106.383,106.616
"27","19","    General industrial, including materials handling, equipment","B273RG3",19.209,19.483,19.715,19.842,20.003,19.983,19.948,19.942,19.947,20.008,20.047,20.056,19.986,19.988,20.1,20.158,20.158,20.177,20.204,20.288,20.356,20.364,20.429,20.486,20.64,20.752,20.92,21.107,21.256,21.432,21.726,21.972,22.235,22.385,22.528,22.692,22.942,23.222,23.501,23.734,23.945,24.121,24.366,24.706,25.089,25.505,25.911,26.274,26.572,26.894,27.18,27.371,27.458,27.574,27.613,27.779,27.924,28.087,28.296,28.587,28.986,29.469,30.427,31.962,34.004,35.974,37.367,38.209,38.785,39.302,40.008,40.838,41.665,42.642,43.509,44.165,45.004,45.715,46.535,47.543,48.502,49.668,51.003,52.374,54.049,55.701,57.387,58.983,60.404,61.707,62.639,63.193,63.004,63.89,64.053,64.379,64.712,64.823,64.581,64.914,65.265,65.36,65.312,65.5,65.555,65.682,66.651,67.477,68.841,69.941,70.691,70.68,72.242,73.471,73.618,75.461,76.373,77.423,77.153,78.986,79.259,79.368,80.027,80.844,82.171,83.052,84.25,85.449,86.372,85.982,86.377,87.349,87.649,88.032,89.598,89.249,89.565,90.037,90.454,91.171,91.654,92.057,92.575,93.246,93.939,95.003,95.583,95.969,96.534,96.721,97.042,97.371,97.555,97.734,97.802,98.026,98.2,98.407,98.762,98.949,99.306,99.275,99.302,99.662,99.726,99.796,100.134,100.344,100.667,100.929,101.147,101.593,101.668,101.725,102.216,102.352,102.851,103.179,103.372,103.721,104.715,105.52,106.413,107.566,108.997,110.476,110.742
