"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96"
"11","3","    Durable goods manufacturing industries","PK30D3",102.822,102.794,102.835,102.811,102.509,102.441,102.307,102.202,102.104,101.93,101.815,101.641,101.44,101.321,101.231,101.099,100.922,100.773,100.806,100.698,100.666,100.531,100.47,100.232,100.088,100.076,99.99,99.928,99.998,99.978,99.925,99.946,99.866,100.039,99.947,99.942,100.01,100.055,100.077,100.039,99.942,99.953,100.057,100.022,100.1,99.969,99.95,99.822,99.807,99.619,99.613,99.569,99.686,99.638,99.572,99.417,99.497,99.004,99.011,99.056,98.968,98.998,99.027,98.898,98.872,98.965,98.761,98.689,98.821,98.858,98.769,98.573,98.632,98.517,98.705,98.371,98.395,98.346,98.435,98.414,98.605,98.926,99,98.914,99.03,99.521,100.051,100.605,101.144,101.409,101.684,102.024,102.279
"12","4","      Wood product manufacturing","PK3213",100.098,101.005,101.429,102.043,102.378,101.975,102.068,101.61,101.209,100.899,101.346,101.003,100.335,100.384,99.933,100.028,98.997,97.824,98.994,99.935,99.662,98.941,98.764,99.041,99.771,100.442,101.44,101.355,102.619,105.153,107.8,106.421,104.394,102.646,102.344,102.856,103.211,102.682,102.457,102.06,100.011,99.771,98.897,97.784,97.924,98.471,98.165,97.616,96.489,96.449,96.476,96.516,101.051,102.114,99.438,99.324,99.073,97.432,97.147,96.535,97.085,97.302,98.356,98.235,97.66,96.986,97.119,97.748,97.436,97.378,97.105,97.148,97.099,97.535,96.592,96.707,97.008,97.936,100.504,101.376,106.474,107.341,108.137,106.341,105.062,108.899,112.326,114.463,116.898,114.257,111.519,116.415,117.602
"13","5","      Nonmetallic mineral product manufacturing","PK3273",94.413,94.427,94.534,94.726,94.718,94.713,94.754,94.93,94.928,95.191,95.256,95.276,95.068,95.149,95.22,95.671,95.918,96.225,96.604,96.809,96.917,97.074,97.086,97.14,97.268,97.847,97.942,98.028,98.306,98.513,98.539,98.908,98.98,99.324,99.39,99.36,99.821,99.947,100.037,100.038,100.114,100.186,100.093,99.915,100.107,100.016,99.96,99.76,100.102,100.702,100.624,100.709,100.815,100.649,100.985,101.042,101.235,101.451,101.667,101.546,101.566,101.22,101.131,101.279,101.598,101.733,101.713,102.037,102.123,102.064,102.023,102.071,102.108,102.199,102.154,102.267,102.185,102.12,102.216,102.349,102.467,102.476,102.774,102.765,103.11,103.907,103.764,104.041,104.5,104.914,105.514,105.953,106.827
"14","6","      Primary metal manufacturing","PK3313",104.518,104.959,105.602,105.557,105.655,106.021,105.581,105.673,105.484,105.266,105.103,104.423,103.668,103.357,102.83,102.702,102.19,101.45,100.745,100.348,99.865,99.213,98.493,97.443,96.531,95.878,95.496,95.376,95.792,95.671,96.145,96.406,96.806,97.691,97.943,98.401,99.502,100.26,100.208,100.41,100.38,100.013,100.183,100.148,100.367,100.179,99.182,99.119,98.761,98.414,97.99,97.174,97.222,96.789,96.486,96.079,95.847,95.348,95.124,95.057,94.811,94.792,95.341,95.536,96.118,97.019,97.438,97.441,98.177,98.396,99.058,99.213,99.21,99.319,98.992,98.475,98.36,98.153,98.181,98.463,98.945,100.139,101.3,102.713,104.821,108.566,111.01,115.303,116.978,119.572,123.93,125.072,126.809
"15","7","      Fabricated metal product manufacturing","PK3323",96.85,96.945,97.108,97.219,97.344,97.419,97.637,97.814,97.884,98.012,98.051,98.055,98.14,98.233,98.321,98.359,98.488,98.638,98.611,98.607,98.671,98.684,98.845,98.763,98.741,98.707,98.687,98.79,98.814,98.881,98.891,98.927,99.032,99.176,99.335,99.359,99.514,99.632,99.892,99.995,99.874,100.01,100.018,100.056,100.147,100.231,100.288,100.36,100.547,100.559,100.624,100.703,100.787,100.747,100.798,100.8,100.819,100.91,100.902,101.009,101.069,101.006,100.984,100.99,101.08,101.139,101.343,101.384,101.443,101.538,101.538,101.548,101.558,101.587,101.58,101.545,101.55,101.573,101.725,101.806,101.928,102.04,102.24,102.436,102.842,103.705,104.485,105.744,106.694,107.573,108.229,109.335,109.671
"16","8","      Machinery manufacturing","PK3333",96.501,96.571,96.698,96.869,96.971,96.96,97.105,97.236,97.289,97.394,97.434,97.52,97.582,97.67,97.808,97.94,98.014,98.137,98.183,98.271,98.459,98.452,98.579,98.664,98.813,98.882,98.9,99.039,99.135,99.163,99.204,99.265,99.249,99.371,99.372,99.469,99.559,99.646,99.701,99.777,99.84,100,100.084,100.156,100.251,100.262,100.328,100.425,100.56,100.651,100.716,100.835,100.945,101.041,101.069,101.17,101.2,101.24,101.373,101.379,101.385,101.421,101.544,101.434,101.492,101.501,101.613,101.606,101.724,101.905,101.964,102.001,102.113,102.086,102.059,102.147,102.202,102.363,102.402,102.516,102.703,102.814,102.771,102.88,103.007,103.274,103.703,104.015,104.325,104.534,104.959,105.085,105.364
"17","9","      Computer and electronic product manufacturing","PK3343",121.271,120.544,120.027,119.686,117.947,117.389,117.052,116.003,115.482,114.673,114.209,113.867,113.208,112.412,111.806,110.968,110.41,110.028,109.505,108.841,108.377,107.849,107.484,106.842,106.406,106.054,105.683,105.179,104.782,104.244,103.35,103.236,102.759,102.421,102.051,101.558,101.108,100.785,100.522,100.287,99.787,99.874,100.049,100.075,99.88,99.588,99.378,98.846,98.711,98.381,97.992,97.484,97.257,96.791,96.448,95.729,95.566,95.38,95.228,95.058,94.923,94.595,94.567,93.963,93.674,93.402,92.832,92.508,92.319,91.848,91.433,90.711,90.394,89.658,89.466,89.404,89.14,88.677,88.359,87.499,87.08,86.663,86.589,86.08,85.858,85.599,85.538,85.453,85.536,85.145,85.077,85.001,84.516
"18","10","      Electrical equipment, appliance, and component manufacturing","PK3353",98.988,99.132,99.475,99.49,99.717,99.773,99.607,99.471,99.419,99.351,99.247,99.225,99.132,98.954,99.145,99.106,99.102,99.292,99.199,99.243,99.31,99.129,99.055,98.931,98.889,98.581,98.511,98.427,98.572,98.458,98.72,98.888,99.25,99.387,99.347,99.366,99.561,99.895,100.012,99.863,99.977,99.932,100.015,100.15,100.154,100.26,100.119,100.074,100.162,100.106,100.117,99.958,99.893,99.869,99.745,99.657,99.725,99.574,99.636,99.675,99.725,99.739,99.449,99.444,99.306,99.419,99.386,99.418,99.321,99.286,99.3,99.23,99.413,99.064,99.073,99.051,99.099,99.208,99.112,99.216,99.276,99.404,99.547,99.867,99.952,100.457,101.4,102.086,102.8,102.83,102.909,103.015,103.37
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.318,99.781,100.091,100.434,100.192,100.284,100.649,100.646,101.032,99.701,99.808,100.152,99.878,100.198,100.076,100.002,99.969,100.256,99.662,99.456,99.802,100.087,99.92,99.693,99.978,100.077,101.071,99.984,100.235,100.213,100.274,100.553,100.583,101.531,101.359,101.233,101.226,101.142,101.449,101.472,101.916,102.41,102.385,102.08,102.334
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.042,99.212,99.599,99.997,99.585,99.646,100.096,100.021,100.472,98.574,98.715,99.136,98.744,99.148,98.951,98.856,98.773,99.139,98.212,97.866,98.298,98.633,98.332,97.969,98.233,98.321,99.592,98.001,98.235,98.123,98.16,98.447,98.419,99.429,99.162,98.898,99.044,98.872,99.176,99.002,99.605,100.224,100.031,99.387,99.66
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,101.105,101.295,101.413,101.6,101.807,101.975,102.128,102.314,102.554,102.619,102.651,102.81,102.827,102.937,103.006,102.986,103.102,103.167,103.508,103.71,103.806,103.941,104.143,104.274,104.625,104.757,105.013,105.266,105.554,105.767,105.891,106.145,106.328,107.097,107.18,107.429,107.009,107.153,107.471,108.03,108.046,108.225,108.639,109.216,109.419
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.851,100.98,101.101,101.28,101.396,101.473,101.438,101.551,101.605,101.644,101.639,101.753,101.88,101.842,101.813,101.903,102.037,102.397,102.5,102.78,102.862,102.938,102.887,103.042,103.058,103.081,103.181,103.246,103.302,103.358,103.389,103.139,103.334,103.328,103.506,103.555,104.054,103.779,103.776,103.858,104.973,105.166,105.717,105.81
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.904,100.909,101.017,101.097,101.331,101.417,101.59,101.729,101.932,101.955,102.076,102.11,102.133,102.334,102.307,102.499,102.506,102.7,102.755,102.853,102.971,103.094,103.181,103.203,103.509,103.474,103.63,103.721,103.717,103.841,104.017,104.115,104.073,104.185,104.26,104.372,104.588,104.686,104.838,104.938,105.004,105.111,105.217,105.069,105.587
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.108,102.155,101.668,102.286,102.539,102.068,100.381,100.413,101.219,98.89,97.947,96.917,96.675,96.862,98.153,99.134,98.354,98.811,99.616,99.757,101.23,101.791,101.398,101.722,103.374,106.13,107.202,104.082,102.669,103.756,104.196,104.825,104.68,105.591,105.971,107.187,108.167,108.267,108.836,110.357,111.507,111.192,112.408,112.495,112.89
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.582,101.844,102.56,103.114,103.958,104.273,104.562,105.293,105.023,104.525,102.894,102.443,102.254,102.499,102.552,101.933,101.435,101.775,102.231,102.097,105.763,102.493,102.464,103.506,104.778,105.439,105.421,105.569,106.366,107.751,107.647,108.403,109.74,112.206,112.523,112.019,110.806,111.538,113.046,116.461,119.02,118.038,116.278,113.884,112.833
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.243,104.453,104.666,104.472,106.764,106.874,106.975,107.039,107.107,107.38,108.194,108.265,107.515,107.785,107.672,109.264,109.336,109.569,109.621,109.772,110.039,109.778,110.26,107.951,107.576,107.288,107.772,107.257,107.5,107.585,107.754,107.729,107.731,108.597,108.275,108.821,109.208,109.016,108.284,109.018,108.929,109.169,109.014,109.745,109.373
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.224,100.332,100.325,100.308,99.893,99.954,99.273,99.084,98.969,98.613,98.417,98.408,98.105,97.91,97.937,97.787,97.758,97.801,97.738,97.519,97.637,97.493,97.444,97.705,97.083,96.957,96.805,97.008,97.47,97.033,97.188,97.498,97.264,97.521,97.648,97.511,98.072,98.157,97.585,98.258,98.2,98.991,99.338,99.208,98.935
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.235,101.514,100.888,101.491,101.288,101.197,101.773,101.256,100.749,101.533,101.261,101.05,101.515,101.149,100.943,101.241,100.883,101.312,101.59,101.601,101.16,101.089,101.416,100.846,101.027,100.99,101.246,101.472,101.647,102.482,102.441,102.444,102.243,102.608,103.592,102.282,101.427,101.507,100.201,101.25,101.983,102.625,102.654,103.185,103.424
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.093,100.089,99.878,99.833,99.813,99.684,99.683,99.74,99.666,99.601,99.564,99.235,99.218,99.088,98.887,98.734,98.844,99.045,98.925,98.934,98.956,99.066,99.096,99.237,98.777,98.762,98.919,98.738,98.457,98.345,98.169,98.637,98.79,98.789,98.758,98.71,98.564,98.348,98.463,98.544,98.583,98.365,98.12,98.153,98.506
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.578,102.459,102.798,104.088,104.517,103.811,103.805,104.068,103.166,102.824,102.4,101.879,102.374,101.946,101.985,102.079,102.518,102.957,103.364,104.139,104.035,103.875,104.232,104.378,104.397,104.463,104.512,104.909,104.354,104.686,104.855,104.707,105.203,105.454,105.687,105.622,105.85,106.025,106.158,105.847,106.104,105.596,105.683,105.719,105.558
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,101.039,101.081,101.007,101.114,100.726,100.699,100.301,99.504,99.478,99.18,98.777,98.944,98.472,97.994,97.609,97.882,97.258,97.477,97.55,97.97,98.442,98.901,99.218,99.095,99.058,99.145,98.883,98.924,99.079,98.944,98.736,98.676,98.537,98.279,98.419,98.388,97.812,98.001,98.032,98.654,99.387,100.466,101.465,102.067,102.707
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.014,101.181,101.338,101.793,101.574,101.557,101.63,101.357,101.418,101.36,101.294,101.035,101.207,101.233,100.914,101.045,101.018,101.167,101.242,101.054,101.01,100.985,100.997,101.067,101.028,101.308,101.311,101.354,101.404,101.425,101.238,101.334,101.341,101.252,101.257,101.177,101.297,101.284,101.581,101.988,102.031,102.163,102.602,102.748,103.217
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,104.876,103.417,98.309,102.169,103.34,99.381,88.647,89.988,96.464,81.134,77.328,72.246,71.967,73.436,81.927,89.074,83.644,84.892,88.435,89,92.443,101.646,97.799,99.841,108.858,128.193,133.526,104.714,92.926,99.548,103.716,107.184,103.108,104.739,106.572,115.442,123.381,121.891,122.971,125.723,128.134,124.315,134.268,135.235,135.013
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.349,102.976,102.789,102.618,101.818,101.708,100.441,99.682,99.973,99.388,99.34,98.75,98.466,98.39,98.817,99.022,99.337,99.786,100.773,100.921,101.052,101.629,101.946,101.691,102.561,103.42,105.034,105.882,105.447,105.005,104.688,104.531,104.904,105.15,105.288,105.679,106.533,106.935,107.42,108.164,108.581,109.631,109.986,111.482,113.726
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.094,100.911,101.294,101.271,101.383,101.316,101.212,100.786,100.561,100.55,100.607,100.393,100.245,99.877,100.127,100.308,100.516,100.933,100.688,100.945,101.303,101.398,100.958,101.026,101.498,102.292,103.156,103.81,103.811,103.485,103.336,103.414,103.213,103.321,103.383,103.539,103.8,104.061,104.164,104.287,104.747,105.094,105.5,105.749,106.227
