"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"30","12","    State and local","A924RC1","4,106.0","2,961.0","583.0","8,418.0","9,643.0","2,318.0","-5,565.0","2,799.0","8,442.0","13,444.0","8,200.0","5,378.0","4,137.0","-5,101.0","1,277.0","20,924.0","20,262.0","20,431.0","12,075.0","16,988.0","7,426.0","-6,453.0","-25,096.0","-37,510.0","-37,218.0","-26,967.0","-31,545.0","-12,453.0","1,678.0","15,404.0","9,230.0","9,909.0","-65,289.0","-120,926.0","-121,408.0","-108,364.0","-66,601.0","-39,407.0","-72,728.0","-165,057.0","-271,917.0","-237,299.0","-215,923.0","-232,557.0","-225,143.0","-224,770.0"
"31","13","Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0","2,736,201.0"
"32","14","  Private","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,034,225.0","2,120,826.0","2,216,283.0"
"33","15","    Domestic business","W276RC1","74,198.0","81,790.0","89,411.0","97,151.0","108,168.0","126,113.0","147,909.0","162,194.0","181,508.0","205,525.0","236,365.0","272,782.0","313,464.0","347,520.0","362,773.0","382,651.0","410,256.0","438,137.0","464,486.0","498,417.0","531,846.0","563,857.0","591,760.0","607,891.0","634,239.0","669,041.0","717,759.0","758,356.0","807,937.0","860,409.0","924,977.0","1,006,511.0","1,067,516.0","1,101,396.0","1,131,585.0","1,185,924.0","1,273,213.0","1,368,807.0","1,451,233.0","1,522,307.0","1,522,385.0","1,523,048.0","1,572,830.0","1,629,700.0","1,693,724.0","1,762,118.0"
"34","16","    Households and institutions","W279RC1","15,235.0","16,468.0","18,224.0","20,340.0","23,321.0","27,045.0","30,882.0","34,318.0","39,616.0","46,589.0","54,366.0","62,193.0","68,466.0","72,872.0","76,013.0","80,866.0","86,155.0","93,435.0","101,821.0","109,884.0","118,237.0","125,126.0","130,594.0","136,268.0","145,728.0","155,284.0","164,822.0","172,679.0","182,134.0","194,532.0","210,937.0","230,063.0","250,179.0","266,619.0","290,784.0","323,375.0","362,085.0","396,202.0","413,741.0","414,565.0","403,268.0","400,485.0","398,234.0","404,525.0","427,102.0","454,164.0"
"35","17","  Government","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","495,960.0","506,414.0","519,918.0"
"36","18","    Federal","A918RC1","25,776.0","27,578.0","28,998.0","30,080.0","31,735.0","34,677.0","37,785.0","40,629.0","43,728.0","47,458.0","51,755.0","57,892.0","65,277.0","72,668.0","78,962.0","86,403.0","93,349.0","100,314.0","107,542.0","116,303.0","124,161.0","131,148.0","137,904.0","141,426.0","145,284.0","148,309.0","151,917.0","152,402.0","153,028.0","153,577.0","156,799.0","161,488.0","163,296.0","165,031.0","170,315.0","178,622.0","189,362.0","200,705.0","212,801.0","226,347.0","234,542.0","245,325.0","257,409.0","264,118.0","268,015.0","274,434.0"
"37","19","    State and local","A919RC1","9,654.0","10,947.0","12,232.0","13,326.0","14,856.0","18,333.0","20,961.0","22,068.0","23,482.0","25,491.0","28,647.0","33,140.0","37,839.0","41,256.0","42,798.0","44,414.0","46,893.0","50,277.0","54,103.0","57,783.0","61,866.0","66,698.0","70,867.0","74,140.0","78,347.0","82,938.0","88,285.0","92,583.0","96,856.0","101,753.0","108,148.0","116,178.0","122,988.0","129,022.0","134,536.0","143,778.0","157,296.0","170,305.0","186,575.0","200,154.0","208,187.0","212,733.0","222,170.0","231,842.0","238,399.0","245,484.0"
"38","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","234,705.0","233,568.0","255,648.0","284,795.0","341,432.0","356,660.0","361,490.0","419,956.0","478,857.0","571,317.0","658,589.0","674,561.0","781,951.0","734,680.0","773,628.0","923,194.0","935,216.0","944,554.0","992,725.0","1,079,634.0","1,177,780.0","1,208,922.0","1,246,315.0","1,263,556.0","1,320,184.0","1,435,955.0","1,520,108.0","1,637,901.0","1,795,846.0","1,872,223.0","1,965,639.0","2,019,774.0","1,953,293.0","1,917,651.0","1,976,650.0","2,138,700.0","2,297,890.0","2,428,972.0","2,518,330.0","2,373,314.0","2,147,862.0","2,304,731.0","2,397,251.0","2,616,378.0","2,822,149.0","2,973,565.0"
"39","21","Gross domestic investment","W170RC1","233,101.0","229,843.0","255,336.0","288,836.0","332,570.0","350,689.0","341,650.0","412,862.0","489,770.0","583,944.0","659,756.0","666,050.0","778,575.0","737,980.0","808,681.0","1,013,271.0","1,049,521.0","1,087,228.0","1,146,818.0","1,195,359.0","1,270,132.0","1,283,820.0","1,238,436.0","1,309,131.0","1,398,715.0","1,550,654.0","1,625,158.0","1,752,008.0","1,925,138.0","2,076,731.0","2,252,661.0","2,424,004.0","2,342,272.0","2,368,560.0","2,493,203.0","2,765,139.0","3,040,750.0","3,232,996.0","3,235,951.0","3,059,436.0","2,525,145.0","2,752,629.0","2,877,761.0","3,098,587.0","3,244,307.0","3,441,202.0"
