"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:26:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"      Monetary dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary dividends paid","A2218C1",34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.3,137.6,143.4,156.8,162.2,205.7,236.3,247.5,253.5,268,284.5,328.3,366,431.3,489.3,518.7,527.2,573.5,539,564.8,636.1,805.7,1121.6,1069.8,1221,1261.6,984.1,1018.3,1144.3,1253.1
"10","2","  Domestic corporate business \1\","A2219C1",30,30.2,31.4,34.4,40.5,48.1,43.3,52.8,60.5,66.6,77.1,86,95,101.1,108.8,117.9,122.4,128.9,134.3,160.6,188.4,203.8,212,223.3,245,268.6,307.4,362.2,409.4,435.5,434.7,487.3,451.8,472.2,535,670.1,758.2,883.8,972,945.2,753.2,770.3,851.7,955.2
"11","3","    Financial","B1440C1",5,5.6,5.9,6.3,7.2,7.1,7.2,7.8,9.1,10.6,12.5,13.3,16,15.4,16.6,20.5,23,25.2,28.2,32.7,40.6,45.3,49.3,48.4,59.7,69.8,84.1,112,131.1,136.2,150.4,174,152.4,167.1,185.8,239.3,287.2,333.1,395.1,363,262.7,260.4,314.7,377.8
"12","4","    Nonfinancial","B1441C1",25,24.6,25.5,28.1,33.2,40.9,36.1,45,51.4,56,64.6,72.6,79,85.7,92.2,97.5,99.4,103.7,106.1,127.9,147.9,158.5,162.8,174.9,185.3,198.8,223.4,250.2,278.3,299.2,284.4,313.4,299.3,305.1,349.2,430.8,471.1,550.8,576.9,582.2,490.4,509.9,537.1,577.4
"13","5","  Rest of the world \2\","B3375C1",4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.5,86.2,87.2,92.7,101,135.6,363.3,186,249,316.4,230.9,248,292.6,297.9
"14","6","Monetary dividends received","Y375RC1",34.8,35.3,37.5,40.9,49,59.7,51.9,64.5,74.7,81.3,97,107.5,115.8,124.9,128.3,137.6,143.4,156.8,162.2,205.7,236.3,247.5,253.5,268,284.5,328.3,366,431.3,489.3,518.7,527.2,573.5,539,564.8,636.1,805.7,1121.6,1069.8,1221,1261.6,984.1,1018.3,1144.3,1253.1
"15","7","  Domestic corporate business \2\","Y376RC1",11.6,12.2,13.7,15.4,20.8,28.8,21.5,28,33.4,35.2,45.5,49.5,49.6,54.9,54.6,53.6,52.7,57.4,56.3,80.8,82.3,81.9,80.3,88.3,88.2,100.3,112.9,134,154.2,157.7,165.3,168.1,157.1,154.2,169.1,211.4,488.9,292.6,356,378.3,349.8,379.2,357.9,395.8
"16","8","    Financial \3\","Y377RC1",5.6,5.9,6.4,7,8.3,9.4,10.1,10.7,12.9,15.1,18.5,21.5,23,23.3,25.7,23.3,25.3,26.5,26.5,35.1,39.8,41.7,43,47.7,52,59.5,67.5,81.3,91.9,99.5,105.5,106.1,103.2,103.9,113.2,145.2,188.6,212.9,263.7,270.3,211.1,244.8,261.1,297.2
"17","9","    Nonfinancial","B1444C1",6,6.3,7.3,8.4,12.5,19.4,11.5,17.2,20.5,20,27,28,26.5,31.6,28.9,30.3,27.4,30.8,29.9,45.8,42.5,40.2,37.3,40.7,36.1,40.8,45.4,52.7,62.3,58.2,59.7,62,53.9,50.3,55.8,66.3,300.3,79.7,92.3,108,138.7,134.4,96.8,98.7
"18","10","  Rest of the world \1\","B3376C1",1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119,126.6,136.2,141.1
"19","11","  Government","W065RC1",NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.2,2.3,2.4,3.2,20.9,19.3,21,23.4
"20","12","  Persons \4\","B1447C1",22.2,22,22.4,23.9,26.4,29,28.3,33.8,38.2,42.5,47.6,53.2,60.8,62.4,66.2,76.5,81.4,89.3,94.5,111.5,137.6,146.6,155.7,162.6,176.9,205.7,226.4,267.3,300.9,318.4,309.5,347.1,333.9,364.4,396.3,519,528,666.8,754,744.3,494.4,493.2,629.2,692.8
"21",NA,"      Imputed dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","13","Imputed dividends paid by domestic corporate business, financial","Y378RC1",2,2.3,2.7,2.9,3.4,4.2,4.6,5.2,6.6,8.2,9.8,10.8,12.8,15.2,17.1,14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,51.4,51.3,54.1
"23","14","Imputed dividends received by persons \5\","Y379RC1",2,2.3,2.7,2.9,3.4,4.2,4.6,5.2,6.6,8.2,9.8,10.8,12.8,15.2,17.1,14.2,16,16.7,17.6,18.2,20.2,22.2,24.4,26.5,27.9,29.5,31.6,34.9,37.1,37,36.9,36.2,35.2,34.3,35.9,43.1,50.3,56.9,62.5,61.2,53.5,51.4,51.3,54.1
