"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"11","4","    Durable goods","DDURRA3",15.005,14.607,16.075,18.072,19.962,18.682,18.726,21.06,22.921,24.124,24.002,22.09,22.31,22.273,25.453,29.088,31.998,35.068,35.752,37.8,38.63,38.463,36.39,38.48,41.364,44.663,46.425,49.891,53.963,60.482,68.24,74.105,77.983,83.707,89.673,97.03,102.309,106.667,111.565,105.855,100,106.092,113.074,121.833,130.289
"12","5","    Nondurable goods","DNDGRA3",40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.177,105.594,107.672
"13","6","  Services","DSERRA3",28.028,29.131,30.14,31.873,33.385,34.03,35.31,36.83,38.356,40.131,41.357,42.024,42.754,43.608,45.878,47.65,50.154,51.77,54.097,56.531,58.329,60.083,61.064,63.534,65.49,67.503,69.524,71.563,73.85,77.251,80.439,84.454,86.331,87.892,89.783,92.62,95.559,98.123,100.089,100.845,100,101.244,103.411,105.09,106.37
"14","7","Gross private domestic investment","B006RA3",33.176,31.159,34.37,38.242,42.426,39.616,33.199,39.534,45.175,50.401,52.167,46.918,51.048,44.39,48.532,61.778,61.738,61.836,63.593,65.163,67.802,66.055,61.699,66.218,71.513,79.988,82.573,89.807,100.046,109.596,118.809,126.484,118.813,118.11,122.926,133.716,142.302,145.361,140.787,127.574,100,112.901,118.449,129.705,136.647
"15","8","  Fixed investment","B007RA3",30.042,29.426,31.446,35.032,38.035,35.92,32.397,35.582,40.407,45.088,47.685,44.85,46.055,42.976,46.212,53.693,56.649,57.674,58.03,59.945,61.846,60.955,57.819,60.986,65.663,71.036,75.378,82.06,89.128,98.245,106.922,114.343,112.555,108.662,113.023,120.644,128.892,131.436,128.825,120.087,100,101.504,107.844,116.766,121.978
"16","9","    Nonresidential","B008RA3",21.846,21.652,21.642,23.528,26.64,26.858,24.44,25.821,28.601,32.554,35.806,35.813,38.01,36.648,36.486,42.568,45.376,44.594,44.634,46.867,49.52,50.055,48.09,49.494,53.201,57.401,62.965,68.695,76.09,84.273,92.449,100.871,98.467,91.708,93.428,98.281,105.143,112.618,119.282,118.428,100,102.471,110.225,118.263,121.485
"17","10","      Structures","B009RA3",71.777,71.975,70.799,73.001,78.971,77.272,69.157,70.832,73.744,84.387,95.087,100.652,108.721,106.943,95.387,108.686,116.407,103.654,100.671,101.336,103.346,104.867,93.199,87.577,87.34,88.941,94.607,99.969,107.305,112.803,112.929,121.74,119.895,98.708,94.895,94.502,96.125,103.03,116.164,123.271,100,83.585,85.36,96.212,97.416
"18","11","      Equipment","Y033RA3",18.627,18.296,18.445,20.796,24.644,25.156,22.522,23.906,27.616,31.789,34.391,32.873,34.095,31.502,32.964,39.359,41.52,41.996,42.148,44.928,47.307,46.326,44.202,46.827,52.773,59.238,66.4,72.724,80.814,91.418,102.813,112.824,107.97,102.129,105.388,113.483,124.413,135.152,139.426,129.766,100,115.892,130.639,140.604,145.024
"19","12","      Intellectual property products","Y001RA3",8.762,8.751,8.786,9.399,9.872,10.158,10.248,11.36,12.108,12.968,14.483,15.203,16.859,17.899,19.313,21.952,23.927,25.595,26.6,28.493,31.838,34.522,36.738,38.949,40.585,42.227,45.297,50.409,56.984,63.14,70.996,77.334,77.686,77.309,80.261,84.384,89.849,93.926,98.445,101.43,100,101.887,106.388,109.962,113.408
"20","13","    Residential","B011RA3",71.861,68.11,86.247,101.215,100.565,80.844,71.088,86.803,104.603,111.582,107.399,84.928,77.941,63.821,90.616,103.989,106.372,119.566,121.918,120.841,116.931,106.999,97.465,110.901,119.977,130.74,126.313,136.63,139.942,152.035,161.577,162.641,164.103,174.043,189.815,208.773,222.467,205.631,166.934,126.886,100,97.496,97.964,110.581,124.06
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
