"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 29, 2014      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/28/2014 5:12:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Government consumption expenditures and gross investment","A822RL1",0.2,-2,-1.8,-0.5,-0.3,2.3,2.2,0.5,1.2,2.9,1.9,1.9,1,1.8,3.8,3.6,6.8,5.4,3,1.3,2.9,3.2,1.2,0.5,-0.8,0.1,0.5,1,1.9,2.1,3.4,1.9,3.8,4.4,2.2,1.6,0.6,1.5,1.6,2.8,3.2,0.1,-3.2,-1,-2.2
"9","2","      Consumption expenditures \1\","A955RL1",1.9,-0.6,0.1,0.4,-0.8,2.2,2.5,0.1,1.8,1.9,0.9,1.6,1.6,2.4,3.1,1.5,4.9,4.7,2,2.1,3.1,2.8,1.8,0.7,-0.1,0.6,0.3,0.5,1.8,1.9,2.7,1.5,3.5,3.9,1.8,1.5,0.8,1.1,1.4,2.5,3.7,0.1,-2.7,-0.2,-2
"10","3","      Gross investment \2\","A782RL1",-4.9,-6.4,-8.3,-3.6,1.5,2.5,1.1,2.1,-0.9,6.9,5.4,2.9,-1.2,-0.1,6.5,10.8,12.9,7.9,5.9,-0.8,2.1,4.7,-0.7,-0.1,-3.5,-1.6,1.4,2.8,2.1,2.8,6,3.2,4.6,6.3,3.5,1.7,0,3.2,2.2,3.6,0.9,-0.1,-5.3,-4,-3.2
"11","4","        Structures","A760RL1",-5.5,-7.4,-1,-4.6,-0.2,-0.9,-0.5,-1.5,-5.2,9.8,2,0.5,-8.6,-8.1,-0.1,9.2,9.8,6.4,3.3,0.6,0.1,6.9,2.3,1.7,-1.6,-0.3,3.6,4.1,4.6,-0.2,5.8,3.3,4.8,5,0.6,-2.5,-4.7,0.3,-0.2,0.7,0.7,-2.1,-8.6,-7,-5.1
"12","5","        Equipment","Y054RL1",-11.2,-6.1,-37.3,-20,11.8,26.6,8.1,8.8,1.9,2.3,14.7,7.3,8.2,11,16.6,15.5,18.4,13.9,8.5,-5.3,5.7,4.9,-3.3,-3,-9.1,-5.1,-0.4,2.2,-3.9,7.3,10.7,3.1,4.2,11.4,5.9,7.5,5.6,10,6.9,12.4,0.7,1.8,-4.1,-0.2,-3.3
