"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","3","Net value added","A439RC1",523.3,532,540.2,544.8,543,550.2,556,552.6,577.4,587.8,597.9,610.9,637.2,649.9,663.8,688,717.5,729.3,743.8,763.6,772,789.3,804.1,810.2,811.4,832.1,870.4,896,938.6,951.2,971.1,990,1027,1079,1120,1144.1,1170,1243.8,1267.9,1311.4,1341.2,1367.2,1394.7,1423.6,1453.6,1448,1489.5,1571.6,1635.5,1671.4,1725,1729.4,1718.7,1744.6,1760.1,1761.7,1795,1857.3,1913.5,1982.3,2071.1,2116.7,2149.3,2191.3,2227.8,2260.5,2307.3,2320.2,2345.4,2345.8,2360.9,2398.4,2440.6,2504.9,2565.6,2615.2,2658.6,2724.1,2775.7,2849.2,2865.2,2888.1,2918,2936,2982.9,3037.8,3039.7,3027.6,3045.8,3070.7,3096.6,3119.8,3196.6,3238.9,3255.6,3326.2,3297.6,3384.4,3418.2,3528.3,3554.2,3641.3,3705.2,3774.8,3803.9,3849.5,3934.9,3972.9,4049,4125.7,4182.1,4244.6,4342.9,4419.6,4532.8,4623.1,4649.4,4729,4821.3,4866.3,4965,4997.6,5047.2,5154,5328.8,5356.3,5431.6,5414.5,5396.4,5372.6,5301.8,5253.7,5324.8,5391,5405.3,5472,5458.5,5543.8,5656.2,5752.8,5803,5933.3,6074,6129.6,6266.3,6355.5,6462.3,6645.7,6795.4,6858.6,6959.5,6977.4,6993.3,7058,6965.6,6949.4,6933.9,6921.2,6899.7,6585.2,6450.5,6514.7,6570.6,6725.3,6760.6,6878.2,7102.4,7158.3,7172.3,7309.8,7379.6,7459.2,7626.9,7657.1,7709.2,7902.7,7890.5,8017.9,8085.1
"12","4","  Compensation of employees","A442RC1",363.9,373.3,382.5,390.2,394.4,396.5,400.8,400.3,411.3,418.7,424.3,432.3,452.8,462.8,471.2,486,507.1,519.8,531.7,545.6,558.2,572,586.7,592.4,589.7,596.1,613.3,632.1,658.8,673.7,690.5,708.1,733.8,761.6,784,807.3,836.9,873.1,899,929.9,965.3,989.2,1018.2,1045.1,1072.9,1084.3,1104.4,1146.5,1186.2,1209.2,1236.2,1250.7,1259.3,1270.4,1282.6,1288.1,1305.3,1333.5,1365.1,1408.1,1452.1,1487.7,1518.7,1545.8,1573.2,1599.5,1627.4,1663.7,1690,1706.2,1732.1,1765.1,1795.6,1825.8,1860.1,1909.1,1939,1986.2,2022.4,2061.6,2083.2,2103.2,2127,2163.9,2195.8,2232,2256.4,2255.4,2239.1,2263.4,2289.7,2319.1,2370.5,2408.3,2432.1,2471,2459.9,2504.8,2527.6,2570.7,2581.4,2639.8,2666.7,2708.1,2741.6,2768.6,2804,2837.4,2877.5,2932.3,2979.4,3025.6,3090.4,3140,3198.8,3277.1,3354.5,3417.4,3479,3539,3608.6,3643.1,3694.9,3790.6,3945.7,3967.4,4051,4071.6,4059.9,4030.9,3992,3979.7,3942.6,3980.8,3983.1,3989.1,3948.1,4008.4,4067.6,4144.1,4118.2,4207.3,4305,4335.5,4347,4398.9,4484.6,4547.6,4622.4,4650.4,4680.9,4779.1,4860.9,4876.9,4888.3,4945.8,4962.1,4945,4944,4907.7,4599.4,4613.8,4596,4630.6,4592.3,4698.7,4760.2,4807.8,4900.3,4933.3,5003.3,4973.9,5124.1,5156.6,5185.1,5345.7,5300.3,5369.8,5414
"13","5","    Wages and salaries","A443RC1",325.8,334.4,342.6,349.4,353,354.5,358.5,357.9,367,373.8,378.7,385.3,401,409.6,417.3,431.1,446.6,458.8,470.1,482.8,492.9,505,517.3,520.4,514.2,517.9,532.5,549.1,570.9,583.9,597.9,612,630.7,654.1,673,693.1,714,746.3,768.9,795.7,822.8,842.8,867.3,889.7,911.7,919.9,936.5,974.2,1003.8,1023.8,1047.3,1058.9,1062,1070.1,1078.9,1081.4,1091.7,1115.4,1142.6,1180.9,1214.3,1245.5,1272.2,1295.1,1317.4,1338.4,1360.3,1389.5,1407.6,1418.2,1438,1465.3,1491.5,1517.3,1546.9,1590.5,1613.1,1653.8,1683.2,1714.2,1730.8,1743.6,1760.8,1790.8,1814.9,1847.5,1868.7,1866.1,1847.2,1865.6,1884.2,1904.2,1940.8,1968.5,1984.2,2017.8,2001.9,2040.4,2058.5,2095.4,2098.3,2151.4,2176,2215.6,2252.2,2278.6,2311.7,2341.9,2378.9,2428.4,2471.4,2514.3,2575.6,2620,2670.6,2737.2,2804.3,2856.4,2909.3,2962.7,3028.7,3058,3100.9,3182.1,3314.6,3326.8,3398.9,3414.8,3391.2,3366.9,3334.5,3324.2,3270.7,3302.4,3304.3,3309.3,3259.4,3309.3,3358.1,3421.2,3401.7,3475.3,3556,3581.2,3585.1,3627.9,3698.6,3750.5,3835.6,3858.9,3884.2,3965.7,4042.1,4055.4,4064.9,4112.7,4125,4110.7,4110,4079.7,3808,3820,3805.2,3833.8,3802,3890,3940.9,3980.3,4063.9,4091.3,4149.4,4125,4265.8,4292.9,4316.6,4450.3,4413,4476.3,4515.5
"14","6","    Supplements to wages and salaries","A444RC1",38.1,39,39.9,40.8,41.4,42,42.3,42.4,44.2,44.9,45.7,47,51.7,53.1,53.9,54.8,60.5,61,61.6,62.8,65.2,67,69.4,72,75.5,78.2,80.8,83,87.9,89.8,92.6,96.1,103.1,107.6,111.1,114.2,122.9,126.8,130.1,134.2,142.5,146.4,151,155.4,161.1,164.4,167.8,172.2,182.4,185.4,188.9,191.7,197.3,200.4,203.7,206.7,213.7,218.1,222.4,227.2,237.7,242.1,246.5,250.8,255.8,261.1,267.1,274.2,282.3,288.1,294.1,299.8,304.1,308.5,313.1,318.6,325.9,332.4,339.3,347.4,352.4,359.6,366.2,373.1,381,384.6,387.7,389.4,391.9,397.8,405.5,414.9,429.7,439.9,447.9,453.2,458,464.4,469.1,475.2,483.2,488.4,490.6,492.6,489.4,490,492.3,495.5,498.6,503.9,507.9,511.3,514.8,520,528.2,540,550.2,561,569.7,576.3,579.8,585.1,594.1,608.6,631.1,640.6,652.1,656.8,668.7,663.9,657.6,655.5,671.9,678.4,678.8,679.8,688.7,699.2,709.5,722.8,716.5,732,749,754.3,761.9,771,786,797,786.8,791.6,796.8,813.5,818.8,821.5,823.4,833.1,837.1,834.2,834.1,827.9,791.4,793.9,790.8,796.8,790.4,808.7,819.3,827.5,836.3,842,853.9,848.9,858.3,863.8,868.5,895.4,887.3,893.4,898.5
"15","7","  Taxes on production and imports less subsidies","W321RC1",51.3,52.5,53.5,54.3,55.4,56.3,57.5,58.7,60.5,62.1,63.8,64.9,65.4,66.3,67.8,69.6,71.6,73.4,75.2,76.3,76.9,77.9,79,80.7,82.1,83.6,85.3,87,88.5,90.4,92.3,94.4,96.1,98.2,101.1,104.6,108.2,112.1,105.4,109.2,111.2,113.3,116.3,119.3,121.5,125,130.5,137.3,145.5,153.5,158,160.6,160.4,160,161,163.8,168.7,174.5,180.6,186,190.1,193.9,197.5,200.9,204,207.9,211,213.3,215.1,218,220.9,224.5,227.7,231.4,234.8,239.6,245.4,251.2,253.4,258,261.8,266.1,269.4,272.9,276,281.4,287.3,293.2,300.2,305.2,310.5,315.8,319.8,323.5,327.9,332.4,334.5,340.1,345.3,355.2,366.8,375.2,379.6,382.7,381.9,381.7,385.7,389.6,390.5,396,399.7,407.4,406.4,415.7,420.3,425.4,423.7,428.2,433.3,437.9,443.5,449.6,457.5,465.4,473.1,479,481.7,485.5,478.4,472,462.5,492.2,493.6,502.7,511.8,517.2,522.2,520.2,540.5,547.5,557.9,566.1,574.6,587.3,599.6,612.9,622.9,630.7,644.3,653.3,659.3,666.3,672.8,679.4,684,688.5,682.7,689.1,689.8,678.4,654.4,657.6,654.5,670.7,676.9,683.8,689.4,693.3,710.5,720.1,717.6,725.2,741.4,739.3,738.3,743,753.3,752.1,754.9
"16","8","  Net operating surplus","W322RC1",108.1,106.2,104.3,100.3,93.2,97.5,97.7,93.6,105.6,107,109.8,113.6,119,120.8,124.9,132.4,138.7,136.1,136.9,141.7,137,139.4,138.4,137.1,139.5,152.4,171.8,176.9,191.3,187.1,188.3,187.5,197.1,219.2,234.8,232.2,225,258.6,263.5,272.4,264.7,264.7,260.2,259.3,259.2,238.6,254.6,287.9,303.8,308.6,330.8,318.1,298.9,314.1,316.5,309.9,321,349.3,367.9,388.2,428.9,435.1,433.1,444.5,450.6,453.1,469,443.2,440.3,421.5,408,408.7,417.3,447.8,470.7,466.5,474.2,486.7,499.8,529.5,520.2,518.8,521.6,499.3,511,524.4,496,479,506.6,502.1,496.4,484.8,506.4,507,495.5,522.8,503.2,539.6,545.3,602.4,605.9,626.3,659,683.9,680.3,699.1,745.2,745.9,780.9,797.5,803,811.6,846.1,863.9,913.7,920.6,871.3,883.4,909.1,889.4,912.9,904.8,894.8,897.9,909.9,909.9,898.9,857.4,858,869.8,847.3,781.8,888.6,907.5,910.4,965.8,988.2,1015.1,1048.1,1061.2,1126.9,1159.9,1194.4,1206.9,1319.6,1343.7,1354.8,1467.3,1528.7,1554.9,1619.2,1532,1459.6,1501.8,1393.3,1315.1,1289,1287.1,1265.9,999.1,1196.7,1243.3,1320.1,1424,1491.4,1495.7,1652.8,1657.2,1561.6,1656.4,1658.7,1760.1,1761.4,1761.2,1785.8,1814.1,1836.9,1895.9,1916.2
"17","9","    Net interest and miscellaneous payments","A453RC1",6.7,8,9.3,10.5,11.7,12.5,13,13.2,13,12.9,12.7,12.6,12.6,12.6,12.7,12.8,13.2,14,15.5,17.5,20.2,22.6,24.6,26.4,27.9,28.4,27.9,26.4,23.9,22.6,22.5,23.6,25.8,27.7,29.1,30,30.6,31.1,31.5,31.8,32.7,34.6,38,42.9,50.4,56.8,63.1,69.4,75.9,81.4,86,89.7,92.6,95,97.1,99,91.5,90.4,91.9,95.9,102.5,106.9,109.4,109.9,108.3,107,106.1,105.4,105.2,105.1,105.4,106,107.1,107.7,108,108,108.5,110.3,114.3,120.2,128.2,133.7,137,137.9,136.5,132.2,126.3,115.2,102.5,91.9,83.7,77.8,74.9,71.7,70.4,70.2,71.1,71.3,70.9,69.9,68.2,67.2,67.2,67.9,70,71,71.4,70.3,68.8,68.5,70.6,73.9,79.6,87.2,97.5,109.7,124.6,134,139.1,138.6,133.1,134,141.1,154,173,185.7,193.4,194.5,189.7,179.8,166,146.3,125.1,109.5,100.2,96.1,97.8,95.3,85.6,70.6,48.7,36.6,32.5,38.9,63,67.3,75.3,86.1,101.9,115.9,126.1,136.8,146.8,160.3,180.4,204.2,231.7,245.6,241,219.6,187.1,162.4,144.4,136.2,134.3,132.1,127.8,122.2,114.9,110.1,108,106.8,108.5,110.2,111.3,112.8,119.8,113.4,117.1
"18","10","    Business current transfer payments (net)","W323RC1",4.2,4.3,4.3,4.3,4,3.9,3.6,3.5,3.4,3.4,3.4,3.5,3.7,3.8,4,4.1,4.5,4.8,4.8,5.1,5.7,6,6.5,6.9,7.7,8.4,8.5,8.4,8.2,7.9,7.4,6.8,6.3,5.8,5.9,6.1,6.8,7.5,8.2,9,10.1,10.7,11.1,11.4,11.5,11.6,11.8,13.2,13.6,13.9,14.5,15.1,16,16.5,16.8,17.2,17.8,18.6,19.8,21.8,24.4,26.4,27.9,28.9,30,34.4,29.8,29.3,36.2,28.3,26.4,26.3,25.7,25.7,24.1,24.2,23.9,25,27,29.5,32.2,33.1,34.7,34.6,34.5,33.9,33.6,34,34.3,33.4,33.3,33.6,33.5,33.1,33.2,36.1,33.6,31.8,30.9,30.7,31.3,31.9,32.5,33.2,34.4,35.7,37.7,39.9,43.9,45.5,44.5,41.1,34.6,32,33.1,37.8,46.9,50.2,52.8,61.5,52,52.3,53.5,57.5,65.2,70.5,74.8,79,85.5,87.6,86.3,81.2,72.2,63.7,57.7,54.1,52.5,50.9,50.4,50.4,52.6,53.8,51.5,60.3,63,63.5,57.7,55,45.7,44.5,49.9,52.7,68.5,67.4,70.8,68.9,92,92.5,93.1,112,105.3,106.8,89.1,93.5,99.4,97.1,102.7,99.9,119.4,104.9,107.7,100.2,88.9,81.9,74.6,72.1,95,98.2,93.2
"19","11","    Corporate profits with IVA and CCAdj","A445RC1",97.2,93.9,90.7,85.5,77.5,81.1,81.1,76.9,89.1,90.8,93.7,97.6,102.7,104.3,108.2,115.5,121,117.2,116.6,119.1,111.1,110.8,107.3,103.8,103.9,115.6,135.4,142,159.1,156.6,158.4,157.1,165,185.7,199.9,196.1,187.5,220,223.8,231.5,221.9,219.4,211.1,205.1,197.2,170.2,179.7,205.2,214.2,213.3,230.4,213.3,190.2,202.6,202.5,193.7,211.7,240.3,256.2,270.6,302,301.8,295.7,305.7,312.3,311.6,333.1,308.5,298.8,288.1,276.2,276.4,284.6,314.4,338.6,334.3,341.8,351.3,358.6,379.9,359.9,351.9,349.9,326.8,340.1,358.3,336.2,329.8,369.8,376.8,379.4,373.5,398,402.2,392,416.5,398.5,436.4,443.5,501.8,506.5,527.2,559.3,582.8,575.9,592.5,636.1,635.7,668.3,683.5,687.9,696.6,731.9,744.7,783.1,773.1,699.8,699.1,717.2,689.2,727.8,718.5,700.2,686.4,671.7,653.8,630.7,583.9,582.9,602.4,595,554.3,691.2,734.3,752.6,815.6,837.9,868.8,912.1,940.2,1025.5,1069.6,1110.5,1107.7,1193.7,1213,1221.7,1326.2,1381.1,1394.5,1443.2,1342.6,1244.3,1274.1,1142.1,1042,965.3,948.9,931.8,667.5,904.3,974,1086.6,1194.2,1257.7,1266.4,1422.4,1435.1,1327.2,1441.3,1443,1553.2,1564,1569.1,1599.8,1629.1,1622.1,1684.3,1705.9
"20","12","      Taxes on corporate income","A054RC1",41.5,40.4,39.1,38.9,34.5,34.7,35.7,34.2,37.8,38.6,37.9,38.4,40.4,40.7,42,46.4,49.7,50.2,48.6,51.4,49.7,52.2,57.3,51.9,43.8,46.8,57.2,58.8,66.6,65.2,64.9,64.5,68.8,74.4,76.7,77.8,72.5,86.6,87.4,92.9,90.1,90.9,90.6,88.4,97,77.2,83.2,91.4,91.1,82.6,86.2,77.4,65.7,68.4,68.6,63.2,64.2,79.2,88.3,90.9,103.9,102.9,91.1,92.3,98.7,97,102.3,99.7,106.6,106.3,107.3,118.5,118.7,132.8,137.9,132.4,129.3,136.6,146.7,153.9,158.4,145,140.4,140.5,139.3,144.9,149.8,147.7,141.6,136.8,137.4,138.5,148.2,149.8,144,152.8,158.1,170.1,162.1,193.8,174.5,183.6,201.1,213.3,217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.2,496.7,460.8,474.2,468.1,431.1,408.8,355.3,344.1,312.6,224.4,215,240.4,285,337.4,344.8,351.7,387.5,398.3,393,384.3,351,368.6,437.2,429.7,439.1,433.2,408.2,418.2,413.4
"21","13","      Profits after tax with IVA and CCAdj","W273RC1",55.8,53.5,51.5,46.6,43,46.4,45.4,42.7,51.3,52.2,55.8,59.2,62.3,63.7,66.3,69.1,71.3,67,68,67.8,61.3,58.6,49.9,51.9,60.1,68.8,78.2,83.2,92.5,91.4,93.5,92.7,96.2,111.3,123.1,118.3,115,133.4,136.3,138.6,131.8,128.4,120.5,116.7,100.2,93,96.6,113.9,123.1,130.7,144.2,135.9,124.5,134.2,133.9,130.5,147.5,161.1,168,179.7,198.1,198.9,204.7,213.5,213.7,214.6,230.8,208.8,192.3,181.8,168.9,158,165.9,181.6,200.7,201.9,212.5,214.7,211.9,226,201.5,206.8,209.5,186.3,200.8,213.4,186.3,182.1,228.2,240,241.9,235,249.8,252.5,247.9,263.8,240.3,266.3,281.4,308.1,332,343.6,358.1,369.6,358.4,377.7,414.5,418.4,446.7,450.1,454.1,459.5,493.7,501.8,528,527.6,451.3,453.7,464.9,442,471.6,464.4,441,420.8,397.4,380.7,376,325.6,358.4,385.7,400,377.3,511.9,548.3,558.9,605.2,606.4,641.8,664.8,670.9,747.9,771.4,790,779.6,788.6,817.3,818.7,880.5,920.4,919.3,946.5,881.7,770.1,806,711,633.2,610,604.8,619.2,443.1,689.3,733.6,801.6,856.9,912.9,914.7,1034.9,1036.8,934.2,1057,1092,1184.6,1126.8,1139.4,1160.7,1196,1213.8,1266.1,1292.4
"22","14","        Net dividends","A449RC1",20.2,20.4,20.2,20.7,20.1,20.5,20.2,20.7,21.2,19.7,21.3,19.1,22.2,22.1,22,21.5,22,23,23.9,23.6,22.3,25.2,24,22.3,26.7,26,25.9,27,26,30.1,31.4,32.7,31.8,32.5,34.1,36.5,37.3,36.5,41.4,43.3,42.3,42.3,39.6,41.7,40.9,54.4,45.4,48.6,53.5,57.1,60.6,62,66.3,53.8,59.4,65.8,71,68.6,71.5,74.2,78,78.5,79.5,78.1,81.2,90.5,84.2,87,85.7,92.1,85.9,89.4,93.9,92.4,93.8,102.4,85.8,93.4,112.1,100.8,126.1,126.4,130.8,122.2,145.8,141.2,143.2,146.1,149.7,157.2,156.7,161.2,153.7,158.9,160.9,172.5,179.5,180.3,184.2,195,190.2,200,195.7,205.4,212.5,215.6,235.2,241.4,249,254.9,269.1,279.5,281.4,284.4,293.6,309.5,310.5,317.9,312.5,318.3,306.7,308.9,290.6,319.3,344.1,362.9,372.7,342,328.9,311.5,340.4,338.8,343.8,356.6,338,370.8,342.2,426.5,402.4,436.3,470.6,466.2,465.7,604.7,457.1,406.3,249.9,165.5,583.3,592.9,656.4,759.7,662.4,666.7,695.7,689.1,641.2,645.9,628.8,596.4,571,490.4,378.8,387.2,418.9,410.9,462.8,477.6,510.9,543.1,573.7,553,569.1,572.5,577.3,735.3,616.6,874.7,760
"23","15","        Undistributed profits with IVA and CCAdj","W274RC1",35.5,33,31.3,25.9,22.9,25.9,25.2,22.1,30.1,32.5,34.5,40.1,40.1,41.6,44.3,47.6,49.3,44,44.2,44.2,39,33.4,25.9,29.6,33.4,42.8,52.3,56.2,66.5,61.3,62.1,60,64.4,78.9,89.1,81.8,77.8,97,94.9,95.3,89.5,86.1,80.9,75,59.3,38.6,51.2,65.3,69.6,73.6,83.6,73.9,58.2,80.4,74.5,64.7,76.5,92.5,96.5,105.4,120.1,120.4,125.2,135.3,132.5,124.1,146.7,121.8,106.5,89.7,83,68.5,72,89.3,107,99.5,126.7,121.3,99.8,125.1,75.4,80.5,78.7,64.1,54.9,72.2,43.1,36,78.5,82.8,85.2,73.8,96.2,93.6,87,91.3,60.9,86,97.2,113.1,141.8,143.6,162.5,164.2,145.9,162.1,179.3,176.9,197.7,195.2,185,180,212.3,217.4,234.4,218.2,140.9,135.7,152.5,123.7,164.8,155.6,150.4,101.5,53.3,17.7,3.3,-16.4,29.5,74.2,59.6,38.4,168.2,191.7,220.9,234.4,264.2,215.3,262.4,234.5,277.3,305.2,324.3,175,331.5,411.1,568.8,715,337,326.4,290.1,122,107.7,139.3,15.3,-55.9,-31.2,-41.2,-9.6,-153.4,118.3,243.2,422.8,469.7,494,503.8,572.1,559.2,423.3,514,518.3,631.6,557.8,566.9,583.4,460.7,597.3,391.4,532.5
"24","16","    Gross value added of financial corporate business \1\","A454RC1",34.8,35.7,36.6,37.7,38.5,38.5,39.9,40.8,41.4,42.3,44,44.5,46.2,47.2,47,48.4,49.2,50.9,52.1,54.5,56.2,58.6,61.9,62.8,66.4,66.8,67.6,69.8,70.8,71.8,73.5,75.9,79,83.5,87.5,91.9,95.5,102.1,106.2,109.9,110,113.5,115.8,119.1,123.6,124.9,128,137.6,143.3,145.5,148.4,150.1,154.2,160.5,167,176.3,180.7,186.2,188,194.8,201.2,207.5,211.3,219,232.2,237.2,237.8,238,250.6,249.1,244.4,244.5,249.5,259.7,265.3,267.1,260.9,272.8,283.1,290.4,301.7,307.7,313.1,310.4,316.5,319.9,318,309.7,327.7,330.2,334.4,337,369.6,371.6,372.2,380.3,374.6,387.4,392.5,411.9,393.8,394.9,411,411.5,424.4,439.8,453.6,452.3,474.2,486.1,489.9,485.9,516.7,531.8,551.9,580.3,596.3,608.8,619,624.6,631.8,627.1,651,672.6,703.9,704.8,723.6,724.8,819.2,764.1,720,715.9,758.1,782.8,784.8,794.1,791.6,807.9,830.5,849.4,820.1,841.7,871.6,905.8,926.2,904.4,982.6,994.2,1015.7,1050.3,1035.7,1051.4,991.4,1006.8,1004.2,938.2,952.9,935.9,798.6,656.9,880.1,970.4,1011.3,995.9,941.3,943.9,1018,1073.6,991,971.7,978.2,1058.3,1020.8,1011.3,1079.9,1123.4,1127.5,1177.1,1185.1
"25","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",542,551.3,560,565.1,564.1,572.8,578.6,575.8,601.5,612.4,622.2,636.1,662,675.2,691,715.6,746.3,758.8,774.9,795.4,805.6,824.4,840.1,850,852.8,877.4,918.5,944.7,988.4,1002.7,1024,1044.1,1082.1,1133.8,1175.1,1199.1,1226,1298.1,1323.4,1369,1404.7,1433.6,1465.4,1497.9,1530.5,1531.1,1577.3,1658.1,1724.8,1766.8,1825.7,1836.3,1829,1854.8,1868.7,1864.6,1895.5,1955.1,2012.8,2078.6,2165.3,2209.5,2243.6,2283.7,2313.4,2347.2,2399.5,2418.1,2436.6,2444.1,2469.2,2511.5,2553.5,2613.1,2674.3,2729,2786.2,2847.2,2895.8,2968.9,2980.4,3004.1,3035.5,3063.2,3111,3169.6,3180.6,3183.8,3191.2,3219.5,3246.1,3270.3,3317.1,3360.9,3381.3,3449.3,3432.8,3513.4,3548.8,3646.2,3697.1,3791.4,3848.8,3928.8,3957.4,3998.8,4080.5,4128.7,4190.5,4264,4326.3,4403.7,4483,4556.2,4660.7,4733.8,4755.1,4833.5,4927.4,4978.8,5082.8,5135,5178.3,5283.5,5449.5,5493.1,5561,5548.3,5454.8,5501.8,5482.3,5445.9,5479,5524.5,5544.5,5607.5,5599.1,5673.4,5770.4,5854.8,5946.3,6066.6,6189.9,6228.9,6364.5,6493.1,6538.3,6732.7,6879.6,6927,7061.3,7084.3,7179.4,7243.4,7165.1,7227.7,7215.2,7236.6,7372.2,7208.5,6843.6,6804.2,6811.5,6986.4,7076.1,7193.8,7346.8,7355.8,7464.4,7638,7715.6,7727.5,7949.7,8007,8002.9,8163.8,8163.4,8256.5,8328.7
"26","18","Consumption of fixed capital","B456RC1",51.4,52.8,54.2,55.6,57.1,58.6,60,61.4,62.8,64.1,65.4,66.7,67.9,69.3,70.9,72.6,74.5,76.7,79.3,82.2,85.5,89.2,93.2,97.6,102.4,106.4,109.7,112.4,114.2,116.6,119.5,122.8,126.6,130.5,134.5,138.7,142.9,147.5,152.5,157.8,163.4,169.3,175.4,181.7,188.2,195.1,202.3,209.9,217.8,225.5,232.9,240.1,246.9,252.5,256.6,259.5,261,263.1,265.6,268.8,272.4,276.5,281,285.9,291.3,296.5,301.6,306.6,311.4,315.9,320.1,324,327.6,331.9,336.8,342.5,348.8,354.9,360.7,366.4,371.8,377.2,382.8,388.4,394.2,400,405.9,411.8,417.8,422.9,427,430.2,432.4,435.4,439.3,443.9,449.4,455,460.7,466.6,472.6,479.8,488.4,498.3,509.4,519.6,528.8,537,544.2,552.3,561.5,571.6,582.7,593.4,603.8,613.8,623.5,633.3,643.1,652.9,662.8,675,689.5,706.2,725.2,739.5,749,753.7,770.5,783.8,790.3,796.7,799.8,801.8,806.9,810.1,811.4,814.9,820.3,825.3,834.5,843.8,854,868.6,885.2,901.1,916.5,936.9,953.5,970.5,987.3,1006.3,1023.4,1035.8,1045.6,1056.3,1072.3,1086.9,1104.3,1112.3,1105,1091.4,1084.1,1087.4,1087.8,1091.6,1095.1,1103.9,1115.3,1130.4,1143.2,1154.1,1168.8,1184.1,1195.2,1204.7,1218.5,1231.6,1243.1
"27","19","Net value added","A457RC1",490.6,498.5,505.9,509.4,506.9,514.3,518.6,514.4,538.7,548.3,556.8,569.4,594.1,605.9,620.1,643,671.8,682.1,695.6,713.2,720.1,735.2,746.9,752.4,750.4,771,808.7,832.4,874.1,886.1,904.5,921.3,955.5,1003.3,1040.6,1060.5,1083.1,1150.6,1170.9,1211.2,1241.3,1264.3,1290,1316.3,1342.3,1336,1375,1448.2,1507,1541.3,1592.8,1596.2,1582,1602.3,1612.1,1605.1,1634.5,1692,1747.2,1809.9,1892.9,1933,1962.6,1997.8,2022.1,2050.7,2097.9,2111.6,2125.2,2128.1,2149,2187.5,2225.9,2281.2,2337.5,2386.5,2437.4,2492.3,2535,2602.5,2608.6,2626.9,2652.7,2674.7,2716.8,2769.6,2774.7,2772,2773.4,2796.7,2819.1,2840.2,2884.7,2925.4,2942.1,3005.4,2983.4,3058.3,3088,3179.6,3224.5,3311.5,3360.4,3430.6,3448,3479.2,3551.8,3591.7,3646.3,3711.7,3764.9,3832.1,3900.3,3962.8,4056.9,4119.9,4131.5,4200.2,4284.3,4325.9,4420,4460,4488.9,4577.3,4724.3,4753.7,4812,4794.6,4684.3,4718,4692,4649.2,4679.2,4722.7,4737.6,4797.4,4787.8,4858.5,4950.1,5029.6,5111.8,5222.8,5335.9,5360.3,5479.3,5592,5621.8,5795.8,5926.2,5956.5,6074,6078,6156.1,6207.6,6119.5,6171.4,6142.9,6149.7,6268,6096.2,5738.6,5712.8,5727.4,5899,5988.3,6102.2,6251.8,6252,6349.1,6507.5,6572.4,6573.4,6781,6822.9,6807.7,6959.1,6944.9,7024.9,7085.6
