"","Table 7#10# Dividends Paid and Received by Sector               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1946 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2013 9:12:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"      Monetary dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Monetary dividends paid","A2218C1",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8
"10","2","  Domestic corporate business \1\","A2219C1",7.4,8.4,9.4,9.6,11.6,11.3,11.2,11.6,11.8,13.4,14.2,14.6,14.7,15.8,16.8,17.5,19,20.2,22.6,25.2,25.5,26.4,29,30
"11","3","    Financial","B1440C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.6,2.8,2.8,3,3.3,3.7,4,4,4,4.4,5
"12","4","    Nonfinancial","B1441C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,13.2,14,14.7,16,17,18.9,21.2,21.5,22.4,24.5,25
"13","5","  Rest of the world \2\","B3375C1",0.6,0.9,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8
"14","6","Monetary dividends received","Y375RC1",8,9.2,10.5,10.7,12.9,12.8,12.7,13.1,13.6,15.3,16.4,16.9,16.8,18.1,19.2,20.4,22.2,23.5,26.4,29.3,29.2,30.4,33.2,34.8
"15","7","  Domestic corporate business \2\","Y376RC1",2.3,2.7,3.2,3.2,3.7,3.9,3.8,3.9,4.1,4.7,5,5,5.2,5.5,5.8,6.5,7.3,7.4,8.5,9.4,8.9,9.5,10.5,11.6
"16","8","    Financial \3\","Y377RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.1,2.3,2.4,2.9,2.9,3.6,4.4,4.1,4.3,5,5.6
"17","9","    Nonfinancial","B1444C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.4,3.6,4.1,4.4,4.5,4.9,5,4.8,5.2,5.5,6
"18","10","  Rest of the world \1\","B3376C1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1
"19","11","  Government","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Persons \4\","B1447C1",5.6,6.3,7,7.2,8.8,8.6,8.5,8.8,9.2,10.3,11.1,11.5,11.2,12.2,12.9,13.3,14.4,15.5,17.3,19.2,19.5,20.1,21.8,22.2
"21",NA,"      Imputed dividends"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","13","Imputed dividends paid by domestic corporate business, financial","Y378RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2
"23","14","Imputed dividends received by persons \5\","Y379RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Net corporate dividend payments (16+17)","B056RC1",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2
"26","16","    Domestic corporate business (2-7+13)","A2223C1",5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"27","17","    Rest of the world (5-10)","A2224C1",0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8
"28","18","  Personal dividend income (15-11 or 12+14)","B703RC1",5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Remitted earnings to foreign residents from their unincorporated U.S. affiliates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","treated as dividends paid by domestic corporate business (line 2) and as dividends received",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
