"","Table 5#5#6# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/25/2012 3:01:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Private fixed investment in equipment and software","A327RX1",495.1,547.2,621.6,711.5,811.9,896.6,868.1,832.1,858.4,926.7,1005.4,1081.2,1116.8,1069,894,973.4,1079.9
"9","2","Nonresidential equipment and software","B010RX1",489.4,541.4,615.9,705.2,805,889.2,860.6,824.2,850,917.3,995.6,1071.1,1106.8,1059.4,885.2,963.9,1070
"10","3","  Information processing equipment and software","A679RX1",147.3,176.5,217.6,267.1,327.2,386.2,384.5,373.9,403.7,443.1,475.3,516.3,558.2,569.7,546.4,571.7,600.2
"11","4","    Computers, software, and communication","W175RX1",101.9,126.5,163.3,205.8,263.1,316.2,313,299.4,322.7,356.7,380.1,417.3,454.2,466.8,454.5,475.1,500.2
"12","5","      Computers and peripheral equipment \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","      Software \2\","B985RX1",66.9,78.5,101.7,122.8,151.5,172.4,173.7,173.4,185.6,204.6,218,227.1,240.9,250.8,252.9,259.4,277.2
"14","7","      Communication equipment","C275RX1",38.2,43.4,49.5,57.1,69.3,89.8,84,68.3,74.1,81.7,83.2,93.8,104.4,99.1,89.3,100.5,94.7
"15","8","    Medical equipment and instruments","W176RX1",21.6,23.5,26.5,30.6,32.8,36.1,39.2,44.4,47.6,51.1,58.6,60.7,68,67.8,64.5,68.5,71.3
"16","9","    Nonmedical instruments","W177RX1",19.2,19.8,18.1,18.4,18.4,19.5,20.3,20.5,20.2,22.1,23.6,25.3,25.6,25.1,20.8,22.2,22.6
"17","10","    Photocopy and related equipment","C285RX1",8.7,9,9.1,10.3,9,8.6,6,4.4,5.1,4.7,4.5,4.1,6.2,5.7,4.3,4.7,5.2
"18","11","    Office and accounting equipment","B936RX1",5.5,5.7,5.6,5,3.7,3.8,4.8,5.2,8.2,8.4,8.6,9,4.5,4.8,3.6,2.5,2.6
"19","12","  Industrial equipment","A680RX1",145.5,150.9,154.1,160.8,161.8,175.8,162.8,151.9,151.6,147.4,159.6,172.9,179.9,172.9,136.2,134.6,152.6
"20","13","    Fabricated metal products","C263RX1",13,14.1,12.2,12.7,13.5,14.1,13.9,12.3,13.1,12.9,13.5,15,15.5,15.9,14.5,13.4,13.3
"21","14","    Engines and turbines","A668RX1",3.6,4.2,3.9,4.6,5.7,7.3,11.1,11.8,10.1,4.8,5.5,6.7,9.7,10.1,7.8,6.1,6
"22","15","    Metalworking machinery","C271RX1",29.3,29.9,32.1,32.1,31.1,31.7,26.9,24.3,24.1,24.3,26.3,27.5,28.1,28,19,20,22.6
"23","16","    Special industry machinery, n.e.c.","C272RX1",34.7,35.7,35.4,36.7,36.9,42,37.2,32.6,31.2,30.1,31.8,34.5,36,32.3,23.6,23,30.8
"24","17","    General industrial, including materials handling, equipment","C273RX1",46.4,47.9,50.1,53.4,51.5,54.6,49.9,49.4,52.5,54,60.2,64.4,64.3,61.3,49.9,50.2,57.1
"25","18","    Electrical transmission, distribution, and industrial apparatus","C276RX1",18.4,19,20.2,21.1,22.9,25.7,23.5,21.1,20.4,21.4,22.4,24.8,26.2,25.1,20.6,21.5,22.9
"26","19","  Transportation equipment","A681RX1",131.5,136.8,148.2,162,190.3,186.2,169.6,154.2,140.4,162.3,181.7,196.5,185.8,142.7,69.1,119.6,156.7
"27","20","    Trucks, buses, and truck trailers","C279RX1",62.7,68.5,77.1,85.3,94.4,87.1,71.5,67.3,68,86.3,103,114.7,96.7,64.2,20.4,53.1,85.3
"28","21","      Light trucks (including utility vehicles) \3\","W178RX1",30.8,39.9,50,51.8,57,55,48.6,44.3,45.6,55.8,66.5,75.2,68.7,42.8,3.8,41.4,67.4
"29","22","      Other trucks, buses, and truck trailers \3\","W179RX1",32.8,28.9,27,33.6,37.5,32.1,22.8,22.9,22.3,30.5,36.5,39.5,28.5,21.3,15.1,18.9,30
"30","23","    Autos \3\","C280RX1",39.8,39.5,38.3,36.8,43.6,45.6,45.7,45.7,40.3,40.6,45,49,48,35.5,15.5,35.2,40.4
"31","24","    Aircraft","C281RX1",18.4,17.3,20.5,27.7,40.1,41.6,43.2,31.6,22.6,25.1,22,20.6,26.8,26,19.1,20.4,19.8
"32","25","    Ships and boats","C282RX1",2.3,2.9,3.3,3.5,3.6,4.1,3.7,4.3,4.5,5,4.8,4.2,5.2,6.5,5.5,4.6,5.2
"33","26","    Railroad equipment","C283RX1",6.6,6.5,7.2,8.2,9.2,8.8,6.7,5.9,5.1,5.5,7,8.1,8.4,9.1,6.7,6.1,6.9
"34","27","  Other equipment","A682RX1",116.4,120.9,131.9,144.8,148.1,156,154.2,153.2,159.8,169.8,184.2,191.2,190.3,184.4,152,158.1,173.1
"35","28","    Furniture and fixtures","A667RX1",28.8,29.4,33.8,38,41.1,44.1,41.2,39.4,39.6,40.8,42.8,43.5,41.1,38.8,27.5,26.8,28.2
"36","29","    Agricultural machinery","C268RX1",16.6,16.4,18.8,19.5,14.2,15.6,16.6,19,20.4,22.4,23.5,21.9,21.9,24.7,23.8,24.1,25.7
"37","30","    Construction machinery","C269RX1",19.3,21.6,22.9,25.8,25.9,26.1,23.1,21.4,22.4,25.8,32.1,36.2,34.7,31.9,22.1,26.4,35.7
"38","31","    Mining and oilfield machinery","C270RX1",3.4,3.5,4.5,4.4,6.5,6.4,7.2,4.7,5.7,6.5,8.7,12.9,17,15.5,14.2,16.4,18.6
"39","32","    Service industry machinery","C570RX1",16.3,16.7,16.4,18.5,20,20.6,21.3,20.6,20.5,21,21.9,21.6,20.6,20.3,19.7,19.9,19.4
"40","33","    Electrical equipment, n.e.c.","A670RX1",3.4,3.3,3.7,4.4,4.3,4.4,4.8,5.1,5.4,6.6,6.3,6.3,5.2,5.1,3.9,4.1,4.3
"41","34","    Other","C286RX1",28.6,30.1,32,34.5,36.5,38.9,40,42.9,45.7,46.8,48.9,48.9,49.5,48,40.5,39.8,40.4
"42","35","  Less: Sale of equipment scrap, excluding autos","C287RX1",7.1,7.5,7.2,7.2,6.5,6.1,5,5.3,4.7,5.4,5.2,5.7,5.9,6.2,5.9,7.3,5.4
"43","36","Residential equipment","B013RX1",5.9,5.9,5.8,6.2,6.9,7.4,7.6,7.9,8.4,9.4,9.8,10.1,10,9.7,8.9,9.5,9.9
"44","37","Residual","A970RX1",-66.6,-52.8,-41.4,-30.4,-18.9,-7.7,-5.4,-4.2,-1,-0.4,-0.3,-1.1,-3.1,-5.5,-9.8,-20.9,-23.1
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.6B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
