"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 29, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2012 9:39:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Government consumption expenditures and gross investment","A822RC1",221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2674.2,2878.1,2917.5,3002.8,3030.2
"9","2","      Consumption expenditures \1\","A955RC1",178.2,190.1,204.7,220.8,234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.1,610.5,657.6,720.1,776.1,815.1,852.8,902.9,966,1015.8,1050.4,1075.4,1108.9,1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2217.8,2381,2412.2,2497.5,2547.8
"10","3","      Gross investment \2\","A782RC1",43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,456.5,497.2,505.4,505.3,482.4
