"","Table 1#1#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:39:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",3.1,0.2,3.3,5.2,5.6,-0.5,-0.2,5.4,4.6,5.6,3.2,-0.2,2.6,-1.9,4.6,7.3,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.6,2.7,4,2.7,3.8,4.5,4.4,4.8,4.1,1,1.8,2.8,3.8,3.4,2.7,1.8,-0.3,-2.8,2.5,1.8,2.8,1.9
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERY2",2.21,1.39,2.29,3.66,2.97,-0.5,1.36,3.41,2.59,2.69,1.44,-0.19,0.91,0.86,3.54,3.32,3.25,2.63,2.14,2.66,1.86,1.31,0.15,2.38,2.24,2.52,1.94,2.28,2.45,3.45,3.55,3.31,1.66,1.7,2.08,2.58,2.35,2.02,1.51,-0.24,-1.06,1.34,1.74,1.52,1.37
"12","3","  Goods","DGDSRY2",0.92,0.23,1.23,1.9,1.51,-1.08,0.2,2.02,1.24,1.18,0.45,-0.72,0.33,0.19,1.69,1.91,1.37,1.45,0.47,0.95,0.64,0.16,-0.49,0.76,0.99,1.25,0.71,1.06,1.12,1.54,1.82,1.22,0.71,0.91,1.14,1.19,0.96,0.85,0.63,-0.58,-0.68,0.77,0.76,0.77,0.81
"13","4","    Durable goods","DDURRY2",0.33,-0.23,0.83,1.07,0.93,-0.58,0.02,1.05,0.79,0.48,-0.05,-0.68,0.08,-0.01,1.07,1.15,0.84,0.84,0.18,0.52,0.2,-0.04,-0.44,0.44,0.58,0.64,0.33,0.61,0.67,0.99,1.08,0.75,0.46,0.64,0.62,0.71,0.47,0.36,0.38,-0.41,-0.41,0.43,0.46,0.56,0.51
"14","5","    Nondurable goods","DNDGRY2",0.58,0.47,0.39,0.83,0.58,-0.5,0.18,0.97,0.46,0.7,0.5,-0.03,0.25,0.2,0.62,0.77,0.54,0.61,0.29,0.44,0.45,0.19,-0.05,0.32,0.41,0.61,0.38,0.45,0.45,0.55,0.74,0.48,0.26,0.27,0.51,0.48,0.5,0.49,0.25,-0.17,-0.27,0.34,0.3,0.22,0.31
"15","6","  Services","DSERRY2",1.29,1.16,1.06,1.77,1.46,0.59,1.16,1.39,1.34,1.51,0.99,0.53,0.58,0.67,1.85,1.4,1.88,1.19,1.67,1.71,1.22,1.16,0.64,1.62,1.25,1.27,1.23,1.22,1.33,1.91,1.73,2.09,0.94,0.78,0.94,1.39,1.39,1.17,0.88,0.33,-0.38,0.57,0.98,0.74,0.55
"16","7","Gross private domestic investment","A006RY2",0.93,-1.03,1.63,1.9,1.95,-1.24,-2.9,2.91,2.47,2.21,0.71,-2.07,1.63,-2.55,1.6,4.73,-0.01,0.03,0.53,0.45,0.72,-0.45,-1.09,1.11,1.23,1.9,0.55,1.49,2,1.76,1.6,1.25,-1.19,-0.11,0.71,1.55,1.2,0.42,-0.61,-1.71,-3.52,1.66,0.69,1.36,0.82
"17","8","  Fixed investment","A007RY2",0.93,-0.33,1.07,1.84,1.47,-0.98,-1.67,1.54,2.23,2.09,1.11,-1.18,0.5,-1.25,1.32,2.83,1.02,0.34,0.11,0.58,0.55,-0.25,-0.84,0.83,1.16,1.29,1,1.48,1.48,1.8,1.62,1.3,-0.3,-0.64,0.69,1.18,1.24,0.37,-0.37,-1.22,-2.77,0.21,0.85,1.17,0.66
"18","9","    Nonresidential","A008RY2",0.79,-0.1,-0.01,0.97,1.5,0.1,-1.13,0.66,1.26,1.72,1.33,0,0.87,-0.53,-0.06,2.18,0.91,-0.24,0.01,0.63,0.71,0.14,-0.48,0.34,0.84,0.91,1.15,1.13,1.37,1.42,1.32,1.27,-0.34,-0.93,0.23,0.62,0.83,0.87,0.76,-0.09,-2.04,0.28,0.84,0.85,0.33
"19","10","      Structures","A009RY2",0.19,0.01,-0.06,0.12,0.3,-0.08,-0.42,0.09,0.15,0.52,0.51,0.26,0.39,-0.09,-0.56,0.58,0.31,-0.49,-0.11,0.02,0.07,0.05,-0.37,-0.18,-0.01,0.05,0.16,0.15,0.21,0.15,0,0.23,-0.05,-0.56,-0.1,-0.01,0.04,0.2,0.39,0.21,-0.7,-0.49,0.05,0.31,0.03
"20","11","      Equipment","Y033RY2",0.51,-0.11,0.05,0.74,1.12,0.14,-0.73,0.39,1,1.07,0.62,-0.35,0.28,-0.57,0.32,1.29,0.39,0.08,0.03,0.43,0.35,-0.14,-0.28,0.34,0.73,0.75,0.78,0.65,0.76,0.91,0.89,0.7,-0.31,-0.36,0.19,0.44,0.56,0.51,0.19,-0.42,-1.29,0.7,0.62,0.41,0.17
"21","12","      Intellectual property products","Y001RY2",0.09,0,0.01,0.11,0.08,0.05,0.01,0.18,0.11,0.12,0.2,0.09,0.21,0.12,0.17,0.3,0.21,0.17,0.1,0.18,0.29,0.22,0.18,0.17,0.12,0.11,0.21,0.33,0.41,0.36,0.44,0.34,0.02,-0.02,0.14,0.19,0.23,0.16,0.17,0.11,-0.05,0.07,0.17,0.13,0.12
"22","13","    Residential","A011RY2",0.14,-0.22,1.08,0.87,-0.04,-1.08,-0.54,0.88,0.97,0.38,-0.22,-1.18,-0.37,-0.72,1.38,0.65,0.11,0.58,0.1,-0.05,-0.16,-0.38,-0.35,0.49,0.32,0.38,-0.15,0.35,0.11,0.38,0.29,0.03,0.04,0.29,0.47,0.56,0.41,-0.5,-1.13,-1.12,-0.73,-0.07,0.01,0.32,0.33
"23","14","  Change in private inventories","A014RY2",0,-0.7,0.56,0.06,0.48,-0.26,-1.23,1.37,0.24,0.12,-0.4,-0.89,1.13,-1.3,0.28,1.9,-1.03,-0.31,0.41,-0.13,0.17,-0.21,-0.25,0.28,0.07,0.61,-0.44,0.02,0.52,-0.04,-0.02,-0.05,-0.89,0.53,0.02,0.37,-0.04,0.04,-0.23,-0.49,-0.76,1.45,-0.16,0.2,0.16
"24","15","Net exports of goods and services","A019RY2",-0.03,0.33,-0.18,-0.2,0.8,0.73,0.86,-1.05,-0.7,0.04,0.64,1.64,-0.15,-0.59,-1.32,-1.54,-0.39,-0.29,0.17,0.81,0.51,0.4,0.62,-0.04,-0.56,-0.4,0.12,-0.15,-0.31,-1.13,-0.91,-0.81,-0.19,-0.62,-0.42,-0.64,-0.32,-0.06,0.59,1.12,1.14,-0.51,0.1,0.1,0.12
"25","16","  Exports","A020RY2",0.24,0.54,0.09,0.41,1.08,0.56,-0.05,0.36,0.19,0.8,0.8,0.95,0.12,-0.71,-0.21,0.61,0.24,0.53,0.76,1.22,0.97,0.78,0.61,0.66,0.31,0.84,1.02,0.86,1.26,0.25,0.48,0.86,-0.59,-0.18,0.15,0.85,0.59,0.9,0.96,0.67,-1.1,1.28,0.89,0.48,0.36
"26","17","    Goods","A253RY2",0.19,0.43,-0.02,0.42,0.97,0.44,-0.15,0.3,0.08,0.66,0.75,0.84,-0.08,-0.65,-0.18,0.45,0.2,0.26,0.55,1.01,0.73,0.54,0.45,0.5,0.22,0.65,0.82,0.66,1.07,0.17,0.44,0.74,-0.47,-0.24,0.12,0.55,0.5,0.67,0.57,0.5,-1.02,1.08,0.63,0.36,0.22
"27","18","    Services","A646RY2",0.05,0.12,0.11,-0.01,0.1,0.12,0.1,0.05,0.11,0.14,0.05,0.11,0.2,-0.06,-0.03,0.17,0.04,0.27,0.22,0.21,0.24,0.24,0.15,0.15,0.09,0.19,0.2,0.2,0.18,0.08,0.04,0.11,-0.12,0.06,0.03,0.31,0.09,0.23,0.38,0.17,-0.08,0.2,0.27,0.12,0.14
"28","19","  Imports","A021RY2",-0.28,-0.21,-0.28,-0.61,-0.28,0.17,0.91,-1.4,-0.89,-0.76,-0.16,0.69,-0.27,0.12,-1.1,-2.15,-0.63,-0.82,-0.59,-0.41,-0.46,-0.37,0.01,-0.7,-0.87,-1.24,-0.89,-1.01,-1.57,-1.39,-1.39,-1.67,0.4,-0.44,-0.56,-1.49,-0.91,-0.96,-0.37,0.45,2.24,-1.79,-0.79,-0.38,-0.24
"29","20","    Goods","A255RY2",-0.2,-0.14,-0.32,-0.55,-0.33,0.17,0.85,-1.31,-0.82,-0.65,-0.13,0.66,-0.18,0.2,-0.98,-1.78,-0.5,-0.8,-0.38,-0.35,-0.37,-0.25,-0.04,-0.75,-0.82,-1.14,-0.84,-0.91,-1.4,-1.18,-1.29,-1.44,0.38,-0.41,-0.54,-1.26,-0.83,-0.78,-0.25,0.53,2.15,-1.72,-0.7,-0.3,-0.17
"30","21","    Services","A656RY2",-0.08,-0.07,0.04,-0.06,0.05,0,0.06,-0.1,-0.07,-0.1,-0.02,0.03,-0.09,-0.08,-0.12,-0.38,-0.13,-0.02,-0.21,-0.07,-0.09,-0.12,0.05,0.05,-0.05,-0.1,-0.06,-0.1,-0.17,-0.21,-0.1,-0.23,0.02,-0.04,-0.03,-0.23,-0.07,-0.17,-0.12,-0.08,0.08,-0.07,-0.09,-0.07,-0.07
