"","Table 1#1#6D# Real Gross Domestic Product, Chained (1987) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"16","8","  Fixed investment","A007DX1",508.8,537.2,544.2,554,558.7,599.2,616.4,629.6,634.4,629.4,640.9,634.9,625.9,571.5,577.1,600,604.4,608.4,608.5,606.3,587.9,567.4,551.5,550.6,562.7,584.4,619.3,655.6,676.2,704,719,731.9,737.6,746.8,740.8,754.8,755.9,754.1,749.9,754.8,739.9,753.1,769.2,769.1,768,783.1,786.1,794,801.9,803,816.9,803.5,813.5,794.7,786.1,763.7,737.5,736.4,738.9,740.3,748,777.4,789.2,813.8,818.5,836.8,851.6,889.5,901.3,923,932.1,957.6,979.5,975.8,988.7,1009.3,1034.8,1068.4,1093.2,1111.4,1133.1,1157.5,1202.1,1212.5
"17","9","    Nonresidential","A008DX1",326.2,335.6,342.7,354.1,357.6,387.8,401.7,414.9,423.9,422.6,435.8,436.9,441.7,419.3,422.4,431.3,438.3,447.1,458,469,457.9,441.6,426.6,418.1,410.2,415.3,434,462.1,477.2,500.9,517.4,529.9,536.1,543.7,535.4,544.6,537.1,523.7,516,521.3,507,519.1,535.8,534.6,538.7,551.9,554.8,560.7,570.2,578.3,594.8,586.1,593.8,583.6,587.3,576.1,561.2,555.8,550.6,547.7,545.2,566.8,578.3,595.7,599.5,615.4,622.3,648.4,654.9,668.1,680.6,710.7,739.8,744.9,749.9,765,784,806.5,833.4,855.9,877.8,899.5,945.4,953
"18","10","      Structures","B009DX1",123,127.6,129.5,130.4,130.2,142.9,152.3,158.7,157.8,160.1,167.6,172.7,175.4,171.5,172.4,177.4,177.3,184,188.6,202.5,196.1,189.7,179.2,175.2,168,160,163.8,168.4,177.9,186.9,192.8,194.7,203,202.9,198.7,201.2,196.1,177.6,171.3,172.4,168.3,170.3,177.4,180.8,173.9,177.6,175.2,174.7,177.5,175.5,181.7,180.6,184.5,183.6,183,174.7,171,166.3,155.5,152.3,150.4,150.4,151.7,153.6,149.7,149.5,150.2,153,146.7,155.1,154.9,156.5,160.4,163.6,164.8,163.4,166.4,170,172.1,180.9,182.5,180.8,187.7,188.9
"19","11","      Equipment and software","B010DX1",202.6,207.6,212.6,222.4,225.9,243.6,248.7,255.8,265,261.8,267.8,264.3,266.5,248.6,250.9,254.9,261.7,264.2,270.4,268,263.2,253.2,248.5,244,243.2,255.7,270.6,293.8,299.5,314.3,324.9,335.3,333.4,341.1,336.9,343.6,341.1,346,344.7,348.9,338.6,348.8,358.4,353.8,364.8,374.4,379.8,386.2,392.9,403.2,413.6,405.8,409.5,400,404.5,401.9,390.7,390.2,396.5,397,396.5,418.7,429.1,445,453.2,470.1,476.4,500.4,514.5,518.5,531.9,561.8,587.8,589.3,593.1,611,627.7,647.2,673.4,686.1,707.6,733.6,774.4,780.9
"20","12","    Residential","A011DX1",188.4,210,209.3,206.6,207.6,217.6,220.6,219.8,214.7,210.7,208.2,200.3,185,150.8,153.3,168.3,165.3,159.7,147.4,132.3,124.7,120.7,120.3,129.2,151.2,169.1,185.8,193.7,199.1,202.7,200.8,201,200.4,202,204.5,209.4,218.4,230.5,234,233.6,233,234,233.3,234.4,229.4,231.2,231.3,233.4,231.8,225,222.5,217.8,220.1,211.6,199.6,188.5,177.3,181.5,189,193.2,203,210.8,211.3,218.4,219.4,222,229.7,241.3,246.4,254.5,251.8,248.5,242.9,235.1,242.4,247.9,254.4,265.2,264.4,261.7,262.6,265.9,267.1,269.9
"21","13","  Change in private inventories","A014DX1",19.7,32.8,58.2,30.3,35.3,34.7,36.6,42.5,32.6,36.7,13.9,8.4,10.9,9.3,-39.9,-10.8,45.3,11.7,47.3,23.1,-22.3,-4.4,5.5,-43.2,-39,-5.5,-4.6,24.1,72.5,68,71.1,44.5,14.1,20.5,17,31.6,28.9,14.1,-7.7,-7.5,29.9,16.4,-0.5,62.8,14.6,18.7,16.9,21.4,44.5,33.6,8.8,13.3,12.4,30.3,20.4,-8.8,-14.1,-17.2,-0.4,27,2.2,19.6,17.3,19.5,32.9,21.9,5.1,12.8,41.3,74,45.8,65.5,53.9,30.9,6.7,13.5,2.6,21.9,50.7,26.8,35.3,85,61.7,71.1
"22","14","Net exports of goods and services","A019DX1",-63.2,-59.9,-54.1,-65.4,-79.4,-56.9,-58.1,-52.4,-51.3,-52.3,-38.1,-27.7,-19.9,8.7,29.2,12.7,6.1,7.3,4.2,-2.9,-7.3,-0.7,-27.2,-27.9,-30.4,-52.6,-73.7,-85.2,-108.8,-118.2,-122.4,-128.6,-118.8,-140.8,-141,-149.2,-139,-155.1,-160.9,-152.4,-149.2,-147.9,-142.3,-140.4,-116.6,-99.3,-103.8,-106.9,-96.6,-79.5,-73.6,-76.1,-72.7,-64.9,-58.8,-39.1,-29,-20,-23.4,-23.5,-17.7,-27.5,-24.5,-36.2,-48.4,-54.5,-65.1,-72.6,-82.8,-88.5,-84.5,-90.9,-95.3,-93.3,-65.3,-64.9,-81.9,-88,-109.6,-78.4,-101.2,-99.6,-115.1,-138.6
"23","15","  Exports","A020DX1",219.8,225.7,227.4,220.1,225.3,248.8,251.5,261.5,261.8,262.4,271.9,289,297.1,302.7,302,300.2,305.9,307.5,301,302.4,289.3,291,278.1,265.4,269.7,270.5,274.6,280.1,285.9,293.1,299.5,305.6,305.8,304.7,300.3,309.3,319.1,322.5,329.9,342.2,342.5,356.1,371.4,385.1,406.5,417.7,425.5,438.5,451.3,471,476.1,483.6,504.8,511.6,515.4,519.7,523.4,542.2,554.7,567.3,577.4,577.4,590,593,594.3,601.6,599.7,618.8,624.8,645.4,670,684.9,697.4,707.1,737.8,748.5,757.9,770.6,776.8,825.5,841.2,874.6,894.9,893.2
"24","16","    Goods","A253DX1",159.9,164,165.7,158.8,161,183.4,184.5,192,192.1,193.5,202.5,217.9,224.8,228.8,224.8,223.8,225.8,225.5,218.7,222.3,209.3,211.7,201,189.8,192.6,193.9,197.2,204.8,203.8,208.7,215.6,222.6,220.7,220.1,217.4,223.9,224.5,228.7,232.4,241.8,239.2,249.4,264.4,277.2,294.1,302.2,306.9,321.1,326.6,345.3,346.5,351.8,367.7,370.9,372.7,374.1,384.2,393,402.2,408.6,418.2,419.5,431.8,437.3,432.9,438.4,435.3,455.8,455.9,472.2,496.3,509.5,521.4,530.2,550.5,558.1,569.8,575.9,586.6,618.4,639.8,669.6,689.2,690.2
"25","17","    Services","A646DX1",59.6,61.4,61.4,61.4,64.8,64.4,66.3,68.7,68.8,67.8,67.5,68.2,69.2,70.8,75.2,74.2,78.5,81,81.8,78.8,79.8,78.9,76.9,75.8,77.3,76.7,77.4,74.7,82.4,84.7,83.8,82.6,85,84.5,82.7,85.2,94.6,93.8,97.5,100.4,103.2,106.7,107,107.9,112.3,115.4,118.5,117,124.6,125.4,129.4,131.6,136.8,140.5,142.4,145.2,139.3,149,152.2,158.2,158.8,157.7,158.2,156.2,161.2,163.1,164,163.6,168.8,173.3,174.6,176.5,177.6,178.7,188.8,191.8,190.2,196.4,192.9,209,205.2,209.7,211.3,209.1
"26","18","  Imports","A021DX1",283,285.6,281.6,285.6,304.7,305.7,309.7,313.9,313.1,314.8,310,316.7,317,294,272.8,287.5,299.8,300.2,296.8,305.3,296.6,291.8,305.3,293.3,300,323.1,348.2,365.3,394.7,411.2,421.9,434.2,424.7,445.5,441.2,458.5,458.1,477.6,490.8,494.6,491.7,503.9,513.7,525.5,523.1,517.1,529.3,545.4,547.9,550.5,549.8,559.7,577.5,576.5,574.2,558.8,552.4,562.2,578.1,590.8,595.1,604.9,614.5,629.2,642.8,656.1,664.7,691.4,707.5,733.9,754.5,775.8,792.8,800.3,803.1,813.3,839.8,858.6,886.4,903.9,942.5,974.1,1010,1031.8
"27","19","    Goods","A255DX1",234.2,236,233.1,236.5,252.9,254,257,260.3,259.8,261.4,257,263.5,263.9,242.7,222.6,235.2,245.1,245.3,243,250.9,241.5,234.7,248.2,235.1,242.1,262.3,284.7,300.7,322.7,335.9,343,351.9,340.9,360.9,359.6,376.7,373.8,397.5,405.8,408.5,402,410,419.8,427.3,425.9,421.7,432.2,446.5,447.8,449.7,446.9,456.2,469.7,468,464.6,450.7,447.9,455.4,473.4,484.7,491.7,503.8,514.1,527.4,541.6,553.9,561,584.2,598.6,625.1,646.7,669.5,682.4,691.9,693.3,701.1,726.1,744.4,769.6,788.3,822.2,853.5,884.6,904.5
"28","20","    Services","B656DX1",48.1,48.9,47.8,48.4,51.1,51,52,52.9,52.6,52.6,52.3,52.3,52.2,50.7,50.2,52.1,54.4,54.8,53.6,54.1,55.2,57.5,57.2,58.7,58.2,61,63.4,64.4,71.9,75.3,79.1,82.6,84.4,84.8,81.6,81.7,84.3,80.4,85.2,86.3,89.7,93.9,93.9,98.3,97.2,95.4,97.1,98.9,100.1,100.8,102.9,103.6,107.8,108.6,109.6,108,104.5,106.8,105,106.5,104.1,102.2,101.7,103.3,103,104.2,105.8,109.4,111.3,111.7,111.3,110.5,114.5,113,114.2,116.5,118.5,119.4,122.4,121.9,126.9,128.3,133.3,135.6
"29","21","Government consumption expenditures and gross investment","A822DX1",725.5,733,734.4,732,733.2,753,759,765.9,759,767,768.1,773.1,785.6,788,777.1,776.3,786.6,788.4,786.6,793.9,793.1,797.7,803.2,817,823.1,830.2,844.6,830.3,838.7,856.8,863.1,881.6,891.7,911.7,935.4,941,951.1,971.3,993.3,987.6,991.7,997.9,998,1010,1005.1,1007.8,1007.2,1027.7,1021.3,1037.2,1046.9,1052.5,1068.7,1070.3,1070,1080.6,1085,1088.8,1083.6,1079.1,1087.3,1086,1091.6,1091.9,1080.4,1079.6,1078.5,1083.8,1070,1074.5,1093.4,1083.9,1088.2,1091.9,1089.5,1077.3,1084.2,1099.8,1098.7,1108,1110,1119.6,1120.9,1122.7
"30","22","  Federal","A823DX1",292.3,297.1,298.9,295.9,297,304,305.1,307.8,308.2,312,311.5,311.5,321.4,329.5,325.1,326.2,332.9,342.9,342.5,346.2,346.7,349.8,355.1,365.6,370,377.9,388.5,374.9,378.1,389.9,388.4,401.3,405.6,415.5,429.4,429.3,427,440.6,457.3,450.2,452.9,459.2,459.6,466.5,453.8,449.2,445.8,459.2,449.8,459.9,464.4,462,469,469.5,465.3,469.4,473.1,474.4,465.6,456.4,456.6,456.1,461.3,461.6,447.4,441,436.4,438.7,423,420.6,432.1,420.3,419.2,417.6,414.7,399.2,407.5,413.3,406,404.8,399.4,406.5,405.1,404.6
"31","23","    National defense","A824DX1",206.7,209.8,209.9,204.1,205.4,210.1,210.6,211.6,212.6,216.9,216.2,217.5,223.9,224.4,224.8,227.8,232.1,239.1,241.1,245.5,248.3,255.2,259.7,267.1,268.7,274.9,276.8,283.9,284.8,287.8,286.6,298.9,300.9,309.6,322.1,323.6,321,333.1,346.1,336.4,341.4,349.6,354.7,354.2,350.4,347.5,344.1,351.3,339.9,347.2,351.4,347.9,348.7,347.7,341.7,348,351,350,340.7,329.1,324,324.2,328.6,326.1,313.3,308.7,304.5,307.4,292,292.1,301.8,287.5,286.7,286.2,282.8,273.9,279.2,283,277,275.3,266.4,272.7,271.4,272.9
"32","24","    Nondefense","A825DX1",86,87.7,89.2,91.9,91.7,94.2,94.7,96.4,95.8,95.4,95.5,94.2,97.8,105.3,100.5,98.6,101.1,104,101.6,100.9,98.7,94.9,95.7,98.8,101.7,103.3,112,91.1,93.4,102.4,102,102.5,104.8,106,107.4,105.7,106,107.5,111.2,113.8,111.5,109.6,104.9,112.2,103.4,101.8,101.8,107.9,109.8,112.7,112.9,114,120.1,121.7,123.4,121.3,121.9,124.2,124.6,126.9,132.1,131.4,132.2,134.9,133.4,131.7,131.3,130.7,130.2,127.8,129.7,131.8,131.6,130.5,131,124.4,127.4,129.3,128,128.6,131.7,132.6,132.5,130.6
"33","25","  State and local","A829DX1",435.7,438.3,437.8,438.5,438.6,451.5,456.6,460.8,453.2,457.4,459.1,464.3,466.5,460.4,453.9,452,455.3,446.6,445.2,448.7,447.3,448.7,448.8,451.9,453.5,452.4,456,455.7,460.9,466.9,475,480.4,486.2,496.2,505.8,511.7,524.4,530.8,535.9,537.4,538.8,538.8,538.3,543.6,551.3,558.5,561.3,568.4,571.4,577.1,582.5,590.3,599.6,600.6,604.4,610.9,611.7,614.1,617.6,622.1,630.1,629.3,629.7,629.8,632.3,637.8,641.3,644.3,646.1,653,660.3,662.6,667.9,673.2,673.6,677,675.6,685.3,691.5,701.9,709.3,711.9,714.4,716.9
"34","26","Residual","A960DX1",-12,-10.9,-8.8,-8.8,-9.9,1.8,2.5,2.3,7.9,4.7,7.3,6.8,10.5,9.6,10.5,11.5,15.5,10.1,18.5,14.7,5,8.2,0.5,-5.8,-5.8,-8.6,-5.9,-2,0.3,3.1,3.3,4.4,2.7,-0.4,0.2,1.3,1.1,0.8,2.8,-1.3,-1,0.2,2,-1.2,1.5,1.7,5.8,4,4.3,3.8,4.7,6.7,4.3,6.8,6.9,9.3,11.6,12.7,10.4,9.8,11.3,10.9,8.5,6.1,7.8,5.4,9.4,3.9,0,-2.4,-1,-8,-9.2,-7.3,-7.5,-11.7,-12.2,-17.6,-22.9,-24.3,-32.2,-43.1,-49.4,-48.6
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (1987) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index rebased with the reference year 1987 equal to 100 and of the 1987 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
