"","Table 6#4B# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"25","18","        Primary metal industries","J4218C0",1298,1261,1176,1179,1264,1286,1143,1154,1186,1223,1254,1152,1129,932,833,866,812,754,744
"26","19","        Fabricated metal products","J4219C0",1675,1559,1467,1522,1638,1633,1462,1515,1580,1670,1717,1618,1597,1436,1375,1465,1476,1432,1407
"27","20","        Machinery, except electrical","J4220C0",2042,1984,1811,1892,2094,2227,2065,2081,2182,2340,2508,2490,2504,2256,2039,2203,2191,2052,2023
"28","21","        Electric and electronic equipment","J4221C0",1976,1863,1723,1776,1962,1979,1702,1780,1877,2020,2126,2107,2109,2023,2024,2218,2201,2123,2078
"29","22","        Motor vehicles and equipment","J4222C0",919,813,846,885,968,910,786,877,952,1008,1000,798,795,706,752,855,880,871,854
"30","23","        Other transportation equipment","J4223C0",1220,1034,900,922,956,962,914,908,935,1006,1086,1111,1113,1038,992,1044,1103,1151,1190
"31","24","        Instruments and related products","J4224C0",552,531,496,520,564,592,548,575,619,656,690,708,728,715,698,712,718,703,689
"32","25","        Miscellaneous manufacturing industries","J4225C0",451,435,423,440,461,464,423,444,454,469,465,438,424,396,384,393,380,378,384
"33","26","      Nondurable goods","J4226C0",8324,8172,7975,8070,8255,8157,7655,7959,8136,8296,8334,8163,8134,7800,7742,7913,7795,7766,7869
"34","27","        Food and kindred products","J4227C0",1799,1787,1755,1731,1718,1716,1664,1689,1715,1734,1740,1717,1688,1648,1616,1613,1604,1610,1621
"35","28","        Tobacco manufactures","B4228C0",81,81,77,77,79,79,73,72,70,69,69,67,69,68,65,63,62,58,55
"36","29","        Textile mill products","J4229C0",1011,984,962,1000,1033,987,869,917,912,909,891,853,827,752,747,749,703,708,729
"37","30","        Apparel and other textile products","J4230C0",1419,1370,1347,1377,1416,1357,1250,1333,1329,1349,1312,1276,1259,1168,1164,1195,1125,1103,1099
"38","31","        Paper and allied products","J4231C0",713,702,679,684,700,701,642,673,692,700,707,691,687,666,665,683,680,677,684
"39","32","        Printing and publishing","B4232C0",1109,1107,1076,1085,1112,1115,1092,1112,1158,1211,1256,1275,1296,1301,1323,1399,1445,1477,1522
"40","33","        Chemicals and allied products","J4233C0",1035,1024,986,978,1006,1027,1024,1050,1081,1101,1117,1116,1116,1092,1057,1058,1052,1030,1031
"41","34","        Petroleum and coal products","J4234C0",187,189,187,184,185,190,189,194,200,202,203,198,205,192,187,179,172,164,161
"42","35","        Rubber and miscellaneous plastics products","J4235C0",625,608,605,654,708,704,601,649,716,756,785,727,738,693,712,785,787,791,823
"43","36","        Leather and leather products","J4236C0",345,320,301,300,298,281,251,270,263,265,254,243,249,221,207,190,167,149,144
"44","37","    Transportation and public utilities","A4237C0",4472,4525,4488,4538,4689,4746,4581,4600,4734,4955,5167,5178,5219,5131,5027,5192,5269,5283,5412
"45","38","      Transportation","J4238C0",2747,2711,2660,2676,2777,2807,2670,2695,2793,2934,3048,2999,2973,2821,2776,2943,3028,3071,3197
"46","39","        Railroad transportation","B4239C0",643,626,597,575,572,579,548,528,528,523,535,519,490,421,363,361,337,308,287
"47","40","        Local and interurban passenger transit","J4240C0",289,289,287,279,278,282,276,270,267,269,276,277,277,272,270,280,289,297,308
"48","41","        Trucking and warehousing \1\","B4241C0",1104,1090,1100,1138,1212,1220,1131,1168,1239,1326,1371,1308,1295,1230,1240,1341,1392,1420,1495
"49","42","        Water transportation","J4242C0",225,218,199,201,203,205,195,194,195,209,209,212,219,209,195,197,192,183,181
"50","43","        Transportation by air \1\","J4243C0",354,353,342,346,367,369,366,371,386,408,443,456,456,446,453,487,519,556,605
"51","44","        Pipelines, except natural gas","B4244C0",18,17,17,17,16,16,17,18,18,20,20,22,22,21,21,19,19,18,18
"52","45","        Transportation services","J4245C0",114,118,118,120,129,136,137,146,160,179,194,205,214,222,233,258,280,289,304
"53","46","      Communication","A4246C0",1052,1123,1126,1145,1177,1195,1178,1169,1191,1242,1312,1354,1393,1436,1372,1357,1334,1299,1295
"54","47","        Telephone and telegraph","J4247C0",923,992,991,1005,1032,1045,1023,1008,1022,181,189,199,209,226,232,238,244,244,242
"55","48","        Radio and television","J4248C0",129,131,135,140,145,150,155,161,169,1061,1123,1155,1184,1210,1140,1119,1090,1055,1053
"56","49","      Electric, gas, and sanitary services","J4249C0",673,691,702,717,735,744,733,736,750,779,807,825,853,874,880,892,907,913,920
"57","50","    Wholesale trade","J4250C0",3981,4061,4087,4206,4422,4540,4465,4609,4781,5056,5295,5346,5466,5350,5323,5614,5757,5799,5916
"58","51","    Retail trade","J4251C0",11115,11362,11615,11982,12589,12847,12977,13570,14195,15031,15461,15487,15659,15471,15916,16908,17654,18188,18788
"59","52","    Finance, insurance, and real estate","J4252C0",3564,3696,3777,3917,4138,4270,4319,4443,4641,4947,5198,5362,5488,5528,5667,5894,6132,6435,6707
"60","53","      Banking","J4253C0",988,1050,1080,1118,1185,1257,1283,1311,1359,1424,1505,1576,1633,1661,1663,1677,1705,1734,1742
"61","54","      Credit agencies other than banks","J4254C0",359,362,369,391,416,432,444,451,478,523,557,571,586,587,642,707,759,839,898
"62","55","      Security and commodity brokers","J4255C0",230,209,201,207,198,181,176,184,190,196,210,235,271,275,312,341,357,396,448
"63","56","      Insurance carriers","B4256C0",991,1029,1028,1048,1066,1097,1098,1116,1155,1246,1269,1282,1270,1284,1276,1294,1329,1392,1435
"64","57","      Insurance agents, brokers, and service","J4257C0",267,279,287,294,315,332,355,365,390,423,455,474,491,493,507,531,562,588,617
"65","58","      Real estate","J4258C0",680,713,755,798,882,884,877,917,963,1025,1084,1105,1113,1078,1114,1177,1240,1294,1340
"66","59","      Holding and other investment offices","B4259C0",49,54,57,61,76,87,86,99,106,110,118,119,124,150,152,166,179,193,227
"67","60","    Services","J4260C0",13547,13767,14066,14742,15469,15835,16209,16801,17530,18573,19359,19924,20646,20949,21610,22768,23728,24675,25887
"68","61","      Hotels and other lodging places","J4261C0",778,797,816,850,916,941,949,978,1001,1063,1111,1144,1184,1174,1206,1309,1376,1423,1492
"69","62","      Personal services","J4262C0",1042,1012,971,926,930,904,898,902,928,965,985,987,1008,1017,1045,1099,1144,1180,1225
"70","63","      Business services","J4263C0",1652,1711,1706,1836,2029,2138,2077,2222,2409,2681,2953,3142,3315,3405,3650,4189,4557,4910,5333
"71","64","      Auto repair, services, and parking","B4264C0",379,393,408,427,465,472,476,508,545,606,642,632,639,652,681,746,795,826,862
"72","65","      Miscellaneous repair services","B4265C0",188,192,188,199,219,233,231,243,257,280,304,311,318,307,305,334,341,339,341
"73","66","      Motion pictures","J4266C0",203,202,201,200,206,205,206,207,212,215,225,225,225,239,243,242,247,253,253
"74","67","      Amusement and recreation services","J4267C0",460,472,491,531,573,602,619,658,692,732,764,795,813,840,851,861,868,895,920
"75","68","      Health services","J4268C0",2654,2798,3049,3386,3673,3927,4191,4398,4622,4886,5125,5415,5718,5900,6074,6217,6394,6637,6919
"76","69","      Legal services","J4269C0",238,250,265,287,325,351,381,408,439,477,518,561,605,589,626,668,714,766,823
"77","70","      Educational services","J4270C0",996,1034,1058,1083,1110,1146,1182,1185,1177,1221,1267,1282,1320,1371,1416,1483,1518,1548,1620
"78","71","      Social services and membership organizations","A4271C0",2025,2009,2048,2136,2166,2195,2327,2395,2438,2575,2644,2709,2714,2691,2727,2780,2871,2961,3126
"79","72","        Social services","B4272C0",NA,NA,NA,NA,NA,NA,769,835,879,995,1066,1128,1149,1102,1155,1212,1298,1381,1466
"80","73","        Membership organizations","J4273C0",NA,NA,NA,NA,NA,NA,1558,1560,1559,1580,1578,1581,1565,1589,1572,1568,1573,1580,1660
"81","74","      Miscellaneous professional services","J4274C0",602,617,627,681,760,805,797,816,874,973,1068,1123,1181,1132,1163,1236,1310,1360,1428
"82","75","      Private households","B4275C0",2330,2280,2238,2200,2097,1916,1875,1881,1936,1899,1753,1598,1606,1635,1622,1606,1593,1577,1544
"83","76","  Government","A4276C0",16995,17068,17044,17036,17287,17647,18000,17997,18169,18492,18902,19273,19148,19149,19172,19428,19795,20170,20550
"84","77","    Federal","A4277C0",7492,7129,6717,6308,6174,6146,6060,5934,5871,5881,5881,6010,6006,6084,6095,6196,6311,6384,6475
"85","78","      General government","A4278C0",6599,6217,5807,5427,5293,5251,5183,5080,5027,5031,5016,5140,5133,5207,5246,5316,5401,5427,5493
"86","79","        Civilian","B4279C0",2083,2042,2002,2017,2001,2049,2075,2085,2090,2117,2126,2221,2131,2113,2117,2143,2180,2164,2190
"87","80","        Military \2\","B4280C0",4516,4175,3805,3410,3292,3202,3108,2995,2937,2914,2890,2919,3002,3094,3129,3173,3221,3263,3303
"88","81","      Government enterprises","B4281C0",893,912,910,881,881,895,877,854,844,850,865,870,873,877,849,880,910,957,982
"89","82","    State and local","A4282C0",9503,9939,10327,10728,11113,11501,11940,12063,12298,12611,13021,13263,13142,13065,13077,13232,13484,13786,14075
"90","83","      General government","A4283C0",8991,9404,9778,10164,10524,10879,11280,11400,11638,11922,12289,12506,12389,12307,12315,12459,12692,12981,13258
"91","84","        Education","B4284C0",4828,5060,5298,5467,5641,5858,6052,6124,6251,6292,6361,6481,6466,6421,6478,6581,6759,6940,6992
"92","85","        Other","B4285C0",4163,4344,4480,4697,4883,5021,5228,5276,5387,5630,5928,6025,5923,5886,5837,5878,5933,6041,6266
"93","86","      Government enterprises","B4286C0",512,535,549,564,589,622,660,663,660,689,732,757,753,758,762,773,792,805,817
"94","87","Rest of the world","A4287C0",-22,-20,-19,-21,-24,-21,-25,-25,-23,-28,-22,-24,-62,-64,-70,-73,-72,-67,-66
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1987, reflects the reclassification of air couriers from trucking and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
