"","Table 6#16C# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 17, 2003 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/27/2007 8:51:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9
"9","2","Domestic industries","A445RC1",320.8,375.7,359.5,361.7,374.7,406.2,465,523.2,603.9,684.3,757.5,698.7,729.8,672.2
"10","3","  Financial","A587RC1",61.1,69.4,76.6,87.4,113.2,117,125.8,107.3,151.4,161.1,184.2,160.4,192.2,195.8
"11","4","  Nonfinancial","A463RC1",259.7,306.2,282.9,274.3,261.5,289.2,339.2,415.9,452.5,523.2,573.4,538.3,537.6,476.4
"12","5","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,77.1,92.8,101.9,110.9,103,121.5,145.7
"13","6","  Receipts from the rest of the world","B933RC1",58.9,71.6,75.5,80.9,75.5,78.3,88.9,103.6,127.2,139.3,158.9,147,176.8,202.5
"14","7","  Less: Payments to the rest of the world","B934RC1",10.9,14.6,8.4,4.8,-1,5.2,12,26.6,34.4,37.4,47.9,44,55.3,56.8
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",301.4,363.9,367.4,396.6,427.9,458.3,513.1,564.6,656,736.1,812.3,738.5,776.8,759.3
"16","9","Domestic industries","A390RC1",253.4,306.9,300.3,320.5,351.4,385.2,436.1,487.6,563.2,634.2,701.4,635.5,655.3,613.6
"17","10","  Financial","A392RC1",59.8,68.7,77.9,94.4,124.2,129.8,136.8,119.9,162.2,172.6,193,165.9,196.4,203.8
"18","11","    Federal Reserve banks","B397RC1",15.7,17.6,20.2,21.4,20.3,17.8,16.2,18.1,22.5,22.1,23.8,25.2,26.3,30.8
"19","12","    Other","B398RC1",44.1,51.1,57.8,73,103.9,111.9,120.6,101.8,139.7,150.5,169.2,140.7,170.1,173
"20","13","  Nonfinancial","A399RC1",193.5,238.2,222.3,226.1,227.3,255.4,299.3,367.7,401,461.6,508.4,469.6,458.9,409.8
"21","14","    Manufacturing","A400RC1",86.3,121.2,110.9,113.1,98,99.5,115.6,147,173.7,188.8,209,173.5,175.2,166.3
"22","15","      Durable goods","A406RC1",40.7,54.1,51.2,43.8,34.4,40.6,55.8,74.4,80.9,90.6,103.1,87.3,78.8,64.8
"23","16","        Primary metal industries","A407RC1",2.6,6,6.4,3.5,1.5,0,0.4,2.3,7.1,5.6,6.3,6.5,2.4,1.2
"24","17","        Fabricated metal products","A408RC1",5.5,6.5,6.4,6,5.3,6.2,7.4,11.1,11.8,14.5,17,16.4,16.2,15.4
"25","18","        Industrial machinery and equipment","A409RC1",5.4,11.1,12.2,11.8,5.7,7.5,7.5,9.1,14.8,16.9,16.7,19.5,12.4,16.3
"26","19","        Electronic and other electric equipment","A410RC1",5.9,7.7,9.3,8.5,10,10.4,15.2,22.8,21.5,20.1,25.3,8.9,5.3,4.7
"27","20","        Motor vehicles and equipment","A411RC1",3.7,6.2,2.7,-1.9,-5.4,-1,6,7.8,0,4.2,4.8,5.9,7.3,-1.5
"28","21","        Other","A412RC1",17.6,16.5,14.2,15.9,17.3,17.4,19.4,21.3,25.8,29.2,33,30.1,35.3,28.8
"29","22","      Nondurable goods","A401RC1",45.6,67.1,59.7,69.2,63.6,59,59.7,72.6,92.8,98.2,105.9,86.2,96.4,101.5
"30","23","        Food and kindred products","A402RC1",11.4,12,11.1,14.3,18.1,18.2,16.4,19.9,27.1,22.1,24.6,21.9,28.1,25.7
"31","24","        Chemicals and allied products","A403RC1",14.4,18.6,18.2,16.8,16.2,16,15.9,23.2,27.9,26.4,32.3,26.5,25.2,16
"32","25","        Petroleum and coal products","A404RC1",-1.5,12.7,6.5,16.4,7.3,-0.9,2.7,1.2,7.1,15,17.3,6.7,4.3,29.1
"33","26","        Other","A405RC1",21.3,23.7,23.9,21.7,22,25.6,24.7,28.3,30.6,34.7,31.7,31.1,38.9,30.7
"34","27","    Transportation and public utilities","A416RC1",41.9,48.4,43.3,44.2,53.3,58.4,69.5,83.2,85.8,91.3,84.2,78.9,56.8,43.8
"35","28","      Transportation","A417RC1",3.4,7.9,1.3,-0.4,2.3,2.3,7,10.5,11.5,15.7,19,21.6,15.8,15.2
"36","29","      Communications","A418RC1",19.4,19.5,18.2,20.1,23.5,27.7,32.9,36.7,33.6,35,25.5,21.4,4.6,1.3
"37","30","      Electric, gas, and sanitary services","A419RC1",19.1,21.1,23.9,24.5,27.5,28.4,29.6,36.1,40.8,40.7,39.7,35.8,36.3,27.3
"38","31","    Wholesale trade","A414RC1",18.6,20.1,21.8,19.2,21.7,25.1,26.3,30.9,27.3,39.8,47.6,52.3,52.6,56.9
"39","32","    Retail trade","A415RC1",23.4,20.3,20.8,20.7,26.7,32.6,39.1,46.2,43.1,51.9,64.2,73.4,74.6,70.1
"40","33","    Other","A420RC1",23.4,28.3,25.5,29,27.5,39.7,48.9,60.4,71.2,89.7,103.4,91.5,99.7,72.8
"41","34","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,77.1,92.8,101.9,110.9,103,121.5,145.7
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
