"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"22","14","GAP60  D         Net transactions","GAP600",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,36043,33301,36525,31191,31377,38254,38943,37037,36968,34689,31608,37256,34132,26688
"23","15","GAP63  D         Employee reimbursement","GAP630",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1744,-1804,-1853,-1823,-1726,-1692,-1682,-1743,-1756,-1749,-1722,-1689,-1750,-1791
"24","16","W241RX B       Used light trucks (including utility vehicles","W241RX0",16852,16687,16949,17099,16799,17306,18863,18377,19018,20156,20837,20924,20475,20892,20108,20731,20485,20327,19905,20935,21489,22254,23618,25408,27276,28283,29371,30819,33383,34251,36709,35961,36215,38475,45072,52684,46544,53037,52269,47408,53055,47973,49974,51394,52339,48811,54394,53210,50753,56130,58672,58380,53940,54288,52910,61513,58788,54681
"25","17","W491RR D         Margin","W491RR0",7166,6802,6686,6570,6527,6471,6652,5970,5313,5468,5675,5924,6205,6508,6827,7156,7487,7819,8147,8469,8775,9090,9403,9714,10024,10333,10639,10945,11787,11527,11907,11613,11447,12235,13048,14340,12934,14404,14371,13601,14885,13725,14381,14380,14636,15323,14874,15239,15314,14897,13930,14722,15611,15507,16869,17446,16882,18663
"26","18","W492RR D         Net transactions","W492RR0",9585,9779,10154,10419,10181,10731,12071,12229,13409,14306,14733,14618,14024,14168,13197,13514,13004,12568,11890,12594,12855,13311,14331,15762,17281,17976,18751,19878,21600,22691,24783,24337,24769,26241,32013,38322,33600,38644,37910,33812,38173,34248,35592,37011,37696,33508,39523,37956,35388,41269,44881,43716,38163,38641,35630,44105,41880,35072
"27","19","AB62RX B   Private fixed investment","AB62RX0",60125,58791,61019,57467,55709,56674,58428,56929,55997,58379,58711,63905,64266,74084,72695,81082,89072,88122,93090,101453,99046,95284,97596,99548,97751,100508,105678,108215,110474,108009,109863,111704,107378,113590,109177,123501,120565,122843,130424,128995,130016,121132,115099,106809,108271,105060,95450,98008,93876,94410,98828,94352,90479,95199,102239,104458,103622,104305
"28","20","AB68RX B     New motor vehicles","AB68RX0",92239,90944,95993,92959,90213,92495,97847,94637,94419,100816,100394,107054,105275,119194,113381,123699,134323,132434,136915,146473,142689,137647,143543,145620,147405,154233,161423,160910,164849,162442,168502,173936,171832,185345,171879,194457,194509,195252,205967,205251,209327,195731,191235,177204,183429,176833,167903,165820,159592,169212,177293,174996,160288,161411,173184,182470,178592,177983
"29","21","B139RX B       Autos","B139RX0",52272,52788,57776,56730,56364,57273,61168,57275,56172,59180,56774,61247,57877,66821,60001,65570,71717,70967,72404,76566,70556,68093,71632,70102,69931,74492,76348,70788,74758,72316,73777,73412,69914,74491,68280,78639,75195,77346,78410,78379,82289,75392,74298,73581,76109,74056,69419,64795,65113,70914,71863,69699,63993,61444,66571,68733,66307,64687
"30","22","GAP66  D         Domestic","GAP660",44133,44862,50272,49426,49350,49899,53714,50275,47866,50845,49015,53122,49361,57606,51079,56726,61373,60482,61706,66616,61252,58653,62810,61304,62204,66641,67943,62239,66128,64289,64889,63883,60856,65031,59072,68850,63687,64457,65286,63705,65865,59014,57969,56964,58072,54909,50859,44324,42755,48972,49390,46941,42278,40852,45298,47415,45267,42939
"31","23","GAP69  D         Foreign","GAP690",8139,7925,7503,7304,7013,7374,7453,6999,8306,8334,7758,8125,8515,9215,8921,8844,10344,10485,10697,9949,9304,9439,8820,8797,7727,7850,8404,8548,8629,8026,8887,9529,9057,9459,9207,9788,11507,12888,13123,14674,16423,16378,16329,16618,18037,19147,18560,20470,22357,21942,22472,22758,21715,20591,21272,21317,21040,21748
"32","24","B705RX B       Trucks","B705RX0",39768,37875,37792,35771,33325,34719,36105,36911,37847,41251,43338,45486,47135,52052,53135,57856,62309,61170,64204,69583,71859,69285,71625,75238,77199,79441,84782,89928,89848,89909,94523,100380,101853,110810,103580,115767,119317,117902,127562,126877,127042,120341,116931,103622,107309,102761,98474,101032,94461,98264,105437,105328,96313,99992,106633,113742,112268,113252
"33","25","B196RX B         Light trucks (including utility vehicles)","B196RX0",21337,20846,20682,20097,19182,21026,21516,21517,22019,23647,23609,24938,24963,28557,28467,31533,36260,35330,37012,40942,40984,40014,42466,45433,50257,52583,57966,64342,65780,66105,69543,73302,73299,81346,71238,80861,84591,83388,91818,90512,92133,87184,86995,77952,82357,79392,76779,79873,74939,76295,80824,81634,75912,77957,82512,86773,83276,85255
"34","26","B197RX B         Other","B197RX0",18855,17417,17498,16025,14455,13975,14897,15730,16169,17996,20218,21055,22762,24072,25312,26981,26562,26368,27753,29175,31525,29860,29695,30309,27251,27132,27005,25599,23996,23727,24909,27041,28564,29442,32390,34945,34749,34540,35750,36375,34905,33159,29938,25671,24962,23387,21724,21215,19598,21995,24588,23729,20504,22080,24120,26892,28765,27864
"35","27","W242RX B     Net purchases of used autos and used light trucks","W242RX0",-31939,-32043,-35000,-35779,-34803,-36211,-40110,-38280,-39139,-43474,-42595,-43923,-41567,-45570,-40928,-42762,-45334,-44370,-43755,-44932,-43632,-42380,-45905,-46085,-49516,-53504,-55528,-52521,-54163,-54191,-58430,-62089,-64437,-71791,-62600,-70832,-73967,-72319,-75432,-76179,-79279,-74592,-76150,-70415,-75098,-71758,-72244,-67684,-65550,-74628,-78260,-80491,-69438,-65651,-70327,-77991,-74544,-72942
"36","28","B140RX B       Used autos","B140RX0",-22888,-22786,-25459,-26109,-25665,-26633,-29324,-27257,-26728,-30101,-28681,-30030,-28218,-32009,-28251,-29672,-32572,-32096,-32372,-33101,-32286,-30783,-33348,-31959,-32983,-36155,-37522,-33730,-38024,-35944,-37058,-36750,-37897,-41461,-37860,-43279,-40793,-40567,-40435,-39997,-42867,-38895,-39567,-38123,-38550,-37872,-36109,-32241,-32358,-37282,-37540,-38502,-35552,-32408,-35349,-37899,-35769,-35382
"37","29","GAP72  D         Margin","GAP720",651,612,626,610,641,600,600,602,624,636,644,666,671,699,722,709,748,747,758,835,817,841,846,816,871,896,890,854,907,899,933,901,858,884,907,950,867,939,937,858,952,872,909,952,972,1009,952,955,909,867,811,822,902,852,886,852,802,905
"38","30","GAP75  D         Net transactions","GAP750",-23520,-23386,-26084,-26724,-26303,-27245,-29949,-27874,-27358,-30760,-29338,-30710,-28892,-32726,-28966,-30384,-33328,-32850,-33135,-33935,-33101,-31613,-34191,-32772,-33847,-37050,-38415,-34583,-38931,-36841,-37990,-37649,-38754,-42345,-38767,-44229,-41658,-41507,-41373,-40853,-43818,-39767,-40476,-39074,-39519,-38877,-37060,-33200,-33274,-38140,-38334,-39306,-36459,-33268,-36235,-38732,-36554,-36297
"39","31","W243RX B       Used light trucks (including utility vehicles)","W243RX0",-9066,-9271,-9562,-9694,-9165,-9604,-10812,-11039,-12409,-13376,-13899,-13888,-13340,-13573,-12678,-13095,-12783,-12297,-11417,-11864,-11380,-11621,-12584,-14132,-16529,-17349,-18005,-18771,-16150,-18230,-21350,-25331,-26539,-30328,-24737,-27550,-33175,-31750,-34998,-36185,-36413,-35697,-36584,-32293,-36545,-33887,-36138,-35448,-33194,-37346,-40733,-42003,-33877,-33244,-34972,-40104,-38792,-37572
"40","32","W493RR D         Margin","W493RR0",885,838,820,802,785,783,820,760,722,758,804,859,920,986,1058,1132,1209,1289,1370,1453,1536,1622,1710,1800,1893,1987,2084,2182,2457,2403,2482,2421,2386,2550,2720,2989,2696,3003,2996,2835,3103,2861,2998,2998,3028,3179,3071,3246,3163,3100,2960,3050,3212,3203,3536,3688,3447,3810
"41","33","W494RR D         Net transactions","W494RR0",-10004,-10170,-10451,-10569,-10014,-10460,-11722,-11902,-13270,-14292,-14869,-14899,-14381,-14671,-13810,-14295,-14040,-13615,-12789,-13314,-12895,-13212,-14268,-15920,-18426,-19341,-20096,-20971,-18581,-20650,-23862,-27755,-28923,-32885,-27463,-30550,-35863,-34763,-37994,-39016,-39518,-38559,-39582,-35288,-39572,-37056,-39207,-38705,-36393,-40441,-43635,-44992,-37158,-36521,-38610,-43831,-42249,-41497
"42","34","AB64RX B   Gross government investment","AB64RX0",13186,11368,13114,12892,15113,10099,10558,9377,10960,11623,9869,14676,9699,12463,11053,9581,9110,9315,11653,9512,8887,10296,9757,11617,11334,9324,9159,10329,10467,10723,11500,9839,10161,12606,10631,12270,11438,10557,12241,13675,12844,11828,11878,12986,12723,12723,12168,11896,11166,11379,12200,12451,11937,11456,12113,12584,12880,13862
"43","35","B144RX B     Autos","B144RX0",3782,3510,3602,4632,3993,3089,2976,2914,3295,3913,4018,4080,3707,3719,3668,3192,3513,3623,3890,3515,3348,4071,3662,4342,3885,3250,3249,4199,3499,3212,3085,3320,3123,3730,3343,3497,3453,3284,3320,4004,3319,3285,3616,3416,3155,3683,3801,3528,3422,3118,3156,3515,3796,3147,2785,2880,2803,2997
"44","36","GAP81  D       New autos","GAP810",2278,1980,2073,3251,2651,1652,1590,1400,1615,2325,2525,2552,2295,2322,2243,1655,2152,2285,2550,2056,1882,2719,2212,3045,2580,1795,1828,3062,2198,1883,1952,2073,1839,2656,2206,2421,2252,2090,2155,3241,2215,2239,2677,2428,1945,2605,2721,2378,2448,2060,2094,2571,2890,1998,1598,1990,1839,2131
"45","37","GAP84  D       Net transactions in used autos","GAP840",-337,-275,-296,-517,-757,-562,-559,-464,-529,-710,-676,-606,-701,-713,-693,-502,-673,-689,-721,-552,-502,-680,-538,-728,-652,-481,-510,-897,-629,-562,-735,-600,-554,-789,-658,-740,-631,-595,-626,-972,-651,-688,-785,-740,-536,-729,-775,-671,-751,-636,-621,-796,-842,-598,-540,-821,-814,-966
"46","38","GAP87  D       Employee reimbursement","GAP870",1861,1843,1857,1845,2076,2054,1999,2060,2300,2322,2168,2137,2127,2123,2138,2096,2055,2038,2055,2031,1994,2011,1990,1983,1944,1965,1962,1998,1938,1914,1888,1863,1863,1857,1798,1813,1834,1791,1793,1730,1753,1733,1724,1729,1744,1804,1853,1823,1726,1692,1682,1743,1756,1749,1722,1689,1750,1791
"47","39","B708RX B     Trucks","B708RX0",9402,7849,9512,8249,11124,7005,7583,6460,7658,7710,5858,10594,6003,8734,7387,6390,5612,5708,7763,6009,5551,6247,6108,7290,7452,6079,5916,6153,6973,7512,8414,6513,7037,8877,7287,8774,7987,7275,8920,9670,9527,8544,8262,9568,9565,9042,8374,8369,7742,8262,9047,8937,8148,8309,9325,9702,10073,10861
"48","40","W495RX B       New trucks","W495RX0",9961,8385,10050,8784,11660,7546,8175,7036,8252,8324,6481,11209,6632,9397,8039,7099,6347,6450,8481,6759,6262,6939,6817,8024,8222,6850,6684,6928,7630,8276,9388,7297,7818,9884,8040,9680,8853,8083,9889,10707,10568,9438,9142,10557,10518,9968,9309,9345,8792,9306,10038,10022,9213,9208,10460,10851,11192,12508
"49","41","W496RR B       Net transactions in used light trucks","W496RR0",-567,-547,-549,-552,-548,-569,-626,-618,-640,-666,-677,-673,-671,-701,-681,-732,-755,-757,-724,-754,-715,-703,-717,-748,-781,-771,-764,-770,-664,-766,-972,-782,-780,-1007,-754,-906,-866,-808,-969,-1037,-1041,-894,-880,-989,-953,-926,-934,-976,-1049,-1044,-989,-1085,-1067,-893,-1135,-1146,-1150,-1659
"50","42","AB63RX B   Net exports","AB63RX0",-46895,-53158,-53366,-54019,-45831,-42174,-47325,-47203,-47277,-44896,-41774,-43705,-50597,-49306,-48832,-47313,-45095,-53736,-55061,-61289,-58585,-58740,-50634,-49728,-52332,-57891,-57953,-53721,-63804,-63286,-62567,-58806,-63022,-67171,-67735,-78485,-86792,-88795,-94394,-95260,-100974,-99887,-103779,-102216,-103090,-99892,-99610,-97032,-100798,-103100,-105086,-104452,-98821,-102788,-97127,-102174,-104970,-109651
"51","43","AB69RX B     Exports","AB69RX0",18972,18033,15468,14215,19426,18429,20142,18524,19482,20798,22411,23351,21517,21926,20324,24214,24491,24303,25814,24027,26810,24384,25783,25107,26519,25051,27652,27340,26676,27525,29138,29066,29764,26815,23955,26318,25480,26162,25249,26051,27679,27020,25024,24776,22764,25452,26670,26053,25873,27716,29953,29847,30131,31593,30427,32618,30590,32723
"52","44","B142RX B       Autos","B142RX0",11458,11807,10816,9055,12244,12014,13761,12221,12048,12123,13276,13193,11901,12476,11114,12946,13159,13093,13256,12183,13502,12214,12436,12723,13462,12125,13567,13097,12457,13046,12978,12640,13222,11976,11420,12760,12028,12362,11505,12051,12689,12624,11846,11780,11241,13022,14429,13833,13417,14757,15774,14879,14962,15878,14965,15742,14492,16005
"53","45","B706RX B       Trucks","B706RX0",7447,6147,4566,5100,7103,6335,6277,6219,7359,8611,9061,10095,9562,9387,9162,11216,11277,11154,12514,11807,13269,12137,13326,12344,13014,12906,14055,14229,14218,14470,16175,16446,16552,14847,12531,13549,13451,13800,13746,14002,14991,14397,13178,12995,11524,12433,12248,12225,12459,12968,14186,14963,15162,15711,15451,16856,16073,16703
"54","46","AB70RX B     Imports","AB70RX0",65866,71191,68834,68234,65257,60603,67467,65727,66759,65694,64184,67055,72114,71232,69156,71527,69585,78039,80875,85316,85395,83125,76417,74836,78851,82942,85605,81061,90481,90810,91705,87871,92786,93986,91690,104802,112272,114957,119643,121312,128653,126907,128803,126993,125854,125344,126281,123085,126671,130816,135039,134299,128952,134381,127554,134792,135560,142374
"55","47","B143RX B       Autos","B143RX0",44823,47788,46328,45270,42805,39381,44271,40791,40013,40671,40570,41428,45404,45250,45096,45932,41837,46416,47654,50899,53470,52475,47972,46343,46552,46439,47538,45460,51836,52107,52396,50205,52253,53575,50980,58050,61354,62223,65592,65455,68625,68978,70210,69844,69998,68174,67490,65170,68155,73691,74075,71801,67535,69808,68003,72335,68942,69931
"56","48","B707RX B       Trucks","B707RX0",20876,23230,22336,22802,22303,21088,23041,24822,26653,24910,23489,25517,26573,25837,23888,25432,27677,31554,33155,34326,31777,30492,28304,28370,32225,36487,38056,35581,38596,38652,39263,37622,40508,40373,40693,46736,50914,52739,54047,55858,60032,57927,58591,57151,55865,57171,58785,57907,58515,57145,60967,62489,61396,64543,59542,62454,66567,72355
"57","49","AB65RX B Change in private inventories","AB65RX0",-20733,4759,4848,-12322,-20739,-698,6497,2310,-5674,2520,1486,4133,17990,-3361,-6525,1334,2696,5113,8316,9680,17924,13459,-6095,3559,-23263,14156,11154,-12030,-4272,6236,5998,9859,19433,-8877,-8024,-684,19838,-1943,4160,25109,5335,24660,9782,2362,-25207,5737,5206,-37211,11151,18714,4682,27148,23881,5335,2440,9605,27625,9261
"58","50","A145RX B   Autos","A145RX0",-9387,-17,1516,-8898,-7920,-58,5332,-392,-9633,3550,3304,925,8929,590,-3367,1636,-943,1095,704,5504,14512,7876,-9125,992,-17943,7316,5618,-8245,-4609,6048,4908,518,8430,-2791,5141,2319,7263,-4526,-4375,11315,36,8803,9462,-1923,-7432,2156,2468,-10720,16438,9761,500,11656,-37,3095,9552,1523,1086,-1322
"59","51","B146RX B     New","B146RX0",-10621,1360,1230,-7209,-6768,-2040,4667,-1095,-6776,3374,3719,-354,10882,-2052,-3612,-1249,278,-276,638,3204,14123,5593,-8535,-1048,-20879,5236,4102,-10114,-3109,4647,1038,-596,5194,-10960,10312,5429,4581,-1874,-2745,4677,-1374,2374,2344,1453,-11209,-3862,1729,-12944,13741,9089,529,8263,-2368,2034,2323,-1653,446,-7053
"60","52","AB71RX B       Domestic","AB71RX0",-12900,1688,2049,-7902,-7576,-1069,3976,-956,-6143,3929,3663,787,7306,-1335,-1280,-1306,3500,1912,1155,3012,15771,2190,-3884,-1395,-14139,4322,4434,-9714,-3721,4225,1618,-848,3609,-11859,11550,2741,4260,-3242,-2890,1545,-2313,2452,1922,671,-12974,-3389,-228,-12410,13079,8498,2663,2953,-1384,1214,3684,-2627,-1061,-4817
"61","53","AB72RX B       Foreign","AB72RX0",2521,-368,-927,936,1006,-1018,671,-128,-567,-675,-8,-1242,3714,-745,-2488,87,-3490,-2372,-559,178,-1925,3527,-4807,368,-6918,919,-393,-323,667,402,-604,253,1593,917,-1263,2695,334,1345,145,3145,942,-79,422,779,1726,-482,1916,-654,822,699,-2009,5154,-964,808,-1248,893,1430,-2223
"62","54","B147RX B     Used","B147RX0",1735,-1535,281,-1512,-929,2366,505,869,-2864,31,-612,1419,-2436,2932,379,3103,-1302,1466,60,2324,461,2302,-642,2016,2744,2099,1532,1842,-1514,1383,3910,1131,3220,8379,-5317,-3203,2687,-2664,-1626,6666,1415,6432,7144,-3411,3019,5205,115,1535,1614,-470,-1050,2025,-936,-2353,3472,-75,572,7696
"63","55","B709RX B   Trucks","B709RX0",-11731,5379,3592,-2846,-13580,-701,721,3101,5328,-1458,-2300,3424,9165,-4438,-3166,-498,4152,4367,8424,4106,2359,5469,4174,2765,-4427,6838,5554,-3535,589,2,1013,9535,11073,-6140,-13410,-3035,12586,2599,8580,13808,5308,15859,348,4246,-17692,3521,2690,-25957,-4296,9057,4025,15196,22039,2265,-5591,7275,23559,9091
"64","56","W244RX B     New trucks","W244RX0",-12980,5263,3482,-3201,-14384,-501,1044,3560,5607,-1746,-2837,2996,9049,-5572,-4374,-1817,2983,3182,7701,3262,2286,5728,4298,2514,-6440,5075,3760,-5416,4126,2226,1844,6070,6924,-13459,-8690,4964,10495,6845,8552,8505,3932,11667,-3535,5976,-19676,-126,2834,-26428,-5405,9242,4740,13135,21434,3763,-7904,6782,21240,3300
"65","57","AB73RX B       Domestic","AB73RX0",-9822,5816,3323,-4510,-15122,961,2799,2744,4695,-1019,-2230,2463,9845,-4873,-3338,-1530,2870,3649,7143,2029,1530,5234,5153,4305,-6574,4959,4326,-6320,2806,2118,2514,4596,6592,-14463,-6909,4906,9382,7316,9558,6382,4095,9902,-2169,2664,-18153,702,2923,-26776,-4971,9305,6048,5385,19895,2321,-1853,3721,19908,1542
"66","58","AB74RX B       Foreign","AB74RX0",-3350,-668,135,1493,824,-1536,-1827,816,946,-764,-629,555,-855,-720,-1072,-299,126,-469,577,1206,699,482,-759,-1688,104,130,-495,798,1237,113,-633,1441,334,950,-1744,65,1098,-469,-1002,2139,-195,1779,-1410,3376,-1519,-807,-74,304,-434,-43,-1271,7619,1519,1384,-5962,3033,1313,1780
