"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 07, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 2:40:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Exports of goods and services","A020RX1",1174.1,1272.4,1200.5,1178.1,1197.2,1309.3,1388.4,1512.4,1647.3,1741.8,1583.8,1765.6,1890.5,1957.4
"9","2","Exports of goods \1\","A253RX1",819,902,846.5,817.1,832.4,902.8,969.2,1060.5,1140.4,1210.4,1064.7,1217.2,1303.9,1353.2
"10","3","  Foods, feeds, and beverages","B638RX1",73.9,77.6,79.7,78,79.4,74.5,78.6,84.8,92.2,98.4,93.9,103.6,103.3,102.3
"11","4","  Industrial supplies and materials","A639RX1",213.1,232,222.6,223.6,229.9,245.4,251.4,270,284.5,315.6,293.5,339.4,361.3,367.6
"12","5","    Durable goods","B686RX1",74.3,85.1,77.6,72.6,74.4,80.7,86.8,95.1,100.4,111,96,112.3,116.2,116.2
"13","6","    Nondurable goods","B687RX1",138.9,146.8,145,151.5,155.9,165.1,164.9,175.2,184.3,204.9,197.6,227.1,244.8,251
"14","7","  Capital goods, except automotive","A640RX1",301.5,346.8,312.4,285.3,292,326.9,356.8,399.3,431.8,457.7,391.5,445.1,486.5,516.2
"15","8","    Civilian aircraft, engines, and parts","B688RX1",80.7,69.9,72.3,67.5,60.5,57.6,66.9,74.2,80.3,77.7,74.8,70.1,75.4,86.3
"16","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Other","B689RX1",202.1,243,213.3,196,205.7,239.4,255.4,287.6,312.9,339,279,330.3,359.1,376.7
"18","11","  Automotive vehicles, engines, and parts","B641RX1",82.2,86.8,81.1,84.4,85.6,94.1,102.5,110.4,123.4,122.3,81.7,111.5,130,140.5
"19","12","  Consumer goods, except automotive","A642RX1",87.5,96.2,95.4,91.6,97.1,110.5,122,134.9,149.4,161.6,149.5,163.5,170.8,174.8
"20","13","    Durable goods","B690RX1",44.8,49.7,49.3,46.8,48.9,57,65,73.8,85,91.3,75.4,88.8,97.2,97.5
"21","14","    Nondurable goods","B691RX1",42.8,46.6,46.2,44.9,48.4,53.6,57.1,61.2,64.5,70.3,74,74.8,73.9,77.6
"22","15","  Other","A643RX1",64.3,61.8,59.5,62.7,56.7,56.2,61.9,64.8,64,58,54.6,54.2,54,56.9
"23","16","Exports of services \1\","A646RX1",354.4,368.2,352.3,360.5,364.1,406.3,418.4,450.8,506.2,530.5,519.1,548.1,586.3,603.7
"24","17","  Transfers under U.S. military agency sales contracts","B267RX1",6.1,6.9,5.8,5.2,6.4,9.3,11.9,15.4,16.3,13.4,14.5,12.8,16.7,16.3
"25","18","  Travel","B493RX1",104.7,110.3,96.2,89.9,85.2,95.4,89,89.3,97.5,105.8,94.2,100.4,106.7,113.3
"26","19","  Passenger fares","B533RX1",29.2,29.6,24.9,23,19,20.5,21.9,22.8,24.4,27.1,26.1,26.7,28.5,29.5
"27","20","  Other transportation","B683RX1",32.5,32,31,32.8,32.7,34.3,35,37.7,41.7,41.7,36.1,39.2,38.9,38.6
"28","21","  Royalties and license fees","B684RX1",60.8,64.3,60.2,64.6,66.6,76.3,81.6,88.6,100.7,101.9,98.4,105.9,116,117.3
"29","22","  Other private services","B720RX1",113.9,118.2,126.2,136,144,160.4,168.3,186.6,216,230.1,237.3,250.5,266,275.6
"30","23","  Other","B980RX1",10.8,10.6,9.9,9.9,9.9,10,10.2,10.1,10,10.5,12.5,12.7,13.7,13.3
"31","24","Residual","A977RX1",-14.9,-0.6,-7.6,-13.5,-9.5,-4.9,-2.9,-2.8,-5.2,-2.5,0,-0.3,-2.3,-4.5
"32","25","    Imports of goods and services","A021RX1",1556.4,1755.1,1704.7,1763,1838.8,2041.2,2165.5,2298.6,2350.9,2288.7,1976,2228.1,2336.4,2388.2
