"","Table 6#16C# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"29","21","        Other","A412RC1",17.7,16.8,18.7,17,15.6,18.7,15,16.8,15.1,13.9,14.6,13,17.7,15.8,15.7,14.4,15.5,20.1,18.4,15.4,16.1,16.1,17.9,19.6,18.9,20.9,18.2,19.5,19.9,20,21.4,23.9,24.1,25.1,26.3,27.7,27.3,30.3,27.2,31.8,31.7,34.5,34.6,31.2,28.8,27.4,31.3,32.9,33.9,37.8,34.3,35.3,33.3,33.7,27.3,21
"30","22","      Nondurable goods","A401RC1",24,38.9,55,64.3,68.1,60.5,65.6,74.1,64.1,61.1,60.5,53.1,62.8,74.4,64.5,75.3,75.2,60.6,62,56.7,56.6,59.4,61.3,58.6,56.4,61.9,54.7,66,65.3,68.4,76.3,80.6,81.6,90.9,99.4,99.1,97.9,96.3,97.6,100.9,101.7,104,107.7,110.2,94.9,88.5,89.2,72,98.5,102.1,95.8,89.1,102.1,109.2,102.8,91.9
"31","23","        Food and kindred products","A402RC1",7.6,10.7,13.2,14,12.9,11.6,11.3,12.4,13.6,9.7,10.6,10.2,10.1,14.5,15.7,16.9,18,18.2,20.1,16.3,16.6,19.5,19.6,17.3,17.5,15.7,16.3,16,18.7,18.5,20.5,22,24.7,27.5,28.3,28.1,23.3,19.4,20.8,25.1,23,24.4,23.8,27.4,23.6,24.6,25.8,13.6,28.5,28.6,27,28.2,28.3,25.4,28.2,21
"32","24","        Chemicals and allied products","A403RC1",10,12.8,16.8,17.9,19.1,16.5,15.8,23,18.5,20.8,18.2,15.3,16.9,19.3,17.5,13.5,13.1,15.1,17.6,18.9,16.5,15.3,15.9,16.3,16.7,14.5,13.6,18.8,19.7,22.3,23.6,27.3,25.1,28.4,29.8,28.4,27.9,27.8,25.5,24.3,29.2,31.8,34.4,33.8,30.5,22.9,24.9,27.6,31.8,31.8,22.1,14.9,20,17.4,13.3,13.2
"33","25","        Petroleum and coal products","A404RC1",-13.4,-3.9,2.1,9.1,11,8.7,15.2,16.1,5.7,6.5,8.5,5.3,13.5,17.8,7.8,26.5,25.6,5.7,-1.5,-0.7,-0.5,-0.6,-0.6,-1.8,-3.1,4.4,3.3,6.3,-0.6,-2.5,3.9,4,2.4,6.5,11,8.7,10.5,14.8,16.4,18.4,18,16.3,17.7,17.2,9.4,8.9,7.3,1.3,0.6,4,8.2,4.4,15.3,33.8,33.9,33.4
"34","26","        Other","A405RC1",19.7,19.3,22.9,23.4,25.1,23.7,23.3,22.6,26.3,24,23.1,22.3,22.2,22.8,23.5,18.5,18.5,21.6,25.9,22.2,24,25.2,26.3,26.8,25.2,27.3,21.5,24.9,27.5,30.1,28.3,27.3,29.5,28.4,30.3,34,36.2,34.4,34.9,33.2,31.5,31.5,31.8,31.8,31.3,32.1,31.3,29.6,37.6,37.7,38.5,41.6,38.6,32.7,27.4,24.3
"35","27","    Transportation and public utilities","A416RC1",38.7,45.7,41.2,42.1,45.1,46.4,49.8,52.4,45.3,44.7,41.6,41.7,42.9,48.2,47.2,38.6,50.6,54.3,53.3,54.8,59.9,58.3,56,59.6,65.6,68.4,70,73.9,74.3,82.5,85.2,90.9,84.3,84,89,86,87.9,93.5,90.3,93.6,83.2,85.5,83.8,84.4,76.8,81,86.7,71,62.6,52.1,52.5,59.9,47.5,42.4,43.2,42.2
"36","28","      Transportation","A417RC1",2.7,3.9,3,4,7,7.9,9.4,7.4,1.6,2.2,1.7,-0.4,1.2,4,-0.6,-6.1,4.2,3.4,0.2,1.4,5.6,0.7,0.4,2.7,5.3,6.6,7.5,8.7,7.6,9.5,11,13.8,10.9,11.6,11.5,11.8,12.3,16.6,18.5,15.4,17.8,18.3,20.1,19.8,20.6,21.5,24.2,20.3,16.8,16,13.5,17,14.7,19.4,15.7,11.2
"37","29","      Communications","A418RC1",18.2,19.6,20,19.9,18.2,18.6,19.9,21.2,19.2,17.7,15.7,20.2,18.4,19.9,21,20.9,21.4,23.7,25,23.8,27.8,27.6,27.2,28.3,30,33.9,33.5,34.2,35.4,37.1,35.7,38.5,34.5,32.4,35.2,32.2,32.6,34.1,34.9,38.2,25.6,26.8,25.3,24.5,22.1,24,25.1,14.5,9.2,3.4,1.3,4.5,-0.3,-3.4,0.4,8.4
"38","30","      Electric, gas, and sanitary services","A419RC1",17.8,22.1,18.2,18.2,20,19.9,20.5,23.9,24.6,24.8,24.3,21.8,23.3,24.3,26.7,23.7,25,27.3,28.1,29.6,26.5,30,28.4,28.6,30.3,27.9,29,31,31.3,35.9,38.5,38.6,38.9,39.9,42.3,42,43.1,42.8,36.9,40,39.8,40.5,38.5,40.2,34.1,35.5,37.4,36.3,36.6,32.8,37.6,38.4,33,26.4,27.1,22.6
"39","31","    Wholesale trade","A414RC1",21.3,16.5,19.1,17.5,18.6,19.2,17.8,24.6,19.9,22.2,24.2,20.7,20.1,20.2,17.2,19.1,23.9,22.1,22.3,18.7,18.8,23.7,27.5,30.5,23.4,28.6,26.1,27,28.4,34.8,30.1,30.4,24.2,22.2,30.7,32,39.1,34.4,38.5,47.3,43.9,46,52,48.3,50.2,52.6,57.5,48.8,54.8,53.1,49.3,53.3,52.4,63.2,62.9,48.9
"40","32","    Retail trade","A415RC1",24.2,21.9,23.8,23.6,21.9,19.2,19.2,20.7,19.6,17.8,22.6,23.3,22.8,21.8,16.4,21.7,26,27,24.7,29.3,33.7,33.9,26.8,36.3,34,37.3,42.3,42.8,42.4,46.1,47.4,48.9,42.4,41.5,43,45.3,49.9,52.1,53.9,51.9,63.8,60,66.2,66.6,71.3,72.5,73.8,76,79.4,79,69.6,70.5,75.5,70.8,70.3,63.9
"41","33","    Other","A420RC1",19.2,24.4,25.9,24.1,28.8,29.9,27.3,27.1,24.1,24.4,25.9,27.8,26.6,29.7,30.4,29.3,26.1,26.2,27.6,30.1,34.4,38.3,38.9,47.1,45.9,44.5,48.7,56.5,57.1,57.2,62.1,65,66.1,67.7,73.8,77.1,86,88.2,91.2,93.5,102.1,100.7,104.9,105.8,93.4,88.6,90.4,93.8,97.7,106.6,101.2,93.2,78.3,77.4,68.3,67
"42","34","Rest of the world","B394RC1",41.3,48.5,47.8,54.5,52.7,57.7,57.2,60.4,64,64,66.6,74,73.4,75.1,70.9,84.9,84.2,74.7,70,77,78.5,75.6,71.3,67,82.8,73,80.1,71.9,75.1,75.7,78.1,79.4,88.8,96.8,86.5,99.1,100.1,97.3,98.9,111.2,104.8,115.1,114.7,109.2,108.8,106.2,96.2,100.5,113.9,116.6,118.5,137,131.1,138.5,144.6,168.6
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
