"","Table 2#7A# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","  Goods-producing industries","A206RC1",192.8,193.4,196.1,197.6,198.9,200.2,202,203.4,204.4,205.3,204.9,205.9,204.8,205.2,206.3,204.9,203.4,204.5,205.4,205.1,202.8,199.7,199.2,203.3,205.4,205,205.6,207.1,209.2,209.5,209.7,209.9,210.3,211.1,212,215.8,218.3,221,223.3,224.6,225.7,226.2,225.9,229.1,231.6,234.7,237.2,239.3,243,246.9,248.2,250.4,252.4,254.9,257.5,257.9,260.5,263.4,266.6,268.6,268.9,270.6,271.1,272.2,275.9,278.1,278.6,281.4,282.8,284.2,277.5,276,274.5,269.7,269.1,268.6,270.9,272.5,273.7,278.8,282.3,285.1,287.8,292.2,298,300.1,302.2,304.4,306.8,307.3,310.4,313.4,314.6,315.4,320.8,323.1,322.7,328.3,333.3,338.1,342.6,347.6,349.9,351.5,356,359.2,361.7,361.8,361.8,366.6,374.3,384.7,387.1,392.2,396.1,398.6,403,408.1,414.1,418.7,421.1,425.1,431.7,430.9,437.5,441.6,444.9,445.7,450.5,452.5,454.4,460.7,461.9,465.3,467.6,464.5,462,461.6,459,468.5,474.5,481.9,489.8,496,499.2,497.2,503,505.8,508.4,514,518.1,522.2,521.6,523.8,522.4,519.5,519.6,521.7,520.1,516.7,518.4,516.9,514.6,512,508.6,505.1,503,504.3,508.5,506.9,508.3,512.3,516.3,521,526.7,530,538.5,544.6,549.9,554.1,560.9,567.6,570.4,576.8,579.4,585.3,588.2,592.1,593.1,594.5,598.3,602.5,605.7,604.8,617,610.1,612.6,615.1,615.3,618.8,620.4,626.6,626,630.4
"12","4","    Manufacturing","A552RC1",152.3,152.7,154.8,155.5,156.2,157.5,159,160.3,160.9,161.5,160.7,161.3,160.8,160.3,161.2,160,159.2,159.5,160.1,159,157.2,153.7,152.8,157,158.7,158.8,158.8,159.1,160.9,161,160.8,160.5,160.6,161.7,162.1,165.1,166.5,169.5,171.6,172.7,173.5,174.5,174.1,176.3,178.3,180.6,183.1,185.2,186.9,190.3,191.4,193.4,194.5,195.7,197.6,197.8,199.5,202,204.3,205.3,205.4,205.7,206.7,207.7,211.1,213.2,214.7,215.9,217.1,218.3,215,211.3,207.8,204.8,204.8,205.3,206.6,208,209.2,213.8,216.6,218.6,220.2,223.7,227.9,230.2,232.1,233.7,235.9,236.7,238.8,241.3,242.2,242.2,246.8,248.6,249.4,253.4,256.5,259.7,263.8,267.5,269.5,271.3,273.9,276.3,278,281.2,281.1,285.1,290.1,293.5,295.2,298.3,301.3,303,306.6,310.6,315.5,319.8,322.2,324.9,328.7,327.2,332.3,335.3,337.7,337.2,340.9,342.6,343.2,348.1,349,351.3,354.1,351.4,348.8,347.8,346.6,353.9,358.4,364.4,370.8,375.5,377.1,375.5,380.1,384.8,388.2,389.9,391.1,394,393.1,394.1,391.7,388.9,389.1,391.1,389.5,387.1,388.3,388.1,386.5,384.9,382.8,379.8,379.1,379.8,382.4,383.4,385.9,389.5,393.4,396.8,401.3,403.3,410.3,415.1,419.6,422.7,427.8,432.4,435.1,439.8,440.7,443.9,447.4,450.4,451.8,453.9,456.3,459.4,461.4,458.7,470.3,462.2,464,466.3,466.9,469.2,469.4,475.8,474.8,477.7
"13","5","  Distributive industries","A212RC1",115.6,116.6,118.1,119.3,120.5,121.6,122.1,123.4,124.1,125.3,126.6,127.3,127.9,128.6,129.3,128.2,130,130.7,132.1,133,133.2,133.7,134,133.9,135.9,137.2,137.6,138.5,139.9,140.4,140.4,142.3,143.4,142.7,142.7,146.2,147.4,150.4,150.3,150.4,150.4,152,152.4,153.7,154.6,157,158.4,160.7,161.9,164,165.9,167.1,168.5,169.9,170.7,172.1,173.6,174.7,177.1,177.5,179.5,180.1,181,182.7,184.8,186.4,188.5,189.3,191.7,192.6,192.5,192,192.6,192.1,192.3,192.2,194.3,196,197.4,201.2,201.9,204.1,206.2,207.3,210.6,212.3,213.3,215.5,217.5,218.1,220,222.2,224.4,224.5,226.8,228.9,228.4,232.3,234.2,236.8,240.2,242.2,245.2,245.8,248.5,251.1,252.8,255.5,257.3,260.6,264.9,268.3,270.3,273.3,273.9,276.2,278.8,284.3,286.7,291.3,293.9,296.1,299.3,296.3,299.7,304.8,306.9,310.6,314.3,316.6,321.4,323.2,324.6,326.8,330.3,328.7,329.4,330.1,332.6,335,338.2,344.1,347.3,349.1,354.3,357.9,359.9,363,363.3,365.4,366.7,370.3,373,371.7,373.9,373.3,376.4,379.3,378.9,379.1,383.4,384.1,385.2,387.5,385.8,386.5,387.2,390.4,388.9,386.2,390.6,393.2,397.3,402.3,409.2,407.7,408.9,417.9,416.7,421.2,426,427.3,430.4,436.6,436.3,441.9,445.8,445.5,450.4,450.2,455.9,458.8,458.1,461.7,464.9,465.5,469.9,473.9,472.8,475.3,479.7,480.9,483.7,490.2
"14","6","  Service industries","A218RC1",86.4,86.9,87.5,87.9,88.8,90,90.8,91.9,92.8,93.9,95.1,95.4,96.1,96.6,97.3,98,98.7,99.3,99.6,100.2,100.8,101.6,102.2,102.1,103.4,104.3,105.5,106,106.9,107.1,107.8,108.7,109.6,111.2,112.2,112.5,113.1,113.7,115.3,117.3,118.3,119.2,120.4,121.3,122.6,124.1,124.6,126,127,128.4,129.7,131.2,131.8,132.9,134.6,135.5,137.3,138,139.5,140.5,140.8,142.1,143.4,144.7,147.2,149.3,149.7,151,152.5,153.1,153.7,155.1,156.3,158,159.5,159.6,161.2,162.5,163.3,165.7,166,167.6,170.1,170.5,172.7,174.8,175.3,177.2,179.3,180.2,181.7,184.5,185.7,187.5,189.3,191.2,192.6,193.4,194.8,196.6,199.3,200.4,202.4,204.6,207.6,211.8,213.7,216.2,219.8,221.3,224.3,227.5,229.2,233.7,237.6,239.8,242.8,245.8,246,247.9,251,255.1,258.4,262,263,266.8,270.1,272,275,276.4,280.3,284.3,287,291.1,296.3,297.6,300.1,305.9,307.1,310.8,313.5,317.3,322.8,325.3,329.4,333.9,336.3,338.1,340.9,343.3,347,353.1,353.8,358,361.9,362.7,366,368.4,369.8,372.6,377.8,380.2,385.5,389.9,391.7,394.7,397.3,401.3,406.6,405.6,409.6,413.9,419.3,420.7,422.5,422.3,428.1,439.9,441.2,445.6,449.6,451.1,455.3,462.8,463,467.9,473.3,474,483,482.8,487.7,496.3,493.6,497.6,501.3,504.5,509,519,518.8,524.5,532.2,535.1,538.8,550.4
"15","7","Government","B202RC1",100.9,101.3,101.7,102.5,103.1,103.8,107.1,108.3,109,109.4,109.8,110.3,113.6,114.3,115.2,117.3,117.7,114.5,116.9,117.7,120.4,119.3,119.7,120.1,123.1,124,124.5,125.2,125.6,126,127,129.6,127.5,127.8,129.3,131.8,133.9,134.4,134.1,135.2,135.7,136.1,137.2,138.5,139.6,142.2,143.6,144.2,144.3,145.1,145.7,146.6,147.2,147.8,148.7,149.7,150.3,152.5,153.5,154.2,154.9,155.6,156.4,156.6,157.6,160.3,162.9,160.3,160.8,165.5,167,168.3,169,170.5,172,173.4,174.5,175.5,176.7,177.6,179.1,181.3,182.4,182.9,183.8,184.8,185.7,186.5,187.4,188,188.8,189.5,190.2,192.9,194.3,195,195.9,196.7,197.6,198.6,199.7,200.7,202.2,203.7,205,208.7,210.5,211.6,213,214.1,214.8,215.9,217.1,218.5,220.4,221.5,222.6,226.1,227.5,228.7,230.7,230.7,232,232.9,232.6,233.9,236.8,238.5,239.4,244.4,246.3,247.5,249.6,251.3,252.9,255.2,258.2,259.7,261.5,263.2,264.3,272.1,273.9,275.5,277.4,278.8,280,281,282.1,283.3,284.8,286,289.6,294.4,295.7,297.1,299.2,300.2,301.8,303.3,304.5,306,309.4,308.5,309.7,314.1,316,317.8,318.3,319.3,320.3,320.4,325.6,323.1,324.8,329.5,327,328.4,329.7,331.1,336.6,339.1,341.3,343.1,344.8,346.6,348.9,351.8,354,355.7,357.1,358.7,363.4,365.8,367.4,370.7,369,370.4,374.2,376.8,379.4,380.3,383.5,385.3
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Line",NA,NA,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1","    Wages and salaries","A576RC1",2052.8,2061.2,2076.6,2072.9,2080.9,2091.8,2100,2113.6,2121.7,2140.3,2155.2,2161.2,2176.3,2194.5,2210.3,2215.7,2233.1,2241.4,2250.9,2277.7,2283.2,2307.7,2324,2360.3,2350.4,2368.6,2382.8,2408,2419.9,2438.3,2457.4,2458.7,2472.9,2503.2,2500.5,2516.6,2538.5,2536.8,2551.2,2566.8,2555.7,2567.7,2589.5,2586.4,2600.1,2629.7,2631,2643.2,2661.7,2690.6,2708.2,2731,2727.4,2749.4,2766.9,2759.8,2779.3,2764.7,2767.6,2787.9,2775.1,2774.2,2778.6,2784.9,2794.9,2823.9,2813.5,2823,2842.9,2835.6,2849.5,2877.6,2886.8,2922.3,2931.2,2937.4,2954.7,2966.2,2969.2,2988.6,2970.4,2943.3,2960.3,3155.9,3007.4,3029.8,3018.2,3063.2,3073.2,3060,3083.3,3104.2,3092.5,3075.4,3080.6,3264.2,3142.4,3148.3,3167.8,3216.4,3231.7,3225.7,3246.8,3253.9,3273.3,3308.7,3304.5,3319.6,3346.9,3360.8,3374,3391.2,3387,3407.6,3426.6,3435.6,3452.5,3468.3,3479.6,3486.1,3492.3,3533.5,3551.9,3564.6,3586.4,3620.8,3622.2,3646,3671.8,3677.8,3701.9,3728.4,3747,3779.2,3805.7,3816.8,3835,3854.8,3874.4,3908.5,3928.1,3957.9,3998.9,4015.8,4051.2,4078.2,4099.5,4120.2,4151,4167.3,4186.9,4224.1,4239.5,4261.2,4291.9,4308.3,4346.9,4377.4,4382.5,4396.1,4414.4,4421.7,4448.2,4473.6,4494.2,4532.6,4572.9,4635.6,4726.6,4757.6,4774.6,4779.9,4761.7,4798.6,4859.1,4868.2,4890.5,4900,4898,4895.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","Private industries","A132RC1",1666.9,1672.9,1687,1681.3,1687.1,1696.4,1702.7,1714.4,1719,1734.7,1747.3,1751.7,1763.1,1780,1794.2,1797.2,1813,1819.7,1826.9,1852.6,1857.6,1878,1891.6,1923.9,1910.3,1925.7,1937.3,1961,1970.8,1987.3,2004.5,2003.7,2016.8,2044.6,2038.7,2052.2,2069.2,2065.7,2079.1,2092.2,2078.9,2088.5,2107.6,2101.2,2112.6,2141,2138.8,2148.4,2159,2184.6,2199.2,2219.1,2211.5,2229.7,2245.4,2237.2,2253.8,2236.2,2236.4,2253.8,2233.9,2230.1,2232.3,2239.1,2248.4,2274.9,2262,2273.7,2293.6,2284.2,2295.1,2321.3,2324.6,2357.2,2364.2,2368.2,2384.1,2394.2,2395.6,2412.8,2395.7,2363.7,2383.7,2578.5,2418.1,2446.6,2434.6,2478.6,2487.6,2473.3,2493.1,2513.5,2498.9,2482.8,2486.9,2669.9,2543.3,2547.1,2564.5,2610.5,2620.8,2617.2,2636.6,2642.3,2659.8,2693.4,2687.9,2701.9,2723.5,2735.9,2747.7,2764.8,2759.9,2778.5,2796.9,2805.4,2821.7,2836.1,2846,2851.6,2853.3,2891.9,2908,2919.8,2939.9,2973.3,2973.1,2996.7,3019.8,3024.8,3047.5,3072.4,3085.8,3115.7,3140.7,3150.9,3167.6,3184.5,3200.4,3235,3251.2,3278.3,3317.1,3332.3,3362.3,3386.6,3406.3,3424.6,3452.5,3467.1,3484.1,3519.1,3532.3,3552.1,3580.9,3595.7,3627.8,3655.7,3659.3,3669.8,3687,3691.2,3713.6,3736.3,3753.5,3788,3825,3883.7,3964.3,3992.6,4004.3,4005.7,3980.2,4018.4,4076.3,4084.1,4104.9,4112,4107.7,4102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3","  Goods-producing industries","A206RC1",630.4,627.9,633.9,629.6,630.1,629.1,630.3,633.9,633.5,640.6,637.9,640.7,642.7,644.9,651.4,646.6,651,652.5,654.5,660.1,664,668.1,671.8,673.1,679.5,684.1,695.4,695.5,698.1,703.1,706.9,706.1,711.1,721.9,718.4,719,723,722.9,730.5,725,723.1,723.6,726,728.6,728.4,737.5,735.6,735.6,735.7,747.2,751.4,753.5,752.2,755.6,755.4,753.3,755.8,752.1,745.4,747.6,742.9,739,735.8,736.9,739,743.1,744.4,746.6,748.9,747.7,746.6,749.7,746.5,749.9,754.2,756.9,760.3,761.4,762.1,763,761.8,764.1,766.8,812.9,745.7,749.8,745.8,777.4,777.8,776.5,780.6,782.6,788.4,790.6,794.9,832.7,791.4,793,801.1,814.2,819.2,822,826.8,829.7,835,840.4,844.6,847.7,847.3,850.4,852.6,857.3,854,858,863.9,865,869.3,872.1,874.3,871.9,869.5,885,885.1,894.1,899.2,905.7,909.5,914.2,918.1,919.8,925.6,932.2,940.2,946.5,953.9,956.7,961,964.1,968.7,977.1,981.5,992.1,1000.6,1008.1,1013.8,1018,1021.4,1025.2,1030.3,1030.9,1027.2,1040.4,1044.7,1045.9,1049.5,1055.4,1060.5,1069.2,1069,1070.2,1073.7,1073.9,1081.5,1083.6,1090.9,1096.2,1107.9,1124.6,1153.4,1162.8,1162.2,1154.2,1138.8,1149.6,1168.8,1168.1,1167.5,1169.7,1165.5,1150.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4","    Manufacturing","A552RC1",477.5,475.9,482.8,477.3,478.6,477.9,478.9,481.3,481.3,487.2,483.3,484.8,487.4,489.1,494.4,489.8,492.4,493.4,495.4,499.5,503.6,505.3,507.4,508.5,513.7,516.4,526.2,523.3,525.8,529.2,531.8,531,535.3,545.6,542.4,542.2,545.9,546.3,553.9,546.4,545.2,545.8,546.8,547.6,547,554,550.2,550,548.2,557,561.1,565.2,563.1,565.6,566.1,565,566.3,565.7,559,561.7,559.2,555.4,554.4,556.2,559,562.9,565.2,567.5,569.3,569.8,570.6,571.7,568.9,573.5,575.8,578.5,581.7,582.5,584.3,584,584.3,584.4,587,631.5,567.5,569.1,566.2,595.4,593.1,592.8,595.2,596.7,602.5,602.1,605.8,640.2,599.9,599.8,606.8,616.8,620.5,622.9,625.9,628.6,631.6,635.6,639,642.4,641.9,642.7,643.6,647.8,645.4,647.5,651.9,652.3,654.9,655.8,657.3,656.2,651.5,663.5,661.7,670.2,672.9,676.8,679.5,682,684.4,684.6,688.5,694.6,699.2,702.3,707.7,710.3,712.1,714.9,718.2,724.5,727.1,736.1,742.6,747.4,748.9,751.6,754.9,755.4,758.6,757.2,751.2,761.3,765.2,764.3,764.8,766.2,771.6,775.8,776.3,774.7,778.4,777.6,784.1,785.9,789.4,790.5,798,812,835.1,843.9,837,829.4,816.1,825.5,842.5,839.6,837.9,837.3,831.8,817.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","5","  Distributive industries","A212RC1",489.5,490.9,493,491.3,493,496.1,499.1,501.7,504.3,506.9,512.7,512.1,513.2,520,521.4,525.5,528.8,529.4,532.4,538.5,541.6,544,547.3,546.1,552,556.3,555,565,567.4,572.5,578.2,577.1,581.1,587.9,586.5,592.6,599.7,597.3,597.8,604.6,597.9,600.3,606.9,600.4,606.6,613.9,612.6,614.7,615.6,619.1,623.9,631.9,629.4,635.6,637.8,635.1,639.9,635.7,638.1,643.7,637.1,634.1,637.8,638.4,642.8,652.1,646,648.6,653.5,647.4,650.8,658,658.5,671.1,671.4,670.3,675.7,676.6,681.6,686.5,679.4,665.4,666.9,702.4,675.1,683.4,681,694.4,699.3,693.8,699.6,703.4,700.9,704.3,702.9,736.2,714.2,711.7,720,733,738.4,741.4,744.9,745.3,750.1,761.3,757.7,761.3,768.7,771.7,774.2,779.7,776.7,782,784.8,788.3,791.7,792.3,795.1,796.4,795.8,806.6,812.9,810.7,816.3,827.4,823.1,830.8,837.2,836.1,841,847.9,850.7,857.4,865.5,865.8,869,872.9,878.9,891,895.9,902.6,914.8,912.7,920.6,926.7,928.7,933.5,943.2,946.2,953.7,962.2,965.7,969.6,979.8,981.3,994.1,1005.9,1005.1,1009.1,1012.1,1014.7,1020.6,1029.7,1030.9,1043.2,1051.2,1066.9,1076.5,1078.6,1084.8,1093.1,1088.7,1097.7,1107.4,1103.3,1113.8,1112.7,1112.3,1115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
