"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Index numbers, 2000=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 25, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2004 12:22:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private inventories \1\","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.357,100.816,99.632,98.161,98.467,98.884,99.635,100.66,102.351,101.828,102.921,103.772
"10","2","Farm","B372RD3",NA,NA,NA,107.836,110.929,109.308,107.939,105.686,102.525,98.27,93.088,92.029,94.381,93.776,94.507,97.172,102.112,99.932,97.49,104.474,107.262,106.546,102.327,99.714,101.599,100.845,102.861,109.398,110.661,112.251,123.698,126.124
"11","3","Mining, utilities, and construction","N238RD3",NA,NA,NA,92.722,94.879,90.501,91.007,93.476,88.577,88.724,86.828,86.056,84.859,88.047,91.436,92.648,92.42,96.719,101.254,108.409,115.057,104.717,95.317,92.118,92.605,98.307,97.968,103.308,115.114,113.545,111.649,109.141
"12","4","Manufacturing","N376RD3",NA,NA,NA,102.701,101.774,101.121,100.538,100.232,98.793,98.178,97.285,96.025,95.313,95.747,96.914,98.165,99.633,99.898,100.484,100.601,100.69,100.501,99.487,97.386,97.757,98.359,99.126,99.945,101.933,101.072,101.213,102.516
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,104.985,104.438,103.538,102.768,102.33,101.071,100.401,99.389,98.073,97.481,97.748,98.401,99.302,100.239,99.79,100.287,99.644,99.735,99.736,99.468,98.475,98.488,98.986,98.913,99.073,99.807,99.29,99.488,100.475
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,98.994,97.485,97.21,96.918,96.817,95.094,94.565,93.86,92.692,91.782,92.494,94.501,96.325,98.655,100.081,100.817,102.189,102.275,101.773,99.539,95.671,96.612,97.386,99.43,101.248,105.108,103.739,103.798,105.561
"15","7","Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.701,99.204,98.58,97.465,97.913,98.329,99.667,99.828,101.301,100.369,101.063,102.61
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,108.373,107.656,106.769,105.993,105.14,103.879,102.717,101.484,100.672,100.084,99.901,99.97,100.442,100.437,100.225,99.705,99.166,98.393,98.103,97.657,97.115,97.138,97.41,97.526,97.516,97.768,97.622,98.043,98.953
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,97.876,97.722,96.287,96.288,95.872,94.92,94.137,92.425,92.766,92.932,93.904,95.532,96.829,99.769,99.967,100.132,101.936,101.838,100.998,100.086,98.104,99.181,99.812,102.918,103.334,106.587,104.509,105.596,108.064
"18","10","Retail trade","N382RD3",NA,NA,NA,100.868,100.599,99.89,99.5,99.106,98.918,98.839,98.764,98.807,98.378,98.74,99.368,99.553,99.708,100.04,100.136,100.455,100.46,100.473,100.427,99.833,99.643,99.61,99.763,99.664,100.295,99.984,99.999,99.905
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,100.339,99.953,99.017,98.316,97.713,97.771,97.977,98.533,98.857,97.943,98.581,99.528,99.674,99.32,100.009,100.206,101.024,100.601,100.322,100.442,99.698,98.939,98.638,98.374,97.612,98.31,97.394,96.425,95.446
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,96.708,96.965,96.409,96.75,96.586,96.686,96.825,97.374,98.077,97.876,98.33,99.284,98.812,99.293,100.174,100.41,100.973,102.646,103.305,103.829,103.34,104.092,103.07,103.235,103.358,104.579,105.646,107.264,108.828
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,98.478,98.463,98.492,98.563,98.699,99.1,99.257,99.431,99.518,99.332,99.375,99.662,99.764,99.909,100.005,100.081,100.176,100.646,100.851,100.908,100.731,100.447,100.462,100.601,100.869,101.16,101.415,101.613,101.859
"22","14","  Other retail stores","N865RD3",NA,NA,NA,103.034,102.636,101.753,101.25,100.749,100.095,99.677,98.941,98.648,98.426,98.696,99.165,99.534,100.001,100.056,100.06,100.039,99.896,99.935,99.624,98.965,99.049,99.374,99.842,100.074,100.671,100.393,100.85,101.053
"23","15","Other industries","N385RD3",NA,NA,NA,99.287,98.861,98.385,98.527,98.626,98.07,97.691,97.43,96.703,96.215,96.688,97.35,98.204,99.444,99.734,100.092,100.557,100.849,100.782,99.987,98.845,98.328,98.498,98.639,99.237,100.419,99.794,99.849,100.185
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.357,100.816,99.632,98.161,98.467,98.884,99.635,100.66,102.351,101.828,102.921,103.772
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.404,99.283,99.021,98.292,98.167,98.428,98.408,98.283,98.781,98.399,98.429,98.891
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.146,102.218,100.211,98.092,98.769,99.323,100.732,102.748,105.473,104.828,106.842,108.032
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.816,100.29,99.386,98.02,98.176,98.703,99.336,99.86,101.589,100.876,101.037,101.747
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.701,99.204,98.58,97.465,97.913,98.329,99.667,99.828,101.301,100.369,101.063,102.61
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.749,99.288,98.793,97.963,98.264,98.644,99.962,99.938,101.008,100.56,101.191,102.67
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.407,98.105,97.672,97.141,97.173,97.471,97.601,97.605,97.866,97.721,98.153,99.107
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,102.004,101.269,100.667,99.368,100.076,100.586,103.65,103.591,105.862,104.964,105.888,108.143
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.416,98.71,97.295,94.444,95.792,96.426,97.883,99.155,103.057,99.173,100.248,102.221
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
