"","Table 4AU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","52","  Durable goods","STMDF0",35153,36188,36778,36683,36029,35692,36224,36939,37411,38933,39151,39389,39783,40739,41982,43205,43620,42746,42508,42263,42954,43762,43825,43220,43186,43840,43820,43532,43203,42589,43627,45460,46222,46016,45304,44442,44128,45046,46281,47585,47509,47653,47313,48054,48590,49021,49041,50075,51642,52299,52179,52013,52799,53458,52953,53507,53713,54146,55634,56317,56541,56881,57420,54727,53020,53354,53239,53599,53848,55384,57172,58370,58486,58794,57569,56738,56408,56320,56154,56295,56248,55923,55945,56755,57081,57144,58255,59809,60195,60881,61687,61273,62375,62986,62957,63206,62165,61675,61952,62363,62511,62914,64033,62745,62724,63120,62807,63210,64215,64808,64135,65648,67389,69078,70324,71761,72447,72465,73805,73822,74458,77393,78327,79494
"12","53","    Lumber and wood products","ST24F0",3717,3854,3825,3727,3430,3406,3353,3548,3455,3683,3796,3909,3859,3979,4459,4644,4322,4204,4206,3918,4146,4232,3869,3789,3586,3630,3529,3717,3597,3939,4123,3981,3666,3696,3750,3572,3677,3754,3935,4012,4221,3866,3814,3912,3885,3818,3612,3879,4062,4147,3983,3989,4010,3703,3975,4131,3936,4263,4211,3898,3503,3505,3687,3696,4031,4036,3936,3968,4246,4156,4066,4325,4112,4247,4257,4372,4819,4565,4500,4457,4468,4497,4448,4287,4394,4351,4368,4366,4050,4257,4219,4032,4143,4280,4652,4323,4051,3973,3914,3838,3802,3737,3638,3677,3970,3723,3642,3749,4008,4001,3861,3964,4035,3961,4186,4206,4090,4328,4430,4299,4166,4222,4386,4447
"13","54","    Furniture and fixtures","ST25F0",1044,1060,1070,1083,1080,1071,1048,1083,1126,1147,1222,1216,1228,1252,1302,1305,1325,1336,1348,1367,1373,1442,1440,1465,1470,1430,1441,1464,1514,1517,1627,1605,1553,1448,1430,1476,1506,1566,1532,1603,1572,1711,1671,1588,1637,1654,1744,1713,1738,1716,1667,1736,1770,1840,1825,1783,1744,1741,1807,1850,1840,1807,1735,1750,1763,1834,1900,1913,1987,2014,2100,2079,2087,2049,2023,2107,2020,2114,2074,2176,2208,2245,2271,2278,2404,2368,2408,2305,2331,2300,2347,2314,2325,2395,2306,2428,2289,2264,2271,2340,2279,2363,2393,2366,2414,2417,2539,2498,2605,2527,2472,2584,2640,2689,2684,2619,2460,2553,2553,2622,2664,2705,2620,2607
"14","55","    Stone, clay, and glass products","ST32F0",3567,3600,3543,3456,3146,3118,3174,3448,3855,3833,3771,3584,3779,3851,3863,3752,3844,3813,3759,3790,3740,3763,3871,3896,3900,4057,3985,3985,3999,4209,4255,4169,4255,4029,4022,4223,3747,4018,4171,4329,3930,4042,4013,4048,4373,4275,4349,4443,4491,4661,4707,4672,4919,4924,4677,4679,4687,4571,4789,4632,4509,4494,4471,4398,4394,4352,4457,4586,4671,4872,4997,5102,5290,5313,5108,5092,5049,5146,5081,5197,5332,5336,5307,5233,5096,5100,5306,5440,5464,5624,5692,5562,5575,5558,5730,5842,5705,5648,5490,5534,5521,5664,5684,5591,5633,5491,5399,5430,5403,5194,5262,5354,5415,5658,5786,5677,5658,5595,5664,5829,5912,6173,5930,5858
"15","56","    Primary metals","ST33F0",8343,8674,8827,8756,8973,8375,8107,8137,8099,8413,8703,8664,8640,9055,9180,9466,10411,9676,9179,9243,9509,9868,10176,9792,9149,8911,8497,7952,7471,6842,6964,7635,8511,8954,8646,8785,8906,8959,9522,9518,9324,9471,9494,9503,9272,9489,9375,9321,8953,9189,9034,9187,9181,8917,8782,9073,9352,9604,10204,10451,10350,9725,9656,9198,8839,9193,8764,8271,8608,8712,8861,8867,8471,8401,8470,8399,8185,8197,7326,7382,6840,6864,7148,6962,7169,6854,7096,7303,7454,7908,7900,8001,8116,8344,8461,8488,8425,8259,8138,8285,8362,8130,8619,8191,8063,8373,8446,8591,8616,8383,8300,8336,8541,8817,8700,8664,8931,8710,8795,8860,8610,8663,8775,9107
"16","57","    Fabricated metals","ST34F0",5498,5688,5900,5924,5862,5960,6061,6271,6038,6526,6189,6311,5999,5941,6037,6282,6330,6228,6452,6152,6460,6589,5913,6276,6213,6484,6366,6281,6382,6441,6775,6848,7067,7265,7322,7121,7016,7083,7015,7291,7334,7063,7235,7486,7348,7490,7535,7720,8039,7943,8015,8095,8231,8105,8110,8245,8051,8180,8379,8298,8300,8608,8727,7986,7797,7859,7856,8109,8144,8101,8200,8544,8583,8499,8251,8491,8426,8277,8539,8534,8563,8444,8582,8386,8404,8400,8747,8702,8764,8964,9197,9022,9266,9139,9240,9057,9211,9033,8866,9362,9422,9436,9717,9493,9522,9614,9706,9360,9499,9572,9690,9615,10123,10183,10253,10132,10196,10180,10653,10894,10872,11162,11040,11195
"17","58","    Industrial machinery","ST35F0",5519,5744,5836,5882,5706,5826,5930,5853,5980,6258,6397,6479,6886,7086,7421,7858,7779,7505,7504,7470,7416,7298,7470,7517,7732,7901,7891,7963,7681,7604,7959,8512,8591,8521,8279,7871,7800,7800,7932,8146,8143,8151,7899,8232,8330,8429,8404,8881,9321,9621,9796,9591,9727,10327,10338,10353,10526,10514,10702,11016,11487,11673,11637,11031,10410,10383,10400,10257,9890,10142,10477,10826,10865,11030,10421,9983,10162,9734,9836,9742,9596,9336,9127,9684,9724,9927,10072,10476,10331,10347,10517,10515,10848,11118,10701,10577,10657,10497,11020,10641,10481,10751,10855,10902,10520,10676,10816,11260,11724,11542,11890,12547,12868,13613,13994,14704,15246,15082,15588,15229,15387,16113,16208,16338
"18","59","    Electronic machinery","ST36F0",2495,2536,2513,2508,2440,2404,2443,2505,2590,2668,2648,2661,2779,2847,3077,3140,3007,3001,2961,2925,2970,3144,3180,3147,3203,3319,3428,3428,3510,3429,3412,3512,3450,3242,3073,2933,2958,3168,3365,3469,3631,3718,3640,3729,3856,4082,4104,3985,3881,3709,3863,4158,4385,4480,4261,4210,4305,4347,4531,4572,4572,4591,4713,4510,4278,4353,4445,4594,4697,4937,5173,5383,5424,5540,5335,5107,5060,5260,5379,5332,5526,5338,5445,5576,5566,5488,5434,5597,5503,5467,5590,5809,5873,5918,5983,5858,5673,5540,5507,5431,5714,5878,5857,5575,5589,5723,5587,5881,5898,6026,6309,6475,6898,7203,7572,7712,7426,7410,7461,7606,7643,8187,8457,8349
"19","60","    Transportation","ST37F0",4122,4232,4436,4432,4356,4356,4847,4894,4841,5073,4856,4981,4578,4597,4382,4535,4527,4561,4668,4710,5066,5196,5603,4763,4807,5056,5529,5310,5630,5060,4964,5290,5571,5643,5608,5459,5438,5660,5663,6053,5824,5949,6044,5915,6166,5826,5875,6070,7189,7518,7298,6707,6791,6894,6957,7002,6819,6781,6838,7163,7123,7150,7468,7347,7154,6976,6729,7194,6748,7233,7629,7415,7571,7453,7754,7494,7166,7280,7257,7448,7693,8026,7969,8312,8540,8742,8777,8791,9259,9132,9259,8901,8548,8614,8477,9712,9185,9561,9402,9618,9427,9035,9470,9048,8941,8983,8639,8134,8150,9214,7575,8134,8224,7905,7887,8286,8595,8564,8331,8176,8926,9721,10015,9998
"20","61","      Motor vehicles","ST371F0",1874,1723,1982,2110,2131,2195,2399,2271,2163,2124,2031,2123,2019,1893,1946,2006,1934,2068,2079,2100,2160,2184,2200,2058,2063,2247,2459,2198,2407,2017,1978,2138,2224,2282,2187,2022,1998,2098,2313,2602,2544,2658,2775,2674,2767,2599,2485,2633,3092,3185,3016,2745,2648,2636,2454,2405,2282,2235,2253,2200,2100,2111,2223,2207,2207,2159,2150,2373,2338,2538,2742,2699,2739,2746,2933,2798,2688,2685,2642,2760,2827,2931,2946,3035,3158,3074,2976,3174,3314,3431,3650,3382,3264,3353,3297,3379,3357,3291,3354,3357,3159,3026,3372,3157,3175,2874,2936,2994,3002,3045,3104,3211,3199,3068,3093,3178,3477,3430,3311,3225,3541,3510,3319,3406
"21","62","      Other","ST37XF0",1934,2282,2135,1942,1825,1732,1991,2230,2326,2643,2532,2541,2238,2437,2126,2210,2303,2150,2255,2271,2585,2698,3130,2392,2436,2454,2683,2803,2868,2778,2727,2865,3058,3056,3152,3218,3224,3328,3037,3067,2896,2875,2817,2816,2963,2820,3034,3042,3639,3871,3863,3587,3812,3939,4251,4365,4329,4350,4389,4811,4892,4905,5102,4994,4799,4672,4433,4657,4248,4518,4693,4525,4639,4511,4608,4494,4283,4404,4429,4490,4666,4888,4813,5062,5155,5457,5603,5395,5717,5452,5335,5274,5045,5012,4935,6111,5592,6053,5824,6040,6064,5814,5876,5684,5556,5927,5512,4941,4949,5966,4264,4709,4812,4632,4587,4895,4886,4905,4799,4734,5103,5945,6552,6332
"22","63","    Instruments","ST38F0",1702,1759,1802,1793,1848,1806,1801,1840,1897,1925,1927,1950,2005,2048,2039,1966,2028,2041,2053,2148,2121,2089,2061,2034,2030,2050,2087,2095,2212,2316,2324,2338,2253,2151,2288,2237,2240,2238,2265,2342,2339,2369,2372,2413,2442,2478,2510,2497,2600,2640,2577,2550,2564,2585,2540,2613,2675,2684,2690,2682,2596,2726,2778,2665,2557,2588,2694,2734,2942,3035,3165,3186,3250,3296,3329,3373,3312,3440,3470,3420,3293,3334,3325,3352,3263,3317,3407,3807,4065,4134,4173,4011,4264,4186,4236,4111,4105,4227,4273,4371,4425,4520,4549,4611,4793,4650,4618,4541,4479,4569,4560,4449,4518,4735,4856,5102,5152,5238,5415,5361,5416,5627,5745,5839
"23","64","    Other manufacturing","ST39F0",1298,1260,1317,1328,1253,1310,1420,1514,1586,1601,1814,1754,1729,1810,1869,1965,2012,2227,2143,2150,2043,2253,2254,2336,2593,2419,2341,2408,2265,2195,2218,2467,2286,2214,2103,2208,2143,2243,2316,2352,2530,2600,2568,2486,2567,2541,2608,2670,2689,2573,2473,2370,2227,2375,2261,2268,2245,2172,2274,2446,2691,2822,2814,2459,2472,2483,2522,2489,2587,2763,2957,2996,3041,3012,2984,2993,2841,2926,2986,3089,3221,3236,3149,3107,3072,3036,3229,3289,3297,3241,3223,3326,3452,3458,3454,3384,3268,3096,3173,3375,3412,3470,3499,3398,3458,3632,3564,3619,3639,3583,3658,3565,3392,3343,3245,3281,3385,3477,3532,3608,3607,3568,3515,3674
"24","65","  Nondurable goods","STMNF0",49484,49759,50283,51247,51873,52779,53872,54608,55240,55469,56390,56715,57276,58843,58838,58101,59018,59382,59131,59155,58392,59269,59647,58623,57382,57306,54684,55282,56384,58006,58258,60761,61009,59847,59895,61013,61959,63267,64000,63687,63268,64276,65561,66217,65593,65877,66359,66584,65210,65131,64706,64923,66446,67360,65688,64132,65938,67533,67832,68188,68518,64234,65204,65849,64288,64340,66390,66460,68045,71023,72886,71797,71508,71287,71561,72428,72820,73385,72470,73291,73500,72392,72848,74597,74879,75547,75781,77482,77986,80549,81958,81193,82423,83405,84396,84504,85405,84084,83482,84875,84856,84624,86922,87255,87709,87965,87806,86275,86706,86702,86905,87641,89016,90043,90627,90646,91491,90556,90933,92126,92821,94081,94270,95955
"25","66","    Food and kindred products","ST20F0",14533,14641,14725,15290,15362,15643,16232,16176,16042,16205,16549,16242,16649,17021,16226,16038,16451,16951,16611,16614,16105,16604,17043,16182,15424,15483,13988,15430,16672,17775,17036,16789,16532,16166,16669,17446,17823,18461,18411,17898,17696,17853,18144,18122,17884,17879,18060,18264,18602,19057,18589,18190,18316,18124,18236,17917,18407,18852,18751,18637,18235,17147,18151,18232,17784,17618,17557,17531,17988,18221,18041,17794,18022,17802,18270,18282,18090,17945,17640,17991,18119,18286,18016,18214,18088,18070,17433,18634,18589,19405,20048,20122,20116,20227,20907,20758,20760,20145,20153,20629,20617,20931,21440,21379,21239,21228,20819,20463,20500,20673,21175,21250,21614,21418,21569,21833,21827,21705,21912,22427,22089,22441,22253,23088
"26","67","    Tobacco products","ST21F0",886,896,922,915,915,936,936,947,972,930,906,920,811,808,830,866,892,885,895,898,898,914,934,979,876,882,866,925,1005,1011,991,946,946,961,1020,1016,1021,1028,1054,1059,1042,1015,992,1015,966,964,972,997,1018,1018,1101,1001,991,963,912,936,968,994,1025,1037,1063,1068,999,1012,885,1069,1155,1063,1054,1029,1018,1029,1150,1001,1039,1054,1119,1062,1261,1029,1063,1034,997,1050,1102,1121,1149,1148,1121,1232,1182,1118,1325,1344,1446,1407,1495,1521,1515,1343,1401,1221,1232,1447,1608,1707,1503,1216,1071,1140,1047,1145,973,855,1026,969,888,895,951,937,912,922,921,1005
"27","68","    Textile mill products","ST22F0",2650,2722,2729,2684,2804,2860,2879,2968,3062,3038,3111,3131,3178,3262,3327,3331,3323,3203,3093,3101,2969,3063,2992,2963,2784,2707,2649,2583,2570,2631,2778,3006,2905,2799,2690,2627,2658,2749,2779,2782,2838,2863,2951,2990,3022,3033,3077,3008,3010,2927,2842,2843,2885,2874,2810,2772,2778,2725,2709,2807,2768,2674,2609,2607,2647,2772,2851,2949,3020,3196,3292,3210,3182,3098,3189,3182,3136,3141,3215,3166,3336,3322,3311,3341,3302,3386,3343,3443,3343,3404,3428,3423,3498,3494,3538,3483,3330,3297,3403,3339,3370,3420,3577,3541,3719,3779,3834,3964,4096,4046,3941,3967,4001,4022,3991,4042,3988,3899,3943,3907,3871,3998,4006,3986
"28","69","    Apparel products","ST23F0",2543,2429,2540,2511,2540,2591,2520,2686,2745,2746,2834,2769,2538,2737,2930,2854,3034,3015,2930,2855,3056,2936,2964,3070,3312,3251,3221,3046,2831,2692,2777,3084,3035,2844,2857,2796,2878,3035,3053,3066,2927,3034,3037,3198,3190,3364,3556,3495,3671,3641,3331,3159,3181,3198,3227,3198,3275,3209,3179,3426,3447,3264,3278,3264,3104,3151,3293,3564,3673,4140,4371,4262,4149,4248,4054,4333,4634,4555,4559,4249,4287,4036,4124,4328,4477,4708,4726,4372,3946,3826,3920,4267,4409,4481,4454,4256,4118,4037,3860,4108,4215,4255,4257,4355,4555,4713,4838,4532,4547,4543,4566,4756,5022,5027,5007,4806,4840,4638,4636,4665,4633,4902,5048,5044
"29","70","    Paper and allied products","ST26F0",2542,2578,2665,2643,2659,2765,2747,2740,2683,2623,2634,2782,2898,2975,3052,3145,3249,3172,3220,3289,3217,3237,3233,3224,3171,3272,3102,3170,3188,3181,3264,3478,3585,3487,3555,3449,3405,3579,3743,3777,3761,3718,3897,3948,4023,4113,4163,3984,3857,3941,3767,3929,4060,4138,4135,4133,4103,4072,4129,4382,4656,4692,4761,4565,4572,4567,4523,4525,4506,4582,4888,5018,5297,5199,5221,5187,5021,5242,5223,5207,5400,5358,5275,5335,5158,5126,5209,5497,5449,5726,5965,5989,6039,6096,6214,6218,6541,6460,6383,6617,6715,6782,6923,6769,6754,6684,6685,6767,6778,6887,6626,6374,6348,6544,6696,6956,7397,7289,7389,7170,7368,7282,7414,7528
"30","71","    Printing and publishing","ST27F0",2414,2581,2688,2710,2714,2661,2674,2692,2752,2683,2812,2893,2839,2731,2814,2532,2483,2519,2834,2590,2677,2635,2658,2726,2598,2864,2846,2787,2788,2691,2649,2763,2939,2999,3028,3177,3051,2995,3156,3166,3217,3127,3035,3001,2928,3004,2949,3033,3097,3216,3177,3130,3166,3150,3101,3048,3034,3070,3145,3191,3243,3167,3165,3142,3133,3211,3218,3347,3427,3616,3571,3670,3531,3661,3759,3962,3990,4052,4198,4114,4211,4206,4223,4330,4368,4573,4586,4582,4780,4879,5061,5081,5122,5190,5246,5236,5343,5359,5220,5263,5231,5085,5426,5276,5119,5169,5290,5253,5284,5145,5261,5258,5672,5619,5321,5323,5154,5186,5092,5407,5575,5760,5658,5728
"31","72","    Chemical and allied products","ST28F0",11796,11846,12035,12212,12302,12320,12648,12953,13567,13791,13959,14195,14401,15113,15492,15275,15222,15292,15283,15492,15344,15703,15595,15569,15190,14948,14613,14017,13913,14040,14295,15759,15957,15883,15439,15850,16445,16991,17472,17179,16788,17048,17650,17965,18221,18039,18006,17997,16776,16363,16609,17095,17276,18056,17068,16817,17108,17973,18309,18725,18914,17916,17464,17301,16961,17460,17838,17775,18516,19378,20639,20077,19269,19828,20370,20035,20562,20234,19503,20455,19745,19349,19759,20445,20587,20514,21302,21812,22589,23447,23534,22912,22850,23415,23609,23975,24577,24147,24084,24466,24530,24059,24966,25161,25197,25180,25397,24925,25123,25132,24771,24946,25051,26040,26721,26150,26342,26145,26408,26894,26840,27066,27225,28112
"32","73","    Petroleum products","ST29F0",8328,8687,8782,9028,9287,9441,9628,9455,8763,8690,8680,9255,9549,9819,9338,9044,9481,9467,9840,9801,9203,8910,8855,8441,8216,8258,7860,7517,7658,8445,9208,9543,10141,9622,9223,9250,9434,9351,9525,9436,9446,10123,10278,10294,9396,9120,9034,9341,8054,7957,8541,9341,10334,10888,10352,9579,10446,10901,10689,10130,10425,8399,9115,10113,9499,8678,10200,9885,10116,10670,10832,10473,10556,10150,8926,9687,9166,10629,10252,10752,10695,10232,10621,11312,11701,11978,11475,11146,11361,11935,11804,10693,12004,11579,11129,11273,11535,11313,11227,11497,11156,11164,11074,11012,11141,10946,10650,10652,10631,10301,10563,11133,11249,11598,11266,11476,11809,11731,11225,11072,11612,11625,11808,11580
"33","74","    Rubber and plastic products","ST30F0",3414,3310,3124,3318,3354,3524,3658,3779,3848,3903,4003,4050,4229,4181,4298,4295,4244,4319,4292,4406,4431,4600,4687,4662,4708,4690,4650,4490,4467,4483,4525,4712,4723,4843,4920,4916,4843,4525,4376,4776,5039,5195,5337,5321,5329,5451,5452,5550,5548,5494,5623,5444,5377,5168,5015,4969,4992,5102,5262,5173,5155,5144,4896,4920,4939,4894,4965,4888,4855,5225,5314,5310,5443,5365,5633,5566,5634,5732,5514,5623,5745,5606,5788,5668,5636,5664,5909,6045,6338,6392,6519,6466,6410,6664,6743,6940,6950,7064,6951,6953,6743,6772,6943,7212,7230,7312,7414,7307,7410,7410,7626,7674,7824,7842,7884,7969,8202,8093,8178,8329,8541,8676,8527,8533
"34","75","    Leather and leather products","ST31F0",894,856,882,916,944,981,1029,986,1095,1133,1015,1060,1045,1064,1018,1033,1019,986,1012,1012,1001,986,927,852,991,957,983,966,923,912,945,1059,1013,941,949,931,889,909,887,954,912,898,880,959,950,1018,1048,1009,1002,912,920,938,1082,1145,1028,933,993,912,992,1024,953,1047,1062,995,1042,1094,1060,1069,1056,1100,1126,1102,1000,1046,1093,1123,1226,1116,1095,1061,1054,1003,945,1003,1066,1016,1101,1058,959,970,971,1007,942,995,991,963,919,857,825,838,869,900,897,889,890,822,788,718,740,767,763,792,790,788,786,807,856,833,852,851,809,854,853,876
