"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","3","  Durable goods manufacturing industries","S30D0",261387,262873,264496,267569,271401,273963,274026,273331,274575,274370,279092,284893,288274,289589,292515,293472,291363,285937,279033,270691,266747,265272,263516,265273,265744,263337,258612,261864,266889,273832,281376,285280,294459,293578,300810,308201,316773,327688,335244,338911,344019,349616,348475,356097,370121,381519,380012,357673,347059,338189,334750,336056,342831,351697,358197,368614,388144,395905,398627,402332
"12","4","    Wood product manufacturing","S3210",8526,8620,9054,9141,9011,9027,9240,9138,9226,9404,9471,9844,9963,9929,9680,9779,9632,9907,9731,9234,9465,9517,9694,9506,9830,9566,9459,9798,10536,10709,11134,10963,12000,11821,11790,11865,11843,12216,12315,11963,12118,12166,11995,12148,11465,11490,11621,11086,10153,9362,8895,8477,8733,9055,9062,9036,9333,9090,9160,9202
"13","5","    Nonmetallic mineral product manufacturing","S3270",9112,9197,9139,9296,9235,9220,9269,9204,9172,9242,9563,9828,9891,10062,10174,10481,10533,10351,10283,10076,9865,10025,10090,10342,10660,10718,10478,10358,10345,10643,10926,11180,11438,11564,11754,11883,12268,12542,12947,13185,13286,13555,13680,14074,14432,14704,14854,14618,14187,13368,12541,12028,11949,11906,12085,12185,12512,12783,12845,13040
"14","6","    Primary metal manufacturing","S3310",21419,21470,21556,21577,21041,21277,21310,20745,20459,21081,21639,22729,22936,22666,22964,22687,22388,21155,20334,19808,19223,19526,19600,20085,20319,19548,19051,19285,20823,21787,23733,25669,27497,27115,27456,29352,30950,33413,34825,35184,36185,37176,35826,36065,39590,42016,41040,33409,29203,26248,26754,26299,27561,29149,29842,31888,34673,35511,35613,34963
"15","7","    Fabricated metal product manufacturing","S3320",29960,30316,30418,31133,31047,31496,31401,30995,30913,30981,31525,32286,32759,33201,33550,33372,33315,32858,32322,31569,31545,31907,31898,31920,33111,32193,31361,32135,33459,34960,36918,37231,38391,38272,39023,40257,41644,43472,44615,45043,46471,46821,46339,47568,50426,53940,53606,48106,45499,43691,43409,43218,44481,45260,45668,46672,49087,50692,50731,50723
"16","8","    Machinery manufacturing","S3330",34959,35707,35590,36296,36739,36504,37477,37188,37329,36875,37062,37728,38903,39367,40237,40810,40803,39641,38415,36877,36595,35855,35504,36005,35439,34914,34239,34565,35012,36083,36914,37363,38588,38836,40075,40849,42145,43462,44861,45814,46566,46945,47603,48107,50379,52272,52237,50244,49457,47385,46263,44823,44900,45859,47292,48465,51540,53459,54889,55694
"17","9","    Computer and electronic product manufacturing","S3340",55001,55159,56384,56619,56961,56143,53588,52331,54260,54299,54551,55540,56377,59148,61194,64929,64689,63559,59906,56284,54774,53235,51757,50638,49833,49601,47971,48713,49100,50354,50849,51612,51811,51701,53257,53696,54479,54875,55677,56230,55377,55684,54530,54507,56363,57599,57623,56095,56472,56123,55873,56735,56636,58273,57785,59468,61447,60421,59769,59383
"18","10","    Electrical equipment, appliance, and component manufacturing","S3350",12822,13203,13228,13158,13258,13063,13095,13064,12814,13054,13359,13514,13742,13789,14529,14401,14352,13902,13622,13384,13315,13405,13397,13251,13300,13189,12836,13033,13240,13557,14041,14034,14338,14191,14443,14820,15460,16363,16736,17047,17128,17583,17421,18339,19375,20035,19560,17953,17044,16567,16479,16418,16765,17098,17724,18095,18751,19059,18662,18668
"19","11","    Transportation equipment manufacturing","S3360",68453,68109,67954,68720,72514,75563,76667,78954,78514,77188,79228,80151,79676,77288,75391,72216,70162,69291,69884,69426,68212,67884,67311,69313,68634,68536,68036,68462,68275,69447,69863,70271,72967,72496,74193,75768,77732,80677,82102,82895,84850,87187,88770,92217,94412,95158,94980,92793,92217,93031,92414,96048,99344,101966,104741,108335,115334,119110,120920,124875
"20","12","      Motor vehicle and parts manufacturing","S3MV0",23217,23032,23300,22971,23542,23764,22701,23071,23267,23230,23683,24932,25010,25214,25355,25189,24015,23742,23102,22270,21909,22915,23518,23664,23562,23686,23658,24277,24705,25318,26068,26166,27184,27055,26541,27312,27813,28740,28873,29131,29309,29225,29099,28767,29238,29580,28289,25889,24598,23035,22767,23344,25325,25999,26325,27179,28312,29002,29947,30363
"21","13","      Other transportation equipment manufacturing","S3OT0",45236,45077,44654,45749,48972,51799,53966,55883,55247,53958,55545,55219,54666,52074,50036,47027,46147,45549,46782,47156,46303,44969,43793,45649,45072,44850,44378,44185,43570,44129,43795,44105,45783,45441,47652,48456,49919,51937,53229,53764,55541,57962,59671,63450,65174,65578,66691,66904,67619,69996,69647,72704,74019,75967,78416,81156,87022,90108,90973,94512
"22","14","    Furniture and related product manufacturing","S3370",6899,7030,7029,7127,7077,7205,7186,7128,7188,7283,7377,7634,7879,7947,8012,7965,8225,7936,7685,7378,7369,7430,7698,7784,7872,7869,7863,8006,8209,8348,8607,8531,8770,8676,8969,9101,9276,9273,9300,9185,9150,9260,9166,9349,9347,9523,9458,8909,8533,8160,7993,7881,8053,8459,8571,8694,8918,9006,8976,8809
"23","15","    Miscellaneous durable goods manufacturing","S3390",14236,14062,14144,14502,14518,14465,14793,14584,14700,14963,15317,15639,16148,16192,16784,16832,17264,17337,16851,16655,16384,16488,16567,16429,16746,17203,17318,17509,17890,17944,18391,18426,18659,18906,19850,20610,20976,21395,21866,22365,22888,23239,23145,23723,24332,24782,25033,24460,24294,24254,24129,24129,24409,24672,25427,25776,26549,26774,27062,26975
"24","16","  Nondurable goods manufacturing industries","S30N0",159639,161217,162287,164419,162787,161802,160360,158925,159465,162702,166945,172715,176107,179144,181131,183021,183007,180217,175589,170223,168707,170314,176309,178445,183283,181734,181737,185712,188573,193134,198477,201934,209674,209827,217431,223280,226654,233839,236145,236770,239187,245086,255243,279542,300307,321514,301781,246867,238236,238825,237376,246083,252544,243524,250365,272253,292367,294781,290876,299823
"25","17","    Food manufacturing","S3110",32072,32104,32173,32388,31899,32074,31892,31854,31765,32076,33000,33169,34420,34409,34169,35149,35179,35413,35422,35007,34652,35200,36543,36274,37166,37116,38159,39567,40103,40094,39172,38792,39309,39645,40039,40817,40514,41018,42349,44156,45170,47434,49166,51862,54078,55152,51997,48110,47668,48769,47928,51199,50820,50698,54039,57126,58386,58952,58957,58225
"26","18","    Beverage and tobacco product manufacturing","S3120",11359,11660,11493,11710,11879,11657,11219,11694,11521,11632,11318,11702,11858,11942,12074,12134,12341,12597,12765,13214,12839,13221,13278,13000,12598,12891,13023,13284,13009,13190,13889,13575,13481,13526,13459,13821,13646,13652,14334,14414,14599,14512,14221,14756,14959,14866,14614,14513,14872,14778,15180,15661,15415,15030,14533,15128,14989,15174,15365,15656
"27","19","    Textile mills","S3130",6974,6990,6970,6940,7007,7038,7041,6931,6904,6832,6830,6829,6766,6781,6746,6746,6542,6193,5981,5714,5656,5519,5538,5568,5656,5724,5693,5701,5607,5646,5557,5472,5553,5568,5601,5693,5720,5678,5715,5638,5525,5558,5629,5758,5734,5592,5710,5528,5137,5014,4774,4701,4754,4837,5011,5141,5431,5665,5751,5695
"28","20","    Textile product mills","S3140",3861,3976,4025,4033,4099,3971,3871,3712,3780,3837,3837,3909,3983,4137,4277,4439,4498,4401,4335,4316,3991,3817,3658,3376,3480,3473,3439,3416,3430,3497,3544,3505,3632,3621,3586,3795,3794,3839,3916,3889,3864,3918,3906,3960,3972,3882,4040,3925,3468,3299,3228,3207,3235,3346,3447,3536,3691,3823,3816,3832
"29","21","    Apparel manufacturing","S3150",8642,8877,8973,8971,9093,8949,8852,8752,8891,8995,9107,9084,8980,8770,8793,8918,8659,8187,7504,7108,6964,6910,6961,6965,7111,7057,6920,6964,6800,6850,6929,6896,6971,6821,6982,6835,6829,6805,6981,6993,7050,7213,7245,7336,7519,7500,7573,7955,7783,7668,7628,7441,7471,7510,7834,7977,8409,8603,8519,8513
"30","22","    Leather and allied product manufacturing","S3160",1588,1646,1638,1656,1624,1682,1681,1584,1588,1615,1628,1614,1644,1644,1668,1596,1652,1620,1565,1449,1423,1361,1390,1419,1452,1424,1412,1429,1402,1386,1369,1459,1444,1424,1477,1509,1455,1510,1592,1641,1656,1660,1700,1757,1732,1876,1760,1747,1700,1655,1617,1539,1598,1608,1677,1694,1848,1882,1887,1875
"31","23","    Paper manufacturing","S3220",15517,15690,16060,16531,16608,16501,16469,15938,15696,15418,15710,15918,16302,16844,16989,17036,16965,16708,15988,15589,15509,15583,15976,16470,16217,16510,16392,16306,16303,16905,17450,17786,17972,18056,18289,18574,19036,19221,19446,19459,19495,19200,19275,19783,20277,21164,21809,21398,20254,18855,18337,17962,18194,19120,19402,19365,19920,20035,20055,19496
"32","24","    Printing and related support activities","S3230",6281,6667,6632,6912,6710,6615,6781,6446,6386,6306,6216,6551,6726,6563,6756,6857,7055,6907,6542,6122,6082,6248,6142,6251,6217,6097,6144,6167,6185,6335,6466,6524,6531,6646,6828,6866,6915,7048,7160,7159,7040,6909,6935,7160,7410,7391,7351,7351,6742,6121,5945,5824,5781,6032,6030,6188,6297,6218,6175,6045
"33","25","    Petroleum and coal product manufacturing","S3240",12196,11576,11649,11484,9871,9215,8765,8252,8803,10011,11790,14192,14942,15675,15670,15630,15096,14669,13429,11650,12152,13659,14893,15974,18057,15922,15704,17564,18796,19992,22503,22858,26306,25747,31570,32052,32869,37971,35016,33524,34340,35448,42400,58379,72767,88673,67460,26234,25466,32186,32415,38973,43321,32536,34924,49610,62219,59087,54825,66649
"34","26","    Chemical manufacturing","S3250",44975,45562,46331,47394,47491,47581,47594,47710,47929,49344,50132,52081,52806,54000,55667,56219,56530,55784,54963,53427,53469,52934,55297,55639,57058,56989,56933,57437,58836,60523,61783,64403,66840,67471,68425,70965,72985,73777,75786,76658,77174,79285,80582,83860,86232,89210,92359,85732,82456,78332,78143,77551,78977,79405,79751,82569,86228,89015,89205,88210
"35","27","    Plastics and rubber product manufacturing","S3260",16174,16469,16343,16400,16506,16519,16195,16052,16202,16636,17377,17666,17680,18379,18322,18297,18490,17738,17095,16627,15970,15862,16633,17509,18271,18531,17918,17877,18102,18716,19815,20664,21635,21302,21175,22353,22891,23320,23850,23239,23274,23949,24184,24931,25627,26208,27108,24374,22690,22148,22181,22025,22978,23402,23717,23919,24949,26327,26321,25627
"36","28","Merchant wholesale industries","S42W0",246541,251990,254611,259338,263579,264077,266746,269436,273107,274335,280262,287571,293244,297924,299548,305173,302978,301353,296541,291053,290521,292241,297820,297150,298674,296015,297664,305393,313716,319418,327432,335900,346403,349024,354667,361950,368565,381677,387745,395516,402437,406274,415622,431242,442643,459955,459931,427995,410086,398116,384423,392245,397925,403524,426831,449161,467429,482444,487843,496111
"37","29","  Durable goods merchant wholesale industries","S42WD0",155642,160508,161341,163670,167317,167651,170577,171856,174479,176184,178520,183575,185742,190154,190721,192178,189754,184742,180017,175210,173782,174544,176627,175315,176739,176132,175162,178396,184812,190681,198985,204349,209699,211717,212905,218424,222937,231449,235889,237497,241827,241990,241704,244478,251346,260757,266751,254717,237706,225380,216815,213525,217790,221867,228274,235523,242188,252879,259366,263053
"38","30","    Motor vehicles, parts, and supplies wholesalers","S42110",21431,22295,22674,22229,23335,22312,22999,23055,23546,24255,25328,25882,26694,27511,26669,27175,26494,25814,25917,25598,25739,26640,27498,27781,28183,28720,27943,28862,29107,28911,30478,30456,30473,32549,32387,32819,34171,34805,34138,34051,35004,35218,35327,35295,35393,37074,38625,39648,34185,32378,31014,30869,31585,32053,33455,34274,34562,37399,39421,40632
"39","31","    Furniture and home furnishings wholesalers","S42120",4641,4833,4939,4988,4967,5195,5250,5312,5431,5542,5564,5689,5774,6065,6115,6342,6394,6104,6047,5896,5822,5981,6147,6151,6221,6341,6254,6424,6512,6565,6691,6818,6941,6893,7090,7294,7216,7479,7623,7712,7897,7883,7874,7742,7891,7695,7518,7378,6768,6210,5805,5577,5449,5748,6033,6118,6204,6296,6173,6197
"40","32","    Lumber and other construction materials wholesalers","S42130",5446,5662,5693,5822,5737,5621,5446,5545,5713,5995,6011,6202,6327,6374,6198,6463,6354,6148,6365,6428,6493,6526,6760,6894,7269,7488,7804,8560,9274,10279,11097,11199,12418,11933,11555,12344,12455,12759,12884,12466,12378,11707,11573,11520,10804,11628,12026,11131,10031,8820,8624,8471,8995,9280,8836,8972,9424,9262,9352,9121
"41","33","    Professional and commercial equipment wholesalers","S42140",24172,25682,26158,26077,26591,25469,24816,24301,24840,24699,24392,25348,24665,24420,25050,24654,23106,22343,21148,20712,20341,20876,21052,20970,20915,20322,20561,20757,21193,21663,21852,22232,22056,22372,22085,22432,22880,23237,24116,24711,24772,25092,25239,25268,25653,25967,26381,25736,24117,22703,22145,22704,22848,23811,23998,24649,25417,26261,26678,26310
"42","34","      Computers and software wholesalers","S42430",14543,15742,16123,15859,16078,15206,14413,14564,14574,14632,14198,14818,13840,13399,13887,13069,11994,11080,10304,9966,9788,9990,9895,9601,9710,9684,9522,9918,10037,10436,10172,10332,10350,10186,10128,9941,10095,9891,10228,10371,10115,10196,10420,10073,10190,10249,10512,10202,9319,8978,8966,9830,9989,10640,10882,11122,11334,11978,12180,11427
"43","35","      Other professional and commercial equipment wholesalers","S424X0",9629,9940,10035,10218,10513,10263,10403,9737,10266,10067,10194,10530,10825,11021,11163,11585,11112,11263,10844,10746,10553,10886,11157,11369,11205,10638,11039,10839,11156,11227,11680,11900,11706,12186,11957,12491,12785,13346,13888,14340,14657,14896,14819,15195,15463,15718,15869,15534,14798,13725,13179,12874,12859,13171,13116,13527,14083,14283,14498,14883
"44","36","    Metal and mineral (except petroleum) wholesalers","S42150",13676,13964,13979,14028,14184,14096,14095,13926,13489,13926,13952,14432,15244,15372,15195,14568,14122,13759,13333,12888,12919,13278,13861,13582,13522,13262,13277,14214,17135,18052,20200,22318,22851,21719,21735,22565,23945,27198,29214,29079,30040,30040,28594,28924,32733,38428,37056,28956,25847,23677,24032,23286,25512,25715,26430,28892,31323,32657,32670,33006
"45","37","    Electrical goods wholesalers","S42160",21338,21218,21036,21033,21449,22060,22422,22763,23059,23348,24191,25539,25948,27093,27985,28818,28872,27694,25823,23988,23347,22986,23386,22647,22641,22649,22291,21782,22364,23110,23300,23760,24490,24696,24764,24889,25478,26224,27411,27869,28075,28645,28655,29732,30029,30860,32074,31166,28557,26570,25610,26024,26977,28302,29683,30229,31148,32520,33163,33743
"46","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9125,9415,9498,9490,9801,10045,10044,10343,10410,10474,10468,10619,10755,11296,11370,11621,11438,11260,11325,11020,10956,10994,11113,11027,11482,11157,10959,11145,11321,11729,12202,12444,12866,12953,12919,13310,13564,13806,14129,14499,14866,15230,15311,15271,14801,14741,15258,14499,14150,13625,12485,12176,12044,12123,12696,12941,13682,14330,14371,14780
"47","39","    Machinery, equipment, and supplies wholesalers","S42180",40109,42215,41567,43531,44747,46149,48045,49406,50327,50523,50778,51527,51522,52493,52990,52960,53524,53216,52121,51037,50682,49637,49310,48749,48576,47901,47556,47481,48626,50485,51793,53606,55508,56738,57988,59341,59541,61733,62954,63528,64308,64448,65064,66381,68315,68037,71727,72141,71266,68183,64545,61573,60797,61985,63254,63987,65671,68079,71095,72707
"48","40","    Miscellaneous durable goods wholesalers","S42190",15704,15224,15797,16472,16506,16704,17460,17205,17664,17422,17836,18337,18813,19530,19149,19577,19450,18404,17938,17643,17483,17626,17500,17514,17930,18292,18517,19171,19280,19887,21372,21516,22096,21864,22382,23430,23687,24208,23420,23582,24487,23727,24067,24345,25727,26327,26086,24062,22785,23214,22555,22845,23583,22850,23889,25461,24757,26075,26443,26557
"49","41","  Nondurable goods merchant wholesale industries","S42WN0",90899,91482,93270,95668,96262,96426,96169,97580,98628,98151,101742,103996,107502,107770,108827,112995,113224,116611,116524,115843,116739,117697,121193,121835,121935,119883,122502,126997,128904,128737,128447,131551,136704,137307,141762,143526,145628,150228,151856,158019,160610,164284,173918,186764,191297,199198,193180,173278,172380,172736,167608,178720,180135,181657,198557,213638,225241,229565,228477,233058
"50","42","    Paper and paper products wholesalers","S42210",6748,6735,7285,7622,7752,7584,7327,7265,7221,7252,7510,7618,8006,8143,8215,8482,8205,7910,7491,7344,6943,7015,6911,7008,6893,7026,6805,6944,7033,7567,7901,8024,7907,8161,8135,8461,8600,8863,8967,8847,8579,8781,9009,9223,9340,9354,9796,9776,9130,8770,8552,8580,8723,9315,9272,9661,9579,9749,9368,9734
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12690,13025,13836,14120,15061,15153,15358,16238,16662,17996,18774,19933,21217,22194,23162,24643,25278,27932,30126,31794,32596,32998,32827,33816,34077,33806,34322,34879,35373,34886,35115,35702,35900,35550,35063,35207,35889,36868,37124,36942,36350,37560,37725,37782,37952,37828,38842,39206,39665,39054,39062,40080,40580,41669,42148,42361,42552,42226,42938,44324
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11890,12238,12249,12986,13015,13184,13150,13219,13153,12370,12108,12519,12441,12264,12510,12566,13252,13401,12840,12509,12300,12221,12906,12644,12609,12628,11965,11745,11559,11158,11795,11820,12135,12365,12367,12453,12814,13052,13510,13873,14017,14301,14608,14608,15516,15214,15313,15756,15168,14355,13335,12656,12781,13539,15331,15749,16969,18394,18512,18668
"53","45","    Grocery and related products wholesalers","S42240",16705,16784,16708,17481,17223,17599,17466,17380,17727,17341,18112,18613,18380,18147,18511,18730,18541,18266,17756,17535,17990,18819,18446,18512,18742,18026,18733,18616,18522,18834,18716,19166,19649,19453,20126,21206,20917,21539,22732,23374,25178,25661,25488,26334,26598,27562,28545,28122,26888,26659,26528,27097,27948,28855,29131,30154,32391,33023,34771,34812
"54","46","    Farm product raw material wholesalers","S42250",13760,13564,13184,13480,13345,12954,12522,12481,12204,11985,12707,12226,13584,13076,12450,13839,13222,13305,13689,13460,12901,12674,15368,14486,13609,14102,15456,18324,19817,17979,14461,13578,15975,16289,16124,16048,16468,18032,18755,25221,23308,23991,31886,37714,41014,43111,35055,26152,26585,28294,24051,29983,27516,27286,39085,47606,49864,49235,47487,45180
"55","47","    Chemical and allied products wholesalers","S42260",4672,4736,4636,4733,4735,4819,4939,5084,5209,5270,5268,5464,5571,5562,5326,5419,5488,5565,5453,5418,5619,5765,5928,6133,6256,6059,5854,6145,6060,6460,6856,6950,7222,7175,7482,7809,7823,8099,7894,7601,8214,8637,8724,9487,9791,10375,10990,9130,8727,8587,8536,8451,8833,8996,9350,9953,10618,11556,11606,11374
"56","48","    Petroleum and petroleum products wholesalers","S42270",5141,4702,4712,4572,3967,4049,4218,3823,3909,4082,4597,5070,5623,5715,5758,5928,5764,6017,5609,5092,5736,5623,6170,6714,7159,6373,6687,7209,7507,7976,9624,10655,11801,11159,14993,14523,14972,15891,14803,13714,14684,15376,15650,19569,17095,19521,17760,9815,11605,13294,14948,19556,20618,18752,20154,22518,26074,26277,24813,27546
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4608,4941,5081,5232,5494,5269,5335,5482,6083,5816,5756,5789,5860,5893,5992,6165,6085,6232,6183,6058,6305,6248,6333,6553,6564,6518,6577,6840,6866,6982,6812,7230,7448,7491,7759,7900,8141,8225,8282,8595,8756,8960,9348,9484,9746,9914,10186,10398,10667,10593,10105,9982,10152,10243,10589,11070,11177,11330,11247,11802
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",14685,14757,15579,15442,15670,15815,15854,16608,16460,16039,16910,16764,16820,16776,16903,17223,17389,17983,17377,16633,16349,16334,16304,15969,16026,15345,16103,16295,16167,16895,17167,18426,18667,19664,19713,19919,20004,19659,19789,19852,21524,21017,21480,22563,24245,26319,26693,24923,23945,23130,22491,22335,22984,23002,23497,24566,26017,27775,27735,29618
"59","51","Retail trade industries","S440",329014,332025,334476,335864,342497,342827,343996,349151,357619,362356,366692,377742,380801,390615,395710,400836,395155,396201,397999,386024,390025,395375,400004,407981,416161,416444,420256,425512,435592,445494,451779,460862,467232,464513,466903,473662,477972,482991,487767,491624,493353,497451,504123,511826,508869,509911,508314,488896,471502,457951,447413,448056,455863,464936,475643,477271,485833,484730,486328,483098
"60","52","  Motor vehicle and parts dealers","S4410",101561,102364,103023,104269,106964,105520,104623,106979,112503,113013,114383,120180,120370,127000,131030,133516,126818,128710,130842,122881,127040,131191,131595,137880,142847,144658,144505,146707,150766,154469,156568,158144,159166,154799,153487,155899,156698,156939,156885,155732,152859,154221,159609,160223,157763,155641,151960,147484,134985,124963,117897,117153,121601,128560,134472,128953,127898,124842,122321,116958
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24253,23492,22843,22484,22268,21618,21020,20992,20930,21252,21509,21911,22321,22898,22452,23018,22605,21793,21239,21251,21715,21755,22395,22418,22486,23127,23332,23736,24642,25327,25868,26893,26953,27828,27317,27606,28221,28256,28209,28365,28863,28751,28986,29407,28244,28018,28703,26340,25654,25197,24833,24525,24727,25597,25735,26236,26197,26102,25575,25633
"62","54","  Building material and garden equipment and supplies dealers","S4440",32421,32956,33369,33489,34053,34225,34998,35396,36041,36583,36827,37703,38017,38443,38909,38926,38932,39149,39032,38966,39608,39869,40363,40961,41330,41326,42483,42829,44154,45933,46655,48150,49083,48929,49856,52182,52744,53027,54148,53906,53472,54917,53813,54551,54432,55692,56280,53789,52705,50792,50718,50452,50893,50930,50812,51580,53088,52647,52949,52623
"63","55","  Food and beverage stores","S4450",27676,27627,28067,27832,28120,28600,28712,29227,29611,30106,30865,30924,31015,30762,30880,30999,31717,31908,32103,32103,32328,31660,32143,32103,32270,31814,32907,33007,33167,33836,34102,34376,34729,34613,34250,35200,34981,35426,36532,36851,38010,38037,39185,40860,41523,42450,42717,41770,41750,41578,41526,42102,43162,42029,42424,43704,45107,45369,46676,46887
"64","56","  Clothing and clothing accessories stores","S4480",26106,26904,27267,27458,27988,28298,28860,28757,29088,29543,29041,30160,30685,31201,32027,32830,32703,32409,32369,31715,31265,32230,33017,33650,34246,34018,34199,34652,35050,35915,36701,37536,38448,38725,39246,39661,41149,42878,43610,45254,45634,45215,45680,45804,45813,45306,45121,43978,42879,42075,40604,39947,39830,40748,41168,42257,44049,45004,46042,45305
"65","57","  General merchandise stores","S4520",57874,58684,58429,58252,58528,58686,59451,59404,60106,60726,61443,62433,62659,63352,63146,63730,65353,65635,65615,64166,63454,63259,64257,65488,65724,66118,66869,67323,69095,70288,70525,72692,74491,74521,75290,75752,75343,75242,77233,78728,79810,80301,80026,81009,80485,81064,82206,80456,79846,79285,78158,78115,79178,80629,82433,83768,86255,87046,88282,89955
"66","58","    Department stores","S45210",41851,42385,42115,42098,41952,41760,42033,41535,41814,41903,41846,42311,42071,42160,41498,41687,42340,42051,41718,39948,38913,38215,38079,38376,37927,37697,37338,36960,37432,37593,37457,38049,39157,38219,38359,38438,37672,37304,38158,38824,38936,39192,38878,39151,38436,37789,37792,36710,35971,35522,34887,34004,34037,34236,34195,34696,35405,35383,35656,35925
