"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"24","6","    Nondurable goods","C625RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,400.0","5,201.0","-853.0","2,295.0","8,145.0","976.0","101.0","-860.0","3,809.0","4,235.0","-1,378.0","-134.0","3,937.0","2,082.0","4,460.0","5,340.0","3,038.0","2,626.0","2,960.0","7,365.0","6,332.0","6,592.0","3,234.0"
"25","7","  Wholesale trade","A658RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-235.0","2,713.0","212.0","5,005.0","1,133.0","1,345.0","498.0","832.0","3,817.0","1,856.0","-598.0","-34.0","6,536.0","1,834.0","1,906.0","3,167.0","5,874.0","4,687.0","5,583.0","11,790.0","8,176.0","3,773.0","8,186.0"
"26","8","    Durable goods","A661RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","202.0","2,151.0","-312.0","2,802.0","1,829.0","-947.0","119.0","-64.0","2,286.0","-83.0","121.0","-117.0","3,335.0","1,820.0","891.0","2,623.0","2,586.0","2,990.0","3,826.0","7,515.0","3,928.0","2,301.0","5,148.0"
"27","9","    Nondurable goods","A664RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-335.0","722.0","448.0","2,177.0","-467.0","1,991.0","355.0","840.0","1,508.0","1,929.0","-723.0","85.0","3,146.0","-44.0","1,001.0","484.0","3,250.0","1,630.0","1,660.0","4,091.0","4,218.0","1,405.0","2,846.0"
"28","10","      Merchant wholesalers","A151RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,498.0","1,126.0","829.0","1,464.0","4,703.0","4,298.0","5,130.0","9,959.0","5,954.0","2,701.0","6,681.0"
"29","11","        Durable goods","C626RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,813.0","1,310.0","413.0","1,578.0","1,842.0","2,910.0","3,440.0","6,473.0","2,724.0","1,937.0","4,312.0"
"30","12","        Nondurable goods","C627RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,635.0","-203.0","408.0","-116.0","2,796.0","1,349.0","1,639.0","3,388.0","3,191.0","718.0","2,274.0"
"31","13","      Nonmerchant wholesalers","A152RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,132.0","666.0","981.0","1,564.0","1,202.0","484.0","561.0","1,936.0","2,178.0","1,049.0","1,497.0"
"32","14","        Durable goods","C628RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","513.0","438.0","373.0","846.0","634.0","185.0","432.0","1,052.0","1,017.0","352.0","797.0"
"33","15","        Nondurable goods","C629RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","669.0","175.0","693.0","696.0","558.0","340.0","35.0","836.0","1,216.0","838.0","630.0"
"34","16","  Retail trade","A153RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,704.0","4,515.0","-1,175.0","7,447.0","269.0","-145.0","1,435.0","103.0","6,373.0","245.0","2,570.0","-1,248.0","3,419.0","4,541.0","-1,330.0","4,808.0","3,986.0","4,172.0","8,178.0","7,287.0","-28.0","8,256.0","7,290.0"
"35","17","    Durable goods","C630RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,849.0","2,632.0","-991.0","4,568.0","738.0","-529.0","1,203.0","-806.0","3,587.0","-1,016.0","2,135.0","-2,152.0","1,003.0","2,995.0","-2,803.0","1,954.0","2,033.0","1,446.0","5,134.0","3,716.0","-2,055.0","5,857.0","3,585.0"
"36","18","      Motor vehicle dealers \2\","C631RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","502.0","3,445.0","-2,190.0","1,710.0","1,981.0","234.0","5,411.0","2,222.0","-3,024.0","4,914.0","2,360.0"
"37","19","      Other \2\","A632RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","485.0","14.0","-776.0","404.0","276.0","1,057.0","437.0","1,540.0","434.0","1,414.0","1,329.0"
"38","20","    Nondurable goods","C633RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-861.0","1,864.0","-185.0","2,780.0","-459.0","388.0","194.0","945.0","2,640.0","1,378.0","284.0","1,132.0","2,450.0","1,357.0","1,769.0","2,819.0","1,875.0","2,722.0","2,814.0","3,453.0","2,195.0","2,108.0","3,595.0"
"39","21","  Other","A154RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,304.0","-451.0","-2,617.0","2,947.0","2,738.0","244.0","-2,860.0","156.0","-1,159.0","2,679.0","1,869.0","-54.0","1,544.0","1,119.0","3,694.0","-123.0","2,718.0","2,611.0","1,916.0","1,244.0","5,657.0","1,523.0","2,852.0"
"40","22","    Durable goods","C636RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","309.0","202.0","1,265.0","312.0","-29.0","299.0","517.0","-308.0","587.0","-1,181.0","-12.0"
"41","23","    Nondurable goods","C637RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,212.0","904.0","2,285.0","-490.0","2,799.0","2,307.0","1,354.0","1,603.0","5,065.0","2,907.0","2,911.0"
"42","24","Residual","A969RX1","300.0","-500.0","-300.0","-3,400.0","-1,700.0","-1,100.0","1,100.0","-2,300.0","1,000.0","100.0","0.0","900.0","200.0","1,700.0","-200.0","-300.0","-1,000.0","-5,400.0","-3,900.0","1,900.0","1,100.0","-2,800.0","-3,700.0","800.0","2,100.0","-300.0","1,100.0","-900.0","100.0","-200.0","-1,500.0","-100.0","-1,900.0","1,100.0","-800.0","-100.0","1,400.0","1,200.0","-400.0","400.0","200.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
