"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","Equals: Gross domestic purchases","A712RX1",879.5,806.1,756.1,659.1,651.5,719.8,790.3,890.9,932.4,891.9,963.8,1044.1,1232.5,1478,1737.7,1877,1843.6,1571.6,1538.8,1644.1,1634,1801,1926,2011.9,2118.6,2095.7,2246.3,2281.8,2322.1,2320.7,2485.9,2529.6,2587.6,2751.4,2866,3023.2,3228.6,3450.3,3545.1,3727.5,3844.1,3837.4,3974.2,4192.8,4399.1,4343.8,4297,4575,4818.5,5081.5,5206.8,5108.9,5244.7,5175.1,5477.6,5951.6,6215.8,6443.6,6644.1,6857.9,7060.8,7161.6,7101.2,7338.9,7577.2,7911.3,8098.4,8405.7,8807.6,9272.5,9767.7,10196.4,10290.1,10517.7,10815.5,11286.5,11659.7,12027.3
"12","5","Less: Change in private inventories","A014RX1",9.3,-4.1,-9.5,-21.5,-11,-5.3,6.8,7,11.7,-2.8,1.4,14.5,23.8,9.3,-3.3,-3.9,-7.3,22.9,-3.2,17.4,-9.2,17.4,24.1,9.7,6,-5.8,14.4,10.7,2.6,-0.7,12.3,10.4,9.4,19.5,18,15.4,29.3,42.1,30.3,27.4,27,5,22.3,23.1,35,25.9,-11.3,30.7,38.5,41.1,25.1,-8,34.9,-17.5,-6.4,71.3,23.7,8.3,30.3,20.3,28.3,15.4,-0.5,16.5,20.6,63.6,29.9,28.7,71.2,72.6,68.9,56.5,-31.7,12.5,14.3,53.4,19.6,43.2
"13","6","Equals: Final sales to domestic purchasers","A713RX1",889.3,831,784.3,696.9,676.5,738.3,790.8,892.6,925.8,904.1,970.7,1032.1,1207.9,1478.2,1761.5,1903.2,1875.1,1547.7,1562.8,1628.6,1666.6,1787.4,1900,2013.6,2127.1,2123.4,2242.8,2285,2338.3,2341.1,2487.4,2534.8,2594.6,2744.8,2862.4,3024.5,3211.2,3415.5,3528.1,3715.3,3832.6,3854,3969.3,4186.9,4373.4,4329.7,4338.2,4556.2,4789.5,5047.9,5194.2,5142.8,5217.9,5218.2,5507.3,5877.3,6204.2,6452,6626.5,6849.7,7041.6,7157.4,7115.2,7333,7566.4,7853.6,8076.8,8383.1,8740.4,9203.2,9701.3,10140,10320.5,10505.3,10799.5,11231.1,11636.1,11977.8
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RX1",874.5,814.8,767.4,680.4,659.8,722.2,767.2,868.3,904.6,891.6,957.4,1022.5,1187.1,1435.3,1693.6,1831.5,1816.5,1566.4,1598.5,1628.1,1666.7,1763.8,1889.4,1990,2087.7,2092.5,2209.2,2259,2316.9,2299,2442.7,2506.8,2566.8,2708.5,2830.3,2999.9,3173.8,3364.8,3467.6,3640.3,3753.7,3787.7,3893.4,4098.6,4315.9,4305.5,4352.5,4522.3,4721.6,4981.6,5161.2,5196.7,5265.1,5233.4,5454,5739.2,6042.1,6271.8,6457.2,6734.5,6962.2,7108.5,7115,7331.1,7522.3,7777.8,8010.2,8306.5,8636.6,8997.6,9404,9760.5,9920.9,10036.5,10285.1,10648.3,11025.2,11365.8
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Chained (2000) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","quantity index and the 2000 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
