"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 3:54:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Government consumption expenditures and gross investment","A822RL1",10.1,4.2,-3.1,-3.4,12.2,3.1,16.1,-4.1,7.6,8.7,3.6,68.1,132.1,50,12.3,-12.1,-64.7,-14.9,5.8,10.9,0.6,36.7,19.6,6.8,-6.4,-3.2,0.2,4.6,3.4,2.5,0.6,5.3,6.5,2.4,2.5,3.2,8.7,7.9,3.4,0.2
"9","2","      Consumption expenditures \1\","A955RL1",6.3,3.7,0.1,2.4,11.3,1.3,8,-1.2,6.3,8.5,6.8,46.2,111.6,61,19.4,-3.7,-58.8,-17.5,0.4,5.6,0.1,31.7,18.4,5.7,-7.2,-2.3,-0.8,3.7,1.7,-0.1,0.6,3.3,7,2,2.1,3.8,8.5,8.9,5,1.9
"10","3","      Gross investment \2\","A782RL1",19.1,5.3,-11.2,-19.4,15.2,8.9,39.1,-10.3,10.7,9.3,-3.9,122,164.8,36.3,1.7,-28.7,-82.9,5.8,38.1,33.1,2.4,53.5,23.1,9.6,-4.3,-5.7,3.2,6.9,7.7,8.8,0.6,10.1,5.3,3.4,3.4,2,9.3,5.4,-0.8,-4.9
"11","4","        Structures","A760RL1",21.4,4,-12.4,-22.7,14.2,4.6,49.6,-12.9,9.7,9.5,-4.6,53.9,66.3,-46.4,-51.7,-23.9,-40.7,51.7,37.9,38.3,14.2,19.5,13,5.3,7,-0.9,1.9,6.1,12.1,1.9,-0.3,8.3,1.4,5.4,4.3,5.8,5.4,2.2,3,-5.5
"12","5","        Equipment","Y054RL1",-6.4,17.8,-12.1,1.6,14.9,21.9,2.8,13.1,16.4,12.4,1.4,682.9,373.1,102.2,12.5,-30.5,-94,-35.5,75.3,47.3,-24.7,209.7,39.6,14.6,-19.2,-18.2,-7.1,0.9,1.9,22.5,-4.5,11.6,6.9,-11.2,-4.7,-11,15.7,13.9,-11.9,-11.2
"13","6","        Intellectual property products","Y055RL1",36.3,20.4,25.8,-3.1,-15,2.5,9.1,0.9,10.6,8.5,11.2,134,38.6,62.6,42.7,-0.4,-9.8,-9.7,11.2,7.6,6.6,3.3,10.7,11.5,13.4,15.5,30.7,18.6,6.8,7.2,10.2,11.6,11.5,18.6,9.2,7,10.9,4.4,2.6,-0.1
"14","7","          Software","Y056RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.3,-3.9,28,71.1,19,24.2,47.6,20.4,15.9,38
"15","8","          Research and development","Y057RL1",36.7,20.3,25.9,-3.1,-15.1,2.7,9.1,0.8,10.7,8.4,11.2,134,38.6,62.6,42.7,-0.4,-9.8,-9.7,11.2,7.6,6.6,3.2,10.7,11.5,13.4,15.5,30.8,18.6,6.8,7.2,10.1,11.7,11.5,18.2,9.1,6.8,10.4,4.1,2.4,-1
"16","9","Federal","A823RL1",10.8,3.4,2,22.7,32.1,2.7,49.1,-9.7,10.4,7.2,13.4,164.6,198.9,59.3,13.9,-13.5,-71.9,-24.9,5.7,8.4,-4.2,63.5,28.2,7.5,-12.1,-8,-1.4,3.9,0.5,2,-1.7,4.8,8.9,0.2,-0.4,0.8,10.7,10.1,1.5,-2.4
"17","10","    Consumption expenditures","A957RL1",6.1,-2.9,-4.7,17.6,38.2,-9.3,73,-11.6,14,11.1,7.9,95.6,179.2,76.6,22.6,-4.5,-66.2,-25.6,0.1,4,-3.4,52.7,26,6.6,-11.3,-6,-2.9,2.9,-1.4,-2.1,-2.4,2,10.1,0.3,-0.9,1.8,10.4,12.3,4,-1.4
"18","11","    Gross investment","A787RL1",44.7,38,30.5,38.7,16.5,38.1,1.9,-3.5,-0.6,-6.7,36,378.9,223.8,41.2,2.1,-29.6,-88.4,-19,50.6,31.6,-7.5,108.7,34.7,10,-14.3,-13.9,3.7,6.8,6.1,13.1,0,11.5,6.4,0,0.9,-1.7,11.4,4.7,-5.2,-5.6
"19","12","      Structures","A801RL1",41.7,42.5,44.5,41.1,7.4,32.5,6.7,-5,-8.3,-12.1,50.1,234.7,121.1,-46.1,-55.7,-33.3,-86,40.9,95.3,37,12.7,75.7,35.8,-0.2,-15,-25.1,2.7,6.9,16.2,-0.4,-2.6,8.5,-4.6,-4.6,-5.1,0,1.1,-19.5,-7.4,-6.5
"20","13","      Equipment","Y058RL1",39.7,31.8,-37.5,109,125.4,71.4,-12.6,1.5,24,3.9,8.8,858.6,358.7,100.8,12.2,-30.6,-93.9,-40.7,81.6,48.6,-26,223.6,40.9,14,-20.1,-18.8,-7.8,-0.3,1.7,23.4,-5.3,12.5,6.6,-12.4,-5.4,-12.4,16.6,14.5,-14,-12.9
"21","14","      Intellectual property products","Y059RL1",63.8,26,37.4,-3.6,-22.2,-2.8,10,-0.5,13.8,11.8,15.7,191.1,45.7,69.6,44.7,-0.7,-10.1,-9.6,11.5,7.4,6.5,3.2,10.8,11.5,13.4,15.8,31.6,18.8,6.7,7.3,10.1,11.6,11.5,18.6,9.1,6.9,10.7,4.1,2.5,-0.5
"22","15","        Software","Y060RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.2,27.7,61.3,15.3,24,50.3,25.6,20.7,41.9
"23","16","        Research and development","Y061RL1",63.9,25.9,37.3,-3.4,-22.3,-2.8,10,-0.4,13.7,11.9,15.6,191.2,45.7,69.6,44.7,-0.8,-10.1,-9.6,11.5,7.4,6.5,3.1,10.8,11.5,13.4,15.8,31.6,18.8,6.7,7.3,10.1,11.7,11.5,18.4,9.1,6.8,10.4,3.9,2.2,-1.2
"24","17","  National defense","A824RL1",6.8,0.5,-0.4,-4.2,-9.7,21.3,17.4,0.9,4.4,10.3,73.7,420.1,256.2,64.3,14.3,-13.4,-75.1,-30.9,-0.7,3.9,-0.4,87.3,30.6,6,-13.2,-8.5,-0.5,4.5,0,-2.8,-0.8,5,6.6,-2.2,-3.1,-1.3,12.9,12.5,1.6,-4.1
"25","18","    Consumption expenditures","A997RL1",3.2,-2.5,-0.4,-7,-11.8,26.6,4.6,-2.1,6,12.2,57.6,293.4,253.1,85.4,22.8,-4.2,-70,-31,-5.9,-0.6,3.3,71.4,27.2,3.5,-12.7,-6.6,-1,4.4,-1.4,-9,0.6,2.7,8.4,0.4,-1.9,1.5,13.5,12.6,4.6,-3.5
"26","19","    Gross investment","A788RL1",76.3,35.4,0.2,21.3,4.6,-9.7,122.9,12,-0.7,4.1,130.1,703.5,259.5,43.1,3,-29.6,-89.5,-30.3,44.4,28.8,-16.1,167,41,13.1,-14.4,-13.6,1,4.7,4,14.7,-3.8,10.4,2.8,-8.4,-6.2,-9.4,11,12.4,-8.8,-6.8
"27","20","      Structures","A808RL1",68.2,51.2,0.3,2.7,36.4,-16.1,181.8,19.1,-11.7,-13,230.2,447.1,143.8,-47.5,-56,-34.2,-84.7,-52.7,102.6,-1.2,29,280.7,58,1.7,-15.6,-23.1,-6.8,2.3,11.5,-3.4,-11.6,6.4,-17.3,-18.2,-23.3,-11.1,5.2,-8.1,-2.4,7.4
