"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","Plus: Imports of goods and services","B021RA3",10.848,12.989,12.82,12.679,12.638,12.888,12.858,13.057,12.904,13.877,14.184,13.222,15.155,14.616,14.921,15.593,16.313,15.843,15.405,15.52,14.994,15.788,15.512,15.358,13.817,12.712,13.768,14.503,15.412,16.079,16.735,17.289,18.108,18.275,18.02,18.276,19.502,19.563,19.819,20.091,20.036,20.144,19.837,20.27,20.285,18.813,17.46,18.397,19.183,19.212,18.993,19.537,18.981,18.671,19.537,18.77,19.2,20.676,22.286,23.379,25.259,26.317,26.998,27.789,27.176,28.511,28.236,29.343,29.316,30.564,31.411,31.653,31.464,32.249,32.876,33.631,33.474,33.089,33.871,34.903,35.064,35.231,35.183,35.819,36.955,36.894,36.745,35.759,35.352,35.98,36.993,37.81,38.085,38.711,39.322,40.263,41.135,41.985,42.538,44.247,45.278,46.965,48.286,49.644,50.733,51.215,51.391,52.048,53.74,54.943,56.725,57.844,60.315,62.339,64.636,66.03,68.504,70.075,71.022,73.326,75.171,77.529,80.27,82.091,85.471,87.848,90.867,91.09,89.497,86.939,84.802,83.835,85.93,88.781,90.209,91.956,90.762,91.968,92.976,96.519,99.175,102.937,104.243,106.834,107.813,108.888,109.171,112.492,114.913,116.188,117.184,117.02,119.019,119.48,119.555,117.827,118.92,117.83,115.649,110.904,100.296,96.033,99.649,104.021,106.98,112.023,115.88,116.152,116.966,117.166,118.563,120.263,120.475,121.207,121.358,120.398,120.584,122.615,123.347,123.807,124.361
"12","4","Equals: Gross domestic purchases","B712RA3",32.452,32.517,32.741,32.521,32.444,32.457,32.747,32.419,33.263,33.586,33.814,33.942,34.62,35.403,35.659,36.26,37.1,37.342,37.061,37.294,36.845,36.948,36.702,36.45,35.684,35.837,36.697,37.174,38.212,38.598,38.831,39.197,39.859,40.584,41.22,41.374,41.683,42.967,43.395,43.886,43.957,44.022,44.139,44.109,44.145,42.842,42.468,43.506,44.509,44.168,44.714,44.295,43.613,43.762,43.956,44.01,44.617,45.908,47.056,48.149,49.368,50.323,50.851,51.316,51.696,52.401,53.2,53.676,54.042,54.459,55.051,55.23,55.569,56.153,56.584,57.469,57.512,58.055,58.429,59.222,59.688,59.955,60.333,60.489,61.107,61.261,61.21,60.475,60.092,60.459,60.781,61.049,61.705,62.482,63.059,63.81,64.055,64.496,64.912,65.843,66.582,67.533,67.89,68.71,68.98,69.195,69.498,69.985,70.613,71.897,72.765,73.224,73.995,75.076,76.162,76.957,78.017,79.07,80.252,81.556,82.588,83.497,84.698,86.138,86.702,88.37,88.679,89.237,88.89,89.294,89.191,89.502,90.462,91.087,91.633,91.975,92.346,93.369,94.796,95.91,96.598,97.678,98.606,99.529,100.588,101.052,101.867,102.599,103.73,104.021,104.266,104.585,104.763,105.401,105.692,105.498,104.834,104.809,104.088,101.983,100.07,99.377,99.809,100.744,101.359,102.736,103.635,104,103.672,104.331,104.647,106.012,106.835,107.118,107.841,107.702,108.073,108.737,109.779,110.211,109.83
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",13.397,16.209,15.816,16.533,16.43,17.25,16.996,16.989,17.291,17.068,17.495,15.988,17.922,17.411,18.352,19.335,21.052,22.631,23.597,25.547,26.999,28.493,27.653,28.992,29.378,28.01,27.006,28.243,28.147,28.447,29.049,29.398,28.744,29.461,29.093,27.806,28.531,31.671,31.979,33.695,34.063,34.683,35.883,37.937,39.097,39.439,39.57,39.612,40.32,40.001,38.597,38.216,36.318,36.12,33.813,31.744,32.194,32.205,32.549,33.338,33.73,34.49,34.651,34.78,34.145,33.726,32.746,33.404,34.096,34.249,34.637,35.972,35.844,37.561,38.993,40.791,43.21,44.908,45.906,46.786,48.128,49.75,49.66,49.88,51.446,51.759,52.06,52.649,52.782,54.162,54.722,55.745,56.365,56.073,56.918,56.745,56.642,57.13,56.701,58.203,58.767,60.656,62.824,64.331,65.89,66.993,69.462,69.842,70.2,70.874,70.632,73.879,74.753,77.525,78.93,78.238,77.849,76.477,75.295,77.574,76.731,77.245,78.959,81.003,82.126,84.626,86.429,85.372,83.698,80.25,75.653,72.764,73.491,75.537,76.388,75.405,74.748,74.56,76.355,80.063,82.234,83.859,84.271,86.397,88.294,90.138,89.855,92.023,95.578,97.91,98.305,102.186,103.414,105.668,109.574,113.357,115.5,120.889,120.463,107.548,96.28,96.352,100.439,106.928,109.152,112.664,115.615,121.153,124.548,127.494,129.767,129.045,130.56,131.677,131.335,131.697,131.333,132.725,133.71,136.443,133.763
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",10.697,12.693,12.445,12.469,12.383,12.597,12.754,12.911,12.887,13.722,14.042,13.168,15.105,14.841,15.253,16.121,17.156,17.655,17.666,18.773,20.455,23.327,23.385,23.232,20.802,18.91,19.702,20.446,21.83,22.879,23.909,24.561,26.166,26.697,26.275,26.466,28.243,28.47,28.816,29.164,29.645,30.592,31.589,33.621,35.516,33.346,31.107,32.476,33.827,33.467,31.712,32.115,30.727,29.383,29.977,28.282,28.146,30.118,32.204,33.379,35.803,37.188,37.209,37.612,35.535,37.206,36.57,38.473,38.319,38.679,39.802,40.336,40.791,42.56,43.482,44.822,44.891,44.73,44.85,46.158,46.605,46.809,45.673,46.403,48.02,46.719,47.364,48.077,45.788,45.119,45.402,46.358,46.664,47.3,48.37,48.828,49.333,50.225,50.223,51.756,52.678,54.849,56.977,58.493,59.933,61.059,60.664,60.637,62.162,63.008,64.136,65.039,67.021,67.688,69.557,70.291,71.163,71.806,71.623,73.677,75.027,77.926,81.301,83.843,88.189,90.368,93.482,93.548,91.052,86.349,82.855,79.919,81.548,85.567,87.163,88.805,89.446,89.313,90.259,93.693,97.314,101.763,103.525,107.521,108.477,110.186,111.724,116.103,118.145,119.777,121.248,119.499,120.866,122.578,124.185,126.266,130.557,134.765,134.607,116.364,96.96,94.245,100.843,107.953,112.29,116.776,119.757,122.14,127.115,130.095,130.88,132.216,133.095,132.338,130.37,130.155,130.136,130.569,130.835,130.899,131.977
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",33.308,33.396,33.61,33.472,33.404,33.461,33.71,33.356,34.258,34.441,34.682,34.77,35.384,36.17,36.498,37.157,38.024,38.332,38.163,38.562,37.977,37.904,37.496,37.371,36.965,37.244,37.907,38.431,39.281,39.571,39.741,40.102,40.492,41.173,41.779,41.971,42.049,43.647,44.044,44.719,44.745,44.764,44.922,44.855,44.723,43.724,43.663,44.524,45.404,45.112,45.728,45.234,44.54,44.841,44.719,44.79,45.462,46.519,47.45,48.503,49.478,50.33,50.88,51.341,51.928,52.403,53.17,53.492,53.967,54.378,54.84,55.072,55.42,55.974,56.441,57.39,57.698,58.45,58.91,59.609,60.221,60.634,61.163,61.266,61.844,62.217,62.104,61.304,61.242,61.869,62.231,62.494,63.176,63.858,64.403,65.083,65.232,65.62,66.06,66.945,67.617,68.507,68.848,69.636,69.867,70.049,70.72,71.277,71.774,73.053,73.637,74.404,75.118,76.295,77.359,77.991,78.932,79.759,80.878,82.226,83.03,83.553,84.52,85.847,85.973,87.677,87.773,88.226,88.02,88.705,88.578,88.972,89.838,90.116,90.557,90.592,90.807,91.853,93.397,94.456,94.914,95.618,96.337,96.975,98.143,98.594,99.198,99.589,100.877,101.191,101.283,102.268,102.406,103.056,103.579,103.528,102.491,102.525,101.759,100.633,100.096,99.754,99.728,100.422,100.723,101.891,102.73,103.388,102.743,103.324,103.811,104.953,105.839,106.361,107.283,107.291,107.721,108.479,109.621,110.361,109.522
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",8.308,8.532,8.798,8.961,9.143,9.229,9.036,8.394,8.961,9.366,9.184,9.614,9.76,10.045,10.543,10.929,12.512,13.582,15.014,15.319,16.888,16.785,16.366,15.051,13.767,13.362,13.918,14.896,15.137,15.397,15.33,15.414,16.289,16.544,16.814,16.447,18.114,17.82,19.018,21.678,22.814,24.764,27.666,28.756,29.941,27.854,25.605,26.089,27.846,28.636,30.126,29.843,29.967,32.32,30.184,28.565,27.449,28.726,30.298,31.396,32.53,34.599,35.496,33.865,30.924,31.197,29.819,30.586,31.18,29.985,29.043,28.398,29.459,31.567,32.483,34.168,36.936,36.828,38.213,40.23,41.843,43.383,42.859,43.086,43.218,43.044,42.623,46.144,42.319,37.899,36.213,35.037,34.333,34.615,32.616,32.092,32.905,33.231,33.739,33.83,35.11,37.18,40.058,42.915,45.894,47.809,47.255,48.421,48.997,48.563,49.689,52.314,54.111,56.562,57.046,55.861,57.654,58.256,55.888,55.672,58.108,60.879,64.399,67.556,69.725,73.748,72.025,75.782,67.778,63.116,57.836,54.31,55.659,57.941,60.686,58.35,60.515,62.514,64.322,69.361,74.668,76.886,80.102,84.424,92.39,94.335,98.451,104.235,109.586,118.163,121.452,125.51,129.402,139.091,145.158,145.023,141.761,139.419,134.545,115.53,98.055,96.033,99.483,106.429,107.102,109.203,110.18,114.231,116.651,120.426,122.489,120.684,120.908,120.082,119.315,121.462,118.688,119.16,119.354,123.955,122.289
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",4.615,5.152,5.78,5.997,6.063,5.936,5.792,5.499,5.133,5.261,5.71,5.926,5.844,6.31,6.361,6.858,7.686,8.477,8.759,9.029,9.299,9.994,10.575,10.48,10.292,9.711,9.692,9.219,9.777,9.659,9.422,9.241,8.86,9.404,9.857,10.772,11.266,12.929,13.515,15.235,16.392,17.353,18.23,19.866,21.169,19.867,17.934,21.498,22.875,24.706,25.739,23.631,24.625,25.897,25.617,24.015,22.665,23.388,25.143,25.975,28.566,31.185,32.509,31.955,30.942,30.652,30.75,30.715,32.728,33.497,31.38,32.702,33.304,34.806,36.164,37.759,39.654,40.303,43.026,44.9,47.153,49.457,48,46.344,47.022,46.233,47.133,44.893,43.267,40.776,39.644,35.816,35.092,35.713,33.985,33.046,31.983,34.293,33.45,37.913,37.735,41.689,45.891,49.885,51.249,53.031,56.021,54.456,53.436,55.074,57.399,59.393,63.926,65.165,67.779,67.992,67.984,69.508,69.777,68.825,69.687,71.964,77.28,78.906,82.726,87.222,86.16,84.99,78.01,69.781,68.487,48.631,59.827,67.32,67.51,60.516,66.463,65.83,68.237,68.69,71.532,80.323,82.21,93.746,96.665,101.819,105.084,119.079,125.67,137.999,145.184,148.279,153.215,161.266,157.427,147.934,146.897,143.493,134.002,125.278,102.338,100.325,95.432,101.906,98.277,100.754,103.229,105.592,102.602,107.549,106.216,103.973,109.207,106.206,107.498,108.681,108.938,107.793,105.224,107.428,111.299
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",33.181,33.26,33.462,33.325,33.264,33.329,33.571,33.202,34.133,34.328,34.543,34.642,35.258,36.034,36.379,37.031,37.931,38.256,38.143,38.542,38.023,37.922,37.48,37.302,36.849,37.127,37.809,38.387,39.22,39.522,39.696,40.063,40.501,41.168,41.764,41.906,42.041,43.553,43.979,44.706,44.742,44.815,45.07,44.995,44.873,43.836,43.743,44.494,45.396,45.08,45.72,45.29,44.575,44.934,44.728,44.781,45.443,46.521,47.453,48.515,49.442,50.288,50.826,51.229,51.715,52.207,52.902,53.256,53.684,54.012,54.5,54.656,55.027,55.618,56.074,57.034,57.396,58.113,58.537,59.255,59.854,60.253,60.803,60.971,61.527,61.915,61.754,61.193,61.018,61.529,61.851,62.19,62.859,63.525,64.035,64.717,64.936,65.256,65.744,66.471,67.199,68.037,68.358,69.129,69.443,69.647,70.184,70.84,71.392,72.584,73.133,73.94,74.571,75.802,76.788,77.354,78.365,79.158,80.152,81.51,82.383,82.947,83.878,85.275,85.365,87.077,87.132,87.786,87.467,88.219,87.904,88.815,89.351,89.472,90.022,90.193,90.298,91.444,92.97,94.226,94.817,95.312,96.101,96.53,97.939,98.296,98.964,99.13,100.417,100.686,100.678,101.726,101.867,102.664,103.581,103.848,102.713,102.759,102.109,100.451,99.93,99.57,99.863,100.637,101.088,102.252,103.042,103.792,103.363,103.936,104.554,105.682,106.39,106.973,107.807,107.87,108.164,108.974,110.201,111.062,110.026
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",36.318,36.366,36.57,36.341,36.202,36.221,36.478,35.993,37.068,37.251,37.505,37.569,38.281,39.2,39.542,40.286,41.283,41.59,41.311,41.737,40.948,40.798,40.234,40.026,39.473,39.772,40.55,41.153,42.163,42.471,42.626,43.012,43.43,44.208,44.887,45.047,45.065,46.972,47.377,48.126,48.06,47.987,48.09,47.914,47.661,46.33,46.173,47.165,48.187,47.744,48.429,47.726,46.771,47.062,46.831,46.848,47.617,48.859,49.938,51.158,52.275,53.23,53.796,54.241,54.832,55.289,56.111,56.387,56.858,57.246,57.696,57.859,58.164,58.728,59.187,60.245,60.515,61.332,61.79,62.54,63.18,63.579,64.119,64.138,64.742,65.099,64.868,63.8,63.643,64.333,64.699,64.948,65.711,66.47,67.056,67.802,67.895,68.278,68.722,69.705,70.427,71.408,71.713,72.556,72.713,72.81,73.499,74.047,74.52,75.937,76.502,77.281,77.99,79.251,80.361,80.935,81.87,82.673,83.835,85.281,86.073,86.473,87.353,88.61,88.782,90.489,90.319,90.657,90.239,90.928,90.648,90.994,91.89,92.092,92.486,92.404,92.548,93.691,95.42,96.552,96.945,97.65,98.356,98.955,100.182,100.557,101.108,101.399,102.766,102.957,102.89,103.891,103.88,104.5,104.978,104.777,103.412,103.326,102.284,100.822,100.123,99.697,99.671,100.51,100.837,102.184,103.132,103.861,103.041,103.669,104.178,105.458,106.426,106.952,107.963,107.879,108.289,109.087,110.347,111.124,110.015
"21","12","  Net domestic product","A362RA3",35.357,35.426,35.619,35.386,35.263,35.283,35.591,35.127,36.165,36.358,36.639,36.719,37.421,38.359,38.7,39.365,40.396,40.845,40.523,40.889,40.436,40.499,39.991,39.753,39.149,39.451,40.163,40.746,41.769,42.082,42.274,42.579,43.087,43.999,44.827,44.754,44.856,46.8,47.241,47.882,47.894,47.864,48.17,48.224,48.316,47.084,46.917,47.861,48.951,48.451,49.022,48.261,47.215,47.436,47.155,47.137,47.805,49.027,50.083,51.214,52.316,53.29,53.789,54.165,54.659,55.114,55.992,56.361,56.857,57.044,57.598,57.826,58.179,58.827,59.338,60.376,60.664,61.496,61.801,62.651,63.28,63.752,64.2,64.25,64.967,65.16,65.085,64.347,63.911,64.417,64.705,64.964,65.796,66.573,67.252,67.957,68.017,68.4,68.697,69.677,70.378,71.399,71.78,72.616,72.783,72.956,73.559,74.041,74.478,75.862,76.536,77.328,77.856,79.061,80.057,80.589,81.316,82.039,83.1,84.508,85.25,85.855,86.843,88.254,88.58,90.18,90.021,90.367,89.898,90.326,89.878,90.009,90.856,91.304,91.685,91.61,92.04,92.952,94.676,95.797,96.31,97.037,97.884,98.689,99.786,100.263,101.054,101.537,102.812,103.003,102.931,103.705,103.606,104.387,105.066,105.375,104.411,104.893,104.145,101.374,99.633,99.486,99.865,101.015,101.455,102.568,103.351,104.147,103.692,104.598,104.947,106.356,107.42,107.707,108.498,108.451,108.717,109.407,110.626,111.373,110.289
"22","13","  Command-basis net national product \4\","C027RA3",36.14,36.176,36.366,36.14,36.01,36.038,36.288,35.786,36.894,37.092,37.313,37.392,38.107,39.01,39.373,40.109,41.144,41.473,41.263,41.69,40.985,40.802,40.198,39.924,39.317,39.615,40.414,41.085,42.072,42.395,42.555,42.949,43.426,44.185,44.852,44.951,45.04,46.837,47.279,48.091,48.04,48.034,48.258,48.075,47.834,46.46,46.263,47.119,48.166,47.695,48.41,47.789,46.811,47.174,46.84,46.834,47.59,48.856,49.933,51.163,52.219,53.164,53.717,54.09,54.556,55.034,55.766,56.083,56.496,56.782,57.264,57.334,57.668,58.277,58.723,59.793,60.13,60.904,61.317,62.089,62.715,63.096,63.662,63.762,64.338,64.714,64.424,63.652,63.358,63.905,64.223,64.564,65.31,66.049,66.592,67.339,67.519,67.819,68.32,69.111,69.9,70.816,71.098,71.919,72.178,72.302,72.829,73.498,74.039,75.348,75.869,76.697,77.307,78.632,79.647,80.141,81.161,81.923,82.934,84.391,85.267,85.717,86.554,87.897,88.027,89.743,89.526,90.106,89.555,90.326,89.821,90.791,91.287,91.3,91.828,91.908,91.922,93.183,94.888,96.254,96.807,97.262,98.053,98.402,99.918,100.181,100.81,100.833,102.197,102.336,102.15,103.228,103.222,104.018,104.968,105.149,103.669,103.597,102.696,100.605,99.926,99.479,99.832,100.764,101.268,102.608,103.495,104.332,103.769,104.388,105.053,106.315,107.069,107.668,108.575,108.557,108.806,109.668,111.028,111.949,110.61
"23","14","  Net national product","A027RA3",35.255,35.313,35.493,35.262,35.146,35.175,35.476,34.995,36.066,36.273,36.522,36.615,37.323,38.246,38.608,39.264,40.333,40.802,40.548,40.913,40.546,40.579,40.03,39.73,39.066,39.368,40.1,40.748,41.746,42.074,42.268,42.581,43.15,44.041,44.855,44.725,44.898,46.731,47.208,47.915,47.94,47.98,48.408,48.456,48.561,47.283,47.077,47.884,48.998,48.469,49.068,48.388,47.319,47.614,47.229,47.189,47.844,49.089,50.145,51.286,52.328,53.295,53.782,54.089,54.463,54.933,55.724,56.132,56.572,56.656,57.235,57.367,57.741,58.431,58.927,59.977,60.334,61.122,61.384,62.254,62.866,63.318,63.791,63.92,64.606,64.817,64.677,64.227,63.651,64.013,64.252,64.604,65.419,66.178,66.815,67.524,67.67,67.97,68.328,69.116,69.888,70.844,71.2,72.013,72.279,72.475,72.916,73.519,74.023,75.3,75.93,76.771,77.202,78.473,79.374,79.828,80.641,81.323,82.234,83.651,84.476,85.127,86.072,87.568,87.85,89.462,89.258,89.846,89.242,89.754,89.084,89.835,90.288,90.546,91.059,91.146,91.442,92.475,94.176,95.53,96.201,96.679,97.608,98.163,99.548,99.912,100.777,100.989,102.264,102.403,102.213,103.066,102.972,103.927,105.077,105.765,104.682,105.17,104.559,101.162,99.441,99.269,100.024,101.266,101.748,102.864,103.589,104.491,104.286,105.173,105.681,107.068,107.915,108.279,108.967,108.987,109.091,109.841,111.159,112.049,110.733
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",6.4,1.3,2.5,-1.7,-0.7,0.7,3.6,-4.1,11.2,2.3,3.2,1.2,7.3,9.6,3.7,6.8,10.2,4.6,-2.2,3.8,-3.3,1,-3.8,-1.6,-4.7,3.1,6.8,5.5,9.3,3.1,2,3,4.7,8.1,7.3,0,1.4,16.5,4,5.5,0.8,0.5,2.9,1,1.3,-7.9,-0.6,7.6,8.5,-2.9,4.7,-4.6,-6.5,2.2,-1.4,0.4,5.3,9.4,8.1,8.5,8.2,7.2,4,3.2,4,3.7,6.4,3,3.8,1.9,4.1,2.1,2.8,4.6,3.7,6.8,2.3,5.4,2.3,5.4,4.1,3.2,3,0.9,4.4,1.6,0.1,-3.4,-1.9,3.1,1.9,1.8,4.8,4.5,4,4.1,0.7,2.4,2,5.4,4,5.6,2.4,4.6,1.4,1.4,3.5,2.9,2.6,7.2,3.8,4.3,3.1,6.2,5.2,3.1,4,3.9,5.3,6.7,3.8,3.4,5.2,7.1,1.2,7.8,0.5,2.1,-1.1,2.1,-1.2,1,3.8,2.2,1.9,0.2,2,3.8,6.9,4.6,2.4,3.1,3.6,3.4,4.5,2.2,3.3,2.2,4.9,1.3,0.3,3.2,0.3,3.1,2.7,1.5,-2.7,2,-2,-8.3,-5.4,-0.4,1.3,3.9,1.6,3.9,2.8,2.8,-1.3,3.2,1.4,4.9,3.7,1.2,2.8,0.1,1.1,2.5,4.1,2.6,-2.9
"26","16","    Command-basis gross domestic product","C191RL1",6.7,1.1,2.6,-1.6,-0.8,0.7,3,-4.1,11.3,2.2,2.8,1,7.3,9.2,3.7,7.4,9.7,3.3,-1.8,4.2,-5.9,-0.8,-4.2,-1.3,-4.3,3.1,7.3,5.6,9.1,3,1.7,3.7,3.9,6.9,6,1.9,0.7,16.1,3.7,6.3,0.2,0.2,1.4,-0.6,-1.2,-8.6,-0.6,8.1,8.1,-2.5,5.6,-4.3,-6,2.7,-1.1,0.6,6.1,9.6,8.2,9.2,8.3,7.1,4.4,3.7,4.7,3.7,6,2.4,3.6,3.1,3.4,1.7,2.6,4.1,3.4,6.9,2.2,5.3,3.2,4.8,4.2,2.8,3.5,0.7,3.8,2.4,-0.7,-5.1,-0.4,4.2,2.4,1.7,4.4,4.4,3.5,4.3,0.9,2.4,2.7,5.5,4.1,5.4,2,4.7,1.3,1,3.9,3.2,2.8,7.3,3.2,4.2,3.9,6.4,5.7,3.3,4.9,4.3,5.7,6.8,4,2.5,4.7,6.4,0.6,8.2,0.4,2.1,-0.9,3.1,-0.6,1.8,4,1.2,2,0.2,1,4.7,6.9,4.6,2,3,3,2.7,4.9,1.9,2.5,1.6,5.3,1.3,0.4,3.9,0.5,2.6,2,-0.2,-3.9,0.1,-3,-4.4,-2.1,-1.4,-0.1,2.8,1.2,4.7,3.3,2.6,-2.5,2.3,1.9,4.5,3.4,2,3.5,0,1.6,2.8,4.3,2.7,-3
"27","17","    Real gross national product","A001RL1",6.3,1.2,2.4,-1.7,-0.6,0.8,3.5,-4.2,11.6,2.4,2.8,1.3,7.4,9.5,3.9,6.7,10.6,4.8,-1.6,3.8,-2.6,0.8,-4.2,-2.1,-5.2,3.1,7,6.1,9.1,3.2,2.1,3.1,5.2,7.9,7.1,-0.4,2,15.5,4.2,6,0.9,1,3.8,1,1.4,-8.2,-0.9,6.6,8.7,-3.1,4.9,-4.1,-6.7,2.7,-2.2,0.2,5.2,9.6,8.1,8.6,7.8,7.2,3.9,2.8,3.2,3.8,5.8,3.3,3.4,1.2,4.3,1.5,3,4.9,3.6,6.9,2.7,5.2,2.1,5.6,4,3.1,3.2,1.3,4.3,1.7,-0.2,-1.9,-2.6,2.4,1.7,2.3,4.7,4.4,3.7,4.1,1.2,2,2.3,4.5,4.4,5.3,2.3,4.5,1.9,1.5,2.7,3.5,3,6.7,3.6,4.5,2.7,6.5,4.8,2.8,4.4,3.8,4.7,6.8,4.2,3.6,5,7.5,1,7.9,0.3,3.1,-1.7,2.5,-2.1,3.4,2.3,1.5,2.4,0.8,1.5,4.3,6.9,5.5,3,2.2,3.9,2.5,5.5,1.8,3.6,1.3,5,1.1,0,3.4,0.3,3.7,4.3,2.7,-3,2,-1.5,-10.2,-5.4,-0.5,2.6,4.2,1.7,3.9,2.6,3.2,-0.5,3.1,1.9,4.8,3,1.4,2.4,0.3,0.6,2.7,4.4,3.1,-3.6
"28","18","    Command-basis gross national product","CB22RL1",6.7,1,2.5,-1.6,-0.7,0.8,2.9,-4.3,11.7,2.3,2.5,1.2,7.3,9.1,3.9,7.4,10.1,3.5,-1.2,4.3,-5.3,-1.1,-4.6,-1.9,-4.8,3.1,7.6,6.3,9,3.1,1.8,3.7,4.4,6.8,5.9,1.4,1.3,15.2,4,6.8,0.3,0.7,2.3,-0.7,-1.1,-8.9,-0.8,7,8.4,-2.8,5.8,-3.7,-6.2,3.3,-1.8,0.5,6,9.8,8.3,9.3,7.9,7,4.3,3.2,3.8,3.9,5.4,2.7,3.3,2.5,3.7,1.1,2.7,4.4,3.3,7,2.6,5.1,3,5,4.1,2.7,3.7,1.1,3.7,2.5,-1,-3.6,-1.1,3.4,2.1,2.2,4.4,4.3,3.3,4.3,1.4,2,3,4.5,4.5,5.1,1.9,4.6,1.8,1.2,3.1,3.8,3.2,6.8,3.1,4.5,3.5,6.8,5.3,3,5.3,4.1,5.1,7,4.4,2.8,4.6,6.8,0.4,8.3,0.3,3,-1.4,3.5,-1.4,4.2,2.4,0.5,2.5,0.8,0.5,5.2,6.8,5.5,2.5,2.1,3.4,1.8,6,1.5,2.7,0.7,5.3,1.1,0,4.2,0.6,3.2,3.6,1,-4.3,0.2,-2.5,-6.3,-2.1,-1.4,1.2,3.1,1.8,4.7,3.1,2.9,-1.6,2.2,2.4,4.4,2.7,2.2,3.2,0.2,1.1,3,4.6,3.2,-3.7
