"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"372","363","  control group","DCGPRA3",16.223,16.28,16.092,16.046,16.505,16.637,16.407,16.458,16.579,16.574,16.515,16.615,16.616,16.449,16.622,17.044,16.498,16.673,16.695,16.538,16.466,16.722,16.661,16.43,16.521,16.644,16.877,16.765,16.929,17.012,16.916,17.025,17.126,17.173,17.309,17.414,17.401,17.303,17.524,17.534,17.676,17.431,17.573,17.677,18.035,17.765,17.921,17.989,18.025,17.904,18.08,18.062,18.036,18.242,18.309,18.458,18.286,18.252,18.345,18.559,18.512,18.866,19.064,19.045,19.482,19.496,19.605,19.821,19.585,19.759,19.484,20.075,19.959,20.14,19.843,20.168,20.319,20.078,20.496,20.532,20.861,21.594,21.53,21.66,21.822,21.879,21.91,22.02,21.817,22.168,22.419,22.236,22.327,22.213,22.278,22.288,22.393,22.521,22.576,22.718,22.617,22.721,22.421,22.658,23.011,22.556,22.906,23.206,23.135,23.271,23.71,23.529,23.666,24.019,24.288,24.363,24.02,24.066,24.5,24.108,24.41,24.666,24.585,24.602,24.807,24.511,24.573,24.724,24.502,24.77,24.654,24.863,25.171,24.975,24.951,24.913,25.091,25.069,25.095,25.173,25.305,25.401,25.37,25.724,25.619,25.653,25.428,25.717,25.679,25.936,25.691,25.816,25.943,25.902,26.17,26.313,26.072,26.254,26.826,26.938,27.262,27.289,27.561,27.705,27.857,28.433,28.301,28.329,28.735,28.949,28.737,28.619,28.574,28.78,29.194,28.428,28.913,28.784,28.858,28.695,28.884,28.665,28.625,28.65,28.642,28.44,28.632,28.679,28.276,27.996,27.656,27.011,27.584,27.76,27.95,27.805,28.872,28.828,28.785,29.006,29.072,28.689,29.013,29.212,29.627,29.486,29.633,29.954,29.655,30.207,30.144,30.335,30.265,30.6,30.475,30.937
"373","364","  PCE food and energy","DPFERA3",45.077,44.846,44.411,44.289,45.196,45.397,45.2,45.236,45.257,45.453,45.4,45.595,45.243,45.083,46.307,46.355,45.746,45.844,45.952,45.456,45.466,45.504,46.057,45.427,45.755,45.72,45.934,46.593,46.506,46.724,46.014,46.331,46.59,46.384,46.56,46.864,46.717,46.918,47.191,46.763,47.029,46.995,47.16,47.306,47.315,47.328,47.401,47.568,47.925,47.699,47.781,47.578,47.867,47.658,47.928,48.383,47.991,47.933,48.13,48.512,48.51,48.654,49.081,49.193,49.648,49.881,50.247,50.719,50.4,50.708,49.941,51.215,50.569,51.369,50.982,51.597,51.729,51.652,52.306,52.51,52.398,54.477,53.834,54.306,54.086,54.041,54.141,54.573,54.52,54.639,55.293,54.559,54.772,54.434,54.854,55.132,55.298,55.717,55.632,55.933,56.228,56.185,55.629,55.693,56.116,56.064,56.539,57.542,57.068,57.171,58.284,57.777,57.937,58.779,59.105,59.377,59.069,58.927,59.843,59.413,60.001,60.526,60.479,60.033,60.686,59.792,60.14,60.764,60.247,61.355,61.21,61.019,62.276,61.615,62.176,61.566,62.001,62.356,62.209,62.522,63.126,62.421,62.909,63.866,63.726,63.779,63.363,63.852,63.562,63.785,63.295,62.92,63.347,63.463,63.592,63.566,62.395,63.235,64.556,64.97,65.415,65.364,65.555,65.786,65.87,66.973,67.088,67.239,66.728,66.578,65.574,65.271,65.443,65.207,67.048,64.355,65.356,64.932,64.945,63.934,63.222,62.614,62.006,62.625,62.89,63.58,64.445,64.519,64.191,64.806,63.99,63.626,63.23,63.613,64.618,65.3,65.846,65.599,65.816,65.957,65.635,65.026,64.512,65.161,66.803,65.984,66.769,67.494,67.558,68.255,68.026,68.608,68.87,69.439,69.846,70.343
"374","365","  PCE energy goods and services \1\","DNRGRA3",41.035,40.723,40.676,40.149,40.739,41.212,41.255,40.853,40.641,41.208,41.692,40.184,40.757,41.046,43.079,42.871,42.015,42.351,41.763,41.683,42.248,42.085,42.127,42.51,41.992,41.519,41.862,43.351,43.093,43.292,42.791,42.213,42.422,42.445,43.137,43.099,43.657,43.789,44.873,44.183,44.087,44.343,44.544,44.428,44.167,45.1,45.465,45.897,46.832,46.93,46.381,45.717,46.009,45.538,45.623,46.454,47.05,45.727,45.789,47.711,47.263,47.641,47.851,48.198,47.92,48.88,49.033,49.922,49.756,50.753,49.025,49.275,48.702,49.821,50.096,50.614,50.819,51.391,52,51.478,51.794,52.367,52.332,52.017,52.488,52.216,52.657,53.49,53.787,54.24,54.114,54.61,54.729,54.841,54.441,55.418,54.367,55.546,54.502,54.69,56.883,56.428,56.486,55.135,55.492,56.127,57.265,57.651,57.792,58.172,58.322,58.039,57.478,58.02,58.408,58.894,59.196,58.782,58.865,59.554,59.805,60.477,61.188,60.417,60.589,60.643,61.025,61.551,61.686,62.288,62.797,62.714,63.943,62.813,63.666,62.668,63.132,63.623,63.897,64.069,64.705,64.205,63.609,64.178,64.87,65.311,65.402,66.32,65.732,66.265,65.612,65.001,66.302,66.03,66.407,65.603,66.093,66.828,68.023,68.185,68.199,68.024,68.713,69.504,68.982,71.154,72.373,73.426,72.048,72.457,71.791,71.748,73.113,71.622,72.078,72.805,74.627,73.501,73.776,68.575,66.259,65.451,65.264,67.313,68.336,69.407,70.166,68.987,70.032,72.724,69.566,72.481,69.676,70.099,71.089,73.782,71.427,71.208,71.617,72.445,71.315,70.886,69.073,71.834,74.067,70.994,71.769,72.832,73.069,73.414,73.804,74.679,75.816,76.511,78.844,78.633
"375","366","  PCE excluding food","DPXFRA3",15.855,16.081,16.327,16.257,16.418,16.489,16.448,16.554,16.751,16.608,16.622,16.52,16.637,16.754,16.973,17.282,16.894,16.889,16.896,16.932,17.051,17.142,17.005,16.837,16.832,16.896,17.143,17.129,17.259,17.292,17.294,17.312,17.407,17.566,17.778,17.892,17.935,17.907,18.095,18.197,18.331,18.232,18.293,18.334,18.574,18.496,18.797,18.918,18.898,18.843,18.931,19.015,19.008,19.239,19.33,19.389,19.412,19.359,19.512,19.816,19.879,20.045,20.086,20.127,20.398,20.544,20.687,20.812,20.738,20.899,20.701,20.801,21.035,21.383,21.518,21.648,21.615,21.429,21.696,21.845,22.309,22.455,22.519,22.508,22.723,22.902,23.12,23.111,22.869,22.943,23.099,23.247,23.482,23.402,23.396,23.443,23.52,23.408,23.529,23.766,23.805,23.961,23.926,23.958,24.159,23.917,24.094,24.373,24.615,24.644,25.011,24.951,25.118,25.296,25.551,25.62,25.623,25.676,25.742,25.741,25.931,26.09,25.983,26.133,26.271,26.256,26.187,26.418,26.521,26.576,26.573,26.564,26.646,26.824,26.626,26.69,26.873,26.957,26.975,27.08,27.19,27.058,26.772,26.978,27.457,27.527,27.593,27.762,27.753,28.009,27.902,28.113,28.438,28.498,28.666,28.861,29.013,29.024,29.466,29.526,29.651,29.765,30.023,30.212,30.247,30.778,30.946,31.102,31.474,31.731,31.878,31.768,31.871,31.757,31.845,31.733,32.216,31.974,32.051,31.68,31.667,31.501,31.631,31.751,31.863,31.723,31.759,31.98,31.685,31.605,31.196,31.285,31.528,31.819,31.648,31.711,32.297,32.378,32.521,32.633,32.727,32.784,33.069,33.464,33.726,33.677,33.801,34.032,33.748,34.124,34.285,34.318,34.482,34.502,34.777,35.24
"376","367","  PCE excluding energy","DPXERA3",17.204,17.411,17.595,17.551,17.765,17.823,17.759,17.89,18.092,17.941,17.915,17.944,17.975,18.048,18.253,18.564,18.188,18.171,18.23,18.214,18.288,18.389,18.32,18.064,18.132,18.221,18.454,18.414,18.543,18.585,18.542,18.633,18.738,18.863,19.036,19.179,19.166,19.153,19.288,19.383,19.545,19.431,19.493,19.556,19.801,19.666,19.933,20.038,19.995,19.912,20.041,20.142,20.148,20.373,20.483,20.534,20.473,20.504,20.666,20.867,20.956,21.103,21.175,21.203,21.526,21.626,21.792,21.903,21.809,21.93,21.771,21.99,22.175,22.518,22.584,22.74,22.71,22.49,22.773,22.97,23.372,23.703,23.694,23.757,23.903,24.083,24.269,24.255,24.004,24.057,24.284,24.308,24.544,24.424,24.492,24.503,24.661,24.527,24.698,24.942,24.869,25.04,24.943,25.067,25.279,25.006,25.151,25.498,25.665,25.679,26.136,26.042,26.252,26.476,26.727,26.79,26.741,26.801,26.957,26.866,27.092,27.256,27.107,27.247,27.436,27.322,27.272,27.523,27.556,27.689,27.64,27.616,27.754,27.918,27.741,27.796,27.986,28.073,28.058,28.178,28.308,28.139,27.96,28.22,28.612,28.656,28.668,28.824,28.82,29.052,28.939,29.134,29.405,29.49,29.639,29.867,29.856,29.912,30.395,30.486,30.649,30.76,30.981,31.135,31.207,31.691,31.787,31.886,32.26,32.458,32.523,32.389,32.421,32.381,32.644,32.191,32.64,32.434,32.49,32.367,32.433,32.266,32.329,32.369,32.431,32.307,32.392,32.696,32.303,32.108,31.855,31.682,32.062,32.348,32.24,32.186,32.97,33.032,33.162,33.223,33.356,33.366,33.707,33.948,34.228,34.314,34.469,34.694,34.418,34.829,34.924,34.959,35.06,35.094,35.225,35.737
"377","368","  PCE excluding food and energy \2\","DPCCRA3",14.725,14.968,15.222,15.169,15.312,15.368,15.324,15.448,15.657,15.489,15.486,15.438,15.536,15.645,15.794,16.119,15.753,15.735,15.764,15.804,15.905,16.004,15.862,15.676,15.69,15.774,16.013,15.944,16.086,16.113,16.134,16.173,16.263,16.425,16.617,16.734,16.758,16.724,16.878,17.007,17.148,17.037,17.092,17.138,17.394,17.279,17.574,17.683,17.628,17.568,17.678,17.788,17.77,18.023,18.113,18.143,18.146,18.139,18.293,18.534,18.615,18.771,18.806,18.835,19.121,19.236,19.377,19.473,19.404,19.533,19.392,19.485,19.744,20.06,20.188,20.301,20.261,20.051,20.302,20.473,20.934,21.064,21.13,21.13,21.333,21.525,21.731,21.693,21.435,21.495,21.658,21.792,22.028,21.942,21.951,21.963,22.079,21.924,22.083,22.319,22.281,22.456,22.419,22.498,22.691,22.422,22.564,22.834,23.076,23.092,23.461,23.41,23.599,23.761,24.008,24.061,24.054,24.122,24.186,24.162,24.346,24.486,24.353,24.531,24.666,24.649,24.566,24.782,24.883,24.919,24.899,24.892,24.935,25.153,24.924,25.021,25.193,25.262,25.271,25.371,25.462,25.345,25.075,25.265,25.728,25.784,25.848,25.99,26,26.242,26.155,26.389,26.675,26.745,26.903,27.127,27.266,27.253,27.662,27.718,27.844,27.965,28.204,28.37,28.422,28.889,29.02,29.144,29.565,29.812,29.983,29.873,29.932,29.867,29.942,29.804,30.234,30.026,30.096,29.904,29.981,29.844,29.989,30.031,30.106,29.917,29.923,30.201,29.854,29.663,29.367,29.342,29.705,29.987,29.771,29.727,30.426,30.518,30.649,30.731,30.875,30.952,31.323,31.616,31.794,31.872,31.968,32.162,31.859,32.233,32.383,32.381,32.503,32.495,32.682,33.169
"378",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","369","    Market-based PCE","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",NA,"Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","370","  Market-based PCE motor vehicles and parts","DMOMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","371","  Market-based PCE durable goods other than motor vehicles and parts","DDUMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",NA,"Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","372","  Market-based PCE food and beverages purchased for off-premises consumption","DMFXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","373","  Market-based PCE clothing and footwear","DCLMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","374","  Market-based PCE gasoline and other energy goods","DGOERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","375","  Market-based PCE other nondurable goods","DNDXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",NA,"Services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
