"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2008 9:37:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","65","    Auto repair, services, and parking","B3465C0",11,8,12,13,15,11,9,12,8,-5,6,26,17,17,40,22,37,52,47,48,92,87,34,39,63,126,94,134,248,302,236,177,91,149,96,29,-120,-511,-344,-584
"73","66","    Miscellaneous repair services","B3466C0",7,5,0,-1,-2,-6,-17,-11,-5,-11,-15,-8,7,11,15,11,29,32,36,30,31,45,40,33,48,59,103,102,110,159,183,155,199,216,133,176,127,152,260,376
"74","67","    Motion pictures","B3467C0",24,18,31,2,8,15,54,53,20,7,-21,8,18,-3,-3,19,77,128,127,119,125,-21,91,47,73,114,164,206,309,323,571,581,442,447,440,245,-185,-39,-378,-1084
"75","68","    Amusement and recreation services","B3468C0",20,7,-17,-14,-3,-7,-23,-21,-22,-15,-8,10,-2,-19,-17,-20,3,-15,30,14,7,23,41,81,-19,10,85,123,192,228,257,275,250,202,95,-197,-814,-460,-662,-1018
"76","69","    Other services","A3469C0",39,42,41,49,45,44,44,57,73,74,73,86,88,78,120,143,160,169,206,298,233,234,290,381,559,818,870,992,1150,1694,1880,2308,3221,3874,3573,4732,5206,5901,5869,7032
"77","70","      Health services","B3470C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,49,47,48,100,102,119,218,267,403,518,660,828,848,1151,1298,1596,2176,2573,2672,3494,3576,3830,3804,4140
"78","71","      Legal services","B3471C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,2,2,2,5,18,38,34,57,62,85,101,137,156,214,233,358,543,733,818,860,1207,1380
"79","72","      Educational services","B3472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,10,19,11,7,-12,-42,-26,-15,17,14,65,56,93,125,51,185,91,85,128,170,157,48,255
"80","73","      Other \1\","B3473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93,109,137,185,122,122,96,102,137,226,134,14,145,313,301,447,627,852,273,377,642,1054,810,1257
"81","74","Rest of the world","A3474C0",425,293,285,582,789,663,540,775,1008,1206,789,856,1181,921,1101,1407,1266,1375,1686,1595,2268,2759,3164,3165,4640,8098,7704,8075,7589,8034,11685,18570,18723,14234,16198,22914,24274,26262,21591,31307
"82","75","  Receipts from the rest of the world \2\","B3475C0",581,436,475,751,923,826,702,962,1175,1363,945,1089,1357,1161,1316,1645,1595,1736,2031,2042,2763,3198,3610,3716,5220,9019,8780,9284,9262,9641,14280,22652,22353,17346,12816,21577,26453,25810,20845,31011
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",156,143,190,169,134,163,162,187,167,157,156,233,176,240,215,238,329,361,345,447,495,439,446,551,580,921,1076,1209,1673,1607,2595,4082,3630,3112,-3382,-1337,2179,-452,-746,-296
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
