"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2008    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2008 9:00:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","3","  Motor vehicles and parts","A165RX1",271.8,258.3,254.6,239.7,224.2,222.6,232,227.6,240.2,242.5,245.8,251.3,248,259.9,259.5,269.5,278,274.1,272.1,280.7,267.7,268.2,274.7,278.4,281.4,285.8,285.9,288.3,300.8,290.8,309.4,317.7,310.3,333.9,340,371.7,355.1,380.2,382.5,371.9,403.3,376.1,383.2,383.5,392.6,388.6,392.7,449.4,422.1,422.5,445.6,425.9,424.8,442.3,454.8,446.4,448.9,445.7,450.9,457.8,449.6,464.4,470.7,420.4,435.7,434.3,439.5,439.6,451.5,448.2,442.3,445.4
"12","4","  Furniture and household equipment","A166RX1",122.2,120.2,119,118.1,118.8,121.9,122.6,121.1,124.6,125.6,128.9,132,136.2,139.8,142.8,145.6,148.7,154.2,158.8,165.3,166.2,169.5,176.1,181.5,183.2,192.7,195.6,202,206.4,212.7,220.2,225.8,233.5,238.6,249,257.6,266.1,275.1,285.7,296.1,306.7,311.3,315.9,317.8,323.8,328.1,332.2,343,356.9,363.5,365.2,371.6,373.3,388.7,410,419.1,429.1,438.8,451.7,460.8,472.6,483.4,499,513.8,536.8,544.4,555.4,566.9,579.9,585.9,601,607.7
"13","5","  Other","A167RX1",94.6,92.2,92,92.1,90.6,90,88,86.4,88.3,88.7,91.5,92.4,94.4,95.8,98.3,99.4,100.4,103.1,104.9,108.5,108.3,110.1,112.9,113.5,115,119.2,120.7,123.6,124.8,125.1,128.3,130.9,132.7,136.2,138.9,142.5,146.6,149,152.9,158.4,162.9,163.9,164.7,164.1,163.3,162.6,161.2,165.6,170.3,172.1,172.7,174.4,174.9,180.6,187.5,189.9,193,192.9,195.9,198.7,202.9,207.3,204.6,207.4,214.5,212.4,213.6,215.2,216.6,220.2,227.2,224.9
"14","6","Nondurable goods","B004RX1",1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1975.2,1974.7,1986.5,2010.3,2026.8,2033.4,2035,2053.1,2072.5,2084.2,2123,2132.5,2156.7,2164.9,2181.4,2207.5,2226.8,2247.2,2260.9,2286.8,2312.3,2325.6,2343.9,2368.8,2386.6,2383.8,2396.8,2404.2
"15","7","  Food","A168RX1",777.6,787.4,789.9,782.6,779.7,786.5,786.4,780.7,789.5,780.6,783.1,798.5,795.2,799.6,806.2,807.6,810.8,821.9,825.2,829.5,826.6,826.5,827.3,828,830.7,835.3,834.2,838.7,844.7,841.9,848.8,845.7,852.9,862.7,869.6,877.1,878.4,889,894.5,912.4,916.1,925.6,927.8,931.2,937.1,938.3,940.6,945,950.2,954.5,954.4,959.5,969.4,970.3,985.3,985.8,1000.8,1003.4,1008.9,1024.7,1032.9,1043.1,1056.3,1067.6,1080.7,1084.4,1091.4,1110.7,1115.3,1111.4,1115,1126.4
"16","8","  Clothing and shoes","A169RX1",191,188.1,187.7,185.8,187.8,190.8,190,186.3,194.2,197.3,201.4,204,203.1,206.9,208.6,211,215.5,215,218.6,224.9,224.1,225.7,229.8,230,232.1,237.8,241.6,243.2,242.9,240.8,248.5,251.7,258.3,263.2,262.1,268.8,278.9,282.3,284.7,284.9,291.3,296.4,301.1,302.1,300.5,301.8,302.9,309.8,315.9,317,315.7,324.4,323.9,332.2,340.8,340.1,349.5,345.6,350.2,357.5,363.4,372.3,372.3,382.3,386.2,388,393.3,397,405.1,407.5,413.7,409.9
"17","9","  Gasoline, fuel oil, and other energy goods","A173RX1",159.6,158.7,160.5,155,154.4,156.7,158.6,157.2,159.5,163.2,163.8,164.7,164.1,166.1,169.1,168.2,170.5,169.5,170.2,168.5,172.7,174.2,172.3,172.6,175.3,176.7,176.6,176.2,177.2,179.8,180.5,181.2,184.9,185.5,185.2,189.6,193.2,193.5,188.9,195.1,191.6,190.2,189.1,195.2,196.4,188.4,191.1,197.7,195.9,197.6,198.7,197.5,197.2,196.8,199.3,201,200.9,201.8,201.1,200.9,202,199.5,197.2,198.3,198.6,199,199.9,197,198.2,195.9,195.6,194.9
"18","10","    Gasoline and oil","C170RX1",144,141.2,142,140.1,138.6,140.6,141.2,140.8,143.4,145,147.5,147.9,147.3,149.5,151.4,150.5,151.3,152.4,152,151,155.2,155.3,153.8,153.5,155.8,158.6,158.4,158.8,161,162.7,163.3,164.1,169.3,168.9,169.1,173.8,177,176.5,172.3,179.2,176.7,174.4,173,178.5,180.4,173.5,176.1,183.1,181.3,182,183.2,181.2,181.6,181.9,183.9,185.2,186,187.2,186.5,187,187.8,186.1,184.3,186.1,187.2,187.1,188.3,184.8,184.1,182.8,183.2,182.1
"19","11","    Fuel oil and coal","A171RX1",15.8,17.6,18.6,15,15.8,16.3,17.7,16.6,16.2,18.5,16.4,16.9,17,16.7,17.8,17.9,19.5,17.2,18.4,17.6,17.7,19.1,18.7,19.4,19.7,18.2,18.3,17.5,16.2,17.1,17.3,17.2,15.6,16.7,16.1,15.8,16.1,17.1,16.6,15.8,14.8,15.7,16.1,16.7,16,14.9,15,14.7,14.7,15.6,15.5,16.3,15.6,14.9,15.4,15.8,14.9,14.7,14.6,14,14.2,13.5,13,12.3,11.6,12.1,11.8,12.4,14.1,13.1,12.4,12.7
"20","12","  Other","A172RX1",362.1,360.2,361.3,360.3,359.7,358.7,358.9,359.8,364.2,363.7,365.5,370.8,373.5,376.8,381,384.7,389.4,395.1,400.5,405.8,407.9,413.3,415.4,420,422,429.4,435.9,444.4,448.1,451.6,460.5,466.4,471.4,477.2,484.3,491.8,500.4,504.3,505.7,524,518.4,531.9,537.1,544.1,540.8,546,551.7,558.4,565,564.6,566.5,572.2,582.1,585.7,598.6,606.5,607.1,615,623,626.9,631.7,637.4,641.1,646.2,655.3,663.4,669.5,676.5,681.7,684.7,690.2,689.9
