"","Table 6#3A# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"75","      Amusement and recreation services","68","B4167C0A",322,298,255,190,160,175,179,202,231,207,221,238,261,271,282,326,372,509,551,594
"76","      Health services","69","B4168C0A",397,405,385,345,316,323,348,387,430,464,474,509,554,636,738,839,926,1125,1397,1518
"77","      Legal services","70","B4169C0A",124,131,132,126,118,116,121,126,133,135,139,142,148,147,148,157,167,181,205,224
"78","      Educational services, n.e.c.","71","B4170C0A",294,303,307,298,277,275,279,288,304,318,327,336,349,379,423,456,484,564,712,878
"79","      Membership organizations","72","A4171C0A",601,608,585,527,483,488,485,501,497,506,507,549,589,664,764,860,925,1135,1244,1428
"80","      Miscellaneous professional services","73","B4174C0A",81,75,55,36,34,37,40,51,55,63,73,78,119,207,193,191,215,269,325,484
"81","      Private households","74","B411RC0A",1716,1483,1146,835,732,850,911,1016,1187,1023,1129,1218,1237,1477,1598,1887,2142,2120,2348,2361
"82","  Government","75","A553RC0A",4961,5179,5284,4992,5163,6097,6527,7895,7524,8258,8241,8464,10190,15976,26617,32968,34902,20700,17513,19007
"83","    Federal","76","A4177C0A",1417,1457,1462,1380,1610,2195,2329,4167,3599,4102,4021,4110,5709,11411,21839,27920,29417,14371,9988,10230
"84","      General government","77","A4178C0A",848,885,892,848,1137,1667,1731,3526,2953,3439,3339,3402,4943,10536,20744,26779,28223,12938,8579,8618
"85","        Civilian, except work relief","78","B4179C0A",516,548,561,529,492,613,790,988,929,929,1032,1216,1860,3788,6561,6746,6404,5105,4408,4487
"86","        Military \1\","79","B4180C0A",332,337,331,319,289,290,330,364,386,400,432,607,1870,6168,14133,20033,21819,7833,4171,4131
"87","        Work relief","80","B4196C0A",NA,NA,NA,NA,356,764,611,2174,1638,2110,1875,1579,1213,580,50,NA,NA,NA,NA,NA
"88","      Government enterprises","81","B4181C0A",569,572,570,532,473,528,598,641,646,663,682,708,766,875,1095,1141,1194,1433,1409,1612
"89","    State and local","82","A4182C0A",3544,3722,3822,3612,3553,3902,4198,3728,3925,4156,4220,4354,4481,4565,4778,5048,5485,6329,7525,8777
"90","      General government","83","A4183C0A",3368,3537,3638,3453,3409,3751,4036,3551,3733,3959,4018,4119,4207,4273,4446,4712,5129,5928,7031,8144
"91","        Public education","84","B4184C0A",1563,1615,1639,1552,1409,1370,1438,1507,1593,1681,1717,1772,1826,1883,1973,2104,2303,2584,3084,3599
"92","        Nonschool, except work relief","85","B4185C0A",1805,1918,1953,1809,1659,1701,1807,1970,2092,2270,2291,2337,2375,2388,2473,2608,2826,3344,3947,4545
"93","        Work relief","86","B4197C0A",NA,4,46,92,341,680,791,74,48,8,10,10,6,2,NA,NA,NA,NA,NA,NA
"94","      Government enterprises","87","B4186C0A",176,185,184,159,144,151,162,177,192,197,202,235,274,292,332,336,356,401,494,633
"95","Rest of the world","88","A4187C0A",1,1,1,1,1,1,1,1,1,1,2,3,6,10,-16,-51,-64,-40,69,86
"96"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97"," 1. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 2. Included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99"," 3. Included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100"," 4. Included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 5. Included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
