"","Table 1#1# Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"11","  Durable goods","3","B003RC",12.6,14.7,17.1,18.7,19.4,20,20.3,22,22,22.5,23.7,23.4,22.8,24.8,25.8,26.8,27.7,28.1,35.6,31.5,33.8,28.9,28.3,28.4,28.9,29.1,27.6,31.7,33.3,33.1,32.7,31.8,31.1,31.8,31.4,33.2,36.5,38.8,40.5,39.4,37.7,37.8,37.6,39.4,40.6,40.1,39.8,39.4,37.4,36.6,37.3,38.5,41.5,43.2,44.1,41.8,43.2,44.1,43.6,42.4,39.9,40.9,42.1,44.2,45.2,46.4,46.9,48.9,50,51.3,52,53.1,55.2,56.6,58.4,56.4,61.9,61.7,63.6,65.9,68.9,66.3,68.8,69.1,67.6,71,71.1,72,77.1,79.1,83.3,83.6,85.5,85.9,86.1,86.2,84.9,86,86.9,82.1,92.7,95.5,97.8,101.5,104.9,108.1,111.4,117,125.2,124.1,123.8,121.1,118.9,123,128.8,118.6,123.2,128.3,138,144.4,154.1,156.3,159.6,165.3,173.7,178.8,183.2,189.2,187,204.7,205,210.2,211.5,210.3,218.9,216.9,220,199.8,213.1,223.8,233.5,228.3,239.2,224.3,234,236.6,239.1,251.2,255.7,276,288.3,304.9,316.7,326.1,326.7,338,351.8,356.6,379.1,365.6,372.7,387.3,424.7,420.5,397.3,417.2,437.8,426.5,446.5,448.5,445.3,460.5,460.5,467.5,478.7,464.3,486.4,469.2,463.7,451,439.4,441.4,448.9,442.5,459,463.3,474.2,486.6,487.6,507.5,520.8,537.9,546.2,553.6,563.2,580,578.2,584.4,596.2,600,606.4,621.3,616.7,621.5,635.1,624.4,652.4,658.3,666.8,689.3,691.7,725.1,728.7,749.9,765.1,779.9,808.4,799.3,810.6,797.2,816.8,820.3,824,882.6,859,856.9,898.3
"12","  Nondurable goods","4","B004RC",78.9,80.6,85.1,86.3,87.7,90.1,92.1,93.6,95.1,97,97,97.3,96.3,95.3,93.5,94.3,94.8,96.3,100.9,100.9,107.8,107.4,109.4,112,111.4,113.7,115.9,117.9,118.1,118.1,117.6,117.5,118.7,118.8,119.9,121.3,122.3,124,125,127.5,129.1,130,131.3,132.7,134.5,135.8,139.2,138.9,139.5,140.8,142.8,143.9,146.1,147.7,149.3,150.9,150.8,153.6,153,153.9,155.2,156,156.5,158.6,160.6,161.9,163.4,165.3,166.3,167,169.4,169.9,174.1,177.3,181,182.3,185,188.7,192.6,200,204.3,208,211,211.7,213.9,215.6,218,220.9,228.1,233.3,239.4,242,246.4,251.1,255.2,259.9,266.2,269.8,273.7,278.4,280.3,284.1,286.7,291,295.9,304.3,311.5,320.5,330.4,337,347.6,357.4,369.1,380.4,391.7,396.8,404.5,415.6,427.8,435.1,445.4,452.7,462.6,472.6,483.9,492.2,498.7,513.8,524.4,542.9,558.5,575.2,593.9,610.5,635.8,657.6,679.7,686.6,699.5,718.5,745.8,756.2,763.2,770.2,776.2,778.6,793,802.7,806.2,824,842.4,852.1,866.4,883.8,889.7,898.7,910.5,924.2,932.8,947.5,957.3,950.6,956.9,969.1,994.4,1011.9,1022,1033.1,1049.4,1070.3,1095.2,1116.5,1134.3,1161.3,1174,1191.9,1221.7,1233.2,1258.5,1270.9,1267.8,1281,1284.9,1281.5,1305.2,1309.2,1326,1351.4,1355.7,1370.4,1379.6,1395,1409.7,1425.1,1449.9,1467.2,1475.8,1492.2,1502.6,1518.5,1539.6,1569.4,1578.8,1608.4,1626.8,1627.3,1653.1,1659,1675.8,1697.2,1716.7,1744.4,1773.1,1814.4,1841.3,1891.7,1926.9,1964.9,1988.9,2011.1,2031.5,2044.8,2044.3,2044.4,2085.1,2108.2,2116.4
"13","  Services","5","B005RC",43.5,44.8,46.6,48.1,49.4,50.4,51.6,52.5,53.8,55.2,56.9,57.8,58.2,58.8,59,59.7,61,63,64.6,66.1,68,69,70.1,71.3,72.9,74.5,76.5,78.5,80.4,82.4,84.2,84.7,86.2,88.1,89.9,91.4,93.3,94.3,95.8,98.4,100.1,101.8,103.8,106,107.5,108.9,110.5,112.9,113.9,116.4,118.9,120.3,122.9,125.6,128.4,131.2,133.4,135.6,136.6,138.9,140.6,143.7,144.9,148,150.2,153.3,155.2,157.6,159.1,161.3,165,168.1,171.4,174.7,178.1,181.5,184,187.5,191,195.4,198.6,202.8,206.3,211.2,214.9,218.8,223.6,227.4,232.9,239.6,245.3,251.3,257,263.2,269.2,276.3,282.7,287.9,295.2,302,308.7,316.1,323.5,331.8,340.9,347.5,355.3,365.6,372.3,381.9,390.5,398.7,407.3,420.2,430.9,443.7,456.7,469.8,481.5,496.5,511.5,522.1,538.6,558.2,574.1,589.3,610,626.9,648.5,671.4,688.6,705.2,726.2,746,765.5,792,816.3,832.9,864.5,897,913.8,942.2,968.1,991.8,1012.8,1033.6,1061.6,1097.8,1126.4,1160,1188.8,1220.9,1244.1,1271.4,1300.7,1331.4,1370.6,1401.3,1437.9,1472.5,1495.1,1519.1,1547,1580.4,1619.7,1652.5,1685.7,1723.3,1763.8,1800.7,1846.5,1883,1917,1944.1,1974.2,2018.8,2046.7,2103.8,2149.3,2171.6,2197.4,2236.2,2264.4,2299.5,2358.9,2399.1,2425.4,2480.3,2507.3,2543.4,2587.8,2625.8,2657.9,2698.8,2739.8,2774,2814.7,2867.1,2906.3,2939.9,2984.4,3027.4,3068.2,3107.9,3168,3219.1,3270.4,3323.3,3377.3,3433.5,3486.7,3519.6,3574.8,3631.3,3693.1,3742.9,3816.9,3874.5,3936.6,3999.7,4056.4,4094.7,4115.4,4172.9,4230.1,4289.5,4345.8
"14","Gross private domestic investment","6","A006RC",25,32,33.1,34.5,33.7,32.4,32.7,41,45,48.1,50.3,49.1,40.9,34,37.3,35.2,44.4,49.9,56.1,65.9,62.1,64.8,59.4,54.4,55.2,49.9,53.9,57.2,57.9,58.2,57.4,52.3,51.6,51.2,54.7,57.8,64.2,68.1,70,73.9,73,71.4,72.5,71.2,71.8,71.9,73.2,64.9,60.5,58.7,65.5,73.2,76.2,82.2,76.5,79.3,89.1,79.7,78.7,68.1,70.3,75.8,82.3,84.2,89.4,87.9,89.3,86,90.5,92.2,95,97.4,100.7,100.6,102.5,104.5,115.7,115.8,119.6,121.8,131.8,130.7,130.2,132.6,129.3,123.7,128.5,132.9,137.2,143.4,139.7,144.4,155.7,155.7,160.3,154.1,150.6,153.9,156,148.9,171.3,178.9,183.4,179.1,193.1,206.5,212.4,218.5,232.6,246.1,241.8,257.6,244.1,252.3,245.5,255.9,218.7,216.8,237.7,247.7,274.8,291.5,296.6,305,326.7,355.1,378.2,385.4,396.2,429.3,448.8,469.7,478.5,490.9,495.9,497.3,504.3,468.2,441.7,497.2,562.4,549.4,590.7,580.7,525.2,529.2,526.3,483.5,495.7,543.7,578,639.5,709.3,736,753.2,743.6,721.1,734.2,727.7,762.3,764,754.2,733.6,737.1,762.6,766.4,765.3,831.6,797.7,819.2,825.7,842,881.2,875.4,868.3,866.7,881.6,883,869.4,812.8,786.5,780.5,801.5,832.1,810.9,867.2,878.7,909.8,938,943.6,943,995.8,1042,1106.4,1094,1146.1,1162.8,1133.1,1123.5,1155.6,1172.4,1231.5,1282.6,1284.3,1324.2,1397.7,1405.7,1434.5,1528.7,1498.4,1538.6,1589.3,1618,1597.8,1637.9,1693.2,1711.4,1786.3,1766.4,1757.4,1671.1,1597.2,1574.9,1500.7,1559.4,1588,1594.2
"15","  Fixed investment","7","A007RC",19.4,23.5,27.4,30.2,33.2,33.6,35.6,39.6,41.3,42.2,43.1,43.1,40.5,39.2,38.6,39.9,42.3,47,52,51.8,51.7,50,49.6,49.6,50.5,51.4,48.3,51.9,54,54.6,55.1,54.3,53.5,54.6,56.8,58.1,60.4,63.5,65.7,66.6,66.6,67.8,68.9,69,69.6,69.3,70.4,69.4,64.6,63,63.9,68,72.3,74.9,76.1,75.2,77.9,76.4,74.4,73.9,72.9,74,75.7,78.2,80,82.4,83.1,82.6,83.6,87.3,89.3,92.3,95.6,96.1,97.8,99.5,104.1,107.3,110.4,114.2,117.9,118.4,118.3,116.1,113.8,117.4,119.3,124.5,128.8,129.3,132,138.4,144.2,146.4,150.2,148.3,148.8,148.8,151,152.9,159.1,168,173.2,179.4,189.9,194.5,198.7,211,222,227.8,232,232.6,231.5,234.9,239.9,235.4,228.7,230.7,239.1,247.3,260.1,269.1,275.8,294.5,311.9,335.6,347.3,361.3,370.8,405,423.9,441.2,454.6,463.5,483.8,488.7,494.4,460.5,475.5,506.4,523.7,537.7,546.8,555.9,546.7,533.4,520.5,523.3,530.8,551.4,582.2,615.6,636.3,666.6,681.9,695.7,704.9,712.6,711.4,729.2,733.6,738.5,740.6,749.8,734.6,749.9,764.3,768.5,780.7,799.5,807.5,822.9,833,839.4,858.4,850.1,867.7,849.3,847.6,824.2,801.8,798.3,800.5,801.1,811.8,845.4,859.6,889.6,901.9,919.3,936.1,978.8,998.1,1026.6,1042,1071.6,1100.1,1097.2,1110.1,1135.4,1165.6,1201.7,1232.6,1250.9,1275.5,1310,1355.8,1369.3,1422,1457.5,1469.1,1513.9,1543.3,1570.1,1591.1,1604.3,1664.6,1697.1,1705.2,1700.4,1698.3,1654.3,1635.5,1597.2,1589.4,1584.6,1580.2
"16","    Nonresidential","8","A008RC",13.6,16.1,18.7,20.9,22.8,23.2,23.3,24.5,26.2,26,27,28.1,26.6,25.5,24.1,23.5,24.2,26.6,29.6,30.6,30.9,31.8,32.5,32.2,32.4,32.9,29.8,32.5,34.3,34.8,35.9,35.4,34.5,34.3,35,34.9,35.4,37.9,40.4,42.5,42.8,43.9,45.4,45.9,47,47.1,48.4,47.5,43.6,42,41.4,43,44.5,46.1,47.8,47.7,49.5,50.3,49,48.6,47.5,48.5,48.7,50.4,51.6,53.2,53.9,53.5,53.4,55.1,56.8,58.7,60.1,62,64.1,65.7,70.2,73.1,76.1,79.7,83.1,85.2,86.4,86.9,85.5,85.7,85.9,88.4,91.9,91.2,93.1,97.5,101,103,106.9,107.6,108.1,109.4,110.6,107.9,110.5,113.4,114.8,117.9,123.3,126.3,129.1,136.7,144.2,152.1,157,159.8,162.6,167.4,172.5,175.4,171.1,170.8,174.5,178.6,183.9,188.4,195.1,202,214.3,224,232.3,244.3,249.7,274.5,288.1,302.1,316,322.6,340.3,347.5,359.8,349.3,359.6,375,391.7,408.9,426.6,446.3,441.9,430.6,418.2,410.5,399.9,403.2,419.6,447,460.7,485.2,501.1,514.3,521.5,529.8,523.8,535.3,529.1,520.2,516.6,524.3,509.3,520.7,536.9,540.1,551.1,566.3,571.8,584.5,596,607.1,628.1,622.3,633.6,625.1,635.4,627.2,616.8,611.7,605.9,601.1,600.1,621.5,633,649.9,659.3,675.2,683.2,711.4,721.7,738.2,752.7,781.8,812.5,820.3,825.2,842.3,865.1,885.4,913.6,933.7,955.5,984.3,1026,1031.8,1074.8,1099.9,1098.6,1131.7,1150,1167.7,1184.5,1191.9,1236.6,1268.3,1283.4,1274.8,1258.3,1210,1188.1,1149.8,1126.8,1115.8,1110
"17","      Structures","9","B009RC",6.2,7.4,7.9,7.9,7.9,7.9,8.3,8.4,8.8,9.3,9.9,10.1,9.7,9.4,8.9,8.7,9.1,9.5,10.3,11,11.5,12.2,12.3,11.9,12,12.1,12.2,12.6,13.1,13.5,13.7,14,13.9,13.9,13.9,13.8,14.3,14.7,15.4,16.2,17.4,18,18.6,18.7,18.8,19,19.1,18.9,18.1,17.6,17.3,17.6,17.4,18,18.6,18.5,19.4,19.5,19.4,20,19.9,19.6,19.7,19.6,20,20.8,21.4,20.9,20.2,21.2,21.4,21.9,22.4,23.4,24.3,24.8,26.1,28.2,28.5,30.4,31.1,31.2,31.9,31.2,31.7,30.9,31.5,32,33.1,33.2,33.2,34.8,35.8,36.7,38.9,39.4,39.5,40.3,40.6,40.8,41.5,42.3,43.1,43.8,45.8,46.6,47.3,49,51.3,54.1,56.8,57.7,59,61.3,61.4,63.2,61.7,60.4,61.3,62,64.1,65.1,66.7,67.8,69.7,73.6,76.4,78.5,79.2,88.6,95.8,102,104.8,110,119.1,125.7,130.3,129.8,133.6,141.9,147.5,158.3,166.8,185.7,183.8,179.6,170.4,166.2,156.7,147.8,151,155.5,164.5,174.4,181,184.2,193.5,194.1,191,194.6,190.9,173.9,168.3,170.1,165.4,167.3,175.3,180.3,177.5,182.8,182.3,184,189,189,197.6,197.9,203.7,204.2,205.2,197,194.5,189.7,177.6,172,170.2,170.7,172.6,175.4,176.7,177.5,179.2,184.2,178,188.2,189.9,193.9,200.5,204.8,206.2,207,213.4,220,226.3,240.3,246.9,247.7,260.6,267.9,273.2,284.9,283.9,287.5,285.5,283,279.9,286.3,299.5,308.5,320.9,328,333.7,329.9,332,302.3,288.3,275.2,259.7
"18","      Equipment and software","10","B010RC",7.3,8.6,10.8,13,14.9,15.2,15,16.1,17.3,16.7,17.1,18,16.8,16.1,15.2,14.9,15.1,17.1,19.4,19.6,19.4,19.7,20.2,20.2,20.4,20.8,17.7,19.9,21.3,21.3,22.1,21.4,20.6,20.4,21.1,21.1,21.1,23.1,25,26.3,25.4,25.9,26.8,27.2,28.2,28.1,29.3,28.6,25.5,24.4,24.1,25.5,27.1,28.1,29.2,29.2,30.2,30.8,29.6,28.6,27.6,28.8,29.1,30.8,31.6,32.4,32.5,32.6,33.2,33.9,35.4,36.8,37.7,38.5,39.8,40.9,44.1,44.9,47.5,49.3,52,54,54.5,55.7,53.8,54.8,54.4,56.5,58.8,58,59.9,62.7,65.2,66.4,68,68.3,68.6,69.1,70,67.2,69,71.1,71.7,74.1,77.5,79.7,81.8,87.7,92.8,98,100.1,102.1,103.6,106,111.1,112.2,109.4,110.4,113.2,116.6,119.8,123.4,128.5,134.1,144.6,150.3,155.9,165.8,170.5,185.9,192.3,200.2,211.3,212.7,221.1,221.8,229.5,219.5,226,233.2,244.2,250.6,259.8,260.6,258.1,251,247.8,244.3,243.2,255.3,268.6,291.6,296.2,310.8,320.1,330.2,328,335.7,332.8,340.7,338.2,346.3,348.3,354.2,343.9,353.3,361.6,359.8,373.6,383.5,389.5,400.5,406.9,418.1,430.6,424.4,429.9,420.9,430.2,430.2,422.3,421.9,428.4,429.1,429.8,450.7,460.4,474.5,482.6,497.7,503.9,527.3,543.7,550,562.8,587.9,612,615.5,619,635.3,651.7,665.4,687.3,693.4,708.6,736.6,765.4,764,801.6,815,814.7,844.2,864.5,884.7,904.6,905.5,937.1,959.8,962.5,946.8,924.6,880.2,856.1,847.4,838.5,840.7,850.3
"19","    Residential","11","A011RC",5.9,7.4,8.7,9.3,10.4,10.4,12.3,15.1,15.2,16.3,16.1,15,14,13.7,14.5,16.3,18.1,20.4,22.3,21.3,20.8,18.2,17.2,17.5,18,18.5,18.5,19.4,19.7,19.8,19.2,18.9,19,20.3,21.8,23.2,25,25.6,25.2,24.2,23.7,23.9,23.5,23,22.6,22.2,22,21.9,20.9,21,22.5,24.9,27.8,28.8,28.3,27.5,28.4,26.1,25.3,25.3,25.3,25.5,26.9,27.8,28.4,29.2,29.2,29.1,30.2,32.2,32.5,33.7,35.4,34.2,33.7,33.8,33.9,34.2,34.3,34.5,34.8,33.2,31.9,29.2,28.3,31.6,33.4,36,36.9,38.2,38.9,40.9,43.2,43.4,43.2,40.7,40.7,39.4,40.4,45,48.6,54.6,58.3,61.5,66.6,68.2,69.6,74.3,77.9,75.8,75,72.7,69,67.5,67.4,60,57.7,59.9,64.6,68.7,76.2,80.7,80.6,92.5,97.6,111.7,115,116.9,121.1,130.5,135.8,139.1,138.6,140.9,143.5,141.2,134.5,111.2,115.9,131.3,132,128.9,120.2,109.6,104.8,102.8,102.3,112.8,130.9,148.2,162.6,168.5,175.6,181.4,180.8,181.3,183.4,182.8,187.7,193.9,204.5,218.3,224.1,225.6,225.3,229.2,227.4,228.4,229.6,233.3,235.7,238.4,237,232.3,230.2,227.8,234.1,224.2,212.1,196.9,185,186.6,194.5,200,211.8,223.9,226.6,239.7,242.7,244.1,252.9,267.3,276.4,288.4,289.3,289.8,287.6,276.9,284.9,293.1,300.5,316.3,319,317.2,320,325.7,329.8,337.5,347.2,357.6,370.5,382.2,393.3,402.4,406.5,412.5,428,428.8,421.8,425.6,440,444.2,447.4,447.4,462.6,468.7,470.2
"20","  Change in private inventories","12","A014RC",5.5,8.5,5.7,4.3,0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.5,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.7,16.3,33.1,30.3,15.7,-7,-12.7,28,16.5,1,63.1,17,19.7,18.2,19.1,48.2,36,10,16.6,13.9,33.7,21.9,-11.3,-15.3,-17.7,1,31.1,-1,21.8,19.1,20.2,36.1,24.3,7,17,43.8,79.8,52,74.6,62.7,35.8,13.4,20.2,6.8,29.8,50,33.5,48.8,87.7,49.9,65.1,106.7,40.9,69.5,75.4,74.7,27.7,46.8,88.9,46.8,89.2,61.1,57.1,-27.2,-57.1,-60.6,-96.5,-29.9,3.4,14
"21","Net exports of goods and services","13","A019RC",6.5,7.3,8.4,6.3,10.8,11.2,11.7,9.2,7.2,5.2,4.9,4.4,6.4,6.2,5.1,2.9,2.1,1.6,-0.8,-0.2,0.1,1.9,3.7,4.1,3.6,1.8,-0.1,-1.1,-0.8,-1.4,-0.7,-0.4,-0.4,0.2,0.5,1.1,1,-0.3,0.6,0.1,0.3,1.8,2.5,4.4,4.7,4,3.9,3.3,1,0.4,0.7,-0.4,-1.7,-2.5,-1.1,-1.4,0.9,1.7,3,4,4.4,3.3,2.8,2.9,2.3,3.2,2.9,1.5,2,3.7,3.1,4.4,5.9,4.9,5.4,5.7,3,4.7,3.7,4.1,3.2,2,0.8,1.5,2.3,2.1,1.1,0.2,-1.2,-0.6,-1.3,-1.9,-1.9,-1.8,-1.3,0.1,1.1,2.4,0.9,0.4,0.8,-3.8,-3.1,-6,-8.6,-8.3,-7.9,-7.1,-4.4,-1.1,3.2,4.7,4.3,-5.6,-9.1,-2.2,13.1,16.6,11.6,12.9,4.2,-1.1,-5,-7.2,-21.6,-21.7,-21.1,-30.3,-39.3,-23.3,-24.6,-17.3,-19.2,-23.4,-24.4,-29,-37.2,-16.7,3.3,-8.9,-17,-16.4,-10.2,-16.3,-17.2,-5,-30.3,-29.7,-24.6,-45.5,-65.2,-71.3,-94.3,-103.5,-103.1,-107.1,-91.4,-114.7,-117.2,-133.6,-127.1,-129.2,-138.5,-132.8,-139.4,-144.7,-142.8,-142.2,-121,-103.4,-96.3,-104.4,-84.2,-81.4,-79.6,-77.6,-74.2,-60.7,-78.8,-72.1,-33.4,-12.6,-22.3,-14.5,-7.7,-27.1,-36.4,-40.1,-46.5,-57.3,-72,-66.2,-71.3,-84.2,-99.1,-93.8,-94.5,-109,-74.2,-59.3,-75.8,-89.8,-110.6,-79.7,-89.2,-75,-88.6,-104.6,-122.6,-154.9,-165.3,-164.1,-196.4,-241.8,-274.6,-286.7,-330.6,-353.2,-384.9,-393.2,-372.7,-365.7,-312.6,-344.5,-360.1,-425.6,-432.6
"22","  Exports","14","B020RC",13,14.2,15.4,13.6,18.3,19.4,19.4,17.6,16.9,15.2,15.4,14.6,16,15.6,14,12,11.6,11.8,12.2,13.5,15,17,18,18.1,18.6,16.5,15.1,15.2,15,15.1,15.7,15.1,14.3,16.3,15.8,16.5,17.2,16.8,18.1,18.3,19.3,20.8,21.7,23,24.8,24.3,23.6,22.9,20.4,20.4,20.5,20.5,19.7,20,21.8,21.1,24.2,25.2,25.9,25.8,26.1,25.2,26.1,26.8,26.6,28.1,28,27,27.2,29.6,29.8,31.1,32.9,32.6,33.9,35,31.5,36.3,35.7,38,38.2,38.2,39,40.4,41.7,41.1,40.7,41.9,43.2,44.8,47,46.2,41.9,50.9,51,53.2,54.7,57.6,57.3,58.3,59.5,59.5,62.4,56,63.5,63.1,66.2,72.1,81,88.3,94.3,103.4,114.6,123.8,124.5,134.4,138,131.8,133.7,141.7,143.1,146,150.9,155.4,154.8,161.3,161.8,157.1,164,185.6,190.5,204.5,210.7,219.7,232.9,251.5,267.1,275.9,282.5,290.3,302.8,305.5,299.7,303.2,292.3,294.2,279,265.1,270.6,272.5,278.2,286.7,293.7,303,306.5,309.2,305.9,303.9,297,305.3,312,314.2,320.1,334.9,337.5,356.8,373.7,394.5,421,441.9,455.8,469,492,512.5,509.4,522,541.6,554.6,555.3,577.1,577.1,602.5,602.3,624.5,629.5,633.4,637.2,647,646.4,660.6,646.4,678.8,683.8,714.5,736.1,765.8,787.7,802.5,834.1,850,853.3,864.7,865.6,913.1,927.8,966.8,988.7,982.4,974.1,959.2,946.7,979.7,959.2,970.2,996.8,1031.2,1055.9,1098,1130.9,1119.8,1100,1059.7,1005.8,971.1,977.5,1018.1,1035.4
"23","    Goods","15","A253RC",10.3,12.1,13.1,11.5,15.7,16.7,16.8,15.1,14.6,13,13.1,12.4,13.7,13.2,11.9,10.1,9.6,9.8,10.2,11.3,12.5,14.3,15.1,15.1,15.4,13.4,12.4,12.5,12.1,12.3,12.9,12.3,11.6,13.6,12.9,13.6,14.2,13.8,14.8,14.9,15.9,17.2,18.1,19.1,20.6,20.1,19.4,18.1,16.6,16.3,16.4,16.3,15.6,15.9,17.5,16.9,19.5,20.5,20.9,20.9,21.2,20.1,21,21.5,21.2,22.3,22.3,21.1,21.3,23.4,23.8,24.9,26.1,26,26.9,27.8,24.4,28.8,27.9,30.1,30.4,30.1,30.6,31.9,32.5,32.3,31.6,32.3,33.6,34.9,36.6,35.9,31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,359.3,377.8,370.2,379.4,391.6,399.8,394.6,408.2,414.8,428.8,423.9,438.1,442.1,445.9,447.7,459,451.2,462.2,447.9,477.7,475.8,499.5,518.8,544.3,563.6,574.3,593,604.4,607.8,611.4,615.4,639,658.2,688.5,706.7,702.3,693.6,673,666.7,692,673.3,680.4,703.1,732.5,746.9,778.4,814.5,800.3,787.3,750.6,708.5,687.7,679.8,709.4,722.9
"24","    Services","16","A646RC",2.7,2.2,2.3,2.1,2.6,2.7,2.6,2.5,2.3,2.2,2.2,2.2,2.3,2.4,2.2,1.9,2,2,2,2.2,2.5,2.7,2.9,3,3.1,3,2.7,2.7,2.9,2.8,2.8,2.7,2.7,2.7,2.9,2.9,3,3,3.3,3.3,3.4,3.6,3.7,3.9,4.2,4.2,4.2,4.8,3.9,4.1,4,4.1,4.1,4.1,4.3,4.3,4.7,4.7,4.9,4.9,4.9,5.1,5.2,5.2,5.4,5.8,5.7,5.9,5.9,6.2,6,6.3,6.8,6.6,6.9,7.1,7.1,7.5,7.8,8,7.8,8.1,8.4,8.5,9.2,8.9,9,9.6,9.6,9.9,10.3,10.3,10.3,11,11.5,11.2,11.6,12.6,12.6,12.9,13.6,13.8,13.9,13.8,13.8,14.2,14.3,15.3,16.6,17.4,18.7,18.6,21.6,23.1,23.2,25.4,26,25.9,26.5,28.3,29.6,29.7,31.9,33.1,33.5,35.2,35.7,36.1,38.9,39.5,41.2,43.3,43.7,44,44.9,46.1,49.3,51.7,55.6,56.1,60.6,63.5,65.5,65.1,67.5,68.2,67.4,67.5,69.9,69.7,70.8,68.4,75.4,78.4,78.1,78,80.2,80.4,79.6,82.9,91.5,91.1,95.6,99,103.2,108.1,109.5,111.4,116.4,120.5,124.1,123.6,132.7,134.7,139.3,142.6,150,154.9,160.7,168.9,162.3,173.7,178.4,186.4,187.5,187.5,189.5,188,195.2,198.4,198.5,201.1,208,215,217.3,221.5,224.1,228.2,241.1,245.6,245.5,253.3,250.1,274,269.6,278.2,282,280.1,280.4,286.2,280,287.7,285.9,289.8,293.7,298.7,308.9,319.6,316.4,319.5,312.7,309.1,297.3,283.4,297.7,308.8,312.5
