"","Table 2#2# Personal Consumption Expenditures by Major Type of Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230"
"11","  Motor vehicles and parts","3","A165RC",2.4,3.4,4.7,6,6.4,6.5,6.2,7.2,7.8,7.4,8.2,8.6,9,10.9,11.2,11.2,12,12.7,15.6,14.5,14.4,12.2,11.2,10.9,11.3,11.6,9.7,13,14.6,14.3,13.8,12.9,12.4,13,12.3,13.5,16.1,18,19,17.8,15.9,15.3,15.2,16.6,18.1,17.8,17.1,17.2,15,14.8,14.9,15.7,18.2,19.4,20.2,17.7,19.4,20,20.2,19,16.6,17.2,18,19.5,20.4,21.4,21.2,22.9,23.6,24.3,24.5,25.1,25.8,26.1,27.3,24.8,30.1,29.3,30.1,30.2,32.1,29.1,30,29.9,28.1,30.9,30.7,30.3,34.3,35.1,37.6,37.5,38.6,38,38.5,38.3,35.9,37.2,37.4,31.6,42.1,43.7,45,47.3,48.3,50.1,51.2,54.8,59.6,57.4,55.7,52,47.7,49.7,54.3,46.4,48.9,50.6,57.7,62,69,69.9,71.4,74.8,82.2,82.8,83.6,85.6,84.6,96.9,95,96.1,96.5,90.1,95,92.4,94.2,76.8,86.8,90.2,99.2,92.7,101.8,89.7,99.7,99.8,101.6,110.6,109.9,125.5,130.7,141.6,148.5,152.3,151.6,157.6,169.1,171.7,190.7,171.2,174.8,184.8,212.5,197.4,174.6,191.7,209.1,197,209.4,206.1,200.9,208,209.8,211.4,220.7,203.9,220.4,207.7,204.3,193,180.5,179.1,187.3,184.5,193.7,196.6,201.4,209.2,206.3,219.9,225.1,237.3,241.4,239,240.2,248.8,245,248.2,252.3,251.7,256.3,259.2,255.4,254.2,264.5,251,270.1,271,271.7,288.6,284.3,310.7,305.3,318.7,324.6,328,344.4,332.4,341.7,328.1,345.8,349,351,399.5,365.8,362.1,400.9
"12","  Furniture and household equipment","4","A166RC",7.1,8.1,9,9.5,9.8,10.2,10.8,11.5,10.9,11.7,12.1,11.4,10.5,10.6,11.5,12.4,12.5,12.1,16.5,13.6,15.9,13.2,13.4,13.8,13.9,13.7,13.9,14.6,14.5,14.7,14.8,14.8,14.6,14.6,14.8,15.3,16,16.2,16.8,16.8,16.9,17.5,17.3,17.5,17.3,17.3,17.2,16.8,17,16.5,17,17.2,17.7,18.1,18.2,18.3,18.1,18.3,17.8,17.7,17.7,18.1,18.4,18.8,18.8,19,19.5,19.7,20,20.4,20.9,21.3,22.3,23.2,23.4,23.9,24,24.5,25.2,26.7,27.3,27.6,28.9,29.2,29.4,29.7,30,30.9,31.8,32.3,33.9,33.6,34.2,34.9,34.7,35,35.5,35.6,35.6,36.2,36.6,37.3,38,39.3,40.9,41.4,43,44.4,46.9,47.5,48.2,48.9,50.4,51.8,52.8,51,51.8,53.9,55.2,57.1,58.7,59.4,60.6,62.2,64.2,66.1,68,70.5,70.1,74.2,75.1,77.8,78.6,81.4,85.3,85.6,85.8,84.2,86.3,90.5,92.1,92.3,92.8,91.1,90.7,92.6,93.8,96.6,100.4,104.2,109.2,112.7,115.2,118.3,119.5,122.9,124.6,126.6,129,134,136.2,140.4,146.2,149.1,151,151.9,155.2,155.5,159.4,163,163.8,168.2,169.5,171.6,172.1,172.5,175.4,172.1,170,168.2,169.3,173.1,173.2,170.3,175.6,176.3,179.6,183.2,185.9,189.9,194.7,199.1,202.1,208.6,214.3,219.9,220.4,221.9,227,231,230.4,238.2,237.7,241.2,243.1,246.4,251.4,254.9,259.8,262.6,267.3,270.9,276.6,282.1,288.6,294.8,303,305.4,306,304.9,304.3,303.9,304.9,311.5,317.1,319.1,319.2
"13","  Other","5","A167RC",3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.1,3.2,3.2,3.3,3.5,3.4,3.6,3.6,3.7,3.8,3.7,3.8,3.9,4.1,4.2,4.1,4.1,4.1,4,4.2,4.4,4.4,4.4,4.6,4.6,4.9,4.8,5,5.1,5.3,5.2,5,5.4,5.4,5.4,5.3,5.5,5.6,5.6,5.7,5.7,5.8,5.7,5.8,5.6,5.7,5.6,5.6,5.7,5.9,5.9,6.1,6.2,6.3,6.4,6.6,6.6,6.7,7.1,7.3,7.7,7.7,7.8,7.9,8.2,8.9,9.6,9.6,9.9,10,10.1,10.3,10.5,10.8,11.1,11.6,11.9,12.5,12.7,13,12.9,12.9,13.5,13.3,13.9,14.3,14,14.5,14.8,14.9,15.7,16.6,17.2,17.9,18.8,19.2,19.9,20.2,20.8,21.5,21.7,21.2,22.5,23.7,25,25.3,26.4,27.1,27.6,28.3,27.3,29.9,31.6,33.1,32.3,33.6,35,36.3,36.5,38.8,38.6,38.9,40,38.8,40,43.1,42.2,43.3,44.7,43.5,43.7,44.1,43.7,44,45.4,46.3,48.4,50.6,53,55.5,55.6,57.5,58.1,58.3,59.4,60.4,61.7,62.1,66,74,71.7,73.6,73.6,74,77.8,79.4,80.6,84.3,81.2,84.5,86,87.9,90.6,89.4,89.4,89.9,89.6,89.2,88.4,87.7,89.7,90.4,93.3,94.2,95.4,97.6,101,101.6,102.7,106,108.8,111.3,112.9,114.3,116.9,117.3,119.7,123.8,123.6,126.1,127.5,127,130.9,132.4,135.4,138.1,140.1,143.5,146.8,149.1,152,157.1,161,161.5,162.9,164.3,166.7,167.5,168.1,171.5,176.1,175.8,178.2
"14","Nondurable goods","6","B004RC",78.9,80.6,85.1,86.3,87.7,90.1,92.1,93.6,95.1,97,97,97.3,96.3,95.3,93.5,94.3,94.8,96.3,100.9,100.9,107.8,107.4,109.4,112,111.4,113.7,115.9,117.9,118.1,118.1,117.6,117.5,118.7,118.8,119.9,121.3,122.3,124,125,127.5,129.1,130,131.3,132.7,134.5,135.8,139.2,138.9,139.5,140.8,142.8,143.9,146.1,147.7,149.3,150.9,150.8,153.6,153,153.9,155.2,156,156.5,158.6,160.6,161.9,163.4,165.3,166.3,167,169.4,169.9,174.1,177.3,181,182.3,185,188.7,192.6,200,204.3,208,211,211.7,213.9,215.6,218,220.9,228.1,233.3,239.4,242,246.4,251.1,255.2,259.9,266.2,269.8,273.7,278.4,280.3,284.1,286.7,291,295.9,304.3,311.5,320.5,330.4,337,347.6,357.4,369.1,380.4,391.7,396.8,404.5,415.6,427.8,435.1,445.4,452.7,462.6,472.6,483.9,492.2,498.7,513.8,524.4,542.9,558.5,575.2,593.9,610.5,635.8,657.6,679.7,686.6,699.5,718.5,745.8,756.2,763.2,770.2,776.2,778.6,793,802.7,806.2,824,842.4,852.1,866.4,883.8,889.7,898.7,910.5,924.2,932.8,947.5,957.3,950.6,956.9,969.1,994.4,1011.9,1022,1033.1,1049.4,1070.3,1095.2,1116.5,1134.3,1161.3,1174,1191.9,1221.7,1233.2,1258.5,1270.9,1267.8,1281,1284.9,1281.5,1305.2,1309.2,1326,1351.4,1355.7,1370.4,1379.6,1395,1409.7,1425.1,1449.9,1467.2,1475.8,1492.2,1502.6,1518.5,1539.6,1569.4,1578.8,1608.4,1626.8,1627.3,1653.1,1659,1675.8,1697.2,1716.7,1744.4,1773.1,1814.4,1841.3,1891.7,1926.9,1964.9,1988.9,2011.1,2031.5,2044.8,2044.3,2044.4,2085.1,2108.2,2116.4
"15","  Food","7","A168RC",44.9,45.7,48.7,50.2,50.9,52,52.9,53.5,53.8,55,54.1,53.8,53.4,52.8,52,51.7,52.3,52.9,54.8,55.4,59.7,60.1,61,62,62.2,63.9,65.1,65.3,65.8,65.4,65.1,65.2,66.1,66.3,67,67.6,67.8,68.4,68.7,69.4,70.4,70.9,71.7,72.4,73.4,74.4,76.2,76.2,77.3,77.8,78,78.5,79.6,80.1,81.2,81.8,81.3,82.9,82.3,82.9,83.8,84,83.8,84.4,85.2,85.7,86.6,86.9,87.3,87.7,88.7,89.4,91.2,92.9,94.6,95.6,97,99.2,101.3,105.5,107.6,109.1,110.3,110.3,111.2,111.4,112.5,114.7,118,120.9,124.1,125.9,127.8,130.1,132.4,135.7,140.5,142.9,145.1,146.7,147,149.3,150.1,152.4,155,160.2,163.3,167.1,171.9,175.6,183.3,187.7,193.7,197.6,205.4,210.7,215.1,220.7,226.6,230.5,236,240.1,245.1,248.9,257.1,261.8,263.1,268.7,275.7,285.4,294.7,302.4,313.6,319.5,326.9,338.6,346.5,350.8,358.5,368.1,376.9,382,385.4,389.6,393.5,400.6,406.7,412.6,414.8,421.2,428,431.2,438.9,445.2,451.9,453.7,459.1,465.4,469.4,476.7,484.8,488.8,493,501.5,509.2,513.6,516.3,521.9,534.2,546.8,561.8,571.4,579.7,586.3,596.3,605.4,623.2,635.6,645.2,643.6,649.7,661.2,661.8,657.6,667.1,661.3,667.1,681.9,686.9,695.1,701.4,708.3,714.6,725.4,733.1,739.6,745.5,753.6,758.8,765.3,773.9,781.8,788.8,799.3,806.9,808.2,817.4,816.2,831.7,846.7,858.8,873.1,877.8,891.1,900.7,925.9,937.5,952.7,961.2,968.8,984.2,988.7,993.8,1002.8,1025,1023.9,1023.8
"16","  Clothing and shoes","8","A169RC",18,17.9,18.9,18,18.3,18.5,18.9,19.3,19.5,19.9,20.2,20.7,20.2,19.6,18.5,19,18.9,19.2,20.4,20.1,21.3,20.9,21.3,21.5,21.3,21.6,22,23.2,22.5,22.6,22.1,21.7,22.2,22.1,22.2,22.6,22.8,23.4,23.3,23.8,23.9,24.2,24.6,24.7,24.4,24.4,24.9,24.4,24.1,24.6,25.2,25.6,25.8,26.5,26.4,26.8,26.9,27.2,26.9,26.8,27.1,27.3,27.7,28.4,28.5,28.9,29.1,29.4,29.3,29.6,30.2,30.1,31.4,32.3,32.7,33.1,33.3,33.3,34.2,35.6,36.6,37.1,37.9,37.9,38.4,39,39.6,39.8,41.5,42.7,44.1,44.4,45.5,46.2,47,47.3,47.1,47.3,47.7,49,49.9,51.6,52.2,53.1,53.8,55.3,57.1,59.3,61.5,62.2,62.7,63.6,65.1,66.3,67.2,65.4,67.9,70.4,72.1,72.9,74.6,75.4,77.5,79.1,80.4,82.1,84.6,89.3,89.6,94.1,95.5,98,98.1,99.5,102.9,104.2,104.6,104.9,108.2,111.6,115.1,116.5,118.8,118.4,119.8,118.6,120.9,122.7,124.6,129.7,132.4,136.8,139.1,143.1,142.2,145.7,148.2,150.9,153.4,156.1,159.1,162.8,164.8,165.6,170.6,173.3,176.2,177.4,179.7,182.1,186.7,193.6,194.2,197.9,200.3,203.3,204.4,204.4,204.8,202.8,205.6,209.9,210.9,208.3,216.1,219.3,224.3,227.7,226.1,230,232.5,235.6,237.2,237.9,241.5,246.3,244.5,246,249.3,251.2,253,259,259.3,263,266.6,267.8,274.8,277.6,281.6,284.5,284.3,288.5,296.4,301.6,302.1,304.1,308.7,312.1,315.1,318.7,317.9,313.6,312.1,317.4,325.8,323.9,321.3
"17","  Gasoline, fuel oil, and other energy goods","9","A173RC",5.3,5.7,6,6.3,6.4,6.8,7.1,7.4,8,8.2,8.4,8.4,8.3,8.4,8.4,8.5,8.5,8.8,9.2,9.1,9.5,9.4,9.6,9.9,9.9,10.1,10.3,10.5,10.6,10.7,11.1,11.1,11.2,11.2,11.4,11.7,11.9,12.3,12.5,12.9,13.1,13.2,13.3,13.7,14.2,14.2,14.4,14.4,14.5,14.6,15,14.9,15.2,15.3,15.2,15.6,15.5,15.9,16,16,15.8,15.8,15.8,15.7,16.1,16.2,16.2,16.9,17.2,16.8,16.9,17,17.2,17.5,18,18.1,18.3,19,19.5,19.9,19.9,20.5,21,21.4,21.5,21.9,21.9,22.4,23,23,23.5,23.5,24.3,25.1,25.1,25.6,25.9,26.2,26.4,26.9,27.4,27.4,27.8,28.2,28.4,28.4,29.6,31.4,32.6,33.5,34.3,37.2,39.3,44.3,45.8,46.5,45.8,47.1,49.5,50.2,51.3,51.7,53.4,56.3,56.7,57.5,58.1,59.7,60.4,60.8,61.3,64,69,75.3,86.3,91.8,101.9,103.1,101.2,102.3,113.7,114.7,112.9,113.6,112.2,106.3,108.9,106.9,103.2,105.6,109.5,108.5,108.3,109.8,107.2,108.4,108.4,111.7,111.3,111.7,106.8,89.7,85,84,91.8,96.4,98.1,99.9,98.2,99.2,100.3,99.7,102.4,114.8,108.9,109.2,113.5,110.5,121.3,135.4,119,113.6,113.2,113.4,112.7,116.3,118.6,120.6,120.5,119,118,120.2,120.2,117.7,125.2,126.8,127.1,128.7,126.9,126.8,133.9,142.1,138.4,144.5,147.3,140.4,142.4,142.7,132.3,127.5,126.6,125.2,123.2,139.9,148.6,159.8,173,181.5,185.7,189.7,186.6,191.7,179.3,156.7,156.2,174.7,178.3
"18","    Gasoline and oil","10","C170RC",3,3.3,3.5,3.7,3.7,4,4.1,4.3,4.6,4.7,4.9,5,5.1,5.3,5.4,5.4,5.4,5.6,5.6,5.6,5.9,6,6.2,6.4,6.5,6.7,6.9,7,7.1,7.3,7.7,7.7,7.7,7.7,7.9,8.1,8.2,8.6,8.7,9,9.2,9.3,9.4,9.8,10.2,10.1,10.3,10.2,10.4,10.5,10.7,10.7,10.9,11.2,11.2,11.7,11.6,12.1,12.2,12.2,12,11.9,12.1,12.1,12.3,12.5,12.5,13,13,12.9,12.9,13,13.3,13.5,13.7,13.8,14.2,14.7,14.9,15.3,15.5,15.9,16.2,16.5,16.7,17,17.2,17.5,18.1,18.3,18.9,19,19.6,20.6,20.6,21,21.4,21.8,22,22.5,22.8,22.7,23.3,23.8,23.8,23.6,24.5,25.7,26.9,27.4,28,30.3,32.1,36.5,37.6,38.3,38,38.7,40.5,41.6,42,42.2,43.2,44.8,45.7,46.9,47,48,48.1,48.9,50.5,53,56.4,61.5,70.9,76.2,85.8,88,86,87,98.2,98.5,97,98,96.9,92,94.6,93,90.6,91.6,95.4,94.7,93.9,95.8,93.5,95.1,94.9,98.2,97.7,98,94.3,78.5,74,73.4,80.9,85,87.1,88.4,86.4,87.5,88.5,88.3,91.5,103.2,97.5,95.8,101.4,98.4,107.5,121.8,106.2,101.8,100.7,101.2,101.2,103.2,106.7,108.4,108.1,106.4,104.7,107.1,105.7,104.8,111.5,113.8,113.9,114.3,112.7,112.2,117.7,127,123.3,128.6,132,125.1,127.3,128.1,118.8,113.8,113.5,112.9,110.6,126.4,134.8,145.4,156.2,164.2,167.6,169.5,167,175.4,163.6,142.2,142.3,160.7,163.6
"19","    Fuel oil and coal","11","A171RC",2.3,2.4,2.5,2.6,2.7,2.9,3,3.2,3.4,3.5,3.5,3.4,3.2,3,2.9,3,3.1,3.3,3.6,3.5,3.6,3.4,3.4,3.6,3.4,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,3.9,3.9,4,4,4.2,4.2,4.1,4.2,4.2,4.2,4.2,4.1,4,3.9,4,3.8,3.8,3.9,3.8,3.9,3.7,3.7,3.8,3.7,3.6,3.9,4.2,3.9,4,4,3.9,4,4.3,4.3,4.2,4.3,4.6,4.6,4.4,4.6,4.8,4.9,4.8,4.9,4.7,4.9,4.9,4.7,4.6,4.5,4.7,4.5,4.5,4.6,4.6,4.3,4.4,4.4,4.6,4.7,4.5,4.4,4.6,4.8,5.1,5.8,5.7,6.2,6.3,6.9,7.2,7.8,8.1,8.2,7.8,8.4,9,8.6,9.3,9.6,10.2,11.4,11,10.6,11,11.6,12.3,11.9,10.8,11.1,12.6,13.8,15.4,15.6,16.1,15.2,15.2,15.3,15.5,16.1,15.9,15.6,15.3,14.3,14.3,14,12.6,13.9,14.1,13.8,14.4,14.1,13.7,13.4,13.5,13.5,13.5,13.7,12.6,11.2,11,10.6,10.9,11.4,11.1,11.4,11.8,11.7,11.8,11.3,11,11.6,11.4,13.5,12.1,12.1,13.8,13.5,12.8,11.7,12.6,12.3,11.5,13.2,11.9,12.2,12.4,12.6,13.3,13.1,14.5,12.9,13.8,13,13.2,14.4,14.2,14.6,16.1,15.1,15,16,15.3,15.3,15.1,14.6,13.4,13.7,13.1,12.2,12.5,13.5,13.8,14.4,16.8,17.3,18.1,20.2,19.6,16.2,15.7,14.5,13.9,14,14.7
"20","  Other","12","A172RC",10.7,11.2,11.5,11.8,12.1,12.7,13,13.4,13.8,13.9,14.3,14.3,14.4,14.5,14.6,15.1,15.1,15.3,16.5,16.3,17.3,17,17.5,18.6,18,18.1,18.4,18.9,19.2,19.4,19.3,19.5,19.3,19.2,19.2,19.5,19.8,20,20.6,21.4,21.7,21.6,21.7,21.9,22.4,22.9,23.7,23.9,23.6,23.7,24.6,24.9,25.6,25.8,26.4,26.7,27.1,27.6,27.9,28.2,28.5,28.9,29.3,30.1,30.8,31.1,31.5,32.1,32.6,32.9,33.6,33.5,34.2,34.7,35.6,35.5,36.4,37.2,37.6,39,40.1,41.3,41.9,42.2,42.8,43.3,43.9,44,45.6,46.7,47.7,48.2,48.8,49.7,50.8,51.4,52.6,53.4,54.5,55.8,55.9,55.7,56.6,57.3,58.6,60.4,61.5,62.7,64.3,65.7,67.3,68.9,71.1,72.2,73.4,74.3,75.7,77.4,79.6,81.5,83.6,85.4,86.6,88.3,89.7,90.8,92.9,96.2,98.6,102.6,106.9,110.7,113.2,116.2,119.6,123,126.7,127.8,131.6,136.5,140.1,143,146.2,148.7,150.6,153.1,156.5,160.5,163.7,167.6,172.5,175.6,180.1,185.7,188.4,190.9,194.8,196.2,198.8,203,206.5,209.3,214.1,217.9,222.8,228.5,231.4,233.9,237.4,242.2,246.5,251.9,258,262.4,268.5,273.9,280.7,282.7,287.3,289.1,293.5,296.4,299.1,302.2,309.4,312.3,316.1,321.1,322.2,326.4,327.7,331,337.7,344.1,350.1,354.6,358.7,364,367.6,375.3,378.9,386.4,392.3,401.6,405.9,410.8,418.6,422.5,430.2,438.4,446.9,457.6,475.8,481.8,489.9,502,507.7,518.6,526.9,533.9,542.8,550.8,559.2,567.5,578,585.6,593
"21","Services","13","B005RC",43.5,44.8,46.6,48.1,49.4,50.4,51.6,52.5,53.8,55.2,56.9,57.8,58.2,58.8,59,59.7,61,63,64.6,66.1,68,69,70.1,71.3,72.9,74.5,76.5,78.5,80.4,82.4,84.2,84.7,86.2,88.1,89.9,91.4,93.3,94.3,95.8,98.4,100.1,101.8,103.8,106,107.5,108.9,110.5,112.9,113.9,116.4,118.9,120.3,122.9,125.6,128.4,131.2,133.4,135.6,136.6,138.9,140.6,143.7,144.9,148,150.2,153.3,155.2,157.6,159.1,161.3,165,168.1,171.4,174.7,178.1,181.5,184,187.5,191,195.4,198.6,202.8,206.3,211.2,214.9,218.8,223.6,227.4,232.9,239.6,245.3,251.3,257,263.2,269.2,276.3,282.7,287.9,295.2,302,308.7,316.1,323.5,331.8,340.9,347.5,355.3,365.6,372.3,381.9,390.5,398.7,407.3,420.2,430.9,443.7,456.7,469.8,481.5,496.5,511.5,522.1,538.6,558.2,574.1,589.3,610,626.9,648.5,671.4,688.6,705.2,726.2,746,765.5,792,816.3,832.9,864.5,897,913.8,942.2,968.1,991.8,1012.8,1033.6,1061.6,1097.8,1126.4,1160,1188.8,1220.9,1244.1,1271.4,1300.7,1331.4,1370.6,1401.3,1437.9,1472.5,1495.1,1519.1,1547,1580.4,1619.7,1652.5,1685.7,1723.3,1763.8,1800.7,1846.5,1883,1917,1944.1,1974.2,2018.8,2046.7,2103.8,2149.3,2171.6,2197.4,2236.2,2264.4,2299.5,2358.9,2399.1,2425.4,2480.3,2507.3,2543.4,2587.8,2625.8,2657.9,2698.8,2739.8,2774,2814.7,2867.1,2906.3,2939.9,2984.4,3027.4,3068.2,3107.9,3168,3219.1,3270.4,3323.3,3377.3,3433.5,3486.7,3519.6,3574.8,3631.3,3693.1,3742.9,3816.9,3874.5,3936.6,3999.7,4056.4,4094.7,4115.4,4172.9,4230.1,4289.5,4345.8
"22","  Housing","14","A174RC",13.8,14,14.3,14.7,15.1,15.6,16.3,16.9,17.3,17.7,18.1,18.5,19,19.4,19.8,20.3,20.8,21.4,22,22.6,23.3,24,24.7,25.4,26,26.7,27.2,28,28.8,29.4,30.3,30.9,31.6,32.1,32.5,33,33.5,34.1,34.7,35.2,35.8,36.4,37,37.6,38.3,38.9,39.7,40.4,41.1,41.7,42.3,42.9,43.7,44.5,45.5,46.4,47.1,47.7,48.5,49.4,50,50.7,51.5,52.5,53.2,54.2,55.2,56.3,56.9,57.4,58.3,59.3,60,60.8,61.8,62.9,63.7,64.8,66,67.1,68,68.8,69.9,71.1,72.2,73.2,74.7,76.1,77.5,78.7,80.3,82.2,83.9,85.8,87.8,89.8,91.3,92.8,94.7,97.1,99.1,101.4,103.9,106.3,108.7,110.7,113.1,115.7,118.6,121.3,124.1,127,129.8,132.4,135.4,138.9,142.2,145.1,148.4,152.4,155.9,159.3,163.3,167.5,172.6,177.1,181.7,186.7,192.8,198.7,204.2,210.9,216.2,222.1,229.5,238.1,244,250.4,258.2,267.7,275.4,283.7,291.8,299.7,304.7,308.6,315.8,322.9,328.5,334.1,342,350.1,357,365,375,384.1,391.5,401.7,412.2,421.7,429.6,437.7,445.9,454.9,463.2,470.7,479.9,491.9,499.6,506.7,515.9,525.2,532.8,541.3,550.4,561,570.6,580.7,592.6,598.6,605.1,612.6,619.3,626.9,633.4,638.5,643.4,649.9,655.9,662.5,669.6,678.2,690.7,700.1,709.6,718.6,727.7,736.9,744.9,753.7,760.4,768.1,776.6,785.1,794.6,805,815.7,826.7,839.8,853,866.5,879.6,895.7,907.4,918.4,928.7,941.2,953.5,965.9,979.3,993.4,1007.9,1021.1,1035.5,1051.7,1066,1078
"23","  Household operation","15","A186RC",6.7,6.6,6.8,7,7.1,7.4,7.7,7.7,7.9,8,8.2,8.2,8.4,8.5,8.5,8.9,9.2,9.4,9.6,9.9,10.3,10.3,10.5,10.7,10.8,11.1,11.3,11.5,11.8,12.1,12.3,12.1,12.3,12.5,12.8,13.2,13.5,13.8,14.4,15,15.1,15.3,15.5,15.6,15.9,16.2,16.5,16.8,17.1,17.5,17.6,17.6,18.1,18.5,19,19.3,19.8,20.2,20.4,20.7,20.8,21.2,21.1,21.7,22.2,22.1,22.5,22.9,23.5,23.3,23.9,23.8,24.2,25,25.3,25.7,25.6,26.3,26.8,27.4,27.2,28,28.6,29.2,29.4,30.1,30.2,31,31.6,32,32.7,33.3,34.3,34.5,35.5,36.4,37,37.4,38.3,39.1,40.1,40.8,41.7,42.7,43.6,44.9,46.1,48,48.2,49.6,51.1,52,52.7,55.4,57.1,59,60.7,64.1,65.7,66.8,69,70.9,74,78.6,80.3,80,84.4,86.2,89.1,91.3,92.8,95.1,98.6,99.5,101,104.6,108.8,111.6,116.4,120,118.9,126.7,129.6,134.3,139.5,141.3,143.1,148,150.3,156.2,159.8,163.9,164.7,170.2,170.9,173.3,180.2,177.5,183.3,187.7,185.7,188.4,190.8,190.7,191.3,197.3,199.9,199.1,203.9,205.1,211.2,213.5,217.3,216.5,220.7,230.5,220.4,228.4,230.8,230.6,231.8,241.1,241.5,240.1,241.7,248.9,243.5,259.1,259.8,264,274.7,277.2,275.3,287.5,286.7,286.4,287.8,295.7,304.6,304.2,314.6,318.3,313.4,322.7,325.9,329,332.9,344.4,338.8,347.8,351.8,344.2,351,358.5,367.8,364.3,366.6,382.6,390.3,405.5,416.8,406.7,404.8,396.9,399.2,400.9,405.7
"24","    Electricity and gas","16","A175RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,7.7,7.9,8.2,8.3,8.3,8.5,8.5,9,8.8,9,9.3,9.3,9.5,9.7,10,9.6,10,9.9,10.2,10.3,10.5,10.6,10.6,10.9,10.9,11.1,11.2,11.5,11.6,11.7,11.7,12.3,12.2,12.6,12.9,12.7,13.1,13.4,13.8,13.6,14.2,14.6,14.9,15.1,15.6,15.8,16.4,16.8,17,17.4,17.7,18.5,18.8,20.1,19.6,20.1,20.9,21,21.2,23.6,25,26.3,27.3,29.4,30,30,31,31.6,33.3,36.9,37.8,36.4,39.6,40,41.9,43,42.9,44.3,47,47,47.2,50,53,55.8,59.4,61.8,59.1,65,66.3,68.9,73.6,73.3,73.3,76.4,76.8,81.4,84.6,86.6,83.4,87.7,87.1,87.8,93.5,87.6,89.7,92.2,88.6,89.4,89.8,89,88,92,92.4,91.2,94.9,94.5,97.4,98.2,99.6,97.9,99.6,107.1,95.7,101.8,103.4,103.2,104,110.7,108.5,106.4,104.4,108.4,108.9,113.8,115,115.3,122.1,121.8,121.3,123.3,118.7,115.9,116.2,121.8,127.3,124.7,131.3,130,124.6,129.1,128.7,128.8,128.1,135.8,127.2,133.1,132.5,122.8,126.7,129.6,134.9,128.6,127.1,139.1,144.5,158.7,167.2,155.8,151.8,143.1,143.9,144.9,147.2
