"","Table 5#16# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1951 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September  2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/26/2002 7:59:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Line",NA,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","Opening balance",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Produced assets","1","K16001",980.9,1083.8,1135.6,1171.1,1219.5,1306.5,1417.2,1481.8,1536.5,1592.9,1641.9,1700.5,1775.6,1836.1,1948,2080.4,2258.7,2424.5,2655.4,2897.4,3141,3465.1,3820.6,4344.9,5158.2,5554.7,6052.8,6763.9,7670.1,8861.6,10074.1,11076,11636.7,12004.4,12677.6,13296.3,14054.6,14860.9,15771.9,16652.3,17426.5,17781.9,18529.2,19486.5,20689.1,21663.8,22698.8,23892.5,25116.9,26729.4,28498.7
"10","  Fixed assets","2","K16002",883.2,972.8,1030.4,1067.6,1117.6,1202.1,1305,1365.7,1416.8,1471.6,1516.9,1572.3,1640.3,1698.3,1804.9,1923.2,2085,2240.4,2458,2681.6,2918.1,3224.4,3553.9,4022.2,4776,5167.3,5633.5,6301.2,7123.3,8216.9,9363.4,10321.1,10884.6,11234.8,11832,12439.8,13215.2,13959.9,14803.1,15636,16371.9,16753.9,17477.3,18403.6,19526.1,20441.5,21447.3,22596,23791.3,25305.9,26973.9
"11","    Private","3","K16003",671.5,735.9,776.3,808,842.2,905.7,976.1,1022.7,1055.2,1099.4,1131.4,1167.4,1209,1245.5,1330.3,1418.1,1538.7,1649.2,1815.7,1973.7,2129.6,2366.4,2613.5,2968.2,3489.4,3815.2,4207.5,4787.4,5473,6339.9,7212.7,7949.7,8376.1,8667.6,9163.5,9657.8,10266.6,10857.3,11540.9,12197.2,12760.3,13021.5,13582.6,14318,15203.7,15908.5,16722.5,17653.1,18649.6,19880.4,21215.2
"12","    Government","4","K16004",211.7,236.9,254.1,259.7,275.4,296.5,328.9,343,361.6,372.2,385.5,404.9,431.3,452.8,474.7,505,546.3,591.3,642.3,707.8,788.6,858,940.3,1054,1286.5,1352.2,1426,1513.8,1650.4,1877,2150.7,2371.3,2508.5,2567.2,2668.6,2782.1,2948.6,3102.6,3262.2,3438.7,3611.6,3732.4,3894.6,4085.6,4322.4,4533,4724.8,4942.9,5141.7,5425.5,5758.7
"13","  Private inventories \1\","5","K16005",97.7,111,105.1,103.4,101.8,104.3,112.2,116.1,119.7,121.4,125,128.2,135.3,137.7,143.1,157.2,173.7,184,197.4,215.8,222.9,240.6,266.7,322.7,382.3,387.3,419.3,462.7,546.8,644.7,710.7,754.9,752.1,769.6,845.5,856.5,839.4,901,968.8,1016.3,1054.5,1028,1052,1082.8,1163,1222.4,1251.5,1296.5,1325.6,1423.5,1524.8
"14","Accumulation of produced assets",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Gross fixed investment","6","K16006",67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.6,158,162.5,176.8,191.7,195.1,213.9,244.8,278,292.9,301,341.2,406.5,487.3,561.1,584.4,647.9,643.3,692.8,809.5,873.3,913.9,938.6,988.8,1042.9,1062.9,1020.7,1074.7,1154.9,1260.2,1348.9,1462.8,1592.3,1742.7,1881.9,2011.6,1982.2
"16","  Private \2\","7","K16007",50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,410.2,472.7,484.2,541,531,570,670.1,714.5,740.7,754.3,802.7,845.2,847.2,800.4,851.6,934,1034.6,1110.7,1212.7,1327.7,1465.6,1577.2,1691.8,1646.3
"17","    Nonresidential","8","K16008",31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,278.6,331.6,360.9,418.4,425.3,417.4,490.3,527.6,522.5,526.7,568.4,613.4,630.3,608.9,626.1,682.2,748.6,825.1,899.4,999.4,1101.2,1173.5,1265.8,1201.6
"18","      Structures","9","K16009",12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,91.4,114.9,133.9,164.6,175,152.7,176,193.3,175.8,172.1,181.6,193.4,202.5,183.4,172.2,179.4,187.5,204.6,225,255.8,282.4,283.7,314.2,324.5
"19","      Equipment and software","10","K16010",19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187.2,216.7,227,253.8,250.3,264.7,314.3,334.3,346.8,354.7,386.8,420,427.8,425.4,453.9,502.8,561.1,620.5,674.4,743.6,818.9,889.8,951.6,877.1
"20","    Residential","11","K16011",18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.5,179.8,186.9,218.1,227.6,234.2,231.8,216.8,191.5,225.5,251.8,286,285.6,313.3,328.2,364.4,403.7,426,444.8
"21","  Government \3\","12","K16012",17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"22","    Structures","13","K16013",9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,140.3,154.8,159,175.3,183.5,193.4
"23","    Equipment and software","14","K16014",8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,15.3,17.3,16.1,15.5,15.6,12.7,14.7,15.1,17.1,20,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,100.1,100.6,103.8,109.8,109.8,118.1,129.4,136.3,142.4
"24","Less: Stock reconciliation adjustments","15","K16015",1.4,1.3,1.8,1.9,2.1,2.5,2.2,2.4,2.4,2.6,2.8,2.8,2.8,2.6,3,2.9,3.3,3,3.6,3.7,4,4.1,4.5,3.7,5.1,4.6,5,5.4,5.8,6.6,6.7,5.4,13.2,16.6,19.3,18,24.1,21.8,21.3,26,7.8,9.5,18.5,17.6,20.9,22.6,36.3,39.6,42,38.6,37.5
"25","  Private \4\","16","K16016",1.3,1.2,1.6,1.8,2.4,2.6,2.2,2.3,2.4,2.5,2.7,2.8,2.8,2.6,3,2.9,3.3,2.9,3.4,3.4,3.5,3.9,4.3,3.5,4.7,3.9,4.1,4.1,4.4,5.1,6.2,5.2,12.5,15.8,18.3,17.1,23.1,20.9,20.7,25.4,7.4,8.2,17.1,17,22.4,29.9,36.5,39.6,41.8,38.6,37.5
"26","  Government \5\","17","K16017",0.1,0,0.2,0,-0.3,-0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,-0.1,0,0.1,0,0
"27","Less: Consumption of fixed capital, except disaster losses \6\","18","K16018",33.7,36.2,38.6,40.5,42.8,47.3,51.1,52.8,54.8,56.9,58.5,61,63.6,66.6,70.8,76.5,83.1,90.9,99.8,109.1,118.8,129.4,142.3,164.7,190.9,208.8,231.2,261.5,299.3,344.7,394.8,435.6,455,482.4,514.8,551.6,586.1,627.4,669.2,711.3,746.5,769.5,808.6,855.2,909.3,956.2,1013.3,1072,1141.7,1228.9,1314.9
"28","  Private","19","K16019",25,26.6,28.1,29.3,31,34.4,37.3,38.8,40.2,41.8,42.8,44.3,46,48.4,51.7,56.3,61.4,67.4,74.5,81.8,89.6,97.8,108.5,126.7,149.1,164.4,184.1,210.7,243.8,282,323.9,356.6,371.7,393.5,420.8,450.7,478.2,512.4,546.2,579.5,606.5,624.3,656,695.2,741.2,781.9,832.4,884.3,943.8,1018,1094
"29","    Nonresidential","20","K16020",20.1,21.3,22.5,23.5,24.8,27.8,30.4,31.6,32.8,33.9,34.6,35.8,37.2,39.1,41.8,45.6,49.9,54.9,60.7,66.9,73.3,79.6,87.8,103,122.4,135.2,150.9,172.3,199.5,231.3,267.7,296.4,309.1,327.6,351.3,376.6,399,427.6,456.2,484.7,508.6,523,549.1,575,621.1,656.3,699.7,744.8,793.4,858.5,922.9
"30","      Structures","21","K16021",6.5,6.9,7.1,7.2,7.6,8.5,9.1,9.4,9.7,9.9,10.1,10.4,10.7,11.1,11.8,12.7,13.5,14.7,16.2,17.8,19.7,21.9,24,28.5,33,35.5,39.8,45,52.8,59.5,70.9,80.7,81,83.6,88.5,91.9,93.4,101.3,107.1,113.1,116.6,116.9,122.1,127.7,134.5,140.3,149.4,158.1,161.9,170.8,192.4
"31","      Equipment and software","22","K16022",13.6,14.5,15.4,16.3,17.3,19.4,21.3,22.2,23.1,24.1,24.5,25.4,26.4,27.9,30,32.9,36.4,40.2,44.5,49.1,53.6,57.7,63.9,74.5,89.4,99.7,111.2,127.3,146.7,171.8,196.7,215.7,228.1,243.9,262.8,284.7,305.6,326.3,349.1,371.6,392.1,406.1,427,447.3,486.5,516,550.3,586.6,631.4,687.7,730.6
"32","    Residential","23","K16023",4.9,5.2,5.5,5.8,6.1,6.6,6.9,7.1,7.5,7.8,8.2,8.5,8.8,9.3,10,10.7,11.5,12.5,13.9,14.9,16.4,18.2,20.7,23.8,26.8,29.2,33.1,38.5,44.3,50.7,56.2,60.2,62.6,66,69.5,74.2,79.3,84.8,90,94.8,97.9,101.3,106.9,120.2,120.1,125.6,132.7,139.6,150.4,159.5,171
"33","  Government","24","K16024",8.7,9.6,10.5,11.2,11.8,12.9,13.7,14,14.6,15.2,15.7,16.7,17.6,18.3,19.1,20.2,21.7,23.4,25.2,27.3,29.2,31.5,33.8,37.9,41.8,44.4,47.2,50.8,55.5,62.7,71,79,83.3,88.8,94,100.8,107.8,115,123,131.8,140,145.3,152.6,160,168.1,174.3,180.9,187.6,197.9,210.9,220.9
"34","    Structures","25","K16025",3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.8,6.1,6.5,6.8,7.2,7.9,8.5,9.2,10.2,11.5,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.1,28.2,32.4,36.7,39.6,40.4,41.3,42.8,45,47.7,49.9,52.2,54.9,56.9,58.5,61.3,64.6,68.5,71.9,75.7,79.2,83.5,89.1,94.1
"35","    Equipment and software","26","K16026",5.2,5.9,6.6,7.3,7.7,8.3,8.7,8.8,9.2,9.6,9.9,10.6,11.2,11.5,11.8,12.4,13.2,14.2,15,15.8,16.3,17.6,18.2,18.8,20.3,22.2,23.7,25.6,27.2,30.3,34.3,39.4,43,47.5,51.2,55.8,60.1,65.1,70.8,76.9,83.1,86.7,91.3,95.5,99.6,102.4,105.2,108.5,114.4,121.8,126.8
"36","Change in private inventories \7\","27","K16027",9.9,3.5,1.9,-1.9,5,3.9,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.2,15,21.1,62.6,33,30,62.9,73.1,59.5,63.6,-60.3
"37","Other changes in volume of assets",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Less: Other changes in volume of assets","28","K16028",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.8,0.6,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,8.8,0,2.3,18,4.1,21.5,2.4,0,0,0,3.5,0,14.6
