"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:24:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Government consumption expenditures and gross investment","A822RC1",9.6,10.3,10.2,9,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.9,65.5,98.1,108.7,96.6,43.2,40,44,50,50.7,73.5,89.8,97,92.8,93.3,98.5,107.5,114.5,118.9,121,129.8,140.9,147.9,155.5,164.9,186.4,208.1,226.8,240.4
"9","2","      Consumption expenditures \1\","A955RC1",6.7,7,7.1,6.7,6.9,8.1,8.3,9.2,9.3,9.9,10.6,11.2,17.1,36.5,58.2,70.6,71.3,38.5,34.3,35.5,38.7,39.3,54,65.2,70.4,67.4,68.9,71.4,77.3,81.9,83,85,89.9,98.3,103.4,109.1,117,132.8,150.4,167.5,180.9
"10","3","      Gross investment \2\","A782RC1",2.9,3.3,3.1,2.3,2,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29,39.9,38.1,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5
