"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"23","15","      Equals: Net structures","A594RC1",128.4,141.4,152.7,154.5,145.6,148,151.9,119.3,102.3,85.5,71.6,67.9,66.3,73.2,71.8,72.6,67.3,70,75.7,76.9,81.8,81.4,81.4,86.2,101.2,114.6,123.1,124.7,141.2,165.8,189.2,203.1,205.7,214.8,212.7,201,156.9,115.4,82.3,47.2,21.8,32.2,26.6,32.6,-0.5,23.6,46.2,58.6,64.1,70.2,75.1,92.4,59.3,77.3,91.5,90
"24","16","      Equipment","Y033RC1",749.4,774,774,767,751.7,716,692.4,686,671.4,660.7,658.9,647.5,642.2,660.7,679.6,693.4,680.6,709.6,732,754.6,765,782.6,805.2,810,851.3,852.4,857.3,863.6,876.9,888.2,887.6,890.4,878.9,856.9,822.4,742.4,659,634.4,639.1,644.8,682.7,719,751.2,774.4,798,809.9,849.8,873,895.4,907.9,902.2,925,928,934.6,935.8,951
"25","17","      Less: Consumption of fixed capital","Y080RC1",513.9,521.1,519.6,512.5,527.4,537.7,541.6,545.2,544.6,545.2,547.8,550.4,550.6,552.7,555.8,558.5,564.7,570.7,576,585.5,595,602.6,607.8,616.4,624,633.2,644.5,654.8,665.9,674.8,680.3,686.5,694.4,703.1,712.6,714.2,711,707.3,705.5,705,702.1,700.8,702.5,706,711.4,719.9,727.9,735.6,745.2,754.6,762.2,769.1,775.6,782,788.6,794.5
"26","18","      Equals: Net equipment","Y081RC1",235.5,252.8,254.4,254.5,224.2,178.3,150.8,140.7,126.9,115.6,111.1,97.2,91.6,108.1,123.8,134.9,115.9,138.9,156,169,169.9,180,197.4,193.6,227.3,219.2,212.8,208.7,211,213.4,207.3,204,184.5,153.8,109.8,28.2,-52,-72.9,-66.4,-60.3,-19.4,18.3,48.7,68.4,86.6,90,121.9,137.4,150.2,153.3,139.9,155.9,152.5,152.5,147.2,156.5
"27","19","      Intellectual property products","Y001RC1",397.9,407.3,413.6,419.4,421.5,416.4,409.4,403.1,401.9,405.6,410.6,407.3,410.8,416.1,425.9,430.9,432.6,435.4,445.7,454.8,464.8,474.7,480.3,480.8,489.1,497.7,510.5,521,529.7,534.1,537.6,550.2,562.5,568,565.5,557.6,545.3,548,548.5,561.9,559.2,558.3,565.1,574.8,582.9,593.1,601.6,608.8,614.9,622.2,627.5,635.4,644.3,643.5,654.1,662.2
"28","20","      Less: Consumption of fixed capital","Y083RC1",301.8,312.1,322.5,330.2,336,341.9,344.1,348.6,351.6,353.6,358.7,361.5,363.6,368.5,372.7,376,380.3,384,388,392.5,398.5,405.1,410.7,417.5,424.4,430.3,435.9,442.1,450.2,457,462.4,467.8,475.5,483.9,491.3,493.9,494.5,494.9,497.2,504.6,506.6,509.6,509.7,514.1,519.6,526.1,530.9,534.7,542.9,551.3,556.9,560.9,569.1,575.8,581.9,589.6
"29","21","      Equals: Net intellectual property products","Y084RC1",96.1,95.1,91.1,89.2,85.5,74.5,65.3,54.5,50.3,52,51.9,45.8,47.3,47.6,53.2,54.9,52.4,51.5,57.7,62.4,66.3,69.5,69.5,63.3,64.7,67.5,74.6,78.9,79.6,77.1,75.3,82.4,87,84.1,74.2,63.7,50.8,53.1,51.3,57.3,52.6,48.7,55.4,60.7,63.3,67,70.7,74.1,72.1,70.9,70.7,74.4,75.2,67.7,72.2,72.6
"30","22","    Residential","A011RC1",484.2,486.6,483.1,487.8,496.7,511,522.4,522.1,538.3,554.8,558.9,578.3,601.4,611.9,651.6,682.9,706,743.1,763.4,786.2,815.1,843.7,875.5,889.9,895.9,858.7,813.7,781.3,749.3,717.3,671.7,616.4,565.5,538.4,507.4,452.1,405.5,376.3,392,395.2,383.1,400.8,365.6,374.7,377.1,381,386.8,398.1,418.4,425.7,443.7,468.8,490.3,513.2,532.6,529.6
"31","23","    Less: Consumption of fixed capital","A754RC1",222.7,227.2,231.4,235.5,240.9,246.5,252,254.7,256.9,261.1,265,271.6,279,283.1,288.8,296.9,305.4,314.6,324.5,333.7,342.5,351.7,365.3,376.2,385.2,391.4,395.9,399.8,404.6,406.1,407.8,408.1,407.2,404.3,399,392.5,387.8,383,379.5,381.3,380.3,376.3,375.3,376,374.9,374.6,373.9,373.7,372.7,373.9,377.5,382.1,388.8,395.5,403.8,412
"32","24","    Equals: Net residential","A748RC1",261.5,259.4,251.7,252.3,255.8,264.5,270.4,267.4,281.5,293.8,293.9,306.8,322.4,328.8,362.8,386,400.6,428.5,439,452.4,472.7,492,510.3,513.7,510.6,467.4,417.8,381.5,344.7,311.2,263.9,208.3,158.3,134.1,108.3,59.5,17.6,-6.7,12.5,13.9,2.7,24.5,-9.6,-1.2,2.2,6.4,12.8,24.5,45.7,51.8,66.2,86.6,101.5,117.7,128.8,117.6
"33","25","  Change in private inventories","A014RC1",16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,21.5,45.8,-13.5,91.9,102.9,66.8,81.6,13,63.4,77.2,144.8,156.7
"34","26","Gross government investment \1\","A782RC1",387.7,386,391.6,395.7,401.7,421.7,406.7,424.4,434.4,439.4,448,452.5,455.3,461,472.2,472.4,475.3,487.6,494.4,496.6,498.2,509.6,519.4,527.4,534.3,553.7,555.8,565.7,575.6,590.7,597.2,605.3,611.4,632.8,645.8,648.6,642.7,651.9,651.4,642.1,635.4,655.3,660.5,656,633.9,633.2,631.6,631.8,617.3,625.3,620.6,612.5,598.8,604.4,614.4,610.4
"35","27","Less: Consumption of fixed capital","A264RC1",273,276.4,279.4,281.9,283.8,285.6,287,288.8,290.8,292.9,295.2,297.3,300.4,303.2,306.4,309.4,313.2,318.7,325.4,332.3,337.1,343.3,350.1,356.1,360.9,368,373.8,381.4,389.9,396.2,402.5,408.9,416,422.7,430.1,437.2,441.2,442.1,442.5,445.1,450.2,456,460.5,465.5,470.6,476.2,481,484.7,488.9,492.7,495.3,497.4,500.5,503.4,506.1,510.9
"36","28","Equals: Net government investment","A889RC1",114.8,109.6,112.2,113.8,117.9,136.2,119.7,135.7,143.6,146.6,152.8,155.2,155,157.8,165.8,163,162.1,168.8,169,164.3,161.1,166.3,169.2,171.3,173.4,185.7,182,184.2,185.6,194.5,194.7,196.5,195.3,210.1,215.7,211.4,201.5,209.8,208.9,197,185.2,199.3,200,190.5,163.3,156.9,150.5,147.1,128.4,132.6,125.3,115.1,98.3,101,108.2,99.5
"37","29","    Federal","A890RC1",-3.7,-4.7,-3.6,-4.5,-4.2,0.2,2.4,3.8,7.8,14,19.2,20,21.2,26.9,27.9,28.2,28.6,31.6,35.6,33.7,31.5,33.5,36.3,32.8,36.6,39.1,35.2,38.4,34.8,40.4,40.3,39,39.5,50,53.6,54.6,44.7,49.4,52.5,51.1,49.9,55.4,55.9,57.3,43,41.9,37.2,33.6,22,24.4,23.1,17.7,7.1,9.8,11,0.9
"38","30","      National defense","B891RC1",-16.6,-16.7,-15.4,-15.3,-15.5,-11.7,-9.5,-8.5,-7,-1.1,3.4,3.9,5.1,8.9,10.3,11.9,12.7,14.8,19.5,17.6,16.2,18.8,20,16.8,17.8,22.5,18.5,22.1,19.5,24.7,24.1,23,23.8,33.1,35.9,36.3,27,31.9,32.9,29.6,25.9,28.6,28.8,30.4,16,16.9,14,13.4,3.3,6.1,5.4,1.4,-6.5,-2.6,-0.9,-8.7
"39","31","      Nondefense","B892RC1",12.9,12,11.8,10.8,11.4,11.9,11.9,12.3,14.8,15.1,15.8,16.1,16.1,18,17.6,16.3,15.9,16.9,16.1,16.1,15.4,14.7,16.2,16,18.8,16.6,16.7,16.3,15.4,15.7,16.2,16,15.7,16.9,17.7,18.3,17.7,17.6,19.6,21.5,24,26.8,27.1,26.9,27,25,23.2,20.2,18.7,18.3,17.7,16.3,13.6,12.3,11.9,9.6
"40","32","    State and local","A893RC1",118.4,114.3,115.8,118.3,122.1,135.9,117.3,131.8,135.8,132.6,133.6,135.2,133.8,130.9,138,134.8,133.5,137.2,133.4,130.6,129.6,132.8,133,138.5,136.7,146.7,146.8,145.8,150.8,154.1,154.5,157.5,155.8,160.1,162.1,156.8,156.8,160.3,156.4,145.9,135.3,143.9,144.1,133.2,120.3,115.1,113.3,113.5,106.4,108.2,102.2,97.4,91.2,91.3,97.2,98.6
"41","33","  Structures","A760RC1",190.4,186.6,189.6,192.3,197.6,213.9,197.3,214.2,220.4,219.3,222.1,226,226.4,225.7,233,229,230,237.3,238.2,237.3,238.4,243.8,249,255.9,256.3,270.4,271.7,275.5,285.3,292.4,294.5,297.9,298.9,308.3,315.4,318.8,320.7,323.4,320.9,310.7,302.7,318.3,321,310.6,300.2,295.4,293.4,294.2,287.7,289.3,283.4,281,272.8,273.9,281.5,282.6
"42","34","  Less: Consumption of fixed capital","A894RC1",86.2,88,89.2,90.5,92,92.9,93.9,95.4,96.5,97.8,98.9,99.7,101.6,102.4,103.3,104.2,105.6,108.6,113.1,117.2,118.9,122.4,126.6,129.7,131.5,135.8,139.1,143.6,148.3,151.2,154,157.1,159.7,162,165,168.6,170.3,169.1,168.2,168.7,169.8,171.2,172.6,174.3,176.1,178.7,181.4,184.2,186.1,188.1,189.5,190.7,192.8,194.3,195.8,198
"43","35","  Equals: Net structures","A895RC1",104.2,98.6,100.4,101.9,105.6,121,103.4,118.8,123.9,121.4,123.2,126.2,124.9,123.3,129.7,124.8,124.4,128.6,125.1,120.2,119.4,121.4,122.4,126.2,124.9,134.6,132.7,131.9,136.9,141.2,140.5,140.8,139.1,146.4,150.4,150.2,150.4,154.3,152.6,141.9,133,147.1,148.3,136.3,124,116.7,112,110,101.6,101.2,93.9,90.3,80,79.6,85.7,84.6
"44","36","      Federal","A896RC1",-1.4,-2.5,-2.6,-3.7,-3.9,-3.3,-3.2,-3,-1.5,-1.3,-0.9,-0.6,-0.4,0.5,0.3,-1.3,-1.1,-1.3,-1.7,-3.9,-3.9,-5,-4.5,-6.4,-5.4,-4.7,-5.2,-2.8,-3.5,-0.6,-0.9,-2.1,-2.7,0.3,2.2,4,3.9,4,6,6.9,6.6,10,9.9,8.8,9.2,7.4,4.4,0.9,-0.8,-2.4,-4.5,-2.8,-7.1,-7.5,-7.3,-8.7
"45","37","        National defense","B897RC1",-4,-4,-3.4,-3.9,-4.4,-3.9,-4.3,-4.1,-3.9,-3.7,-3.3,-3.3,-2.8,-2.7,-2.6,-3,-2.9,-3.4,-3.2,-4.2,-3.7,-4.1,-3.9,-4.5,-4.6,-4.3,-4.7,-3.9,-3.9,-1.5,-2.6,-3.5,-2.7,-0.1,1.3,2.7,3.1,3.7,4.6,4.2,2.9,3.6,4.1,3.4,2,1,-0.9,-2.7,-4.2,-5.4,-6.7,-5.2,-7.3,-7.3,-7.4,-8.6
"46","38","        Nondefense","B898RC1",2.6,1.4,0.8,0.2,0.4,0.6,1.1,1.1,2.4,2.3,2.4,2.7,2.4,3.2,2.9,1.7,1.8,2,1.5,0.3,-0.2,-0.9,-0.5,-1.8,-0.9,-0.4,-0.5,1.1,0.5,0.9,1.7,1.4,0,0.4,1,1.4,0.8,0.3,1.4,2.7,3.8,6.4,5.8,5.4,7.1,6.4,5.3,3.6,3.5,3,2.2,2.4,0.2,-0.2,0.1,-0.2
"47","39","      State and local","B899RC1",105.6,101.2,103,105.5,109.6,124.3,106.7,121.8,125.4,122.8,124.1,126.8,125.3,122.8,129.4,126.1,125.5,130,126.8,124.1,123.3,126.4,126.9,132.6,130.3,139.3,137.8,134.7,140.4,141.8,141.4,143,141.8,146.1,148.2,146.1,146.5,150.3,146.6,135,126.4,137.1,138.5,127.5,114.9,109.3,107.6,109.1,102.4,103.7,98.4,93.1,87.1,87.2,92.9,93.3
"48","40","  Equipment","Y054RC1",87,87,88.1,87.4,86,88.5,89.2,89.1,91.1,95.4,98.5,97.3,96.7,100.1,101.2,102.6,103,106.2,109.3,110.4,109.1,112.5,115.3,115.1,120.2,123.9,122.6,126.3,124.1,130.3,132.8,135.7,137.4,147.5,152.1,151.5,143.7,149.4,150.4,149.5,148.4,151.1,150.7,154.6,142.9,147,147.5,148,142.5,148.8,150,145.5,138.3,142.9,144.6,140.1
"49","41","  Less: Consumption of fixed capital","Y085RC1",82.5,83,83.6,84,84,84.4,84.7,84.4,84.7,85,85.3,86,86.3,86.8,87.6,88.4,89.2,90.3,91.2,92.2,93.4,94.3,95.2,96.1,97.3,98.6,99.6,100.9,102.4,103.5,104.8,106.2,107.9,110,112.3,114.6,116.1,117.5,118.3,118.9,120.7,122.3,123.6,124.5,126,127.4,128.4,128.8,130,130.7,131.2,131.7,132.1,132.7,133,133.8
"50","42","  Equals: Net equipment","Y086RC1",4.5,3.9,4.5,3.5,2,4,4.5,4.7,6.5,10.4,13.2,11.3,10.4,13.3,13.6,14.3,13.8,15.8,18.2,18.2,15.6,18.3,20.1,19,23,25.3,23,25.4,21.7,26.7,28,29.5,29.5,37.5,39.8,36.9,27.6,31.9,32.1,30.7,27.7,28.8,27.1,30.1,16.9,19.6,19,19.2,12.4,18.2,18.8,13.8,6.2,10.1,11.6,6.3
"51","43","      Federal","Y087RC1",-5.6,-6.3,-5.5,-6.2,-7.3,-4.6,-3.4,-2.8,-1.4,3.3,6.6,5.4,4.6,7.7,8,8.7,8.8,11.5,14.7,14.7,12.2,14.9,17,16.3,19.9,21.7,18.1,18.6,15.7,18.8,19.2,19.4,20.3,28.5,30.9,30.9,21.7,26.4,27,24.8,23.5,26.4,26,28.8,16,18.3,17.6,19.1,12.3,17.4,18.5,13,6.9,10.4,11.8,5.6
"52","44","        National defense","Y088RC1",-7.4,-8,-7.6,-7.6,-8,-5.5,-4,-4.3,-3.9,0.5,3.3,2.3,1.7,4.3,4.6,5.6,5.6,7.4,11.2,10,7.8,10.7,11.7,9.6,11.2,15.5,11.7,14.1,11.2,14.1,14.8,14.8,15.2,22.7,25.2,25.2,16.5,21.5,22.1,20,17.7,20.4,20.1,23.1,10.9,13.8,13.3,14.6,7.4,12.5,13.6,8.2,2.5,6.4,8.3,2.5
"53","45","        Nondefense","Y089RC1",1.9,1.7,2,1.4,0.7,0.9,0.6,1.5,2.5,2.8,3.3,3.2,2.8,3.5,3.4,3,3.2,4.1,3.5,4.7,4.4,4.2,5.3,6.7,8.7,6.1,6.4,4.5,4.5,4.7,4.5,4.6,5.1,5.8,5.7,5.7,5.2,4.9,5,4.7,5.8,6,5.9,5.7,5.1,4.5,4.3,4.5,4.9,4.9,4.9,4.8,4.4,4,3.6,3
"54","46","      State and local","Y090RC1",10.1,10.2,10,9.7,9.3,8.6,7.8,7.5,7.9,7.1,6.6,5.9,5.9,5.6,5.6,5.6,5,4.4,3.5,3.5,3.4,3.3,3,2.7,3,3.7,5,6.8,6,8,8.7,10.2,9.2,9,8.9,6,5.8,5.4,5.1,5.9,4.2,2.4,1.1,1.3,1,1.3,1.4,0.1,0.1,0.8,0.3,0.8,-0.7,-0.3,-0.3,0.7
"55","47","  Intellectual property products","Y055RC1",110.3,112.4,113.9,116,118.1,119.3,120.2,121.1,122.9,124.7,127.3,129.2,132.2,135.2,138,140.7,142.2,144.1,146.9,148.9,150.8,153.2,155.1,156.4,157.7,159.4,161.4,163.9,166.2,168,169.9,171.7,175.1,176.9,178.3,178.4,178.3,179.1,180.1,181.9,184.3,185.9,188.8,190.8,190.9,190.8,190.7,189.5,187.2,187.2,187.2,186.1,187.6,187.6,188.3,187.6
"56","48","  Less: Consumption of fixed capital","Y091RC1",104.3,105.4,106.6,107.5,107.8,108.2,108.4,109,109.7,110.1,111,111.6,112.5,114,115.5,116.8,118.3,119.8,121.2,122.9,124.7,126.7,128.3,130.3,132.1,133.6,135.1,136.9,139.2,141.5,143.7,145.6,148.4,150.7,152.8,154,154.7,155.5,156,157.5,159.7,162.5,164.3,166.7,168.5,170.2,171.2,171.7,172.8,174,174.7,175.1,175.6,176.4,177.3,179
"57","49","  Equals: Net intellectual property products","Y092RC1",6,7,7.3,8.5,10.3,11.1,11.8,12.1,13.2,14.7,16.4,17.6,19.7,21.2,22.5,23.9,23.9,24.3,25.7,26,26,26.6,26.8,26.1,25.6,25.8,26.3,26.9,27,26.6,26.2,26.1,26.7,26.2,25.4,24.4,23.6,23.6,24.1,24.4,24.5,23.5,24.5,24.1,22.4,20.6,19.5,17.8,14.4,13.2,12.6,11,12,11.3,11,8.6
