"","Table 7#2#5U# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","3","        Truck output","A716RC0",7440,6987,6593,6933,7815,8814,8509,9197,9430,9212,10265,10150,8913,8793,8940,7064,9876,10345,10900,11330,13202,14154,12668,15240,16912,16957,17592,17691,18505,17863,19168,20169,15713,15738,17206,17904,20359,23023,25324,24256,29063,29424,32705,33546,31654,35911,37805,41959,44175,39084,35662,32585,28657,23784,25004,28778,28287,31003,29371,30524,31893,33381,30124,28024,31534,37162,42387,50842,53987,55598,56755,61803,60718,66374,70674,70854,63536,68130,67420,65651,65891,69597,71739,72307,72078,71557,73545,80878,89133,82936,86377,81502,76691,78450,75908,66887,59137,67042,72278,71404,76063,80377,83835,95359,97371,99821,103008,115301,123182,120464,128344,131181,133903,136103,140926,148215,143163,150708,154203,158055,165468,165843,180591,193495,187526,190869,179972,215519,218432,217144,230178,228682,229487,224199,209674,202279,191936,207848,206164,217171,221858,232851,251037,239981,238001,249400,255146,262504,264999,252687,273808,267244,257971,269949,285066,248756,252730,250649,259893,245973,250780,256295,259523,242558,221356,196459,170173,141733,129443,132266,174224,182913,199482,212258,237502,235965,250364,240150,262865,273484,277717,289114,287723,286629,294242,315829,315253,322713,317088
"12","4","Final sales of domestic product","AB60RC0",33817,36655,36409,35329,40480,40854,43269,43537,45219,43873,44294,43547,39563,40813,40634,31669,45317,47161,48310,51079,52184,54328,55326,59172,65405,63734,62190,57688,54342,55517,60221,52803,53340,54484,62644,66084,72574,74524,78792,81460,92412,92712,91976,95129,93420,108466,106238,109519,111247,102089,108182,101740,99701,77357,87978,91456,103477,96044,106636,88397,98244,95926,96209,107439,104817,121553,133111,145086,150185,156358,153952,159988,172420,174051,194162,168767,170419,179986,204653,185366,160888,179227,199374,179862,201831,198770,194684,201575,203928,206703,219900,194965,215313,196857,196955,183391,180328,178815,187442,182314,192780,202054,206636,218465,208259,232402,231216,250494,269269,259451,266556,274551,264608,262624,277711,287604,287953,288521,294232,305124,310978,298635,319710,330566,311780,336539,338172,374982,345924,369245,375106,362737,386529,354206,349551,343464,355669,348272,344177,403103,369035,368860,395256,361899,359264,369830,392749,376123,379443,382244,400423,418284,414745,430822,440596,381921,409310,402077,412152,403762,410453,413901,405301,411424,377327,342252,328854,257431,261008,267048,289782,262371,292864,309562,326639,350001,363639,377014,374968,395754,409495,417590,421402,430867,447542,446206,441747,443760,455168
"13","5","  Personal consumption expenditures","AB61RC0",23925,26554,26190,25732,29413,29936,32094,31761,32443,31742,32236,31760,29151,30192,30259,24202,34211,35470,36427,38280,39046,40571,41479,44346,48424,47042,45077,41297,37879,38594,42348,35815,37866,38343,44981,48235,54738,55811,57270,59401,65610,65970,67065,69030,67079,78158,76495,77292,77053,70725,75204,72379,74171,57152,66173,68520,77252,70729,78600,67188,77506,76579,78151,86100,84738,99707,104790,114075,120218,124273,123690,129411,139942,142129,161694,142563,146184,156808,184187,168719,146569,162768,179798,167828,179770,175914,170499,177426,179916,181290,189445,172570,189747,177862,174668,165184,154447,153141,163549,160644,170200,173937,177741,182407,181281,193141,194526,206725,213980,212336,213764,224345,215795,216550,221848,227179,231982,235877,236149,239344,252232,240901,257309,265355,254539,275413,281718,311241,293443,316630,319675,308894,336848,311973,316960,319978,331712,324274,327968,384163,352688,353735,379118,353149,346146,359206,367761,356476,358324,359085,362271,369070,361185,375503,374290,326401,340249,339609,344573,341597,342468,347831,344508,342517,320748,299040,279848,239651,248602,253635,290714,268180,268247,282244,289665,305822,310570,299608,303213,323195,333518,333021,339940,353178,358935,359412,364500,363691,366884
"14","6","    New motor vehicles","AB67RC0",19799,22216,21472,20837,24972,25297,26848,26843,27134,26628,27061,26545,24328,24955,25158,19311,29200,29800,30645,32495,33155,34571,35155,37801,41544,40179,38209,34908,31530,31890,35069,28275,30966,30771,36832,39704,45386,45615,46651,48904,54272,55526,55842,57791,56159,66451,63861,64465,64445,58435,62321,60424,61325,46093,54349,55558,63679,56260,63724,52903,62522,62041,62223,70326,68920,82920,85878,93749,98252,99929,96346,104137,111958,113681,132114,113567,117560,128379,153239,137009,117598,129643,141272,126646,141176,138151,133937,139618,140230,139095,149270,128622,146676,135976,132453,123551,109768,110759,115990,115097,123171,124476,127714,131400,128004,138215,138967,150398,150130,150538,148918,155216,143906,146181,145871,153845,153530,152655,150064,155633,157313,151775,166526,173220,165639,185811,174582,191463,190776,200409,202512,206537,218959,209549,212261,202065,217255,215314,211869,275632,244735,231951,256237,241280,237030,254719,261582,253096,255959,250258,250837,252669,243849,265460,266927,219341,231658,231613,236776,232138,236906,236100,229099,230500,213227,196480,182719,148446,149960,154163,190393,167976,166506,179297,184773,198579,204964,199200,203610,223372,231910,233622,237459,244338,246131,247813,251436,251727,252207
"15","7","      Autos","A136RC0",18776,21166,20370,19772,23647,23892,25354,25151,25383,24912,25341,24784,22797,23465,23570,17948,27437,27660,28135,29552,29887,31008,31743,33829,36696,35617,33480,29931,27137,27173,29878,23832,26900,26116,31139,33170,37735,37446,37539,39948,43438,44630,44756,44803,43410,51437,49228,50009,51016,47042,50289,48714,52329,38646,46428,48178,56001,47762,54352,44623,51313,51492,51697,58842,56549,66772,67486,73308,76901,77632,74177,79866,82497,84144,97683,80696,87616,94235,112487,101541,84544,90795,101891,87913,100443,96902,92567,96789,94534,93636,100517,82862,97024,90436,88986,82254,71197,71532,73241,73155,78682,76586,77165,79632,76100,81624,82146,88230,86462,86130,85566,87526,79632,81436,81272,85392,82764,81611,79010,81117,81956,75890,83364,85203,82003,89149,83866,89686,88899,94856,95549,99502,104450,101116,98320,93691,97062,93000,88994,112313,96967,93478,98834,91528,92365,89931,91385,88470,91994,90023,88351,93661,93391,98543,100605,93818,99513,98818,101012,97416,97172,96585,90307,96627,93661,97935,83211,65841,61295,63281,89567,70565,64819,67905,70722,74289,80366,79461,75362,84212,94980,92869,93642,96802,96225,93144,94656,97633,91784
"16","8","        Domestic","GAP500",17325,19528,18637,17926,21497,21729,22946,22716,23086,22284,22687,21867,19959,20358,20476,14203,23535,23445,23770,25742,25736,26750,27132,28590,31194,30009,28400,24030,21520,22477,24159,18496,20419,19734,24217,26874,31534,31139,30302,31860,34853,34097,34651,34718,33335,40587,38013,38289,37738,32088,36229,33910,34830,24649,30191,31015,37167,29494,36317,26094,32337,33912,32228,35687,34575,43395,43217,44909,49609,49140,47289,49305,52502,51561,63279,44586,54838,59080,73282,60128,49752,53248,60400,49348,61604,57721,54010,58226,59797,57511,64885,50179,61952,56497,56874,50713,45460,44235,45510,46947,49866,47474,49919,51010,49867,53036,54256,60349,59031,58096,56677,60512,53451,54735,56317,60401,59253,57648,53203,54818,53631,49577,54313,54176,52295,58882,54809,59243,58962,61686,62055,62383,69447,66431,64095,59305,65070,59514,57116,77726,64285,62138,66800,60381,59823,59915,60502,58589,59969,57087,57210,59066,60585,64461,65235,59100,64919,61650,63306,58400,60695,60320,55436,60913,58869,59413,50302,41110,37590,39182,60073,44879,41552,43608,44699,48336,53353,52469,48712,56663,62999,62048,62858,63994,64527,61472,61393,63186,60416
"17","9","        Foreign","GAP530",1451,1638,1733,1846,2150,2163,2408,2435,2297,2628,2654,2917,2838,3107,3094,3745,3902,4215,4365,3810,4151,4258,4611,5240,5502,5608,5080,5902,5617,4696,5719,5336,6481,6381,6922,6295,6201,6306,7237,8087,8585,10533,10105,10085,10075,10850,11215,11720,13278,14954,14060,14804,17499,13997,16237,17163,18834,18268,18035,18529,18976,17581,19469,23155,21974,23378,24270,28399,27291,28492,26887,30561,29995,32583,34405,36110,32778,35155,39205,41413,34792,37548,41491,38565,38839,39181,38557,38563,34738,36124,35631,32683,35072,33939,32112,31541,25738,27297,27730,26208,28816,29112,27246,28622,26233,28587,27890,27881,27431,28034,28890,27014,26181,26701,24955,24991,23511,23962,25808,26299,28325,26313,29051,31027,29708,30267,29057,30443,29937,33170,33495,37119,35003,34685,34225,34385,31992,33487,31877,34587,32682,31341,32034,31148,32542,30016,30883,29881,32026,32936,31140,34595,32806,34082,35370,34719,34594,37168,37706,39016,36476,36264,34872,35714,34792,38522,32909,24731,23705,24099,29494,25686,23267,24297,26023,25953,27014,26992,26651,27549,31981,30821,30785,32807,31698,31673,33263,34447,31368
"18","10","      Light trucks (including utility vehicles)","B704RC0",1023,1050,1102,1065,1325,1405,1494,1692,1751,1716,1720,1761,1531,1490,1588,1363,1763,2140,2510,2943,3268,3563,3412,3972,4848,4562,4729,4977,4393,4717,5191,4443,4066,4655,5693,6534,7651,8169,9112,8956,10834,10896,11086,12988,12749,15014,14633,14456,13429,11393,12032,11710,8996,7447,7921,7380,7678,8498,9372,8280,11209,10549,10526,11484,12371,16148,18392,20441,21351,22297,22169,24271,29461,29537,34431,32871,29944,34144,40752,35468,33054,38848,39381,38733,40733,41249,41370,42829,45696,45459,48753,45760,49652,45540,43467,41297,38571,39227,42749,41942,44489,47890,50549,51768,51904,56591,56821,62168,63668,64408,63352,67690,64274,64745,64599,68453,70766,71044,71054,74516,75357,75885,83162,88017,83636,96662,90716,101777,101877,105553,106963,107035,114509,108433,113941,108374,120193,122314,122875,163319,147768,138473,157403,149752,144665,164788,170197,164626,163965,160235,162486,159008,150458,166917,166322,125523,132145,132795,135764,134722,139734,139515,138792,133873,119566,98545,99508,82605,88665,90882,100826,97411,101687,111392,114051,124290,124598,119739,128248,139160,136930,140753,143817,147536,149906,154669,156780,154094,160423
"19","11","        Domestic","ETRUPD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129021,120814,138792,130986,123225,140689,145309,141858,140831,137914,140286,135961,129055,143973,144310,106523,111839,111222,114415,111493,116535,116533,116406,110900,98909,80067,82667,66933,70605,75591,83136,82347,85884,95477,96339,105218,105005,102042,109782,119379,116289,119595,122874,126008,128072,131551,132509,129414,136124
"20","12","        Foreign","ETRUPM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18747,17659,18611,18766,21440,24099,24888,22767,23134,22321,22200,23047,21403,22944,22012,19000,20307,21574,21349,23228,23200,22982,22386,22973,20657,18478,16841,15672,18060,15291,17691,15065,15803,15915,17712,19072,19593,17697,18465,19781,20641,21159,20943,21528,21834,23118,24272,24681,24299
