"","Table 7#2#5U# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"21","13","    Net purchases of used autos and used light trucks","W240RC0",4126,4338,4718,4895,4441,4639,5246,4918,5309,5114,5175,5215,4823,5237,5101,4891,5011,5670,5782,5785,5891,6000,6324,6545,6880,6863,6868,6389,6349,6704,7279,7540,6900,7572,8149,8531,9352,10196,10619,10497,11338,10444,11223,11239,10920,11707,12634,12827,12608,12290,12883,11955,12846,11059,11824,12962,13573,14469,14876,14285,14984,14538,15928,15774,15818,16787,18912,20326,21966,24344,27344,25274,27984,28448,29580,28996,28624,28429,30948,31710,28971,33125,38526,41182,38594,37763,36562,37808,39686,42195,40175,43948,43071,41886,42215,41633,44679,42382,47559,45547,47029,49461,50027,51007,53277,54926,55559,56327,63850,61798,64846,69129,71889,70369,75977,73334,78452,83222,86085,83711,94919,89126,90783,92135,88900,89602,107136,119778,102667,116221,117163,102357,117889,102424,104699,117913,114457,108960,116099,108531,107953,121784,122881,111869,109116,104487,106179,103380,102365,108827,111434,116401,117336,110043,107363,107060,108591,107996,107797,109459,105562,111731,115409,112017,107521,102560,97129,91205,98642,99472,100321,100204,101741,102947,104892,107243,105606,100408,99603,99823,101608,99399,102481,108840,112804,111599,113064,111964,114677
"22","14","      Used autos","A137RC0",3957,4149,4518,4716,4246,4463,5084,4747,5134,4937,4986,5007,4626,5028,4875,4707,4792,5428,5528,5516,5608,5741,6065,6253,6535,6518,6523,6044,6000,6355,6930,7191,6556,7228,7805,8187,8946,9726,10085,9899,10707,9781,10528,10512,10171,10827,11709,11805,11615,11376,11726,10583,11587,9848,10394,11562,12126,12889,13184,12844,13066,12782,14270,14086,14298,14628,16286,17292,18746,20998,24090,21822,23931,24473,24924,24368,23836,22614,23602,25075,22915,25909,31077,33683,30319,29160,27749,28531,29901,32213,29013,32861,30064,29135,29309,28744,31946,29142,33021,31400,32784,34551,34680,35561,37654,38256,39056,38498,46364,44171,47261,49590,51307,48912,53296,48505,51039,55232,57165,53229,62395,55161,54330,56345,53620,52407,63465,68242,57360,64467,65085,55106,65116,54389,54744,65785,60639,58934,60792,54601,55951,62392,62191,56433,55534,53411,54663,53882,53097,57736,58681,61009,60865,57624,55831,56262,56287,55207,54197,53590,50861,53163,54412,53226,51849,49643,46308,40354,42569,42011,42726,43333,43800,43956,45713,48275,49465,49005,48601,48450,49016,46886,47342,50442,50903,49201,50391,49487,49744
"23","15","        Margin","GAP560",2308,2415,2536,2617,2602,2644,2735,2891,2942,2802,2804,2880,2648,2758,2823,2659,3061,3394,3400,3509,3582,3885,3801,3949,4098,3921,3820,3754,3290,3649,4095,3777,3872,3992,4277,4811,5301,5420,5676,5983,6020,5783,5791,5826,5613,6425,6546,6324,6170,5778,5453,4963,4988,4461,4816,5434,6053,6260,6607,6465,6793,6318,6734,7231,7650,8542,8980,9081,8716,9161,9219,8817,8753,9359,9724,9440,9474,9878,11411,11337,11193,13358,14824,14273,13075,12507,12927,13215,14787,14423,14154,15176,13947,12730,12909,12355,13558,12774,13138,13254,13205,13674,14150,14789,14853,15816,16815,16969,18221,18610,19565,22261,21685,22019,21501,20596,22538,23294,23676,23457,24784,23542,24890,24991,22776,22673,23501,24645,22915,24836,25165,23169,25510,23242,23439,24784,25152,26514,25544,24980,26054,25428,23658,23919,23673,21820,23227,23375,22126,26285,26490,26764,28182,27290,25343,26810,27337,26260,26553,27296,26022,27509,28290,27219,25303,22872,21632,18225,18805,18455,18786,19538,20714,21257,21864,22461,22757,23376,23480,23952,25269,24440,24393,26021,25153,22823,23590,22754,23250
"24","16","        Net transactions","GAP590",1932,2032,2272,2392,1940,2129,2651,2160,2499,2457,2494,2442,2294,2600,2370,2369,2051,2370,2452,2334,2353,2193,2589,2630,2758,2934,3029,2623,3055,3079,3210,3801,3076,3638,3914,3760,4036,4722,4825,4345,5125,4458,5184,5133,5053,4929,5717,6065,6044,6217,6912,6287,7283,6095,6310,6888,6850,7429,7400,7230,7149,7366,8433,7776,7548,7000,8196,9103,10917,12750,15769,13904,16074,16028,16093,15820,15253,13647,13085,14639,12620,13453,17152,20307,18310,17720,15888,16382,16347,19024,16093,18918,17518,17806,17801,17790,19956,17936,21450,19714,21314,22613,22265,22508,24535,24176,23977,23264,29878,27296,29431,29065,31357,28628,33529,29643,30236,33672,35224,31507,39346,33354,31175,33089,32580,31468,41699,45332,36180,41366,41655,33671,41341,32882,33040,42736,37222,34155,36983,31356,31632,38699,40268,34249,33596,33325,33170,32241,32706,33185,33927,35980,34418,32070,32224,31188,30685,30682,29380,28029,26574,27389,27858,27742,28281,28506,26410,23864,25499,25290,25675,25530,24821,24433,25584,27548,28443,27364,26856,26233,25482,24181,24685,26156,27485,28112,28537,28468,28229
"25","17","        Employee reimbursement","GAP620",-283,-298,-290,-293,-296,-310,-302,-304,-307,-322,-312,-315,-316,-330,-318,-320,-321,-336,-324,-327,-326,-336,-325,-325,-321,-336,-326,-333,-345,-373,-375,-387,-392,-402,-386,-384,-391,-416,-416,-429,-438,-460,-447,-447,-495,-527,-554,-584,-599,-619,-639,-667,-684,-708,-732,-760,-777,-799,-822,-850,-876,-903,-896,-921,-900,-914,-891,-891,-886,-913,-897,-899,-896,-914,-893,-893,-891,-911,-894,-900,-898,-902,-899,-898,-1066,-1066,-1066,-1066,-1233,-1233,-1233,-1233,-1401,-1401,-1401,-1401,-1568,-1568,-1568,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"26","18","      Used light trucks (including utility vehicles)","W241RC0",169,189,200,179,195,176,162,171,175,177,189,208,197,209,226,184,219,242,254,269,283,259,259,292,345,345,345,345,349,349,349,349,344,344,344,344,406,470,534,598,631,663,695,727,749,880,925,1022,993,914,1157,1372,1259,1211,1430,1400,1447,1580,1692,1441,1918,1756,1658,1688,1520,2159,2626,3034,3220,3346,3254,3452,4053,3975,4656,4628,4788,5815,7346,6635,6056,7216,7449,7499,8275,8603,8813,9277,9785,9982,11162,11087,13007,12751,12906,12889,12733,13240,14538,14147,14245,14910,15347,15446,15623,16670,16503,17829,17486,17627,17585,19539,20582,21457,22681,24829,27413,27990,28920,30482,32524,33965,36453,35790,35280,37195,43671,51536,45307,51754,52078,47251,52773,48035,49955,52128,53818,50026,55307,53930,52002,59392,60690,55436,53582,51076,51516,49498,49268,51091,52753,55392,56471,52419,51532,50798,52304,52789,53600,55869,54701,58568,60997,58791,55672,52917,50821,50851,56073,57461,57595,56871,57941,58991,59179,58968,56141,51403,51002,51373,52592,52513,55139,58398,61901,62398,62673,62477,64933
"27","19","        Margin","W491RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016,1374,1605,1805,1883,1941,1881,1991,2326,2251,2567,2449,2341,2742,3378,3027,2870,3439,3544,3531,3702,3805,3898,4152,4659,4794,5295,5088,5500,5168,5061,4922,4913,4917,5098,4577,3804,3498,3255,3171,3779,4374,4722,5546,5827,6231,6456,7291,7497,7734,8067,8706,9452,9554,9812,10314,10526,11298,12483,12461,11382,11863,12479,14003,13086,14536,14630,13660,15045,13827,14430,14564,14891,15664,15290,15770,17046,17057,16058,16532,16121,14960,16313,16451,15607,17658,17841,17590,18718,17260,15526,15771,16315,15774,15971,16518,15636,16550,17273,16062,14245,11865,10858,10644,11360,12244,12406,12764,13824,14714,15149,14847,14012,13018,12899,13892,14801,14282,14515,15293,15214,14235,14831,14427,15642
"28","20","        Net transactions","W492RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,786,1021,1230,1336,1405,1373,1461,1727,1724,2089,2179,2447,3073,3968,3608,3185,3778,3905,3968,4573,4798,4915,5126,5126,5188,5867,5999,7507,7583,7844,7966,7820,8323,9440,9570,10441,11411,12092,12276,11844,12297,11781,12282,11659,11396,11129,12248,13085,13723,14614,16123,17961,18436,19108,20168,21998,22667,23970,23329,23899,25332,31192,37534,32222,37218,37448,33591,37727,34208,35525,37564,38927,34362,40017,38160,34957,42335,44631,38904,37461,36117,35203,33047,33662,33433,34911,37801,37753,35160,36007,35027,35989,37015,37629,39351,39065,42018,43724,42729,41428,41053,39963,40207,44713,45217,45189,44107,44118,44277,44031,44120,42128,38386,38103,37481,37791,38231,40624,43105,46687,48162,47842,48050,49292
"29","21","  Private fixed investment","AB62RC0",9220,9435,9660,9394,11099,11427,12136,12886,13229,13503,13646,13458,12145,12095,11965,9570,13293,14027,15088,16083,16588,17197,16803,18444,20288,20252,20188,19288,19733,20077,20725,18688,16256,16418,18606,19435,21102,21961,24051,24288,29116,30279,29976,32461,33039,37589,36727,38849,39661,37830,38448,34845,33681,28410,31477,31851,34297,34714,36803,33566,35205,34372,33804,34103,36635,39462,44243,50757,52061,54637,53906,54560,56165,58294,60865,58497,57141,58956,60734,56148,53797,57572,57590,51682,57880,58168,57258,61135,55809,57751,55043,49993,52964,51904,54254,52320,51709,52689,54622,54275,53893,56228,55995,61111,62099,71410,69951,78317,88046,88006,92953,99549,96279,92858,95781,97982,95975,99800,105879,108618,110781,108923,112421,113619,109376,115354,112085,129160,127816,130917,137864,135261,137980,129688,124374,113982,114088,111918,104373,105054,105358,105671,108906,102739,97675,101501,109547,112049,113894,119964,130114,138653,136496,141414,151402,149194,165883,158002,155133,157466,153652,143827,140575,139640,131131,111199,94300,61534,34983,38906,41003,47152,72066,91048,99931,106372,115960,120433,136084,142148,154694,160908,162618,160444,161195,166860,168063,169142,168668
"30","22","    New motor vehicles","AB68RC0",11016,11617,11845,11407,13249,13568,14393,15130,15514,15916,16070,16008,14490,14816,14517,11232,15927,16298,17373,18314,18587,19427,19187,21295,23302,23281,23081,21684,22329,23020,24409,22197,19750,20185,23106,23914,25697,26827,28809,29077,34269,35438,34833,37444,37956,43231,42462,44963,46220,44286,45599,41303,40829,34399,38344,39284,42456,42308,45495,41065,43200,42781,42703,43171,45246,48222,53725,61760,65318,69708,71067,70779,74470,76811,81502,75257,73612,76275,79522,72979,70242,76538,80343,76643,80933,81304,81866,85251,78632,84222,80628,73651,78209,76990,81553,79953,78691,81045,86284,84508,84689,91329,91397,98517,97664,111434,106911,117549,129020,128541,134249,143548,141081,136973,143019,145479,147756,154996,162766,162124,166351,163214,168781,172836,171478,184685,173124,198523,198544,200373,212249,210846,216191,204119,200350,185386,191647,185476,177356,172802,169671,179382,184803,174994,163247,162111,174676,176940,174470,183347,196700,205437,200201,207580,220881,217024,236180,224196,223342,227778,225958,214976,217902,213863,205313,187030,171363,130143,101130,111517,119330,141035,154270,164577,173300,175392,187225,186536,204250,207502,220257,224269,226205,234606,242592,248509,250503,253763,256827
"31","23","      Autos","B139RC0",6072,6827,6896,6661,7700,7843,8418,8675,8602,8838,8798,8638,7888,8430,8009,5897,9739,9373,9930,9878,9518,9788,10055,11399,11953,12287,11985,10267,10765,11053,12577,11113,10747,11696,13821,13939,14872,15190,15482,16353,18602,19332,18928,19734,19743,22715,22564,22854,23384,21954,23254,20248,22040,18151,20566,22327,24844,23151,26550,22515,23385,24263,25566,25973,26407,28543,31665,35750,37901,40207,41429,39651,42104,43311,47935,39226,42674,45127,48308,42655,40414,43110,46582,43811,47987,48584,48701,48995,44409,49162,46971,42270,45778,46009,50409,50028,50595,51837,55567,52301,51592,54720,52804,57232,54291,63117,57112,62933,69345,69188,71320,75819,70135,67984,71453,70122,70231,74978,77268,71755,75723,73157,74413,73740,71471,75937,70741,82631,78756,81367,83715,82630,88124,82453,81475,79708,83795,82614,77345,72393,73802,81231,81787,76798,73083,69163,72328,69476,67606,72046,72508,76005,74676,75007,78454,80677,85137,79547,79501,81088,82387,82315,83566,81950,76486,76874,74921,54808,41840,49692,52801,62517,66677,70395,71509,67094,71151,72325,74475,75147,88822,86675,87378,94080,95929,95671,97407,95864,91888
"32","24","        Domestic","GAP650",5980,6722,6785,6542,7563,7704,8265,8520,8455,8669,8628,8452,7707,8231,7812,5658,9489,9101,9656,9634,9252,9517,9761,11066,11603,11929,11662,9890,10407,10754,12211,10772,10332,11290,13379,13538,14476,14788,15020,15837,18036,18600,18202,18978,18973,21848,21628,21846,22185,20590,21932,18785,20263,16673,18792,20400,22689,21000,24346,20177,20973,21849,23182,23796,25074,27138,30215,34057,36178,38401,39723,37715,39972,41001,45516,36710,36815,38903,41410,35384,34438,36644,39400,37094,41004,41541,41797,42133,37343,41868,39814,35723,38651,39102,43863,43587,44297,45164,48797,45910,43964,47014,45589,49640,46304,54414,48621,54445,59344,58967,60785,65968,60883,58549,62635,61291,62435,67031,68709,63034,66926,64984,65391,64103,62200,66177,61127,72365,66678,67808,69819,66965,70532,64690,63628,61468,63884,61388,56734,49526,48337,56411,56190,51880,48047,46174,48734,46650,45024,48789,50505,51556,51702,51149,53696,56377,60603,53187,52759,53417,52743,52845,55228,52929,48566,45960,48511,34961,22736,30272,29032,41817,42987,45657,45013,40669,43086,44283,46788,46527,58178,57142,57880,62644,65557,65323,65534,62857,61831
"33","25","        Foreign","GAP680",93,105,112,119,137,139,153,155,147,169,170,186,181,199,197,239,250,272,274,244,266,271,294,333,350,358,323,377,358,299,366,341,415,406,442,401,396,402,462,516,566,732,726,756,769,867,936,1008,1198,1364,1322,1464,1777,1478,1774,1927,2155,2151,2204,2338,2412,2414,2384,2177,1333,1405,1449,1693,1723,1806,1706,1936,2132,2309,2419,2515,5858,6225,6897,7272,5976,6466,7181,6716,6983,7043,6904,6862,7066,7294,7157,6547,7127,6907,6546,6441,6298,6673,6770,6391,7628,7705,7215,7592,7987,8703,8491,8488,10001,10221,10534,9851,9252,9435,8819,8830,7797,7947,8559,8721,8797,8172,9022,9637,9271,9760,9615,10266,12078,13558,13896,15665,17592,17764,17847,18240,19912,21226,20611,22867,25465,24820,25597,24918,25037,22988,23594,22826,22583,23256,22004,24449,22974,23858,24758,24300,24534,26360,26742,27670,29644,29470,28337,29022,27920,30914,26410,19847,19103,19420,23768,20700,23689,24738,26496,26424,28064,28042,27687,28620,30644,29533,29498,31436,30373,30349,31873,33007,30057
"34","26","      Trucks","B705RC0",4944,4790,4949,4746,5549,5725,5975,6455,6912,7078,7272,7370,6602,6386,6508,5335,6188,6925,7443,8436,9069,9639,9132,9896,11349,10994,11096,11417,11564,11967,11832,11084,9003,8489,9285,9975,10825,11637,13327,12724,15667,16106,15905,17710,18213,20516,19898,22109,22836,22332,22345,21055,18789,16248,17778,16957,17612,19157,18945,18550,19815,18518,17137,17198,18839,19679,22060,26010,27417,29501,29638,31128,32366,33500,33567,36031,30938,31148,31214,30324,29828,33428,33761,32832,32946,32720,33165,36256,34223,35060,33657,31381,32431,30981,31144,29925,28096,29208,30717,32207,33097,36609,38593,41285,43373,48317,49799,54616,59675,59353,62929,67729,70946,68989,71566,75357,77525,80018,85498,90369,90628,90057,94368,99096,100007,108748,102383,115892,119788,119006,128534,128216,128067,121666,118875,105678,107852,102862,100011,100409,95869,98151,103016,98196,90164,92948,102348,107464,106864,111301,124192,129432,125525,132573,142427,136347,151043,144649,143841,146690,143571,132661,134336,131913,128827,110156,96442,75335,59290,61825,66529,78518,87593,94182,101791,108298,116074,114211,129775,132355,131435,137594,138827,140526,146663,152838,153096,157899,164939
"35","27","        Light trucks (including utility vehicles)","B196RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12787,14641,14971,15162,16336,16003,16838,17329,15827,15995,16351,15101,17489,17060,17117,16779,16290,17829,18536,18955,19552,21288,21358,23010,23462,27147,27307,30441,35634,35311,37415,40808,41214,40500,43078,46188,51244,53857,59640,66104,67705,67398,70526,73379,72931,80617,71319,82118,86183,85568,93951,93094,94416,89901,90284,81204,84516,81259,80050,81143,77716,77084,79669,75451,72065,72722,80726,84244,81270,84392,94513,97211,91073,98002,107383,100925,113110,106057,105304,107449,107128,102711,107706,106208,103710,84859,72730,51559,41686,45302,48389,57039,65799,71280,76367,82640,86283,82081,95274,94519,91856,96131,99352,103446,109962,113063,113811,116808,123602
"36","28","          Domestic","BTRLD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67443,66825,69794,65524,60789,61518,68213,72024,69175,71945,81022,82575,77491,84111,92529,84995,94995,87979,87891,87996,88527,84837,89395,86976,84759,68059,59349,40946,32213,36940,39058,47479,54986,60366,63856,69260,72047,69332,80894,80474,77423,80960,84119,87624,93269,95377,95425,97201,104119
"37","29","          Foreign","BTRLM0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10272,10258,9874,9927,11275,11204,12513,12220,12096,12448,13492,14636,13582,13891,14854,15931,18115,18078,17414,19453,18600,17874,18311,19232,18951,16800,13381,10613,9473,8362,9331,9560,10814,10914,12511,13379,14236,12749,14380,14044,14433,15172,15233,15822,16693,17687,18386,19607,19482
"38","30","        Other trucks, buses, and truck trailers","B197RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17041,18787,18789,17670,16610,16717,16326,18927,18396,19065,17306,16280,14942,13921,14027,13147,11806,11378,12181,13252,13545,15321,17235,18275,19911,21170,22492,24175,24041,24042,25514,26922,29731,28489,28488,29169,26281,26161,25858,24265,22923,22659,23842,25717,27076,28131,31064,33774,33605,33438,34584,35122,33650,31765,28592,24474,23337,21603,19961,19267,18153,21067,23347,22745,18099,20227,21622,23220,25594,26909,29678,32221,34452,34571,35044,35422,37933,38591,38537,39241,36443,29950,26631,25706,25117,25297,23712,23776,17604,16522,18140,21479,21793,22902,25424,25658,29791,32130,34501,37837,39579,41463,39475,37080,36700,39774,39285,41091,41337
"39","31","    Net purchases of used autos and used light trucks","W242RC0",-1796,-2182,-2185,-2013,-2150,-2141,-2257,-2244,-2285,-2413,-2424,-2550,-2345,-2721,-2552,-1662,-2634,-2271,-2285,-2231,-1999,-2230,-2384,-2851,-3014,-3029,-2893,-2396,-2596,-2943,-3684,-3509,-3494,-3767,-4500,-4479,-4595,-4866,-4758,-4789,-5153,-5159,-4857,-4983,-4917,-5642,-5735,-6114,-6559,-6456,-7151,-6458,-7148,-5989,-6867,-7433,-8159,-7594,-8692,-7499,-7995,-8409,-8899,-9068,-8611,-8760,-9482,-11003,-13257,-15071,-17161,-16219,-18305,-18517,-20637,-16760,-16471,-17319,-18788,-16831,-16445,-18966,-22753,-24961,-23053,-23136,-24608,-24116,-22823,-26471,-25585,-23658,-25245,-25086,-27299,-27633,-26982,-28356,-31662,-30233,-30796,-35101,-35402,-37406,-35565,-40024,-36960,-39232,-40974,-40535,-41296,-43999,-44802,-44115,-47238,-47497,-51781,-55196,-56887,-53506,-55570,-54291,-56360,-59217,-62102,-69331,-61039,-69363,-70728,-69456,-74385,-75585,-78211,-74431,-75976,-71404,-77559,-73558,-72983,-67748,-64313,-73711,-75897,-72255,-65572,-60610,-65129,-64891,-60576,-63383,-66586,-66784,-63705,-66166,-69479,-67830,-70297,-66194,-68209,-70312,-72306,-71149,-77327,-74223,-74182,-75831,-77063,-68609,-66147,-72611,-78327,-93883,-82204,-73529,-73369,-69020,-71265,-66103,-68166,-65354,-65563,-63361,-63587,-74162,-81397,-81649,-82440,-84621,-88159
"40","32","      Used autos","B140RC0",-1776,-2162,-2164,-1994,-2127,-2118,-2233,-2218,-2257,-2384,-2395,-2520,-2318,-2695,-2526,-1641,-2609,-2243,-2256,-2197,-1964,-2194,-2347,-2807,-2959,-2970,-2826,-2317,-2512,-2850,-3580,-3398,-3393,-3661,-4377,-4345,-4452,-4717,-4598,-4649,-5012,-5031,-4730,-4827,-4729,-5398,-5471,-5802,-6247,-6155,-6832,-6126,-6821,-5678,-6496,-7058,-7757,-7145,-8245,-7069,-7551,-8008,-8539,-8713,-8057,-8001,-8577,-9957,-12125,-13855,-15930,-14853,-16626,-16807,-18596,-14742,-14568,-15025,-15828,-14015,-13521,-15258,-18736,-20813,-18540,-18492,-19946,-19343,-18148,-21774,-20245,-18117,-18022,-17773,-19784,-20093,-19822,-20780,-23060,-21443,-20937,-24171,-23674,-25386,-23984,-27952,-25355,-27101,-29322,-29212,-30407,-32298,-32986,-31870,-34151,-32820,-34406,-37191,-38324,-34279,-38775,-35982,-35870,-35204,-36560,-40043,-36876,-42358,-39061,-39004,-39886,-39667,-42286,-38789,-39458,-38631,-39750,-38780,-36458,-32268,-32058,-36422,-36982,-35314,-32912,-30364,-31724,-31084,-30038,-32938,-33067,-33880,-33320,-33050,-33948,-35442,-33544,-32790,-33987,-34321,-34086,-32911,-35109,-33353,-35070,-35926,-36723,-31214,-27604,-31662,-35141,-43152,-39267,-33878,-33040,-30175,-34083,-33426,-32376,-30942,-34107,-30938,-29806,-33229,-34543,-33354,-34107,-33578,-32528
"41","33","        Margin","GAP710",84,86,88,90,94,95,97,102,105,101,102,104,96,100,103,97,112,124,124,128,130,142,140,148,155,152,151,150,131,145,162,150,155,161,175,197,217,221,232,246,290,309,332,337,310,332,317,293,291,264,249,233,218,198,199,213,234,237,246,235,226,205,222,239,250,277,288,289,277,291,291,277,274,291,301,290,291,302,346,341,334,397,438,422,385,367,378,386,431,419,411,439,403,366,370,353,386,363,372,374,372,385,398,416,433,469,509,522,567,586,624,719,709,732,726,706,791,824,838,824,897,848,895,901,846,862,911,968,900,981,1000,928,1032,948,964,1028,1051,1108,1068,1102,1138,1110,1041,1042,1043,963,1008,1006,981,1162,1152,1135,1226,1187,1101,1165,1188,1140,1152,1183,1126,1190,1226,1182,1103,1000,947,798,823,807,821,854,906,929,956,982,995,1022,1027,1047,1105,1069,1067,1138,1100,998,1031,995,1017
"42","34","        Net transactions","GAP740",-1860,-2248,-2252,-2084,-2221,-2213,-2330,-2320,-2362,-2485,-2497,-2624,-2414,-2795,-2629,-1738,-2721,-2367,-2380,-2325,-2094,-2336,-2487,-2955,-3114,-3122,-2977,-2467,-2643,-2995,-3742,-3548,-3548,-3822,-4552,-4542,-4669,-4938,-4830,-4895,-5302,-5340,-5062,-5164,-5039,-5730,-5788,-6095,-6538,-6418,-7081,-6359,-7039,-5875,-6695,-7271,-7991,-7382,-8491,-7304,-7777,-8214,-8761,-8952,-8306,-8277,-8866,-10247,-12402,-14146,-16221,-15130,-16900,-17098,-18897,-15032,-14858,-15326,-16175,-14357,-13855,-15656,-19174,-21235,-18925,-18859,-20324,-19729,-18579,-22193,-20656,-18556,-18425,-18139,-20154,-20445,-20208,-21142,-23432,-21818,-21309,-24556,-24072,-25803,-24416,-28421,-25863,-27623,-29889,-29799,-31031,-33017,-33695,-32602,-34877,-33526,-35197,-38015,-39161,-35102,-39672,-36830,-36765,-36105,-37406,-40905,-37787,-43326,-39961,-39985,-40886,-40595,-43318,-39737,-40422,-39659,-40801,-39887,-37526,-33370,-33195,-37533,-38023,-36356,-33955,-31328,-32732,-32089,-31019,-34100,-34219,-35015,-34546,-34237,-35049,-36607,-34731,-33930,-35138,-35504,-35212,-34101,-36335,-34536,-36173,-36926,-37670,-32012,-28427,-32469,-35962,-44006,-40173,-34807,-33996,-31157,-35079,-34448,-33403,-31989,-35212,-32007,-30872,-34367,-35643,-34352,-35138,-34573,-33544
