"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"14","6","    Primary metal manufacturing","PK3313",74.254,74.668,75.184,75.137,74.944,75.191,74.882,75.061,75.143,75.073,75.078,74.89,74.551,74.36,73.896,73.711,73.321,72.772,72.155,71.997,71.578,71.072,70.598,69.981,69.392,68.903,68.671,68.452,68.658,68.752,68.831,69.085,69.435,70.027,70.197,70.621,71.449,72.089,72.164,72.405,72.174,71.927,72.049,71.99,72.021,71.923,71.209,71.125,70.821,70.613,70.298,69.713,69.584,69.393,69.126,68.874,68.619,68.215,68.041,68.017,67.958,67.852,68.244,68.256,68.697,69.409,69.774,69.957,70.443,70.579,70.932,71.108,71.084,71.143,70.981,70.495,70.46,70.448,70.378,70.71,70.938,71.516,72.246,73.224,74.848,77.468,79.634,82.729,84.859,84.781,86.181,88.658,90.325,91.558,92.713,93.875,95.493,95.902,95.118,93.991,92.516,90.782,89.943,89.11,90.37,92.195,94.8,96.47,98.599,99.685,100.082,101.572,106.005,107.773,110.171,111.06,112.051,112.937,112.154,112.669,109.874,110.395,111.82,115.765,117.535,117.172,116.764,113.823,111.657,111.316,111.797,111.643,112.799,115.753,121.142,126.352,132.026,135.859,138.456,138.631,135.19,125.855,116.636,108.184,103.367,99.597,97.359,94.332,93.84,94.438,95.546,99.765,103.252,105.067,104.463,106.124,108.666,110.494,111.901,116.099,117.722,116.379,113.427,112.501,113.857,115.598,117.204,117.582,120.175,124.827,126.458,129.19,129.13,128.278,128.415,127.894,126.586,124.202,123.372,121.744,121.359,123.406,123.295,122.587,121.119,119.112,117.638,115.997,117.378,116.874,116.042,116.728,116.789,116.462,115.788,115.46,113.932,113.89,113.489,113.755,114.031,114.25,114.513,114.63,114.736,115.942,114.771
"15","7","    Fabricated metal product manufacturing","PK3323",72.198,72.264,72.384,72.469,72.521,72.569,72.692,72.787,72.823,72.963,72.977,72.987,73.082,73.167,73.226,73.27,73.38,73.477,73.479,73.458,73.491,73.498,73.629,73.619,73.576,73.569,73.544,73.618,73.643,73.678,73.709,73.744,73.844,73.963,74.083,74.111,74.227,74.283,74.442,74.52,74.564,74.676,74.742,74.768,74.798,74.882,74.921,74.972,75.134,75.155,75.215,75.263,75.32,75.301,75.338,75.354,75.359,75.417,75.391,75.453,75.514,75.491,75.486,75.537,75.575,75.611,75.737,75.732,75.779,75.814,75.839,75.85,75.871,75.894,75.94,75.915,75.909,75.925,76.035,76.062,76.104,76.147,76.339,76.471,76.998,77.605,78.733,79.761,80.605,81.139,81.491,82.095,82.559,82.86,83.132,83.284,83.811,84.406,84.685,84.941,85.001,85.114,85.091,85.246,85.379,85.665,85.918,86.187,86.698,86.9,87.247,87.659,88.003,88.5,89.16,89.648,89.835,90.218,90.392,90.724,91.201,91.576,91.927,92.288,92.63,92.457,92.567,92.912,92.798,93.104,93.344,93.814,94.665,95.33,96.154,97.677,98.935,99.808,101.188,102.044,102.367,102.381,102.274,102.046,102.083,101.443,100.95,100.24,99.891,99.563,99.241,99.082,99.232,99.329,99.316,99.388,99.524,99.859,100.106,100.319,100.713,100.747,100.862,101.175,100.643,100.725,100.801,101.049,101.705,102.35,102.859,103.539,103.984,104.369,104.581,104.643,104.716,104.623,104.666,104.988,105.036,105.325,105.464,105.809,105.99,106.017,105.646,105.568,105.644,105.795,105.757,105.88,106.056,106.163,106.156,106.273,106.364,106.261,106.336,106.514,106.689,106.814,107.298,107.27,107.693,107.718,107.806
"16","8","    Machinery manufacturing","PK3333",78.069,78.144,78.234,78.345,78.404,78.399,78.531,78.614,78.641,78.721,78.735,78.807,78.908,78.995,79.082,79.15,79.195,79.279,79.354,79.415,79.547,79.563,79.62,79.704,79.829,79.901,79.941,80.051,80.111,80.123,80.174,80.225,80.212,80.318,80.309,80.374,80.436,80.523,80.56,80.578,80.636,80.761,80.871,80.913,80.984,80.99,81.041,81.11,81.26,81.318,81.459,81.509,81.584,81.716,81.718,81.826,81.861,81.898,81.996,81.992,82.015,82.074,82.195,82.165,82.201,82.223,82.322,82.322,82.41,82.549,82.574,82.563,82.653,82.635,82.64,82.723,82.784,82.863,82.892,82.953,83.01,83.102,83.177,83.226,83.348,83.567,83.818,84.088,84.279,84.459,84.772,84.9,85.18,85.42,85.681,85.822,86.411,86.662,86.992,87.157,87.534,87.683,87.879,88.067,88.186,88.399,88.605,88.809,89.259,89.438,89.604,89.74,90.009,90.274,90.518,90.763,91.067,91.417,91.651,91.819,92.301,92.586,92.817,93.098,93.146,93.218,93.347,93.584,93.756,93.957,94.244,94.429,94.803,95.148,95.481,95.92,96.425,96.949,98.069,98.507,98.944,99.313,99.741,99.866,100.072,100.02,100.05,99.978,99.961,99.901,99.988,99.906,99.993,99.985,100.031,100.096,99.927,99.959,99.99,100.159,100.204,100.078,100.135,100.282,100.43,100.486,100.504,100.742,101.118,101.421,101.705,102.126,102.383,102.665,102.946,103.142,103.415,103.652,103.857,103.981,104.127,104.59,104.658,104.873,104.944,104.98,105.031,105.22,105.26,105.403,105.606,105.774,105.858,106.083,106.103,106.26,106.404,106.38,106.433,106.588,106.675,106.873,106.954,107.037,107.353,107.661,107.618
"17","9","    Computer and electronic product manufacturing","PK3343",163.687,162.578,161.994,161.342,158.915,158.221,157.775,156.106,155.575,154.484,153.919,153.559,152.534,151.428,150.736,149.358,148.574,148.107,147.41,146.224,145.749,145.079,144.632,143.764,142.837,142.258,141.857,141.039,140.524,139.905,138.752,138.274,137.838,137.494,137.162,136.633,135.771,135.248,134.936,134.571,133.897,133.976,134.278,134.002,133.84,133.473,133.246,132.746,132.382,131.972,131.519,130.812,130.569,130.082,129.59,128.418,128.314,128.029,127.881,127.737,127.238,126.81,126.777,126.062,125.847,125.561,124.781,124.21,124.05,123.461,122.997,121.815,121.133,120.201,119.873,119.891,119.738,119.196,118.632,117.088,116.619,116.081,116.2,115.317,115.049,114.792,114.466,114.461,114.303,114.142,113.816,113.624,113.275,113.063,112.578,112.714,112.05,111.88,111.665,111.473,111.22,111.062,111.061,111.122,110.405,110.085,109.711,109.337,109.019,108.839,109.21,109.514,109.474,109.336,109.348,109.348,109.471,108.99,108.969,108.894,108.848,107.296,106.581,106.52,105.791,105.714,104.781,103.976,103.6,103.071,102.781,102.34,102.028,102.152,101.932,101.902,102.027,102.001,101.902,101.686,101.563,101.566,101.4,101.095,100.68,100.411,100.232,99.973,100.078,99.826,99.971,100.081,99.73,99.804,99.678,99.548,98.802,98.988,98.905,98.672,98.615,98.372,98.43,98.014,97.759,97.495,96.745,96.456,96.4,96.699,96.659,96.55,96.599,96.644,96.46,96.312,95.779,95.892,95.51,95.936,95.899,95.991,95.912,95.992,96.244,95.857,95.799,95.562,95.356,95.364,95.141,94.904,95.181,95.139,94.968,95.465,96.23,96.151,96.291,96.132,96.106,96.119,96.256,96.51,95.998,95.912,95.849
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",81.033,81.148,81.368,81.362,81.512,81.535,81.406,81.322,81.311,81.189,81.153,81.159,81.102,80.982,81.114,81.101,81.11,81.231,81.192,81.198,81.21,81.095,81.056,80.983,80.932,80.75,80.709,80.639,80.76,80.718,80.892,80.973,81.057,81.127,81.096,81.074,81.186,81.329,81.374,81.344,81.405,81.392,81.509,81.502,81.462,81.517,81.429,81.341,81.37,81.435,81.466,81.392,81.444,81.399,81.331,81.193,81.232,81.133,81.112,81.144,81.196,81.222,80.987,80.981,80.92,80.977,80.933,80.962,80.849,80.781,80.756,80.721,80.815,80.414,80.427,80.411,80.458,80.472,80.403,80.422,80.402,80.446,80.508,80.701,80.766,81.007,81.711,82.225,82.787,82.858,82.907,83.038,83.287,83.604,83.622,83.841,84.676,85,85.338,85.492,85.51,85.73,85.888,85.887,86.238,86.774,87.564,87.985,88.481,88.777,89.189,90.158,91.605,92.729,92.856,93.578,93.63,93.661,93.483,93.396,93.292,93.339,93.631,94.403,95.24,95.396,95.866,96.096,96.284,96.774,96.799,96.825,97.427,97.898,98.77,99.031,99.418,99.669,100.438,100.494,100.887,100.739,99.436,99.093,99.041,98.992,99.203,99.482,99.785,99.692,99.753,100.377,100.536,100.787,101.101,101.391,101.715,101.704,101.972,102.351,102.391,102.338,102.167,102.39,102.581,102.994,103.487,104.036,104.472,104.798,105.02,105.729,105.525,105.939,106.41,106.17,106.244,105.898,106.267,106.298,106.708,107.304,107.251,107.306,107.602,107.14,107.138,107.084,107.25,107.483,107.259,107.543,107.769,107.782,107.635,107.467,107.337,107.226,107.177,107.217,107.515,107.516,107.578,107.67,107.778,107.877,107.433
"19","11","    Transportation equipment manufacturing","PK3363",90.261,90.216,90.215,90.038,89.898,90.032,89.732,89.858,89.593,89.344,89.284,89.125,89.297,89.345,89.437,89.421,89.309,89.277,89.489,89.373,89.395,89.521,89.709,89.613,89.498,89.656,89.548,89.609,89.696,89.676,89.542,89.616,89.664,89.934,89.949,90.089,90.221,90.235,90.367,90.367,90.647,90.623,90.688,90.634,90.878,90.292,90.736,90.838,90.85,90.358,90.689,90.941,90.657,90.741,91.144,91.218,91.486,90.075,90.364,90.67,90.44,90.748,90.657,90.586,90.466,90.658,90.248,90.098,90.368,90.355,90.381,90.237,90.398,90.54,91.48,90.422,90.557,90.477,90.807,91.132,91.029,91.493,91.583,91.529,91.572,91.566,91.899,91.922,92.244,92.659,92.372,92.572,92.816,93.299,93.322,93.669,93.905,93.469,93.514,93.636,93.681,93.21,93.894,93.865,94.251,93.603,93.244,93.127,93.614,93.895,94.123,94.287,94.366,94.548,93.336,94.144,94.672,93.408,95.132,95.129,95.619,95.598,95.43,95.221,95.236,95.31,95.307,95.153,94.825,96.76,97.019,96.584,97.201,97.265,96.972,97.688,97.758,97.396,97.602,98.036,98.14,100.636,100.369,100.476,100.274,100.257,100.034,100.017,99.772,99.986,99.412,99.683,99.27,100.305,100.594,100.337,100.769,100.744,100.492,100.769,100.832,100.451,100.204,100.43,100.421,101.446,101.273,101.17,101.652,101.778,102.01,102.365,102.288,102.449,102.544,102.652,102.435,103.292,103.385,103.408,103.602,103.474,103.542,103.684,103.609,103.777,104.058,104.078,103.805,104.977,105.109,105.023,105.025,105.03,104.929,105.032,104.921,104.937,104.789,104.731,104.687,105.911,106.22,106.168,106.096,106.03,105.834
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",97.621,97.549,97.557,97.345,97.101,97.291,96.807,96.983,96.607,96.28,96.171,95.924,96.144,96.187,96.305,96.112,95.899,95.833,96.27,96.11,96.082,96.099,96.376,96.22,96.067,96.269,96.115,96.248,96.38,96.315,96.07,96.17,96.178,96.466,96.435,96.569,96.595,96.395,96.549,96.488,96.854,96.698,96.728,96.627,96.891,95.971,96.557,96.68,96.572,95.769,96.221,96.538,96.089,96.118,96.659,96.702,97.013,94.881,95.322,95.731,95.318,95.751,95.586,95.517,95.35,95.578,94.866,94.586,94.93,94.872,94.862,94.598,94.715,94.875,96.111,94.563,94.693,94.491,94.879,95.241,95.047,95.489,95.619,95.463,95.387,95.344,95.753,95.657,96.097,96.526,95.896,96.032,96.315,96.817,96.742,97.101,97.17,96.501,96.326,96.527,96.491,95.798,96.681,96.513,96.984,95.883,95.34,95.062,95.351,95.73,95.935,95.994,96.071,96.266,94.438,95.514,96.228,94.213,96.626,96.513,97.074,96.943,96.607,96.234,96.151,96.127,95.904,95.555,94.961,97.794,98.13,97.421,97.684,97.675,97.136,97.651,97.582,96.736,96.617,97.095,97.022,101.144,100.532,100.549,100.233,100.019,99.77,100.074,99.843,100.32,99.119,99.601,98.822,100.582,101.007,100.49,100.906,100.823,100.309,100.417,100.458,99.754,99.336,99.656,99.454,100.72,100.449,100.231,100.646,100.739,100.661,101.036,100.776,100.9,100.984,101.051,100.63,102.619,102.661,102.596,102.904,102.674,102.685,102.83,102.59,102.784,103.11,103.092,102.604,104.324,104.552,104.38,104.284,104.199,103.907,103.847,103.582,103.533,103.29,103.169,103.085,104.948,105.317,105.193,104.97,104.83,104.429
"21","13","      Other transportation equipment manufacturing","PK3OT3",73.702,73.718,73.7,73.597,73.671,73.693,73.766,73.787,73.758,73.673,73.714,73.738,73.809,73.865,73.9,74.239,74.326,74.349,74.148,74.107,74.22,74.556,74.571,74.603,74.566,74.633,74.63,74.536,74.527,74.603,74.709,74.721,74.848,75.065,75.181,75.335,75.708,76.223,76.289,76.411,76.499,76.746,76.89,76.934,77.124,77.278,77.411,77.477,77.753,77.896,77.977,78.087,78.155,78.344,78.471,78.613,78.809,78.831,78.823,78.93,79.077,79.122,79.187,79.115,79.114,79.227,79.544,79.72,79.804,79.887,79.998,80.133,80.409,80.504,80.717,80.865,81.006,81.228,81.415,81.652,81.784,82.314,82.302,82.51,82.871,82.96,83.098,83.438,83.46,83.847,84.416,84.779,84.932,85.37,85.636,85.938,86.593,86.743,87.331,87.264,87.505,87.58,87.795,88.092,88.222,88.704,88.755,89.002,90.002,90.07,90.37,90.795,90.87,91.013,91.294,91.466,91.571,91.985,92.2,92.448,92.797,93.003,93.189,93.312,93.52,93.786,94.232,94.468,94.65,94.885,94.992,95.055,96.299,96.491,96.631,97.686,97.98,98.379,99.09,99.458,99.838,99.846,100.128,100.372,100.318,100.544,100.358,99.964,99.706,99.626,99.805,99.781,99.851,99.908,99.994,100.104,100.552,100.612,100.741,101.282,101.38,101.551,101.582,101.633,101.969,102.544,102.547,102.651,103.252,103.437,104.244,104.55,104.796,105.023,105.14,105.32,105.462,104.26,104.439,104.627,104.628,104.68,104.852,104.984,105.215,105.34,105.54,105.631,105.737,105.939,105.896,105.957,106.132,106.313,106.587,106.987,107.18,107.315,107.362,107.424,107.459,107.44,107.632,107.719,107.943,108.018,108.224
"22","14","    Furniture and related product manufacturing","PK3373",78.019,78.076,78.099,78.203,78.298,78.327,78.467,78.446,78.61,78.592,78.809,78.828,78.925,79.051,79.126,79.122,79.32,79.274,79.283,79.362,79.376,79.549,79.572,79.672,79.836,79.857,79.874,79.934,80.051,80.27,80.371,80.558,80.624,80.728,80.803,80.87,80.97,81.02,81.277,81.423,81.487,81.519,81.622,81.74,81.911,81.956,82.055,82.087,82.217,82.291,82.411,82.532,82.589,82.686,82.752,82.775,82.867,82.912,82.89,82.894,82.941,82.987,82.997,83.049,83.083,83.17,83.437,83.475,83.712,83.769,83.846,83.798,83.908,83.948,83.952,84.103,84.155,84.188,84.227,84.24,84.054,84.201,84.173,84.349,84.236,84.58,84.836,84.823,85.126,85.322,85.519,85.973,86.072,86.182,87.019,87.323,87.575,87.84,87.865,88.171,88.612,88.74,89.083,89.048,89.261,89.567,89.853,90.21,90.53,90.781,90.863,90.911,91.272,91.365,91.518,91.609,91.752,92.047,92.098,92.105,92.483,92.767,92.783,92.93,92.985,93.11,93.027,93.104,93.242,93.333,93.706,93.683,94.149,94.402,94.564,95.359,95.732,96.621,97.454,98.312,98.814,99.365,99.508,99.604,99.912,100.261,100.166,100.008,99.98,99.953,100.039,99.746,99.962,100.046,99.98,99.925,99.82,99.542,99.742,99.99,99.803,100.203,100.425,100.39,100.504,100.425,100.401,100.329,100.659,100.938,101.334,101.523,101.758,101.925,102.35,102.582,102.938,103.038,103.248,103.662,104.12,104.422,104.331,104.702,104.712,104.874,105.016,104.905,104.975,105.345,105.374,105.157,105.494,105.487,105.504,105.937,106.236,106.311,106.191,106.54,106.603,106.635,106.775,106.497,106.946,107.004,107.217
"23","15","    Miscellaneous durable goods manufacturing","PK3393",81.751,81.746,81.871,81.957,81.981,82.089,82.126,82.178,82.21,82.289,82.252,82.187,82.254,82.304,82.385,82.318,82.374,82.394,82.525,82.578,82.743,82.848,82.898,82.877,82.909,82.834,83.027,83.131,83.125,83.08,83.09,83.075,83.024,83.288,83.265,83.39,83.452,84.409,84.423,83.878,83.928,84.27,84.419,84.781,84.856,84.809,84.962,85.128,85.452,85.491,85.563,85.646,85.865,85.85,86.003,86.136,86.232,86.255,86.349,86.33,86.235,86.595,86.426,86.674,86.567,86.727,86.819,86.837,87.005,87.2,87.16,87.24,87.456,87.801,87.862,88.025,87.991,88.114,88.288,88.329,88.316,88.342,88.287,88.558,88.553,88.635,88.632,88.733,88.983,89.306,89.324,89.688,89.951,89.8,89.836,90.177,90.473,90.524,90.891,90.917,91.138,91.197,91.441,91.519,91.64,91.823,91.853,90.92,92.014,91.976,92.153,92.435,92.718,92.712,93.025,93.167,92.953,93.095,93.285,94.313,94.686,95.004,95.156,95.204,95.456,95.384,95.28,95.393,95.752,95.868,96.191,96.239,96.838,96.844,97.29,97.473,97.633,98.376,99.068,99.005,98.929,99.217,99.099,99.456,99.743,100.111,100.184,100.324,100.066,99.926,99.691,99.789,99.774,99.916,100.195,100.286,100.374,99.94,100.371,100.932,101.027,101.214,101.66,101.954,102.413,103.031,103.652,103.635,103.834,105.137,105.346,105.684,105.839,106.182,106.423,106.537,106.527,106.487,106.322,106.519,106.606,107.072,106.986,106.957,107.001,107.047,107.181,107.152,107.14,106.905,107.066,107.38,107.355,107.425,107.502,107.859,108.056,108.038,108.004,107.978,107.944,107.896,107.932,107.977,107.868,107.884,107.856
"24","16","  Nondurable goods manufacturing industries","PK30N3",68.322,68.107,68.001,67.557,67.294,67.07,66.819,67.213,67.144,67.214,67.336,67.432,66.825,66.557,66.414,66.358,66.365,66.234,66.19,65.966,65.699,65.8,65.692,65.716,65.907,65.454,65.822,66.607,66.69,66.786,67.377,68.047,68.551,68.782,69.205,70,70.098,71.127,71.921,71.263,71.388,72.48,72.47,72.072,72.822,72.942,73.449,73.61,73.673,73.634,73.293,73.746,73.978,73.629,72.474,72.57,73.086,71.389,70.877,70.198,69.953,70.057,70.889,71.613,71.079,71.394,71.956,72.046,73.049,73.405,73.29,73.454,74.64,76.694,77.132,74.93,74.115,75.017,75.088,75.565,75.521,75.998,76.416,77.166,77.94,78.147,78.239,79.214,80.208,80.215,80.644,80.858,81.442,83.425,84.299,83.478,84.085,85.121,86.301,86.417,85.597,86.383,87.332,88.556,91.486,94.053,91.365,92.205,92.963,92.099,92.273,93.369,93.923,95.146,94.611,95.663,92.806,92.324,93.279,94.548,91.774,93.054,95.722,97.946,99.397,99.292,100.717,98.895,99.793,100.196,104.364,103.126,104.664,105.56,109.872,111.312,115.456,118.252,122.232,118.63,118.763,110.713,102.525,96.265,96.765,96.079,94.9,96.719,98.601,101.737,100.342,102.694,101.869,101.857,103.996,104.246,106.561,105.601,107.453,108.825,109.67,108.608,108.609,109.321,109.623,111.474,112.532,113.516,115.367,117.662,121.843,124.671,126.432,125.675,126.266,124.979,125.856,124.179,124.614,123.619,124.813,125.548,128.133,128.469,126.908,124.866,124.125,126.613,128.685,128.253,125.323,124.304,124.865,127.82,126.935,126.242,126.185,126.678,126.791,127.466,126.987,126.1,124.595,125.118,125.569,126.68,127.795
"25","17","    Food manufacturing","PK3113",76.668,76.509,77.159,77.332,77.635,77.118,76.591,76.864,76.469,76.163,76.255,76.127,75.157,75.353,74.939,74.931,75.206,75.498,75.471,75.858,75.484,75.164,75.216,74.943,75.311,74.575,74.254,73.521,74.151,74.455,74.008,74.644,74.871,74.986,74.741,74.712,74.591,74.802,75.035,75.511,76.027,76.062,75.845,75.222,75.118,75.369,75.608,76.37,76.622,76.869,77.458,77.917,78.456,78.623,78.73,79.269,79.012,78.785,77.793,77.534,77.382,77.541,77.567,77.11,76.678,76.77,76.974,76.972,79.495,77.243,77.353,78.134,78.976,79.485,79.449,79.55,79.954,80.928,80.728,81.47,82.294,84.329,84.539,84.303,83.364,83.896,85.136,87.283,88.89,88.318,86.943,85.844,85.342,85.478,85.386,86.099,86.387,86.509,87.116,87.173,87.526,87.02,86.796,86.818,86.987,87.687,87.464,87.523,87.444,86.542,86.421,85.707,85.965,86.844,87.417,87.661,87.805,87.892,88.823,89.292,90.395,91.602,92.609,93.257,93.643,94.661,94.826,95.055,95.515,95.982,96.814,97.764,99.371,100.234,101.314,101.718,102.783,104.16,107.014,107.392,106.303,104.708,103.066,101.753,100.637,99.632,98.607,99.276,99.989,100.822,99.64,99.789,99.561,99.599,100.529,101.986,102.392,102.3,102.123,102.67,103.52,103.084,103.363,103.969,105.258,106.611,107.477,107.799,108.442,110.516,112.185,113.599,113.208,113.945,115.231,116.486,116.767,116.373,117.109,116.798,116.922,116.515,116.561,116.437,116.209,116.882,117.835,119.007,119.618,120.737,121.417,120.81,120.096,119.689,119.505,119.053,119.264,120.447,120.887,120.467,119.931,120.326,120.133,120.063,120.406,120.449,121.894
"26","18","    Beverage and tobacco product manufacturing","PK3123",60.318,60.28,60.591,61.135,61.296,61.261,61.275,61.254,61.975,62.069,62.024,62.214,62.341,62.72,62.786,63.57,64.254,64.342,64.37,65.159,65.278,65.507,65.649,72.076,72.056,72.33,72.305,72.35,72.484,72.523,72.928,72.903,75.575,75.693,75.655,75.872,74.632,76.563,76.574,76.033,76.69,76.694,76.713,77.678,77.735,77.87,77.794,78.037,80.309,80.418,80.649,80.501,82.382,82.46,82.509,82.522,82.503,82.744,83.417,83.437,82.833,83.058,82.997,84.325,84.34,84.504,84.505,84.54,84.703,84.529,84.955,82.952,82.714,82.436,82.847,82.519,82.561,82.59,82.732,82.617,82.575,83.323,83.095,83.366,84.206,84.127,83.802,84.514,83.523,84.297,83.992,84.329,83.985,84.394,84.412,84.792,86.591,86.615,86.853,87.053,87.171,87.345,87.553,87.819,87.862,87.829,88.014,87.986,88.129,88.618,89.041,88.979,88.974,89.327,88.939,88.344,88.601,88.496,89.022,89.326,89.542,90.69,90.413,90.988,91.018,91.234,91.298,91.735,91.992,92.566,92.657,92.7,93.187,93.793,93.977,94.199,95.09,95.208,96.15,95.839,96.213,96.957,96.986,97.316,98.055,99.289,100.252,99.971,99.451,99.828,99.933,99.897,100.243,100.706,101.211,101.291,101.423,101.471,102.018,101.868,102.795,103.092,102.901,102.712,102.48,103.666,103.985,104.531,104.676,104.855,105.186,104.429,104.963,105.217,106.31,106.375,106.652,107.529,107.743,107.924,108.137,108.404,108.488,109.217,108.963,108.885,109.774,109.823,109.903,110.631,110.721,111.243,111.53,111.325,111.657,111.802,110.949,111.721,111.958,112.78,111.955,112.717,112.728,114.034,113.032,113.854,114.579
"27","19","    Textile mills","PK3133",93.389,93.493,93.355,93.345,93.799,93.93,94.036,93.882,94.18,94.303,93.76,94.05,94.075,94.078,93.801,93.832,93.872,93.828,93.624,93.535,93.218,92.628,92.513,92.316,91.723,91.267,91.276,90.831,90.71,90.157,90.057,89.972,89.92,90.393,89.949,89.858,90.151,90.131,90.245,90.398,90.228,89.877,90.537,90.563,90.337,90.377,90.548,90.443,90.401,90.497,90.373,90.391,89.893,90.072,89.411,89.276,89.295,88.923,88.604,88.441,87.831,87.663,87.871,87.848,87.875,87.945,88.126,87.937,88.027,87.853,87.768,87.833,87.662,87.627,87.541,87.683,88.25,87.513,87.611,87.794,87.839,87.622,87.888,88.028,88.113,88.022,87.865,88.303,88.953,89.262,89.356,89.025,89.384,89.555,89.642,89.52,90.529,90.697,90.943,91.375,91.532,91.615,91.907,91.95,92.767,92.974,93.402,93.922,94.341,94.881,95.011,94.925,95.323,95.258,95.343,95.625,95.456,95.904,95.998,95.561,95.463,96.044,96.03,95.653,95.795,96.183,96.784,97.139,97.322,97.445,97.608,97.786,98.55,98.712,98.619,98.853,99.666,99.737,100.472,101.59,102.253,101.895,101.773,100.127,100.001,99.778,99.817,100.116,99.752,99.889,99.881,99.653,99.932,100.183,100.334,100.571,100.767,101.042,102.027,102.448,102.944,103.284,103.436,103.953,104.085,104.656,106.327,107.275,108.962,111.04,112.757,113.984,115.862,115.58,114.603,115.031,114.912,114.468,113.983,113.291,112.654,112.741,112.614,112.173,112.395,111.429,111.606,111.767,111.386,112.184,111.937,111.576,112.284,112.544,112.156,112.253,111.535,111.154,111.453,111.571,111.604,112.035,112.058,111.737,111.249,111.308,112.094
"28","20","    Textile product mills","PK3143",83.86,83.751,84.193,83.34,83.549,83.664,84.02,83.954,84.054,84.169,84.603,84.604,84.523,84.542,84.564,84.498,84.535,84.638,84.434,84.433,84.283,84.24,84.425,84.271,83.891,83.804,84.084,83.93,83.895,84.352,84.058,84.046,84.191,84.289,84.332,84.184,83.937,84.287,84.804,84.808,84.904,85.443,85.092,85.327,84.97,85.326,85.204,85.695,85.957,86.179,85.619,86.167,85.988,85.914,86.453,85.963,85.508,86.246,86.038,85.821,86.234,85.881,85.826,86.043,85.741,86.058,86.373,86.522,86.133,86.06,86.372,85.677,85.841,85.806,86.126,86.55,86.611,87.272,87.186,87.085,86.935,87.148,88.119,86.918,86.811,86.842,85.957,86.721,87.169,87.776,88.01,88.511,88.38,88.8,89.781,89.77,89.523,89.711,90.593,90.841,90.814,90.944,91.174,91.133,91.422,91.497,92.751,92.505,93.299,93.574,93.335,93.153,92.761,92.929,92.952,93.897,94.491,94.389,94.367,94.293,94.554,94.681,94.466,94.433,94.904,94.864,95.196,95.137,95.364,95.508,95.511,95.561,95.502,95.831,96.068,96.274,96.337,96.35,97.653,98.465,98.387,98.917,99.101,98.955,99.101,98.716,99.019,99.931,99.892,100.47,100.15,100.023,100.602,100.804,100.701,100.761,100.969,100.376,100.907,100.884,101.525,101.56,101.78,102.004,101.711,101.825,102.119,102.027,102.499,103.999,103.774,105.217,105.628,105.672,106.65,107.513,107.619,107.991,107.166,107.454,107.72,107.915,107.755,107.727,108.039,108.162,108.917,108.637,108.847,108.349,108.037,107.807,107.89,107.816,108.938,108.885,108.894,109.375,109.527,110.905,110.2,110.102,110.023,109.325,110.49,117.329,115.029
