"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.336,100.661,99.416,97.944,98.186,98.693,99.526,100.5,101.989,101.436,102.474,103.505,106.362,107.905,108.231,109.538
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.345,98.976,98.576,97.883,97.755,98.059,98.057,97.98,98.382,98.123,98.218,98.839,100.468,101.878,103.57,104.682
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.159,102.202,100.2,98.045,98.605,99.289,100.843,102.73,105.175,104.364,106.226,107.615,111.554,113.215,112.319,113.799
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.805,100.118,99.12,97.782,97.903,98.476,99.15,99.678,101.286,100.64,100.849,101.862,103.407,104.938,106.465,107.92
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.796,98.288,99.748,99.8,101.133,100.351,101.041,102.907,104.828,106.12,107.173,108.348
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.69,99.271,98.805,97.941,98.151,98.597,100.051,99.923,100.871,100.537,101.17,102.961,104.861,106.035,106.732,107.769
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.327,98.085,97.646,97.102,97.036,97.411,97.56,97.526,97.674,97.627,98.095,99.21,101.084,102.433,104.304,105.373
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,101.977,101.256,100.737,99.374,100.001,100.561,103.918,103.663,105.794,105.038,105.913,108.691,110.636,111.545,110.437,111.423
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.325,98.7,97.329,94.402,95.649,96.415,97.911,99.044,102.722,99.195,100.242,102.584,104.631,106.662,109.93,111.97
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
