"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 10:04:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Motor vehicle output","A953RC1",44.7,37.2,49.8,55,63.6,58.7,57.3,78.8,96.4,106.5,106.2,87.1,100.4,96.6,128.8,160.8,182.3,187.3,188.9,200.9,210.4,195,180.7,205.6,232.6,272.8,277.8,293.4,319.7,340.4,375.3,369.4,349.6,387.1,382.2,398.9,418.9,412.7,409.9,325,248.9,320.6
"9","2","        Auto output","A133RC1",34.9,28.8,39.2,41.2,46.3,39.8,40.7,55.6,65.2,69.7,68.3,60.5,70.6,65.7,88.3,103.8,115.1,121.2,119,126.4,125.4,120.5,113.2,121.7,128.7,147,138.6,143,144.6,148.2,152.9,154.4,145.1,152,130.9,133.1,150.3,155.4,152.4,138.7,94.7,111.9
"10","3","        Truck output","A716RC1",9.8,8.4,10.6,13.8,17.3,18.9,16.6,23.2,31.2,36.8,37.9,26.6,29.8,30.9,40.5,57,67.2,66.2,69.9,74.5,85,74.5,67.5,83.9,103.9,125.8,139.3,150.4,175.1,192.1,222.4,215,204.5,235.1,251.2,265.8,268.7,257.2,257.5,186.3,154.3,208.7
"11","4","Final sales of domestic product","AB60RC1",44.2,38.2,48,55.3,62.3,55.7,59.1,76.8,93.1,104.4,105.8,89.1,98.6,99.5,126.1,155.1,177.4,185.1,179.8,199.2,206.4,198.1,182.2,205,230.6,267.5,273.1,294,315,340.4,363.6,358.8,363.2,374,374.4,394.5,422.6,416.4,417.7,334.1,274.3,312
"12","5","  Personal consumption expenditures","AB61RC1",32,28.5,36.1,41.4,45.5,38.7,42.4,56.8,66.9,74.8,73.8,66.5,73.4,79.6,100.8,124.4,146.6,164,164.2,175.9,180.8,176.9,157.9,176.1,193.9,216.1,220.3,235.8,254,280.7,309.7,321.4,342,359.7,358.2,359.5,361.6,346.6,349.9,291,269.4,292.7
"13","6","    New motor vehicles","AB67RC1",26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.2,184.9,165.3,177.9
"14","7","      Autos","A136RC1",25.1,21.9,28.2,31.6,33.9,27,29.3,38.2,44.4,48.5,49.3,46.4,50.7,53.3,66,77.1,86.3,99,91.3,96.7,92.9,89.7,72.3,78,82,86.4,82.1,81.8,82.3,86.9,95.4,100.3,98.8,96.1,91.3,91.9,97.4,100,95.9,85.7,72.1,69.6
"15","8","      Light trucks (including utility vehicles)","B704RC1",1.7,1.5,2.3,3.6,4.8,4.7,5.2,8.5,11.5,14.2,12.1,7.9,8.5,10.9,16.8,22.5,31.6,35.1,37.5,41.5,46.4,45,40.6,48.7,56.9,64.8,65.3,71.2,79.9,92.5,104.6,110.5,131.2,147.5,160.3,160.5,151.4,133.1,137.2,99.2,93.2,108.3
"16","9","    Net purchases of used autos and used light trucks","W240RC1",5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,116.7,106.1,104.1,114.8
"17","10","      Used autos","A137RC1",5,4.8,5.3,5.9,6.4,6.6,7.4,9.7,10.4,11.1,11.3,10.8,12.8,13.6,15.6,21.4,24.4,23.8,28.4,28.9,31,29.3,31.4,34.4,38.4,46.8,50.5,54.2,57.1,59.4,60.5,60,58.7,59.2,53.3,52.9,55.7,54.2,53,48.3,44.4,48.4
"18","11","      Used light trucks (including utility vehicles)","W241RC1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.8,2.3,3.3,4.3,6.1,7.1,8.7,10.5,12.9,13.7,15,16.7,18.1,22.4,28.7,34.7,41.9,49.1,50.7,53.3,56.9,53.3,54.2,57,59.3,63.7,57.8,59.7,66.4
