"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"46","38","    Nondurable goods","B698RG3",18.665,17.779,18.974,19.617,20.11,20.758,20.043,21.321,21.714,22.186,23.058,23.29,23.045,24.791,23.349,23.34,25.561,27.867,29.064,30.188,32.917,35.49,39.021,39.283,48.173,47.306,48.421,48.727,47.017,45.404,45.798,47.718,47.259,48.55,50.871,52.066,51.896,54.524,52.127,56.685,54.222,56.135,56.902,57.268,61.524,63.971,69.152,65.122,66.073,66.755,66.617,67.256,66.979,67.206,66.478,66.098,65.562,65.423,65.827,66.699,67.557,68.661,69.054,70.008,67.923,68.587,69.224,69.936,71.229,72.054,73.471,73.561,76.39,79.027,80.262,82.582,84.596,85.489,85.371,86.424,87.049,88.107,88.321,88.978,89.359,90.863,91.366,91.851,91.541,90.748,90.647,91.735,93.379,93.472,94.991,96.028,94.191,95.109,95.147,95.333,94.956,95.397,96.008,96.475,96.573,97.545,97.623,97.832,98.153,98.181,98.097,97.908,97.715,98.014,97.957,98.045,98.058,97.875,97.86,98.081,98.146,97.653,97.664,97.869,97.66,97.241,97.2,96.943,96.964,96.911,96.894,96.75,96.557,96.212,96.626,96.716,96.724,96.878,96.93,97.146,98.441,98.2,98.167,98.396,99.801,100.016,100.166,100.017,100.091,99.754,100.166,100.307,101.263,101.38,102.033,102.443,104.066,105.055,105.365,105.18,105.812,105.283,104.966,105.082,105.971,106.514,107.192,107.216,107.866
"47","39","  Other","B653RG3",22.827,22.924,22.963,24.003,24.338,24.454,25.22,25.552,25.751,25.741,25.882,26.071,27.046,27.798,28.299,28.819,29.726,32.195,33.367,35.039,35.829,38.847,42.24,45.151,47.131,46.966,45.108,44.75,44.985,45.862,47.017,47.522,49.135,50.564,51.329,51.727,53.496,55.269,56.278,57.602,59.831,60.781,60.76,63.561,66.174,67.071,68.913,69.752,70.503,70.643,69.43,70.363,69.97,69.578,68.684,68.38,68.441,68.406,68.368,68.073,68.236,68.82,68.064,67.75,65.912,66.187,66.029,67.569,68.727,68.825,69.794,70.486,72.214,74.023,74.735,76.76,78.556,80.356,80.005,81.581,82.521,82.584,81.674,81.918,82.74,82.706,83.492,85.067,85.6,84.826,84.101,84.832,85.498,85.553,86.594,86.947,86.366,87.15,87.488,87.912,88.07,88.723,89.819,90.895,91.674,92.979,93.398,93.343,93.163,93.084,92.767,92.776,92.772,92.304,92.295,92.212,92.042,92.288,91.662,91.769,91.665,91.428,91.707,92.058,92.293,92.956,93.385,93.654,94.113,93.037,91.932,91.481,91.211,91.543,91.873,92.213,93.174,93.448,93.721,94.135,95.309,96.426,96.944,97.771,98.798,99.456,99.915,101.83,101.918,102.184,102.778,102.666,102.921,103.658,104.401,106.429,109.849,114.474,115.968,114.988,111.861,110.465,110.25,111.112,112.415,113.31,113.499,114.008,115.717
"48","40","Imports of services \1\","B656RG3",19.588,19.697,19.925,20.009,20.173,20.48,20.636,20.755,21.705,22.159,22.524,23.084,22.923,23.186,23.603,24.218,24.832,26.601,28.073,29.146,30.818,32.028,32.722,33.643,34.059,34.688,35.13,35.809,35.942,36.037,36.709,37.31,37.973,38.676,39.412,40.315,40.876,41.904,43.461,44.339,45.347,46.959,49.103,51.232,54.212,55.164,56.844,57.347,57.658,58.011,58.345,59.259,59.515,58.699,57.693,57.533,57.402,57.361,57.446,57.406,57.651,57.617,55.793,54.615,53.941,55.356,57.155,58.948,61.429,62.136,62.97,63.263,62.267,62.933,63.799,64.355,65.997,66.684,66.347,66.668,65.936,65.778,65.841,66.731,68.379,69.384,71.572,74.74,74.775,72.878,73.146,73.649,74.408,75.041,77.186,76.058,75.912,76.697,76.142,76.502,76.633,76.825,78.551,79.215,78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.189,106.933,108.655,110.223,111.897,115.478,116.842,111.469,108.506,109.511,111.179,113.65,114.351,114.813,114.164,115.876,117.182
"49","41","  Direct defense expenditures","B752RG3",10.048,10.048,10.211,10.208,10.204,10.369,10.458,10.469,11.476,11.76,11.936,12.086,12.222,12.066,12.243,12.261,13.103,14.817,15.965,14.99,15.156,16.813,17.785,18.782,19.471,19.794,19.29,19.64,20.618,20.08,21.395,22.53,23.256,23.486,24.822,25.214,26.558,26.992,29.093,29.796,31.287,30.967,33.509,35.401,37.402,38.335,40.959,40.177,39.447,38.916,38.944,40.056,39.739,39.837,39.509,38.839,38.898,38.139,37.904,37.407,37.52,37.881,36.375,35.587,34.06,35.778,38.097,40.051,42.217,42.313,43.93,44.631,47.647,49.51,52.133,53.154,55.757,57.526,55.577,57.609,56.136,55.5,55.616,57.417,60.764,62.419,67.819,74.346,70.188,64.712,64.861,67.557,66.799,66.637,73.923,69.758,66.336,68.909,68.092,67.203,64.816,68.118,72.537,72.922,72.761,79.025,78.187,78.607,76.373,75.832,77.69,77.426,72.416,71.189,68.88,69.66,65.399,67.206,69.016,72.44,69.796,68.54,69.814,70.568,68.553,66.525,66.622,67.576,69.065,66.829,68.415,67.102,65.58,68.616,72.973,74.267,80.218,81.979,81.31,84.677,88.35,88.021,90.43,97.315,101.108,98.345,100.572,99.975,100.02,105.804,108.077,107.085,110.221,114.434,117.971,123.355,127.079,130.864,127.234,113.155,112.578,117.708,122.918,127.988,126.66,119.537,113.024,118.964,121.272
"50","42","  Travel","B768RG3",24.771,24.771,24.835,24.771,24.923,25.361,25.486,25.61,26.687,27.378,28.006,29.513,29.434,29.434,29.434,30.561,31.796,33.37,34.944,38.533,40.105,41.388,41.709,43.313,44.208,45.49,47.091,48.373,46.508,46.508,46.508,46.508,47.602,48.888,48.888,50.887,52.522,53.483,54.633,55.337,57.888,61.105,62.709,64.382,66.539,67.183,68.477,69.832,70.089,70.664,71.293,71.929,70.672,66.274,61.43,61.165,60.219,60.53,60.651,60.772,61.37,60.598,56.48,53.422,53.604,54.906,56.957,59.25,61.567,63.466,64.632,64.821,61.476,60.59,60.219,60.514,63.239,64.412,65.321,65.866,65.041,65.139,65.381,65.835,66.736,67.72,68.908,70.21,72.057,70.097,71.164,72.375,74.422,75.293,77.557,75.535,75.893,76.681,75.484,76.713,78.061,77.228,79.954,81.392,77.531,81.772,82.074,80.939,81.469,82.447,83.727,84.22,83.434,83.892,82.522,81.014,78.313,79.459,78.853,80.863,81.156,81.007,81.096,81.878,81.882,80.402,80.004,78.28,78.423,77.891,78.476,78.335,78.954,81.007,83.102,82.388,83.584,89.191,88.414,88.393,90.557,92.859,94.634,96.543,97.404,101.388,102.152,99.172,101.328,103.208,105.137,106.111,107.173,111.22,113.743,117.424,120.537,125.658,123.852,108.695,104.136,110.537,115.981,118.796,118.974,118.653,119.068,120.842,121.893
"51","43","  Passenger fares","B769RG3",24.658,24.669,24.679,24.69,23.981,24.477,24.979,25.483,26.262,26.579,26.892,27.2,28.096,28.002,27.906,27.797,25.456,26.793,28.161,29.568,32.037,32.774,33.477,34.112,35.015,35.404,35.792,36.185,36.253,36.869,37.486,38.098,40.381,39.878,39.378,38.882,36.64,37.301,37.956,38.605,37.847,39.429,41.02,42.621,45.167,46.147,47.116,48.074,49.835,50.246,50.663,51.085,52.086,52.129,52.167,52.199,52.74,52.421,52.108,51.801,51.668,51.233,50.793,50.354,48.562,49.023,49.486,49.947,50.787,50.99,51.193,51.398,50.903,51.574,52.241,52.905,54.628,54.585,53.473,53.964,54.159,53.675,53.463,54.089,55.338,57.36,60.362,63.047,66.295,65.63,65.182,66.135,66.521,67.45,69.424,67.026,66.425,67.03,66.938,66.294,66.46,66.191,67.25,68.151,69.55,70.861,70.361,71.357,71.587,70.969,70.688,72.55,74.088,75.957,76.325,76.64,76.816,76.273,76.385,77.395,77.557,78.658,79.191,79.639,81.078,82.611,82.546,86.943,89.915,90.528,91.732,92.043,93.256,95.005,98.434,95.891,97.041,98.535,99.144,95.761,94.396,95.254,96.416,97.939,99.33,99.296,100.044,101.33,103.372,104.586,105.825,108.253,110.897,112.158,115.866,113.662,118.17,129.741,136.387,135.75,126.612,116.917,112.783,124.846,130.594,140.742,134.893,140.17,145.068
"52","44","  Other transportation","B770RG3",14.486,14.859,15.167,15.486,16.107,16.226,16.309,16.409,16.327,16.547,16.754,16.937,15.816,17.024,18.187,19.28,19.502,20.911,22.252,23.577,26.71,26.836,26.96,27.033,26.39,26.79,27.203,27.639,28.105,28.5,28.828,29.133,28.804,29.545,30.308,31.059,30.808,32.201,33.571,34.92,34.977,37.18,39.349,41.527,45.958,46.684,47.377,48.036,48.524,49.33,50.135,50.867,52.509,52.676,52.829,52.903,52.601,52.885,53.167,53.421,53.189,53.697,54.169,54.629,53.504,55.061,56.566,58.052,63.837,62.803,61.564,60.343,56.92,57.669,58.433,58.634,58.9,59.052,59.064,59.224,60.006,60.504,60.393,61.026,62.095,61.241,62.543,67.432,65.167,64.088,64.318,63.502,62.359,63.552,64.554,64.939,64.466,64.815,64.337,64.13,63.543,64.214,65.145,65.166,65.792,67.366,67.612,67.855,68.771,69.226,68.887,69.41,68.883,67.663,67.047,66.78,65.014,66.246,66.869,67.18,66.82,72.684,78.044,79.407,79.95,80.068,81.716,82.847,81.868,81.178,79.958,76.659,75.57,76.04,77.367,78.514,80.001,85.548,89.258,90.081,91.591,92.751,93.89,95.975,96.307,98.528,101.678,103.487,102.009,101.246,98.384,96.056,96.067,96.075,96.152,96.965,98.281,103,109.046,107.726,99.799,94.636,93.801,96.687,99.081,102.166,104.073,105.373,106.402
"53","45","  Royalties and license fees","B908RG3",19.897,20.135,20.411,20.648,20.937,21.264,21.44,21.685,22.091,22.441,22.72,22.965,23.185,23.374,23.595,23.92,24.316,24.774,25.215,25.704,26.355,27.045,27.914,28.597,29.203,29.665,30.22,30.768,31.209,31.585,32.081,32.681,33.33,33.971,34.535,35.195,35.748,36.616,37.316,38.096,38.898,39.834,40.908,41.903,43.08,44.053,45.085,46.295,47.531,48.446,49.254,50.279,50.937,51.352,51.98,52.573,53.025,53.702,54.335,54.722,55.465,56.074,56.529,56.998,57.522,58.043,58.472,59.106,59.469,59.666,60.215,60.675,61.316,61.86,62.423,62.99,63.479,64.197,64.915,65.612,66.408,67.233,67.747,68.36,69.305,70.032,70.907,71.936,72.537,72.94,73.455,73.989,74.597,75.152,75.577,76.047,76.635,77.072,77.344,77.766,78.218,78.647,79.235,79.642,80.213,80.695,81.071,81.477,82.026,82.364,82.853,83.342,83.813,84.004,84.211,84.484,84.525,84.666,84.897,85.146,85.452,85.899,86.296,86.767,87.57,88.05,88.53,89.002,89.571,90.09,90.32,90.436,90.691,91.247,91.629,92.125,93.07,93.202,93.717,94.161,95.147,96.123,96.776,97.646,98.542,99.294,100.567,101.55,102.264,103.17,103.911,104.059,105.178,106.002,106.536,107.526,108.576,109.776,110.875,109.603,109.099,109.264,109.64,110.165,110.644,110.66,110.83,111.36,112.418
"54","46","  Other private services","B909RG3",36.535,37.047,37.588,38.048,38.677,39.256,39.552,40.017,40.694,41.344,41.89,42.42,42.869,43.035,43.292,43.538,43.785,44.192,44.549,44.918,45.471,46.28,47.328,48.161,48.936,49.415,50.063,50.721,51.258,51.988,52.547,53.213,53.925,55.029,55.658,56.551,57.037,57.986,58.73,58.011,57.978,58.749,59.595,62.169,63.194,64.478,66.048,67.162,68.112,68.885,67.692,68.596,69.141,69.92,71.551,72.303,72.855,73.563,74.108,74.451,74.864,74.766,73.877,74.203,74.887,75.616,76.355,77.252,75.468,77.47,79.606,81.816,83.319,85.724,87.286,88.168,87.884,87.148,85.485,83.032,80.174,78.953,78.85,80.173,82.72,84.967,86.82,88.235,90.11,89.253,88.268,87.215,89.329,89.065,89.445,90.233,91.803,92.123,92.306,92.911,92.786,92.889,93.263,93.426,93.332,93.81,95.022,94.947,95.903,96.681,97.291,98.327,98.553,98.775,98.128,98.078,96.841,97.012,97.165,97.46,97.787,98.345,96.664,94.922,95.375,94.795,95.542,94.188,94.365,94.049,94.476,94.869,96.304,98.229,98.122,97.731,99.136,99.419,99.814,98.986,98.721,99.442,100.569,99.413,99.412,99.775,100.272,100.541,103.926,105.168,106.583,106.894,106.716,107.714,109.229,110.214,110.634,112.273,113.461,111.26,110.951,112.347,113.614,114.442,114.537,114.512,114.12,114.984,115.873
"55","47","  Other","B910RG3",21.553,21.667,21.834,21.925,22.145,22.515,22.667,22.856,23.546,24.034,24.456,25.232,25.317,25.42,25.543,26.18,26.896,27.775,28.645,30.297,31.285,32.195,32.85,33.872,34.587,35.357,36.303,37.118,36.703,36.931,37.218,37.571,38.388,39.276,39.622,40.792,41.761,42.648,43.502,44.225,45.672,47.465,48.72,49.962,51.502,52.374,53.511,54.783,55.686,56.461,57.161,57.978,57.845,56.364,54.66,54.926,54.87,55.424,55.831,56.068,56.656,56.618,55.051,53.9,54.253,55.145,56.337,57.726,58.987,59.926,60.698,60.989,59.973,59.859,59.96,60.375,61.873,62.771,63.551,64.165,64.292,64.808,65.199,65.73,66.634,67.448,68.428,69.535,70.581,70.067,70.802,71.608,72.752,73.418,74.58,74.034,74.503,75.059,74.746,75.483,76.299,76.192,77.651,78.435,77.105,79.34,79.708,79.523,80.241,80.815,81.445,81.87,81.775,82.063,81.491,81.085,79.603,80.339,80.254,81.303,81.384,82.598,83.5,84.124,84.996,84.835,85.137,84.677,84.533,84.313,84.167,83.365,83.84,84.819,85.623,85.704,87.248,89.947,90.505,90.78,92.768,94.337,95.43,96.827,97.912,99.894,101.367,100.827,102.228,103.463,104.141,103.757,104.924,107.112,108.457,110.326,112.518,115.532,116.412,108.359,105.114,107.166,109.89,111.7,112.397,112.976,113.589,114.646,116.012
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RG3",45.222,45.037,45.696,47.352,47.735,48.816,47.769,47.531,49.575,49.263,48.189,49.268,49.899,49.871,49.836,50.642,51.246,52.81,54.001,56.091,59.243,60.952,65.161,67.912,70.951,72.974,73.601,74.757,76.214,77.615,77.805,80.227,80.225,80.61,82.124,83.165,83.562,85.555,86.627,90.464,92.433,96.56,97.864,98.467,101.757,104.843,108.105,111.715,114.307,115.433,116.864,118.247,119.023,119.324,119.013,118.531,117.866,117.489,116.956,116.856,117.398,117.25,116.169,114.772,113.146,112.279,111.136,110.209,109.834,109.458,109.55,109.825,109.024,109.24,109.783,110.874,112.26,113.223,113.801,114.058,114.464,114.397,114.176,113.432,112.324,112.442,112.931,112.8,113.578,113.556,112.538,112.092,112.114,111.523,111.116,110.735,110.839,111.018,110.496,110.067,110.181,110.091,109.79,109.35,109.431,108.882,108.021,107.145,106.056,104.574,103.152,101.708,101.358,100.999,100.666,99.977,99.336,98.8,97.992,97.684,97.432,97.219,96.935,97.189,97.092,97.311,97.565,97.529,97.583,97.463,97.11,96.8,96.738,96.578,96.644,96.581,96.666,96.726,96.538,96.724,97.277,98,98.594,99.297,99.856,99.952,99.921,100.272,101.105,102.214,103.064,103.562,103.493,103.585,103.128,103.265,103.885,104.806,105.237,102.223,101.009,100.957,101.844,102.708,103.155,103.575,103.284,104.006,104.93
"58","49","  Exports of nondurable goods","B339RG3",25.248,25.222,25.547,25.912,25.977,26.47,26.789,27.041,27.34,27.511,27.669,27.183,27.607,28.149,28.324,29.61,31.989,34.525,38.934,42.317,46.669,49.005,51.913,56.315,57.269,54.085,52.395,51.844,52.064,52.101,52.457,52.526,54.013,55.423,52.727,51.878,54.124,55.752,56.843,58.484,61.688,64.402,66.636,68.441,69.801,68.592,70.543,73.454,75.49,74.603,72.852,71.661,71.69,70.373,68.268,66.912,67.559,68.457,69.793,72.079,72.407,73.442,71.527,69.471,68.245,67.883,66.291,66.029,64.475,63.529,61.902,63.328,64.871,67.9,67.749,70.647,71.824,76.126,78.795,77.483,79.09,78.981,77.068,76.486,76.949,77.074,77.356,79.49,78.713,77.284,75.796,76.399,75.421,75.864,75.513,75.12,75.051,75.058,75.393,75.514,76.769,77.81,79.373,82.018,85.325,88.082,88.565,88.168,88.184,89.589,88.654,86.599,86.652,86.622,86.3,85.695,83.595,82.484,81.05,80.04,79.564,79.777,80.888,81.881,83.043,84.157,83.878,84.42,84.184,83.08,82.054,80.007,79.404,80.843,83.036,83.65,85.871,86.482,86.582,89.036,91.822,94.401,94.091,95.616,97.595,99.383,100.785,102.237,102.513,104.501,107.134,106.778,109.242,112.859,115.768,120.648,126.556,135.696,139.687,117.81,108.627,110.836,112.812,114.658,118.171,121.533,122.459,130.023,138.836
"59","50","  Exports of agricultural goods \2\","B181RG3",32.015,31.937,32.016,31.592,32.279,32.587,33.396,34.118,34.896,35.404,35.639,34.87,35.515,36.352,37.232,39.766,45.19,50.467,60.369,65.687,73.174,73.494,73.446,81.311,80.024,73.305,71.415,70.103,68.934,68.489,69.8,69.563,72.545,75.76,67.413,65.529,69.609,72.58,74.108,75.576,79.149,80.961,85.864,85.561,85.642,82.17,87.061,94.287,97.381,94.631,89.11,85.367,84.801,82.646,79.234,77.53,79.849,82.313,85.679,90.367,90.692,91.942,87.768,82.412,80.715,79.693,75.418,75.997,73.836,72.166,67.063,70.729,69.903,74.011,71.798,77.887,78.062,86.118,93.513,88.623,91.093,90.725,88.567,86.727,86.575,88.264,85.103,82.89,85.433,86.199,84.264,85.897,84.769,84.664,82.79,82.886,83.709,83.231,86.076,87.5,90.514,89.149,87.118,88.999,91.432,93.757,98.995,103.614,105.657,112.387,108.739,100.399,101.123,100.901,98.509,96.969,92.998,91.762,89.469,87.345,85.747,83.605,83.043,82.979,82.568,83.529,80.907,82.779,83.63,82.482,84.604,81.757,81.726,81.995,86.939,88.097,89.534,90.762,92.362,100.731,104.338,108.341,99.277,95.946,97.856,100.738,100.915,100.491,100.566,100.471,104.053,109.145,115.561,116.999,123.754,133.095,144.648,154.402,158.027,130.418,125.773,131.626,131.192,131.011,132.19,131.696,136.398,152.45,166.982
"60","51","  Exports of nonagricultural goods","B182RG3",29.28,28.875,29.475,30.471,30.796,31.478,31.566,31.454,32.295,32.197,31.9,32.53,32.779,33.298,33.23,33.611,34.131,35.333,36.535,38.567,41.246,43.353,47.177,49.095,51.708,52.217,52.162,53.272,54.463,55.19,55.327,56.89,57.627,57.77,59.38,59.865,60.022,61.324,61.891,64.767,67.166,70.665,71.488,73.464,76.468,78.119,80.69,82.725,85.22,85.686,87.867,89.002,90.08,91.171,91.741,91.544,91.392,92.306,93.908,95.115,96.824,98.216,99.097,98.281,97.831,97.304,96.415,95.578,94.756,94.228,94.196,94.575,95.17,96.433,97.079,98.407,99.944,101.649,102.335,102.543,103.286,103.24,102.411,101.887,101.416,101.329,102.225,103.483,103.276,102.457,101.299,101.082,100.77,100.604,100.406,99.941,99.865,100.05,99.504,99.111,99.423,99.978,100.69,101.322,102.513,103.017,102.003,100.716,99.746,98.56,97.546,96.539,96.232,95.976,95.824,95.237,94.371,93.692,92.79,92.396,92.187,92.286,92.511,93.042,93.389,93.839,94.157,94.159,94.059,93.697,92.878,92.173,91.896,92.284,92.676,92.745,93.499,93.66,93.423,93.713,94.833,95.97,97.002,98.323,99.255,99.706,100.137,100.902,101.618,103.107,104.324,104.19,104.45,105.594,105.713,106.729,108.307,111.302,112.667,105.135,101.307,101.569,102.945,104.244,105.767,107.318,107.086,109.042,111.699
"61","52","  Imports of durable goods","B333RG3",35.949,36.344,36.459,37.752,37.93,38.124,40.005,40.388,41.464,41.1,41.403,41.998,43.553,44.586,45.676,46.749,47.638,51.705,53.126,55.403,57.117,62.026,66.523,69.72,70.778,72.189,70.4,70.055,70.394,71.779,73.131,72.707,74.845,76.412,78.83,79.87,82.134,85.504,88.042,89.382,93.346,94.566,94.306,98.363,102.119,103.236,106.364,109.098,110.159,109.449,107.724,110.114,109.504,108.55,106.224,105.113,105.598,105.418,104.482,103.939,103.958,104.197,102.365,101.249,98.738,98.721,98.929,100.723,103.452,105.454,107.612,108.515,110.427,112.319,112.436,115.158,118.242,121.319,120.138,122.664,123.062,122.193,120.62,120.288,119.738,119.435,119.857,121.132,121.745,120.142,118.336,118.832,119.318,118.605,119.413,119.127,118.325,118.622,118.749,119.029,119.08,119.394,119.761,120.537,120.812,121.7,121.165,119.476,117.405,114.933,112.801,110.63,109.201,108.284,107.692,106.479,104.922,103.728,102.496,102.127,102.088,101.36,101.001,100.944,101.22,101.318,101.151,100.612,100.382,99.667,98.837,97.903,97.323,97.363,97.314,96.998,96.887,96.872,97.218,97.47,98.227,99.103,99.353,99.64,100.193,100.265,99.728,99.814,100.184,101.088,101.926,102.146,102.147,102.548,103.004,103.347,104.114,106.63,107.206,104.626,102.011,101.58,102.351,103.023,103.406,103.75,103.167,103.694,104.826
"62","53","  Imports of nondurable goods","B340RG3",12.082,12.02,12.129,12.512,12.765,12.973,13.071,13.253,13.334,13.412,13.618,13.726,13.845,14.404,14.451,14.703,15.393,16.542,17.714,20.217,27.847,32.87,34.367,35.037,35.659,34.964,33.734,33.723,34.805,35.403,36.014,36.793,38.481,39.88,39.742,39.876,40.181,40.499,40.318,41.066,42.693,46.87,54.448,59.623,67.457,71.788,73.692,74.732,78.184,79.487,75.826,74.198,73.963,71.859,71.869,71.358,67.4,67.556,68.515,67.816,68.227,69.107,68.351,67.719,65.818,65.794,64.323,65.303,61.599,53.25,52.092,53.42,57.115,60.146,61.605,61.922,60.985,61.444,60.373,59.525,63.014,66.351,64.003,64.894,67.689,63.564,68.159,77.683,69.665,66.011,64.212,64.465,64.604,65.809,66.693,65.777,65.31,65.386,63.551,62.16,61.891,63.596,66.226,65.942,68.156,69.446,68.339,68.133,69.817,71.253,71.026,73.266,73.414,69.305,68.851,68.667,65.48,63.702,62.141,61.912,61.311,64.568,67.663,71.2,75.448,75.504,77.418,79.632,78.538,74.792,71.821,67.922,68.052,72.437,73.285,75.297,81.597,76.718,77.136,78.341,82.481,84.41,86.198,91.755,92.923,96.233,102.491,108.352,108.337,109.606,110.426,106.292,109.102,110.812,111.449,128.25,141.954,150.382,150.727,123.156,103.277,105.004,109.302,122.854,132.047,124.183,118.23,131.537,147.886
"63","54","  Imports of nonpetroleum goods","B187RG3",31.274,31.405,31.632,32.783,33.153,33.514,34.584,34.933,35.541,35.365,35.695,36.139,37.122,38.27,38.931,39.777,40.997,44.44,46.104,48.549,50.464,55.027,59.323,62.254,63.848,64.038,61.622,60.892,61.655,63.019,64.433,64.785,67.143,69.354,70.56,71.128,73.032,75.497,76.791,78.41,81.521,83.128,83.996,88.069,92.14,93.624,96.648,97.976,98.769,98.117,96.361,97.214,97.066,96.132,94.127,93.408,93.282,93.221,92.829,92.342,92.677,93.234,91.913,90.927,88.588,88.43,88.442,90.078,92.412,93.425,95.275,95.719,97.29,99.292,99.802,102.402,105.114,107.439,106.685,108.701,109.4,108.951,107.547,107.31,107.518,107.319,107.74,108.934,109.669,108.349,106.853,107.322,108.119,107.334,108.103,108.25,107.153,107.57,107.744,108.011,108.054,108.565,109.462,110.485,111.006,111.972,111.739,110.578,109.057,107.292,105.581,104.221,103.342,102.421,102.016,101.23,99.82,98.887,97.78,97.535,97.328,96.719,96.584,96.822,97.058,97.449,97.748,97.883,98.222,96.796,95.309,94.278,93.722,94.103,94.226,94.344,95.298,95.099,95.232,95.438,96.637,97.414,97.716,98.476,99.308,99.72,99.732,101.24,100.694,100.755,101.536,101.821,102.305,102.842,103.096,104.231,106.238,109.366,110.217,107.039,103.927,102.854,102.96,104.18,105.463,105.725,105.471,106.371,108.263
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
